,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,estado nutricional,talla baja,2010-10-01,30,14,14,13,5,10,49,37,86
GUTIERREZ,estado nutricional,talla baja,2010-10-01,14,12,22,12,41,42,77,66,143
HUACARETA,estado nutricional,talla baja,2010-10-01,0,2,5,3,14,15,19,20,39
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla baja,2010-10-01,3,2,5,0,8,7,16,9,25
HUACHACALLA,estado nutricional,talla baja,2010-10-01,1,0,1,4,1,1,3,5,8
HUANUNI,estado nutricional,talla baja,2010-10-01,52,20,40,31,23,27,115,78,193
HUARACAJE,estado nutricional,talla baja,2010-10-01,1,0,0,0,1,3,2,3,5
HUARINA,estado nutricional,talla baja,2010-10-01,5,4,4,2,6,4,15,10,25
HUAYLLAMARCA,estado nutricional,talla baja,2010-10-01,1,1,2,3,6,8,9,12,21
HUMANATA,estado nutricional,talla baja,2010-10-01,4,5,12,9,6,4,22,18,40
ICHOCA,estado nutricional,talla baja,2010-10-01,7,5,7,8,21,17,35,30,65
ICLA,estado nutricional,talla baja,2010-10-01,13,6,33,18,144,152,190,176,366
INCAHUASI,estado nutricional,talla baja,2010-10-01,41,25,63,38,62,78,166,141,307
INGAVI (HUMAITA),estado nutricional,talla baja,2010-10-01,0,1,0,1,1,1,1,3,4
INQUISIVI,estado nutricional,talla baja,2010-10-01,12,9,23,8,36,19,71,36,107
IRUPANA (VILLA DE LANZA),estado nutricional,talla baja,2010-10-01,3,0,4,1,4,3,11,4,15
IXIAMAS,estado nutricional,talla baja,2010-10-01,3,2,6,4,10,9,19,15,34
JESUS DE MACHACA,estado nutricional,talla baja,2010-10-01,6,7,5,4,16,15,27,26,53
LA ASUNTA,estado nutricional,talla baja,2010-10-01,18,19,31,31,19,36,68,86,154
LA GUARDIA,estado nutricional,talla baja,2010-10-01,6,27,9,12,15,15,30,54,84
LA PAZ,estado nutricional,talla baja,2010-10-01,363,232,401,289,302,297,1066,818,1884
LAGUNILLAS,estado nutricional,talla baja,2010-10-01,1,1,3,6,4,6,8,13,21
LAJA,estado nutricional,talla baja,2010-10-01,8,9,5,6,2,1,15,16,31
LAS CARRERAS,estado nutricional,talla baja,2010-10-01,1,0,2,2,10,2,13,4,17
LICOMA PAMPA,estado nutricional,talla baja,2010-10-01,4,1,2,0,3,2,9,3,12
LLALLAGUA,estado nutricional,talla baja,2010-10-01,35,31,71,42,34,32,140,105,245
LLICA,estado nutricional,talla baja,2010-10-01,7,4,4,1,7,8,18,13,31
LORETO,estado nutricional,talla baja,2010-10-01,2,3,9,6,13,12,24,21,45
LURIBAY,estado nutricional,talla baja,2010-10-01,5,6,12,8,16,11,33,25,58
MACHACAMARCA,estado nutricional,talla baja,2010-10-01,4,0,18,5,7,5,29,10,39
MACHARETI,estado nutricional,talla baja,2010-10-01,2,2,9,3,14,9,25,14,39
MAGDALENA,estado nutricional,talla baja,2010-10-01,0,1,2,4,5,0,7,5,12
MAIRANA,estado nutricional,talla baja,2010-10-01,4,6,7,6,10,5,21,17,38
MALLA,estado nutricional,talla baja,2010-10-01,3,2,9,7,10,10,22,19,41
MAPIRI,estado nutricional,talla baja,2010-10-01,8,0,0,1,1,1,9,2,11
MECAPACA,estado nutricional,talla baja,2010-10-01,2,1,5,9,16,12,23,22,45
MINEROS,estado nutricional,talla baja,2010-10-01,12,3,13,6,12,13,37,22,59
MIZQUE,estado nutricional,talla baja,2010-10-01,14,10,30,20,28,30,72,60,132
MOCOMOCO,estado nutricional,talla baja,2010-10-01,11,7,19,13,36,18,66,38,104
MOJINETE,estado nutricional,talla baja,2010-10-01,1,3,4,2,1,0,6,5,11
MOJOCOYA,estado nutricional,talla baja,2010-10-01,0,0,2,8,7,1,9,9,18
MONTEAGUDO,estado nutricional,talla baja,2010-10-01,3,6,15,9,38,33,56,48,104
MONTERO,estado nutricional,talla baja,2010-10-01,23,15,36,23,31,35,90,73,163
MORO MORO,estado nutricional,talla baja,2010-10-01,1,1,1,1,2,0,4,2,6
MOROCHATA,estado nutricional,talla baja,2010-10-01,21,17,30,23,19,21,70,61,131
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla baja,2010-10-01,0,1,2,1,0,2,2,4,6
NAZACARA DE PACAJES,estado nutricional,talla baja,2010-10-01,1,0,0,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla baja,2010-10-01,1,0,0,1,3,3,4,4,8
OCURI,estado nutricional,talla baja,2010-10-01,43,20,75,45,69,77,187,142,329
OKINAWA,estado nutricional,talla baja,2010-10-01,4,2,3,4,6,5,13,11,24
OMEREQUE,estado nutricional,talla baja,2010-10-01,1,1,6,3,7,4,14,8,22
ORURO,estado nutricional,talla baja,2010-10-01,236,106,310,198,174,158,720,462,1182
PADCAYA,estado nutricional,talla baja,2010-10-01,6,4,12,4,16,6,34,14,48
PADILLA,estado nutricional,talla baja,2010-10-01,14,8,13,8,62,65,89,81,170
PAILON,estado nutricional,talla baja,2010-10-01,4,1,4,4,4,5,12,10,22
PALCA,estado nutricional,talla baja,2010-10-01,9,5,13,6,17,18,39,29,68
PALOS BLANCOS,estado nutricional,talla baja,2010-10-01,6,8,12,15,26,20,44,43,87
PAMPA AULLAGAS,estado nutricional,talla baja,2010-10-01,3,3,11,6,16,7,30,16,46
PAMPA GRANDE,estado nutricional,talla baja,2010-10-01,0,2,3,1,2,4,5,7,12
PAPEL PAMPA,estado nutricional,talla baja,2010-10-01,2,1,6,4,4,6,12,11,23
PASORAPA,estado nutricional,talla baja,2010-10-01,1,1,1,4,10,10,12,15,27
PATACAMAYA,estado nutricional,talla baja,2010-10-01,15,15,14,8,14,7,43,30,73
PAZÑA,estado nutricional,talla baja,2010-10-01,3,6,9,2,15,12,27,20,47
PELECHUCO,estado nutricional,talla baja,2010-10-01,8,4,7,12,6,2,21,18,39
POCOATA,estado nutricional,talla baja,2010-10-01,25,20,77,47,67,57,169,124,293
POCONA,estado nutricional,talla baja,2010-10-01,10,4,30,18,24,22,64,44,108
POJO (CBBA),estado nutricional,talla baja,2010-10-01,1,7,4,5,12,12,17,24,41
POOPO,estado nutricional,talla baja,2010-10-01,2,0,13,2,16,10,31,12,43
PORCO,estado nutricional,talla baja,2010-10-01,35,10,26,15,10,17,71,42,113
POROMA,estado nutricional,talla baja,2010-10-01,34,26,50,53,87,109,171,188,359
PORONGO,estado nutricional,talla baja,2010-10-01,0,0,4,4,6,6,10,10,20
PORTACHUELO,estado nutricional,talla baja,2010-10-01,1,2,4,1,4,1,9,4,13
PORVENIR,estado nutricional,talla baja,2010-10-01,4,2,1,4,1,2,6,8,14
POSTRER VALLE,estado nutricional,talla baja,2010-10-01,1,0,0,0,0,1,1,1,2
POTOSI,estado nutricional,talla baja,2010-10-01,157,87,261,156,168,152,586,395,981
PRESTO,estado nutricional,talla baja,2010-10-01,8,2,31,12,49,54,88,68,156
PUCARA,estado nutricional,talla baja,2010-10-01,0,0,3,3,1,2,4,5,9
PUCARANI,estado nutricional,talla baja,2010-10-01,23,19,28,35,37,19,88,73,161
PUERTO ACOSTA,estado nutricional,talla baja,2010-10-01,3,1,6,7,4,2,13,10,23
PUERTO CARABUCO,estado nutricional,talla baja,2010-10-01,5,10,15,9,15,17,35,36,71
PUERTO GONZALO MORENO,estado nutricional,talla baja,2010-10-01,8,7,25,13,30,38,63,58,121
PUERTO PEREZ,estado nutricional,talla baja,2010-10-01,4,2,2,0,0,3,6,5,11
PUERTO RICO,estado nutricional,talla baja,2010-10-01,4,1,3,7,2,2,9,10,19
PUERTO SILES,estado nutricional,talla baja,2010-10-01,0,0,2,4,3,7,5,11,16
PUERTO SUAREZ,estado nutricional,talla baja,2010-10-01,1,1,6,2,2,4,9,7,16
PUERTO VILLARROEL,estado nutricional,talla baja,2010-10-01,50,52,99,89,95,83,244,224,468
PUNA,estado nutricional,talla baja,2010-10-01,24,20,39,31,41,52,104,103,207
PUNATA,estado nutricional,talla baja,2010-10-01,5,3,16,18,8,7,29,28,57
QUIABAYA,estado nutricional,talla baja,2010-10-01,3,0,4,1,3,2,10,3,13
QUILLACOLLO,estado nutricional,talla baja,2010-10-01,26,12,37,24,16,22,79,58,137
QUIME,estado nutricional,talla baja,2010-10-01,3,1,25,4,25,28,53,33,86
QUIRUSILLAS,estado nutricional,talla baja,2010-10-01,0,0,0,0,0,1,0,1,1
RAVELO,estado nutricional,talla baja,2010-10-01,41,42,93,75,142,165,276,282,558
REYES,estado nutricional,talla baja,2010-10-01,6,3,9,7,3,5,18,15,33
RIBERALTA,estado nutricional,talla baja,2010-10-01,21,14,48,39,27,16,96,69,165
ROBORE,estado nutricional,talla baja,2010-10-01,8,7,3,6,2,1,13,14,27
RURRENABAQUE,estado nutricional,talla baja,2010-10-01,4,2,16,9,12,13,32,24,56
SABAYA,estado nutricional,talla baja,2010-10-01,1,1,2,5,4,3,7,9,16
SACABA,estado nutricional,talla baja,2010-10-01,30,34,79,74,62,84,171,192,363
SACABAMBA,estado nutricional,talla baja,2010-10-01,5,3,5,5,13,16,23,24,47
SACACA,estado nutricional,talla baja,2010-10-01,84,43,110,88,122,146,316,277,593
SAIPINA,estado nutricional,talla baja,2010-10-01,1,0,0,1,0,4,1,5,6
SALINAS DE GARCI MENDOZA,estado nutricional,talla baja,2010-10-01,3,4,14,10,24,11,41,25,66
SAMAIPATA,estado nutricional,talla baja,2010-10-01,4,0,1,0,8,3,13,3,16
SAN AGUSTIN,estado nutricional,talla baja,2010-10-01,0,0,0,1,1,1,1,2,3
SAN ANDRES,estado nutricional,talla baja,2010-10-01,0,2,7,1,3,7,10,10,20
SAN ANDRES DE MACHACA,estado nutricional,talla baja,2010-10-01,1,0,3,3,3,5,7,8,15
SAN ANTONIO DE ESMORUCO,estado nutricional,talla baja,2010-10-01,2,3,3,1,2,1,7,5,12
SAN ANTONIO DE LOMERIO,estado nutricional,talla baja,2010-10-01,5,3,6,3,19,22,30,28,58
SAN BENITO,estado nutricional,talla baja,2010-10-01,9,7,14,9,18,19,41,35,76
SAN BORJA,estado nutricional,talla baja,2010-10-01,17,7,23,18,42,50,82,75,157
SAN BUENA VENTURA,estado nutricional,talla baja,2010-10-01,3,1,4,3,9,8,16,12,28
SAN CARLOS,estado nutricional,talla baja,2010-10-01,2,2,7,2,4,3,13,7,20
SAN IGNACIO,estado nutricional,talla baja,2010-10-01,11,10,31,18,34,20,76,48,124
SAN IGNACIO DE VELASCO,estado nutricional,talla baja,2010-10-01,28,12,32,26,35,36,95,74,169
SAN JAVIER(BNI),estado nutricional,talla baja,2010-10-01,2,1,3,1,1,1,6,3,9
SAN JAVIER(STC),estado nutricional,talla baja,2010-10-01,5,11,7,16,3,6,15,33,48
SAN JOAQUIN,estado nutricional,talla baja,2010-10-01,9,1,0,4,2,5,11,10,21
SAN JOSE DE CHIQUITOS,estado nutricional,talla baja,2010-10-01,5,7,6,1,4,5,15,13,28
SAN JUAN DE YAPACANI,estado nutricional,talla baja,2010-10-01,0,1,1,0,5,1,6,2,8
SAN JULIAN,estado nutricional,talla baja,2010-10-01,18,2,7,6,6,10,31,18,49
SAN LORENZO(PND),estado nutricional,talla baja,2010-10-01,1,2,8,6,3,3,12,11,23
SAN LORENZO(TJA),estado nutricional,talla baja,2010-10-01,6,6,25,13,16,17,47,36,83
SAN LUCAS,estado nutricional,talla baja,2010-10-01,70,53,157,108,331,531,558,692,1250
SAN MATIAS,estado nutricional,talla baja,2010-10-01,0,1,3,4,8,3,11,8,19
SAN MIGUEL DE VELASCO,estado nutricional,talla baja,2010-10-01,4,3,8,5,14,13,26,21,47
SAN PABLO DE LIPEZ,estado nutricional,talla baja,2010-10-01,0,2,6,0,4,7,10,9,19
SAN PEDRO,estado nutricional,talla baja,2010-10-01,3,1,6,1,11,4,20,6,26
SAN PEDRO DE BUENA VISTA,estado nutricional,talla baja,2010-10-01,79,55,113,101,143,118,335,274,609
SAN PEDRO DE CURAHUARA,estado nutricional,talla baja,2010-10-01,0,3,7,6,18,13,25,22,47
SAN PEDRO DE TIQUINA,estado nutricional,talla baja,2010-10-01,0,2,1,2,3,3,4,7,11
SAN PEDRO(PND),estado nutricional,talla baja,2010-10-01,1,1,0,3,0,1,1,5,6
SAN RAFAEL,estado nutricional,talla baja,2010-10-01,0,1,4,7,1,0,5,8,13
SAN RAMON BENI,estado nutricional,talla baja,2010-10-01,1,4,4,1,6,1,11,6,17
SANTA ANA,estado nutricional,talla baja,2010-10-01,2,2,4,9,7,5,13,16,29
SANTA CRUZ DE LA SIERRA,estado nutricional,talla baja,2010-10-01,191,156,88,73,89,80,368,309,677
SANTA ROSA,estado nutricional,talla baja,2010-10-01,0,1,2,2,1,3,3,6,9
SANTA ROSA DEL SARA,estado nutricional,talla baja,2010-10-01,3,0,1,0,4,8,8,8,16
SANTIAGO DE CALLAPA,estado nutricional,talla baja,2010-10-01,11,3,7,13,3,5,21,21,42
SANTIAGO DE HUARI,estado nutricional,talla baja,2010-10-01,6,1,10,5,18,10,34,16,50
SANTIAGO DE HUATA,estado nutricional,talla baja,2010-10-01,1,1,1,3,3,1,5,5,10
SANTIAGO DE MACHACA,estado nutricional,talla baja,2010-10-01,5,1,13,9,10,4,28,14,42
SANTIVAÑES,estado nutricional,talla baja,2010-10-01,2,1,6,1,7,6,15,8,23
SANTUARIO DE QUILLACAS,estado nutricional,talla baja,2010-10-01,5,3,9,7,16,16,30,26,56
SAPAHAQUI,estado nutricional,talla baja,2010-10-01,12,7,12,16,39,24,63,47,110
SENA,estado nutricional,talla baja,2010-10-01,3,2,6,3,4,7,13,12,25
SHINAOTA,estado nutricional,talla baja,2010-10-01,21,5,12,21,19,16,52,42,94
SICA SICA (VILLA AROMA),estado nutricional,talla baja,2010-10-01,11,9,27,18,22,17,60,44,104
SICAYA,estado nutricional,talla baja,2010-10-01,3,2,9,7,6,8,18,17,35
SIPE SIPE,estado nutricional,talla baja,2010-10-01,12,14,30,22,32,22,74,58,132
SOPACHUY,estado nutricional,talla baja,2010-10-01,4,8,22,18,90,82,116,108,224
SORACACHI,estado nutricional,talla baja,2010-10-01,6,5,26,12,21,19,53,36,89
SORATA,estado nutricional,talla baja,2010-10-01,7,5,22,15,31,19,60,39,99
SUCRE,estado nutricional,talla baja,2010-10-01,118,76,222,113,199,229,539,418,957
TACACHI,estado nutricional,talla baja,2010-10-01,0,1,0,0,0,0,0,1,1
TACACOMA,estado nutricional,talla baja,2010-10-01,2,0,10,5,12,9,24,14,38
TACOBAMBA,estado nutricional,talla baja,2010-10-01,11,10,18,21,9,22,38,53,91
TACOPAYA,estado nutricional,talla baja,2010-10-01,7,7,31,20,32,33,70,60,130
TAHUA,estado nutricional,talla baja,2010-10-01,1,1,2,1,4,3,7,5,12
TAPACARI,estado nutricional,talla baja,2010-10-01,51,39,92,73,112,82,255,194,449
TARABUCO,estado nutricional,talla baja,2010-10-01,21,23,64,51,160,157,245,231,476
TARACO,estado nutricional,talla baja,2010-10-01,0,0,3,1,4,2,7,3,10
TARATA,estado nutricional,talla baja,2010-10-01,11,8,10,12,5,6,26,26,52
TARIJA,estado nutricional,talla baja,2010-10-01,28,30,56,32,50,50,134,112,246
TARVITA,estado nutricional,talla baja,2010-10-01,21,10,64,42,178,184,263,236,499
TEOPONTE,estado nutricional,talla baja,2010-10-01,2,3,6,3,6,5,14,11,25
TIAWANACU,estado nutricional,talla baja,2010-10-01,11,7,15,7,2,4,28,18,46
TINGUIPAYA,estado nutricional,talla baja,2010-10-01,23,20,27,16,34,31,84,67,151
TIPUANI,estado nutricional,talla baja,2010-10-01,2,4,2,2,6,7,10,13,23
TIQUIPAYA,estado nutricional,talla baja,2010-10-01,9,9,31,34,32,36,72,79,151
TIRAQUE (CBBA),estado nutricional,talla baja,2010-10-01,18,14,39,32,19,25,76,71,147
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla baja,2010-10-01,2,0,2,1,4,2,8,3,11
TOCO,estado nutricional,talla baja,2010-10-01,2,2,2,3,4,4,8,9,17
TODOS SANTOS,estado nutricional,talla baja,2010-10-01,1,0,1,1,1,4,3,5,8
TOLATA,estado nutricional,talla baja,2010-10-01,4,3,2,10,6,9,12,22,34
TOLEDO,estado nutricional,talla baja,2010-10-01,6,2,16,7,9,9,31,18,49
TOMAVE,estado nutricional,talla baja,2010-10-01,16,11,30,14,28,23,74,48,122
TOMINA,estado nutricional,talla baja,2010-10-01,4,3,33,16,98,109,135,128,263
TORO TORO,estado nutricional,talla baja,2010-10-01,14,13,41,27,53,47,108,87,195
TOTORA(CBBA),estado nutricional,talla baja,2010-10-01,12,5,28,15,13,18,53,38,91
TOTORA(ORR),estado nutricional,talla baja,2010-10-01,1,2,6,7,10,14,17,23,40
TRIGAL,estado nutricional,talla baja,2010-10-01,0,0,0,0,1,1,1,1,2
TRINIDAD,estado nutricional,talla baja,2010-10-01,15,11,20,7,27,21,62,39,101
TUPIZA,estado nutricional,talla baja,2010-10-01,20,9,33,57,37,34,90,100,190
TURCO,estado nutricional,talla baja,2010-10-01,3,3,13,12,4,3,20,18,38
UMALA,estado nutricional,talla baja,2010-10-01,3,2,14,12,8,4,25,18,43
UNCIA,estado nutricional,talla baja,2010-10-01,28,13,49,39,40,48,117,100,217
URIONDO (A. CONCEPCION),estado nutricional,talla baja,2010-10-01,10,3,8,4,6,16,24,23,47
URUBICHA,estado nutricional,talla baja,2010-10-01,0,0,10,13,9,11,19,24,43
UYUNI,estado nutricional,talla baja,2010-10-01,20,20,58,40,36,41,114,101,215
VACAS,estado nutricional,talla baja,2010-10-01,8,3,24,15,15,8,47,26,73
VALLEGRANDE,estado nutricional,talla baja,2010-10-01,3,0,4,3,2,2,9,5,14
VIACHA,estado nutricional,talla baja,2010-10-01,64,43,72,43,29,29,165,115,280
VILA VILA,estado nutricional,talla baja,2010-10-01,5,8,13,13,44,44,62,65,127
VILLA CHARCAS,estado nutricional,talla baja,2010-10-01,27,21,52,33,106,104,185,158,343
VILLA MONTES,estado nutricional,talla baja,2010-10-01,10,2,8,7,11,8,29,17,46
VILLA NUEVA (LOMA ALTA),estado nutricional,talla baja,2010-10-01,0,3,3,4,5,7,8,14,22
VILLA RIVERO,estado nutricional,talla baja,2010-10-01,3,4,8,8,15,11,26,23,49
VILLA SERRANO,estado nutricional,talla baja,2010-10-01,13,8,25,23,67,43,105,74,179
VILLA TUNARI,estado nutricional,talla baja,2010-10-01,30,21,70,54,105,87,205,162,367
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla baja,2010-10-01,2,1,8,7,14,19,24,27,51
VILLAZON,estado nutricional,talla baja,2010-10-01,28,14,60,37,61,46,149,97,246
VINTO,estado nutricional,talla baja,2010-10-01,6,4,21,8,9,13,36,25,61
VITICHI,estado nutricional,talla baja,2010-10-01,16,4,27,28,56,51,99,83,182
WALDO BALLIVIAN,estado nutricional,talla baja,2010-10-01,1,2,1,6,11,15,13,23,36
WARNES,estado nutricional,talla baja,2010-10-01,4,3,2,8,7,7,13,18,31
YACO,estado nutricional,talla baja,2010-10-01,7,7,26,24,32,33,65,64,129
YACUIBA,estado nutricional,talla baja,2010-10-01,21,55,12,21,18,20,51,96,147
YAMPARAEZ,estado nutricional,talla baja,2010-10-01,3,9,21,15,83,81,107,105,212
YANACACHI,estado nutricional,talla baja,2010-10-01,2,1,3,4,8,4,13,9,22
YAPACANI,estado nutricional,talla baja,2010-10-01,6,5,17,22,18,19,41,46,87
YOCALLA,estado nutricional,talla baja,2010-10-01,4,3,24,12,17,17,45,32,77
YOTALA,estado nutricional,talla baja,2010-10-01,4,2,10,10,28,20,42,32,74
YUNCHARA,estado nutricional,talla baja,2010-10-01,7,2,13,10,31,21,51,33,84
ZUDAÑEZ,estado nutricional,talla baja,2010-10-01,5,3,19,14,67,68,91,85,176
ACACIO,estado nutricional,talla baja,2010-11-01,13,4,20,19,28,47,61,70,131
ACHACACHI,estado nutricional,talla baja,2010-11-01,38,23,39,26,28,20,105,69,174
ACHOCALLA,estado nutricional,talla baja,2010-11-01,2,2,7,5,7,4,16,11,27
AIQUILE,estado nutricional,talla baja,2010-11-01,21,17,23,35,61,46,105,98,203
ALALAY,estado nutricional,talla baja,2010-11-01,5,6,16,4,29,24,50,34,84
ALCALA,estado nutricional,talla baja,2010-11-01,4,3,7,3,17,23,28,29,57
ALTO BENI,estado nutricional,talla baja,2010-11-01,0,4,2,4,3,6,5,14,19
ANCORAIMES,estado nutricional,talla baja,2010-11-01,13,10,21,10,17,19,51,39,90
ANDAMARCA,estado nutricional,talla baja,2010-11-01,1,1,6,7,28,28,35,36,71
ANTEQUERA,estado nutricional,talla baja,2010-11-01,2,0,4,4,2,3,8,7,15
ANZALDO,estado nutricional,talla baja,2010-11-01,11,17,20,29,20,21,51,67,118
APOLO,estado nutricional,talla baja,2010-11-01,7,2,14,23,13,12,34,37,71
ARAMPAMPA,estado nutricional,talla baja,2010-11-01,9,7,16,16,22,30,47,53,100
ARANI,estado nutricional,talla baja,2010-11-01,2,13,8,8,3,2,13,23,36
ARBIETO,estado nutricional,talla baja,2010-11-01,4,0,15,8,16,18,35,26,61
ARQUE,estado nutricional,talla baja,2010-11-01,28,22,46,59,50,52,124,133,257
ASCENCION DE GUARAYOS,estado nutricional,talla baja,2010-11-01,1,0,0,0,0,0,1,0,1
ATOCHA,estado nutricional,talla baja,2010-11-01,6,11,7,7,5,12,18,30,48
AUCAPATA,estado nutricional,talla baja,2010-11-01,5,1,5,4,5,9,15,14,29
AYATA,estado nutricional,talla baja,2010-11-01,9,7,21,11,5,7,35,25,60
AYO AYO,estado nutricional,talla baja,2010-11-01,7,6,24,17,4,3,35,26,61
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla baja,2010-11-01,21,24,66,51,65,58,152,133,285
AZURDUY,estado nutricional,talla baja,2010-11-01,17,11,22,37,128,123,167,171,338
BATALLAS,estado nutricional,talla baja,2010-11-01,16,4,16,16,13,9,45,29,74
BAURES,estado nutricional,talla baja,2010-11-01,3,0,6,0,4,2,13,2,15
BELEN DE ANDAMARCA,estado nutricional,talla baja,2010-11-01,1,2,1,3,2,4,4,9,13
BELEN DE URMIRI,estado nutricional,talla baja,2010-11-01,0,1,2,3,4,6,6,10,16
BELLA FLOR,estado nutricional,talla baja,2010-11-01,1,0,2,3,3,5,6,8,14
BERMEJO,estado nutricional,talla baja,2010-11-01,8,4,2,6,5,11,15,21,36
BETANZOS,estado nutricional,talla baja,2010-11-01,62,37,134,77,172,159,368,273,641
BOLIVAR,estado nutricional,talla baja,2010-11-01,19,18,47,36,67,63,133,117,250
BOLPEBRA,estado nutricional,talla baja,2010-11-01,1,1,1,2,1,1,3,4,7
BOYUIBE,estado nutricional,talla baja,2010-11-01,0,0,2,4,3,2,5,6,11
BUENA VISTA,estado nutricional,talla baja,2010-11-01,0,1,2,3,6,6,8,10,18
CABEZAS,estado nutricional,talla baja,2010-11-01,3,3,1,1,7,9,11,13,24
CAIROMA,estado nutricional,talla baja,2010-11-01,3,4,11,8,15,17,29,29,58
"CAIZA ""D""",estado nutricional,talla baja,2010-11-01,9,12,24,10,30,32,63,54,117
CAJUATA,estado nutricional,talla baja,2010-11-01,1,1,1,2,3,2,5,5,10
CALACOTO,estado nutricional,talla baja,2010-11-01,5,3,18,9,18,12,41,24,65
CALAMARCA,estado nutricional,talla baja,2010-11-01,13,9,27,16,20,33,60,58,118
CAMARGO,estado nutricional,talla baja,2010-11-01,21,11,36,28,62,70,119,109,228
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla baja,2010-11-01,1,0,5,1,6,11,12,12,24
CAMIRI,estado nutricional,talla baja,2010-11-01,1,2,3,4,14,20,18,26,44
CAPINOTA,estado nutricional,talla baja,2010-11-01,9,10,17,24,24,16,50,50,100
CAQUIAVIRI,estado nutricional,talla baja,2010-11-01,8,4,27,14,24,16,59,34,93
CARACOLLO,estado nutricional,talla baja,2010-11-01,13,9,46,42,32,38,91,89,180
CARANAVI,estado nutricional,talla baja,2010-11-01,29,30,61,77,63,72,153,179,332
CARANGAS,estado nutricional,talla baja,2010-11-01,1,0,0,0,0,0,1,0,1
CARAPARI,estado nutricional,talla baja,2010-11-01,2,1,9,0,3,7,14,8,22
CARIPUYO,estado nutricional,talla baja,2010-11-01,27,20,34,33,89,73,150,126,276
CARMEN RIVERO TORREZ,estado nutricional,talla baja,2010-11-01,1,2,2,0,1,2,4,4,8
CATACORA,estado nutricional,talla baja,2010-11-01,2,2,5,2,4,4,11,8,19
CHACARILLA,estado nutricional,talla baja,2010-11-01,0,0,1,3,1,1,2,4,6
CHALLAPATA,estado nutricional,talla baja,2010-11-01,24,13,53,20,35,44,112,77,189
CHAQUI,estado nutricional,talla baja,2010-11-01,7,11,28,13,17,18,52,42,94
CHARAGUA,estado nutricional,talla baja,2010-11-01,3,8,12,7,20,22,35,37,72
CHARAÑA,estado nutricional,talla baja,2010-11-01,0,2,6,5,3,4,9,11,20
CHAYANTA,estado nutricional,talla baja,2010-11-01,26,28,74,55,59,70,159,153,312
CHIMORE,estado nutricional,talla baja,2010-11-01,8,2,15,18,19,26,42,46,88
CHIPAYA,estado nutricional,talla baja,2010-11-01,2,0,6,0,11,14,19,14,33
CHOQUE COTA,estado nutricional,talla baja,2010-11-01,0,1,0,1,3,2,3,4,7
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla baja,2010-11-01,3,4,2,5,4,4,9,13,22
CHUMA,estado nutricional,talla baja,2010-11-01,4,4,10,5,18,19,32,28,60
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla baja,2010-11-01,18,11,29,15,15,11,62,37,99
CKOCHAS,estado nutricional,talla baja,2010-11-01,29,26,56,32,87,69,172,127,299
CLIZA,estado nutricional,talla baja,2010-11-01,8,4,27,11,10,15,45,30,75
COBIJA,estado nutricional,talla baja,2010-11-01,22,3,26,11,16,20,64,34,98
COCAPATA,estado nutricional,talla baja,2010-11-01,24,11,30,32,41,39,95,82,177
COCHABAMBA,estado nutricional,talla baja,2010-11-01,83,96,204,156,177,192,464,444,908
COIPASA,estado nutricional,talla baja,2010-11-01,0,1,0,0,0,0,0,1,1
COLCAPIRHUA,estado nutricional,talla baja,2010-11-01,9,14,7,9,9,4,25,27,52
"COLCHA ""K""",estado nutricional,talla baja,2010-11-01,11,5,21,16,14,12,46,33,79
COLLANA,estado nutricional,talla baja,2010-11-01,0,1,8,3,10,4,18,8,26
COLOMI,estado nutricional,talla baja,2010-11-01,20,8,26,36,20,31,66,75,141
COLPA BELGICA,estado nutricional,talla baja,2010-11-01,1,0,2,0,3,0,6,0,6
COLQUECHACA,estado nutricional,talla baja,2010-11-01,72,42,134,104,84,81,290,227,517
COLQUENCHA,estado nutricional,talla baja,2010-11-01,14,5,28,18,4,7,46,30,76
COLQUIRI,estado nutricional,talla baja,2010-11-01,8,5,22,17,38,39,68,61,129
COMANCHE,estado nutricional,talla baja,2010-11-01,1,1,8,7,5,3,14,11,25
COMARAPA,estado nutricional,talla baja,2010-11-01,4,6,7,8,20,12,31,26,57
COMBAYA,estado nutricional,talla baja,2010-11-01,1,0,1,3,2,2,4,5,9
CONCEPCION,estado nutricional,talla baja,2010-11-01,7,5,9,7,5,10,21,22,43
COPACABANA,estado nutricional,talla baja,2010-11-01,0,3,3,3,4,1,7,7,14
CORIPATA,estado nutricional,talla baja,2010-11-01,1,0,5,0,3,0,9,0,9
