,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
LA GUARDIA,estado nutricional,talla normal,2010-10-01,688,717,341,340,431,375,1460,1432,2892
LA PAZ,estado nutricional,talla normal,2010-10-01,4124,3756,2639,2398,2660,2730,9423,8884,18307
LA RIVERA,estado nutricional,talla normal,2010-10-01,1,1,1,1,3,1,5,3,8
LAGUNILLAS,estado nutricional,talla normal,2010-10-01,80,66,53,51,123,86,256,203,459
LAJA,estado nutricional,talla normal,2010-10-01,100,90,83,84,69,64,252,238,490
LAS CARRERAS,estado nutricional,talla normal,2010-10-01,30,35,27,24,53,46,110,105,215
LICOMA PAMPA,estado nutricional,talla normal,2010-10-01,11,21,17,18,21,15,49,54,103
LLALLAGUA,estado nutricional,talla normal,2010-10-01,313,269,204,215,94,106,611,590,1201
LLICA,estado nutricional,talla normal,2010-10-01,24,31,23,29,24,20,71,80,151
LORETO,estado nutricional,talla normal,2010-10-01,54,35,29,41,90,99,173,175,348
LURIBAY,estado nutricional,talla normal,2010-10-01,69,54,53,46,67,63,189,163,352
MACHACAMARCA,estado nutricional,talla normal,2010-10-01,52,51,33,40,37,39,122,130,252
MACHARETI,estado nutricional,talla normal,2010-10-01,61,58,53,44,140,110,254,212,466
MAGDALENA,estado nutricional,talla normal,2010-10-01,72,67,45,35,58,61,175,163,338
MAIRANA,estado nutricional,talla normal,2010-10-01,93,92,41,40,44,60,178,192,370
MALLA,estado nutricional,talla normal,2010-10-01,12,6,3,8,12,11,27,25,52
MAPIRI,estado nutricional,talla normal,2010-10-01,51,59,42,36,56,56,149,151,300
MECAPACA,estado nutricional,talla normal,2010-10-01,82,67,39,45,50,63,171,175,346
MINEROS,estado nutricional,talla normal,2010-10-01,177,173,103,122,104,112,384,407,791
MIZQUE,estado nutricional,talla normal,2010-10-01,245,193,187,185,121,124,553,502,1055
MOCOMOCO,estado nutricional,talla normal,2010-10-01,63,61,57,56,87,99,207,216,423
MOJINETE,estado nutricional,talla normal,2010-10-01,5,5,2,0,1,0,8,5,13
MOJOCOYA,estado nutricional,talla normal,2010-10-01,25,28,21,20,40,59,86,107,193
MONTEAGUDO,estado nutricional,talla normal,2010-10-01,240,308,177,189,330,301,747,798,1545
MONTERO,estado nutricional,talla normal,2010-10-01,1056,1049,615,694,708,665,2379,2408,4787
MORO MORO,estado nutricional,talla normal,2010-10-01,22,11,12,14,16,16,50,41,91
MOROCHATA,estado nutricional,talla normal,2010-10-01,108,89,71,83,53,57,232,229,461
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla normal,2010-10-01,26,17,11,6,10,7,47,30,77
NAZACARA DE PACAJES,estado nutricional,talla normal,2010-10-01,2,3,3,4,0,0,5,7,12
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla normal,2010-10-01,22,23,21,19,30,31,73,73,146
OCURI,estado nutricional,talla normal,2010-10-01,152,142,90,93,84,101,326,336,662
OKINAWA,estado nutricional,talla normal,2010-10-01,138,140,78,98,104,117,320,355,675
OMEREQUE,estado nutricional,talla normal,2010-10-01,50,48,44,35,54,68,148,151,299
ORURO,estado nutricional,talla normal,2010-10-01,1758,1717,1141,1258,879,795,3778,3770,7548
PADCAYA,estado nutricional,talla normal,2010-10-01,192,137,130,141,154,167,476,445,921
PADILLA,estado nutricional,talla normal,2010-10-01,72,94,82,56,173,183,327,333,660
PAILON,estado nutricional,talla normal,2010-10-01,210,152,186,151,221,233,617,536,1153
PALCA,estado nutricional,talla normal,2010-10-01,86,91,87,85,87,71,260,247,507
PALOS BLANCOS,estado nutricional,talla normal,2010-10-01,299,265,205,224,190,196,694,685,1379
PAMPA AULLAGAS,estado nutricional,talla normal,2010-10-01,16,18,15,16,12,16,43,50,93
PAMPA GRANDE,estado nutricional,talla normal,2010-10-01,78,58,43,39,35,41,156,138,294
PAPEL PAMPA,estado nutricional,talla normal,2010-10-01,42,16,33,32,24,23,99,71,170
PASORAPA,estado nutricional,talla normal,2010-10-01,31,24,30,13,91,69,152,106,258
PATACAMAYA,estado nutricional,talla normal,2010-10-01,174,157,102,106,43,35,319,298,617
PAZÑA,estado nutricional,talla normal,2010-10-01,45,43,28,42,53,67,126,152,278
PELECHUCO,estado nutricional,talla normal,2010-10-01,43,32,30,28,34,30,107,90,197
POCOATA,estado nutricional,talla normal,2010-10-01,165,155,145,168,82,82,392,405,797
POCONA,estado nutricional,talla normal,2010-10-01,101,78,76,79,73,70,250,227,477
POJO (CBBA),estado nutricional,talla normal,2010-10-01,80,81,71,60,79,56,230,197,427
POOPO,estado nutricional,talla normal,2010-10-01,48,53,49,40,40,41,137,134,271
PORCO,estado nutricional,talla normal,2010-10-01,81,69,26,30,42,32,149,131,280
POROMA,estado nutricional,talla normal,2010-10-01,146,124,102,95,182,154,430,373,803
PORONGO,estado nutricional,talla normal,2010-10-01,60,38,39,49,72,82,171,169,340
PORTACHUELO,estado nutricional,talla normal,2010-10-01,111,97,63,63,91,96,265,256,521
PORVENIR,estado nutricional,talla normal,2010-10-01,50,71,56,50,94,95,200,216,416
POSTRER VALLE,estado nutricional,talla normal,2010-10-01,6,12,12,13,14,13,32,38,70
POTOSI,estado nutricional,talla normal,2010-10-01,1048,1094,530,620,482,491,2060,2205,4265
PRESTO,estado nutricional,talla normal,2010-10-01,78,72,59,56,109,105,246,233,479
PUCARA,estado nutricional,talla normal,2010-10-01,9,21,8,14,11,9,28,44,72
PUCARANI,estado nutricional,talla normal,2010-10-01,236,222,177,173,157,176,570,571,1141
PUERTO ACOSTA,estado nutricional,talla normal,2010-10-01,37,34,22,21,22,17,81,72,153
PUERTO CARABUCO,estado nutricional,talla normal,2010-10-01,105,78,62,49,50,48,217,175,392
PUERTO GONZALO MORENO,estado nutricional,talla normal,2010-10-01,67,72,61,41,74,59,202,172,374
PUERTO PEREZ,estado nutricional,talla normal,2010-10-01,42,33,25,30,22,31,89,94,183
PUERTO QUIJARRO,estado nutricional,talla normal,2010-10-01,98,109,96,82,41,41,235,232,467
PUERTO RICO,estado nutricional,talla normal,2010-10-01,52,50,28,34,36,33,116,117,233
PUERTO SILES,estado nutricional,talla normal,2010-10-01,15,26,10,20,38,26,63,72,135
PUERTO SUAREZ,estado nutricional,talla normal,2010-10-01,113,128,58,59,44,37,215,224,439
PUERTO VILLARROEL,estado nutricional,talla normal,2010-10-01,666,564,373,298,371,284,1410,1146,2556
PUNA,estado nutricional,talla normal,2010-10-01,122,153,80,111,133,121,335,385,720
PUNATA,estado nutricional,talla normal,2010-10-01,231,279,169,175,110,106,510,560,1070
QUIABAYA,estado nutricional,talla normal,2010-10-01,10,11,17,5,19,12,46,28,74
QUILLACOLLO,estado nutricional,talla normal,2010-10-01,752,632,487,406,301,244,1540,1282,2822
QUIME,estado nutricional,talla normal,2010-10-01,79,53,71,52,108,110,258,215,473
QUIRUSILLAS,estado nutricional,talla normal,2010-10-01,7,4,11,9,15,11,33,24,57
RAVELO,estado nutricional,talla normal,2010-10-01,127,139,82,96,121,118,330,353,683
REYES,estado nutricional,talla normal,2010-10-01,91,88,54,55,76,70,221,213,434
RIBERALTA,estado nutricional,talla normal,2010-10-01,1177,1131,764,701,603,616,2544,2448,4992
ROBORE,estado nutricional,talla normal,2010-10-01,104,106,102,94,69,74,275,274,549
RURRENABAQUE,estado nutricional,talla normal,2010-10-01,119,146,73,75,58,57,250,278,528
SABAYA,estado nutricional,talla normal,2010-10-01,15,15,15,15,14,18,44,48,92
SACABA,estado nutricional,talla normal,2010-10-01,1229,1126,853,755,601,538,2683,2419,5102
SACABAMBA,estado nutricional,talla normal,2010-10-01,29,40,24,27,26,26,79,93,172
SACACA,estado nutricional,talla normal,2010-10-01,125,153,71,89,93,114,289,356,645
SAIPINA,estado nutricional,talla normal,2010-10-01,54,48,39,34,48,36,141,118,259
SALINAS DE GARCI MENDOZA,estado nutricional,talla normal,2010-10-01,93,87,58,49,83,78,234,214,448
SAMAIPATA,estado nutricional,talla normal,2010-10-01,67,54,41,38,62,57,170,149,319
SAN AGUSTIN,estado nutricional,talla normal,2010-10-01,4,7,4,11,7,11,15,29,44
SAN ANDRES,estado nutricional,talla normal,2010-10-01,102,83,60,58,102,92,264,233,497
SAN ANDRES DE MACHACA,estado nutricional,talla normal,2010-10-01,15,20,7,15,25,24,47,59,106
SAN ANTONIO DE ESMORUCO,estado nutricional,talla normal,2010-10-01,6,6,5,9,3,3,14,18,32
SAN ANTONIO DE LOMERIO,estado nutricional,talla normal,2010-10-01,55,58,50,40,108,126,213,224,437
SAN BENITO,estado nutricional,talla normal,2010-10-01,149,133,102,92,109,96,360,321,681
SAN BORJA,estado nutricional,talla normal,2010-10-01,381,331,258,270,275,358,914,959,1873
SAN BUENA VENTURA,estado nutricional,talla normal,2010-10-01,121,95,66,47,56,57,243,199,442
SAN CARLOS,estado nutricional,talla normal,2010-10-01,180,139,89,106,114,88,383,333,716
SAN IGNACIO,estado nutricional,talla normal,2010-10-01,238,218,159,183,250,229,647,630,1277
SAN IGNACIO DE VELASCO,estado nutricional,talla normal,2010-10-01,609,555,358,329,521,491,1488,1375,2863
SAN JAVIER(BNI),estado nutricional,talla normal,2010-10-01,24,38,17,19,40,41,81,98,179
SAN JAVIER(STC),estado nutricional,talla normal,2010-10-01,121,111,74,62,133,132,328,305,633
SAN JOAQUIN,estado nutricional,talla normal,2010-10-01,29,36,23,17,26,24,78,77,155
SAN JOSE DE CHIQUITOS,estado nutricional,talla normal,2010-10-01,120,110,72,79,80,96,272,285,557
SAN JUAN DE YAPACANI,estado nutricional,talla normal,2010-10-01,49,46,39,39,55,58,143,143,286
SAN JULIAN,estado nutricional,talla normal,2010-10-01,245,223,181,177,169,156,595,556,1151
SAN LORENZO(PND),estado nutricional,talla normal,2010-10-01,37,41,27,31,31,28,95,100,195
SAN LORENZO(TJA),estado nutricional,talla normal,2010-10-01,204,154,132,116,133,121,469,391,860
SAN LUCAS,estado nutricional,talla normal,2010-10-01,297,327,184,244,427,435,908,1006,1914
SAN MATIAS,estado nutricional,talla normal,2010-10-01,87,79,37,36,43,51,167,166,333
SAN MIGUEL DE VELASCO,estado nutricional,talla normal,2010-10-01,116,95,68,69,104,96,288,260,548
SAN PABLO DE LIPEZ,estado nutricional,talla normal,2010-10-01,20,14,9,15,11,6,40,35,75
SAN PEDRO,estado nutricional,talla normal,2010-10-01,129,131,115,91,135,156,379,378,757
SAN PEDRO DE BUENA VISTA,estado nutricional,talla normal,2010-10-01,205,194,120,141,156,132,481,467,948
SAN PEDRO DE CURAHUARA,estado nutricional,talla normal,2010-10-01,37,36,38,40,72,79,147,155,302
SAN PEDRO DE QUEMES,estado nutricional,talla normal,2010-10-01,1,5,3,2,6,5,10,12,22
SAN PEDRO DE TIQUINA,estado nutricional,talla normal,2010-10-01,18,19,16,13,17,18,51,50,101
SAN PEDRO(PND),estado nutricional,talla normal,2010-10-01,12,6,5,4,8,9,25,19,44
SAN RAFAEL,estado nutricional,talla normal,2010-10-01,71,70,59,58,85,66,215,194,409
SAN RAMON BENI,estado nutricional,talla normal,2010-10-01,33,30,33,27,29,46,95,103,198
SANTA ANA,estado nutricional,talla normal,2010-10-01,127,93,51,60,42,54,220,207,427
SANTA CRUZ DE LA SIERRA,estado nutricional,talla normal,2010-10-01,5851,5215,2788,2598,2467,2278,11106,10091,21197
SANTA ROSA,estado nutricional,talla normal,2010-10-01,59,53,28,36,32,35,119,124,243
SANTA ROSA DEL SARA,estado nutricional,talla normal,2010-10-01,115,128,95,92,134,140,344,360,704
SANTIAGO DE CALLAPA,estado nutricional,talla normal,2010-10-01,32,27,13,24,11,15,56,66,122
SANTIAGO DE HUARI,estado nutricional,talla normal,2010-10-01,71,56,64,45,69,66,204,167,371
SANTIAGO DE HUATA,estado nutricional,talla normal,2010-10-01,33,28,14,8,34,30,81,66,147
SANTIAGO DE MACHACA,estado nutricional,talla normal,2010-10-01,25,30,25,22,22,25,72,77,149
SANTIVAÑES,estado nutricional,talla normal,2010-10-01,32,32,20,25,19,20,71,77,148
SANTUARIO DE QUILLACAS,estado nutricional,talla normal,2010-10-01,17,14,15,14,18,24,50,52,102
SAPAHAQUI,estado nutricional,talla normal,2010-10-01,46,54,64,37,54,68,164,159,323
SENA,estado nutricional,talla normal,2010-10-01,74,36,39,33,33,35,146,104,250
SHINAOTA,estado nutricional,talla normal,2010-10-01,346,287,219,164,137,200,702,651,1353
SICA SICA (VILLA AROMA),estado nutricional,talla normal,2010-10-01,153,165,116,135,131,145,400,445,845
SICAYA,estado nutricional,talla normal,2010-10-01,36,22,20,12,8,17,64,51,115
SIPE SIPE,estado nutricional,talla normal,2010-10-01,351,315,246,213,161,139,758,667,1425
SOPACHUY,estado nutricional,talla normal,2010-10-01,60,73,36,44,70,77,166,194,360
SORACACHI,estado nutricional,talla normal,2010-10-01,107,106,87,108,125,125,319,339,658
SORATA,estado nutricional,talla normal,2010-10-01,119,125,92,94,102,122,313,341,654
SUCRE,estado nutricional,talla normal,2010-10-01,2265,2165,1641,1602,1799,1707,5705,5474,11179
TACACHI,estado nutricional,talla normal,2010-10-01,5,9,6,6,6,12,17,27,44
TACACOMA,estado nutricional,talla normal,2010-10-01,42,40,36,18,49,44,127,102,229
TACOBAMBA,estado nutricional,talla normal,2010-10-01,73,66,50,52,38,39,161,157,318
TACOPAYA,estado nutricional,talla normal,2010-10-01,77,76,51,60,68,62,196,198,394
TAHUA,estado nutricional,talla normal,2010-10-01,7,5,5,6,5,13,17,24,41
TAPACARI,estado nutricional,talla normal,2010-10-01,191,186,105,136,133,138,429,460,889
TARABUCO,estado nutricional,talla normal,2010-10-01,150,139,91,104,220,189,461,432,893
TARACO,estado nutricional,talla normal,2010-10-01,25,23,18,13,12,16,55,52,107
TARATA,estado nutricional,talla normal,2010-10-01,69,76,58,72,46,39,173,187,360
TARIJA,estado nutricional,talla normal,2010-10-01,1438,1240,1007,908,758,666,3203,2814,6017
TARVITA,estado nutricional,talla normal,2010-10-01,126,101,83,94,147,184,356,379,735
TEOPONTE,estado nutricional,talla normal,2010-10-01,69,60,52,29,51,51,172,140,312
TIAWANACU,estado nutricional,talla normal,2010-10-01,87,76,72,76,83,71,242,223,465
TINGUIPAYA,estado nutricional,talla normal,2010-10-01,78,96,64,63,53,49,195,208,403
TIPUANI,estado nutricional,talla normal,2010-10-01,113,80,58,58,68,86,239,224,463
TIQUIPAYA,estado nutricional,talla normal,2010-10-01,459,393,343,330,341,315,1143,1038,2181
TIRAQUE (CBBA),estado nutricional,talla normal,2010-10-01,174,157,122,135,80,70,376,362,738
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla normal,2010-10-01,6,6,2,3,2,7,10,16,26
TOCO,estado nutricional,talla normal,2010-10-01,27,42,37,34,34,29,98,105,203
TODOS SANTOS,estado nutricional,talla normal,2010-10-01,4,0,4,2,2,4,10,6,16
TOLATA,estado nutricional,talla normal,2010-10-01,56,40,56,42,42,34,154,116,270
TOLEDO,estado nutricional,talla normal,2010-10-01,56,38,32,31,34,47,122,116,238
TOMAVE,estado nutricional,talla normal,2010-10-01,86,89,61,63,51,49,198,201,399
TOMINA,estado nutricional,talla normal,2010-10-01,71,64,50,55,126,146,247,265,512
TORO TORO,estado nutricional,talla normal,2010-10-01,75,87,48,62,50,63,173,212,385
TOTORA(CBBA),estado nutricional,talla normal,2010-10-01,147,129,105,104,58,50,310,283,593
TOTORA(ORR),estado nutricional,talla normal,2010-10-01,47,31,22,32,49,49,118,112,230
TRIGAL,estado nutricional,talla normal,2010-10-01,11,10,13,8,10,11,34,29,63
TRINIDAD,estado nutricional,talla normal,2010-10-01,891,723,369,326,387,379,1647,1428,3075
TUPIZA,estado nutricional,talla normal,2010-10-01,261,247,229,232,249,194,739,673,1412
TURCO,estado nutricional,talla normal,2010-10-01,28,44,46,36,47,38,121,118,239
UMALA,estado nutricional,talla normal,2010-10-01,60,60,61,52,98,82,219,194,413
UNCIA,estado nutricional,talla normal,2010-10-01,153,116,92,91,46,55,291,262,553
URIONDO (A. CONCEPCION),estado nutricional,talla normal,2010-10-01,162,152,132,107,125,140,419,399,818
URUBICHA,estado nutricional,talla normal,2010-10-01,66,55,65,58,199,202,330,315,645
UYUNI,estado nutricional,talla normal,2010-10-01,217,224,139,148,98,110,454,482,936
VACAS,estado nutricional,talla normal,2010-10-01,54,36,43,35,37,37,134,108,242
VALLEGRANDE,estado nutricional,talla normal,2010-10-01,89,74,62,56,72,60,223,190,413
VIACHA,estado nutricional,talla normal,2010-10-01,430,404,250,243,223,183,903,830,1733
VILA VILA,estado nutricional,talla normal,2010-10-01,38,36,19,20,45,68,102,124,226
VILLA CHARCAS,estado nutricional,talla normal,2010-10-01,136,136,95,88,138,123,369,347,716
VILLA MONTES,estado nutricional,talla normal,2010-10-01,335,285,193,193,240,231,768,709,1477
VILLA NUEVA (LOMA ALTA),estado nutricional,talla normal,2010-10-01,36,45,24,34,70,74,130,153,283
VILLA RIVERO,estado nutricional,talla normal,2010-10-01,67,74,45,28,47,39,159,141,300
VILLA SERRANO,estado nutricional,talla normal,2010-10-01,108,87,55,48,100,123,263,258,521
VILLA TUNARI,estado nutricional,talla normal,2010-10-01,1004,749,595,535,690,650,2289,1934,4223
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla normal,2010-10-01,86,86,77,63,168,165,331,314,645
VILLAZON,estado nutricional,talla normal,2010-10-01,316,316,236,255,231,220,783,791,1574
VINTO,estado nutricional,talla normal,2010-10-01,137,118,104,106,45,50,286,274,560
VITICHI,estado nutricional,talla normal,2010-10-01,81,60,53,64,74,88,208,212,420
WALDO BALLIVIAN,estado nutricional,talla normal,2010-10-01,15,10,8,10,21,17,44,37,81
WARNES,estado nutricional,talla normal,2010-10-01,256,240,211,162,201,204,668,606,1274
YACO,estado nutricional,talla normal,2010-10-01,49,52,36,43,31,50,116,145,261
YACUIBA,estado nutricional,talla normal,2010-10-01,598,459,453,372,552,473,1603,1304,2907
YAMPARAEZ,estado nutricional,talla normal,2010-10-01,63,50,36,38,94,99,193,187,380
YANACACHI,estado nutricional,talla normal,2010-10-01,35,40,23,32,34,60,92,132,224
YAPACANI,estado nutricional,talla normal,2010-10-01,459,473,284,267,343,276,1086,1016,2102
YOCALLA,estado nutricional,talla normal,2010-10-01,64,80,54,51,92,64,210,195,405
YOTALA,estado nutricional,talla normal,2010-10-01,63,53,48,63,116,118,227,234,461
YUNCHARA,estado nutricional,talla normal,2010-10-01,42,45,45,25,81,84,168,154,322
YUNGUYO DE LITORAL,estado nutricional,talla normal,2010-10-01,0,2,0,1,1,1,1,4,5
ZUDAÑEZ,estado nutricional,talla normal,2010-10-01,46,42,35,45,91,92,172,179,351
ACACIO,estado nutricional,talla normal,2010-11-01,52,57,14,24,32,34,98,115,213
ACHACACHI,estado nutricional,talla normal,2010-11-01,301,261,194,174,199,204,694,639,1333
ACHOCALLA,estado nutricional,talla normal,2010-11-01,78,77,63,32,39,38,180,147,327
AIQUILE,estado nutricional,talla normal,2010-11-01,200,200,135,101,155,133,490,434,924
ALALAY,estado nutricional,talla normal,2010-11-01,34,25,21,23,26,12,81,60,141
ALCALA,estado nutricional,talla normal,2010-11-01,20,20,17,19,57,60,94,99,193
ALTO BENI,estado nutricional,talla normal,2010-11-01,71,60,41,45,48,51,160,156,316
ANCORAIMES,estado nutricional,talla normal,2010-11-01,54,69,37,35,51,53,142,157,299
ANDAMARCA,estado nutricional,talla normal,2010-11-01,27,54,21,23,56,43,104,120,224
ANTEQUERA,estado nutricional,talla normal,2010-11-01,31,30,18,17,20,13,69,60,129
ANZALDO,estado nutricional,talla normal,2010-11-01,74,64,53,51,45,50,172,165,337
APOLO,estado nutricional,talla normal,2010-11-01,132,135,125,102,149,141,406,378,784
ARAMPAMPA,estado nutricional,talla normal,2010-11-01,25,25,9,12,35,41,69,78,147
ARANI,estado nutricional,talla normal,2010-11-01,92,113,78,68,58,34,228,215,443
ARBIETO,estado nutricional,talla normal,2010-11-01,132,126,105,88,131,159,368,373,741
ARQUE,estado nutricional,talla normal,2010-11-01,139,134,96,90,90,122,325,346,671
ASCENCION DE GUARAYOS,estado nutricional,talla normal,2010-11-01,36,31,10,3,9,8,55,42,97
ATOCHA,estado nutricional,talla normal,2010-11-01,75,83,67,64,82,76,224,223,447
AUCAPATA,estado nutricional,talla normal,2010-11-01,28,27,29,22,15,18,72,67,139
AYATA,estado nutricional,talla normal,2010-11-01,68,89,47,57,36,37,151,183,334
AYO AYO,estado nutricional,talla normal,2010-11-01,47,52,48,31,18,20,113,103,216
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla normal,2010-11-01,213,171,164,158,184,145,561,474,1035
AZURDUY,estado nutricional,talla normal,2010-11-01,102,106,39,67,139,145,280,318,598
BATALLAS,estado nutricional,talla normal,2010-11-01,106,132,71,100,67,61,244,293,537
BAURES,estado nutricional,talla normal,2010-11-01,49,47,33,21,53,46,135,114,249
BELEN DE ANDAMARCA,estado nutricional,talla normal,2010-11-01,10,13,12,11,9,4,31,28,59
BELEN DE URMIRI,estado nutricional,talla normal,2010-11-01,9,8,11,14,9,9,29,31,60
BELLA FLOR,estado nutricional,talla normal,2010-11-01,29,24,14,26,47,40,90,90,180
BERMEJO,estado nutricional,talla normal,2010-11-01,233,240,188,213,171,154,592,607,1199
BETANZOS,estado nutricional,talla normal,2010-11-01,285,308,204,216,274,250,763,774,1537
BOLIVAR,estado nutricional,talla normal,2010-11-01,54,62,41,51,73,51,168,164,332
BOLPEBRA,estado nutricional,talla normal,2010-11-01,6,14,10,2,2,7,18,23,41
BOYUIBE,estado nutricional,talla normal,2010-11-01,22,18,25,17,42,45,89,80,169
BUENA VISTA,estado nutricional,talla normal,2010-11-01,133,65,62,63,104,115,299,243,542
CABEZAS,estado nutricional,talla normal,2010-11-01,137,92,100,85,156,133,393,310,703
CAIROMA,estado nutricional,talla normal,2010-11-01,62,84,52,52,75,88,189,224,413
"CAIZA ""D""",estado nutricional,talla normal,2010-11-01,102,85,72,63,62,58,236,206,442
CAJUATA,estado nutricional,talla normal,2010-11-01,62,63,56,40,40,49,158,152,310
CALACOTO,estado nutricional,talla normal,2010-11-01,36,37,32,29,29,35,97,101,198
CALAMARCA,estado nutricional,talla normal,2010-11-01,78,70,36,54,44,52,158,176,334
CAMARGO,estado nutricional,talla normal,2010-11-01,138,128,83,86,111,119,332,333,665
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla normal,2010-11-01,42,27,36,21,43,54,121,102,223
CAMIRI,estado nutricional,talla normal,2010-11-01,222,199,132,113,162,177,516,489,1005
CAPINOTA,estado nutricional,talla normal,2010-11-01,117,103,68,71,70,54,255,228,483
CAQUIAVIRI,estado nutricional,talla normal,2010-11-01,70,69,50,56,38,34,158,159,317
CARACOLLO,estado nutricional,talla normal,2010-11-01,198,179,112,149,90,112,400,440,840
CARANAVI,estado nutricional,talla normal,2010-11-01,474,426,329,326,286,243,1089,995,2084
CARANGAS,estado nutricional,talla normal,2010-11-01,0,1,2,1,2,1,4,3,7
CARAPARI,estado nutricional,talla normal,2010-11-01,130,123,111,124,120,128,361,375,736
CARIPUYO,estado nutricional,talla normal,2010-11-01,63,53,39,34,51,48,153,135,288
CARMEN RIVERO TORREZ,estado nutricional,talla normal,2010-11-01,33,32,26,18,27,41,86,91,177
CATACORA,estado nutricional,talla normal,2010-11-01,3,1,5,0,2,4,10,5,15
CHACARILLA,estado nutricional,talla normal,2010-11-01,7,10,4,5,6,4,17,19,36
CHALLAPATA,estado nutricional,talla normal,2010-11-01,287,312,218,219,181,152,686,683,1369
CHAQUI,estado nutricional,talla normal,2010-11-01,43,44,33,46,35,32,111,122,233
CHARAGUA,estado nutricional,talla normal,2010-11-01,316,227,182,164,312,300,810,691,1501
CHARAÑA,estado nutricional,talla normal,2010-11-01,22,19,18,24,15,21,55,64,119
CHAYANTA,estado nutricional,talla normal,2010-11-01,101,98,61,70,49,52,211,220,431
CHIMORE,estado nutricional,talla normal,2010-11-01,273,200,212,130,180,190,665,520,1185
CHIPAYA,estado nutricional,talla normal,2010-11-01,15,12,10,15,8,13,33,40,73
CHOQUE COTA,estado nutricional,talla normal,2010-11-01,12,16,10,10,30,25,52,51,103
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla normal,2010-11-01,97,84,63,74,70,48,230,206,436
CHUMA,estado nutricional,talla normal,2010-11-01,61,47,23,27,28,38,112,112,224
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla normal,2010-11-01,56,11,36,38,18,22,110,71,181
CKOCHAS,estado nutricional,talla normal,2010-11-01,82,93,59,80,109,106,250,279,529
CLIZA,estado nutricional,talla normal,2010-11-01,246,208,161,125,126,118,533,451,984
COBIJA,estado nutricional,talla normal,2010-11-01,504,526,310,296,274,263,1088,1085,2173
COCAPATA,estado nutricional,talla normal,2010-11-01,158,115,74,75,125,113,357,303,660
COCHABAMBA,estado nutricional,talla normal,2010-11-01,2732,2580,1804,1638,1298,1136,5834,5354,11188
COIPASA,estado nutricional,talla normal,2010-11-01,3,8,8,4,3,1,14,13,27
COLCAPIRHUA,estado nutricional,talla normal,2010-11-01,315,316,224,188,210,199,749,703,1452
"COLCHA ""K""",estado nutricional,talla normal,2010-11-01,65,76,73,73,64,45,202,194,396
COLLANA,estado nutricional,talla normal,2010-11-01,20,11,7,13,4,22,31,46,77
COLOMI,estado nutricional,talla normal,2010-11-01,175,162,112,93,89,84,376,339,715
COLPA BELGICA,estado nutricional,talla normal,2010-11-01,47,39,19,19,30,27,96,85,181
COLQUECHACA,estado nutricional,talla normal,2010-11-01,250,267,170,212,110,111,530,590,1120
COLQUENCHA,estado nutricional,talla normal,2010-11-01,58,64,48,48,49,33,155,145,300
COLQUIRI,estado nutricional,talla normal,2010-11-01,107,108,73,77,93,79,273,264,537
COMANCHE,estado nutricional,talla normal,2010-11-01,20,24,8,18,8,13,36,55,91
COMARAPA,estado nutricional,talla normal,2010-11-01,216,230,133,107,110,110,459,447,906
COMBAYA,estado nutricional,talla normal,2010-11-01,29,15,20,17,26,21,75,53,128
CONCEPCION,estado nutricional,talla normal,2010-11-01,143,144,74,84,77,74,294,302,596
COPACABANA,estado nutricional,talla normal,2010-11-01,70,67,42,47,48,43,160,157,317
CORIPATA,estado nutricional,talla normal,2010-11-01,115,110,93,51,72,71,280,232,512
CORO CORO,estado nutricional,talla normal,2010-11-01,55,46,44,35,33,59,132,140,272
COROICO,estado nutricional,talla normal,2010-11-01,117,107,76,71,83,73,276,251,527
CORQUE,estado nutricional,talla normal,2010-11-01,47,54,43,39,35,53,125,146,271
COTAGAITA,estado nutricional,talla normal,2010-11-01,143,154,116,132,163,173,422,459,881
COTOCA,estado nutricional,talla normal,2010-11-01,467,392,271,244,259,285,997,921,1918
CRUZ DE MACHACAMARCA,estado nutricional,talla normal,2010-11-01,2,1,0,2,3,1,5,4,9
CUATRO CAÑADAS,estado nutricional,talla normal,2010-11-01,173,134,104,102,164,173,441,409,850
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla normal,2010-11-01,17,15,16,13,10,13,43,41,84
CUEVO,estado nutricional,talla normal,2010-11-01,30,39,28,23,47,46,105,108,213
CULPINA,estado nutricional,talla normal,2010-11-01,183,161,121,143,178,192,482,496,978
CURAHUARA DE CARANGAS,estado nutricional,talla normal,2010-11-01,50,31,40,40,41,27,131,98,229
CURVA,estado nutricional,talla normal,2010-11-01,15,18,6,6,7,6,28,30,58
