,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,1,1,1,2
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,3,1,3,4
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,240,138,240,138,378
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,6,7,6,7,13
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,54,27,54,27,81
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,3,4,3,7
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,6,0,6,6
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,6,4,6,10
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,55,61,55,61,116
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,10,8,10,8,18
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,3,2,3,2,5
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,13,9,13,9,22
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,4,1,4,5
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,0,4,0,4
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,33,29,33,29,62
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,5,8,5,8,13
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,1,0,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,6,2,6,2,8
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,23,20,23,20,43
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,1,0,1,1
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,2,2,2,4
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,4,4,4,4,8
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,7,7,7,7,14
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,1,2,1,3
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,7,8,7,8,15
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,5,1,5,1,6
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,3,4,3,4,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,3,4,3,4,7
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,67,50,67,50,117
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,5,8,5,8,13
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,23,28,23,28,51
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,5,5,5,5,10
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,16,19,16,19,35
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,13,3,13,3,16
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,2,1,2,3
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,7,2,7,9
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,42,26,42,26,68
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,1,0,1,1
LAS CARRERAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,7,5,7,5,12
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,1,2,1,3
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,2,2,2,4
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,67,41,67,41,108
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,17,5,17,5,22
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,15,8,15,8,23
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,9,7,9,7,16
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,2,0,2,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,3,1,3,1,4
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,3,1,3,1,4
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,9,3,9,3,12
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,2,2,2,4
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,4,6,4,6,10
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,3,3,3,3,6
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,24,11,24,11,35
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,5,8,5,8,13
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,7,6,7,6,13
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,12,9,12,9,21
SAN JAVIER(BNI),diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,3,5,3,5,8
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,2,1,2,3
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,32,25,32,25,57
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,2,1,2,3
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,239,169,239,169,408
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,9,10,9,10,19
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,2,0,2,2
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,45,31,45,31,76
TACOPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,5,1,5,6
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,10,11,10,11,21
TOMAVE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,46,45,46,45,91
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,10,9,10,9,19
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,0,2,0,2
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,2,3,2,3,5
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,5,4,5,4,9
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,1,1,1,1,2
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,14,21,14,21,35
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-10-01,65,5,65,5,70
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,6,1,6,1,7
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,22,29,22,29,51
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,2,1,2,3
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,6,3,6,9
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,2,1,2,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,4,5,4,5,9
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,5,2,5,2,7
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,13,5,13,5,18
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,5,0,5,0,5
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,6,2,6,8
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,1,2,1,3
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,8,1,8,1,9
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,69,55,69,55,124
COLQUIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,3,2,3,5
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,2,1,2,3
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,0,2,0,2
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,1,2,1,3
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,1,1,1,2
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,2,2,2,4
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,2,3,2,5
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,20,25,20,25,45
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,0,3,0,3
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,1,3,1,4
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,0,2,0,2
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,23,14,23,14,37
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,5,2,5,2,7
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,6,16,6,16,22
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,4,1,4,1,5
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,2,2,2,4
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,6,7,6,7,13
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,49,45,49,45,94
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,2,1,2,3
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,2,1,2,3
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,5,3,5,3,8
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,75,64,75,64,139
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,15,11,15,11,26
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,2,0,2,2
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,0,2,0,2
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,20,7,20,7,27
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,10,10,10,10,20
PUERTO CARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,2,3,2,5
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,4,2,4,6
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,4,1,4,5
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,1,1,1,2
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,10,4,10,4,14
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,2,2,2,4
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,1,2,1,3
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,6,4,6,4,10
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,1,1,1,2
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,8,10,8,10,18
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,4,3,4,3,7
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,7,2,7,2,9
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,28,40,28,40,68
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,2,1,2,3
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,222,168,222,168,390
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,11,53,11,53,64
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,20,23,20,23,43
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,7,3,7,3,10
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
TINGUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,1,2,1,3
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,8,1,8,9
TOMAVE,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,2,2,2,4
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,22,28,22,28,50
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,11,8,11,8,19
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,1,0,1,0,1
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,2,2,2,2,4
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,10,3,10,3,13
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,0,1,0,1,1
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,3,5,3,5,8
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,14,6,14,6,20
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-11-01,8,7,8,7,15
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,5,2,5,7
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,3,1,3,4
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,24,20,24,20,44
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,1,3,1,4
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,4,3,4,3,7
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,4,5,4,5,9
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,6,1,6,1,7
CARAPARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,3,0,3,3
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,4,3,4,7
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,1,2,1,3
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,4,3,4,3,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,2,1,2,3
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,2,2,2,4
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,78,86,78,86,164
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,6,1,6,1,7
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,4,3,4,7
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,2,1,2,3
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,24,26,24,26,50
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,4,1,4,5
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,29,13,29,13,42
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,44,24,44,24,68
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,10,2,10,2,12
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,9,5,9,5,14
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,2,3,2,5
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,1,2,1,3
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,7,6,7,6,13
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,42,49,42,49,91
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,3,3,3,6
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,0,2,0,2
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,2,1,2,3
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,16,13,16,13,29
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,70,59,70,59,129
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,20,11,20,11,31
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,4,0,4,0,4
PORONGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,16,11,16,11,27
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,55,18,55,18,73
PUERTO GONZALO MORENO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,3,2,3,5
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,1,1,1,2
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,6,4,6,4,10
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,3,2,3,2,5
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,22,0,22,0,22
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,10,4,10,4,14
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,2,0,2,2
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,8,2,8,10
SAN AGUSTIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,2,2,2,4
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,3,2,3,5
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,2,2,2,4
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,4,7,4,7,11
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,12,5,12,5,17
SAN JAVIER(BNI),diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,7,1,7,8
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,8,9,8,9,17
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,1,2,1,3
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,34,10,34,10,44
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,19,17,19,17,36
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,17,15,17,15,32
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,257,197,257,197,454
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,10,10,10,10,20
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,22,15,22,15,37
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,5,0,5,5
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,16,6,16,6,22
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,2,0,2,2
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,2,0,2,0,2
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,11,6,11,6,17
TOMAVE,diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,4,0,4,4
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2010-12-01,0,1,0,1,1
