,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,29,28,29,28,57
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,6,1,6,7
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,0,1,0,1,1
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,4,1,4,5
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,476,254,476,254,730
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,7,6,7,6,13
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,0,3,0,3
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,157,110,157,110,267
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,3,3,3,6
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,78,54,78,54,132
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,10,9,10,9,19
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,2,2,2,4
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,77,53,77,53,130
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,42,42,42,42,84
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,1,1,1,2
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,6,9,6,9,15
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,14,13,14,13,27
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,otros en menores de 5 anos,2010-11-01,0,1,0,1,1
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,9,9,9,9,18
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,2,3,2,5
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,7,5,7,5,12
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,47,49,47,49,96
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,3,2,3,5
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,4,3,4,7
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,12,23,12,23,35
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,0,2,0,2
BAURES,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,154,146,154,146,300
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,1,0,1,1
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,25,24,25,24,49
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,9,9,9,9,18
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,10,4,10,4,14
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,3,2,3,5
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,3,3,3,6
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,60,23,60,23,83
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,299,275,299,275,574
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,5,7,5,7,12
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,5,0,5,5
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,3,3,3,6
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,0,2,0,2
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,4,2,4,2,6
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,115,149,115,149,264
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,1,3,1,4
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,2,1,2,3
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,44,37,44,37,81
GENERAL SAAVEDRA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,134,127,134,127,261
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,19,20,19,20,39
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,1,2,1,3
HUACARETA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,3,2,3,5
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,3,3,3,6
ICLA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,1,1,1,2
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,1,1,1,2
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,184,187,184,187,371
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,18,26,18,26,44
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,3,0,3,3
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,2,0,2,2
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,2,2,2,4
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,24,13,24,13,37
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,75,67,75,67,142
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,11,7,11,7,18
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,12,7,12,7,19
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,59,65,59,65,124
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,56,46,56,46,102
PUERTO SILES,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,9,11,9,11,20
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,21,16,21,16,37
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,20,8,20,8,28
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,22,11,22,11,33
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,5,0,5,0,5
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,6,7,6,7,13
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,24,27,24,27,51
SACACA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,5,2,5,7
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,3,3,3,6
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,11,15,11,15,26
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,56,24,56,24,80
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,1,3,1,4
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,3,3,3,6
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,0,3,0,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,1,3,1,4
SAN PABLO DE LIPEZ,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN PEDRO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,52,36,52,36,88
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,546,258,546,258,804
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,13,7,13,7,20
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,1,2,1,3
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,81,116,81,116,197
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,2,2,2,4
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,32,33,32,33,65
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,11,8,11,8,19
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,61,39,61,39,100
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,19,21,19,21,40
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,0,3,0,3,3
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,8,4,8,4,12
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,7,11,7,11,18
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,17,12,17,12,29
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,13,14,13,14,27
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,2,0,2,0,2
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,3,3,3,6
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,40,31,40,31,71
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,8,4,8,4,12
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-12-01,3,8,3,8,11
