,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,2,0,2,2
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,1,3,1,4
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,6,6,6,6,12
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,25,35,25,35,60
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,5,1,5,6
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,1,1,1,2
MAPIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,2,2,2,4
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,29,24,29,24,53
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,19,24,19,24,43
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,4,5,4,5,9
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,1,1,1,2
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,7,9,7,9,16
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,27,15,27,15,42
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,4,5,4,5,9
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,7,4,7,4,11
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,5,2,5,2,7
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,3,1,3,4
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,19,13,19,13,32
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,2,3,2,5
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,2,3,2,5
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,3,1,3,4
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,5,1,5,1,6
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,4,2,4,2,6
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,17,9,17,9,26
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,0,2,0,2
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,2,3,2,5
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,4,3,4,3,7
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,5,2,5,7
SAN PEDRO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,0,2,0,2
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,2,1,2,3
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,125,56,125,56,181
SANTA ROSA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,12,7,12,7,19
SORATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,43,43,43,43,86
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,1,2,1,3
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,8,4,8,4,12
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,2,0,2,2
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,32,13,32,13,45
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,12,17,12,17,29
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,0,2,0,2
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,4,4,4,4,8
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,11,10,11,10,21
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,2,1,2,3
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,5,2,5,7
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,1,3,1,4
YANACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,7,2,7,9
ZUDAÑEZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,5,4,5,4,9
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,1,4,1,5
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,12,13,12,13,25
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,17,37,17,37,54
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,2,2,2,2,4
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,6,4,6,4,10
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,2,0,2,0,2
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,5,1,5,1,6
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,2,0,2,0,2
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,7,2,7,2,9
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,63,36,63,36,99
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,5,1,5,1,6
COTAGAITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,19,14,19,14,33
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
ENTRE RIOS TRJ,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
GENERAL SAAVEDRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,1,3,1,4
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,2,1,2,3
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,5,3,5,3,8
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,2,0,2,2
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,1,4,1,5
ICLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,1,1,1,2
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,5,0,5,0,5
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,26,26,26,26,52
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,3,0,3,3
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,1,3,1,4
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,1,1,1,2
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,5,8,5,8,13
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,30,28,30,28,58
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,15,21,15,21,36
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,3,4,3,7
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,15,12,15,12,27
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,1,3,1,4
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,0,4,0,4
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,21,16,21,16,37
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,1,3,1,4
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,4,4,4,8
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN AGUSTIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,2,0,2,2
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,6,0,6,0,6
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,20,27,20,27,47
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,23,10,23,10,33
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,2,1,2,1,3
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,1,4,1,5
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,4,3,4,7
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,22,26,22,26,48
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,85,38,85,38,123
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,18,12,18,12,30
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,46,31,46,31,77
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,4,1,4,5
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,15,7,15,7,22
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,1,1,1,2
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
TOMAVE,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,1,3,1,4
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,9,7,9,7,16
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,14,8,14,8,22
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,0,3,0,3
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,6,3,6,3,9
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,0,1,0,1,1
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,1,0,1,0,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,4,3,4,3,7
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,3,2,3,2,5
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-12-01,8,5,8,5,13
