,group,variable,month,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
TOMAVE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,17,20,17,20,37
TOMINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,30,0,30,30
TORO TORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,59,0,59,59
TOTORA(CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,1,43,1,43,44
TUPIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,31,0,31,31
TURCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,5,0,5,5
URIONDO (A. CONCEPCION),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,17,0,17,17
VACAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,8,113,8,113,121
VALLEGRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,465,0,465,465
VIACHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,20,0,20,20
VILA VILA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,6,40,6,40,46
VILLA CHARCAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,100,0,100,100
VILLA MONTES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,96,0,96,96
VILLA TUNARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,35,861,35,861,896
VILLAZON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,20,331,20,331,351
VINTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,55,2007,55,2007,2062
VITICHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,30,116,30,116,146
WARNES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,51,401,51,401,452
YAMPARAEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,30,0,30,30
YAPACANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,21,397,21,397,418
YOCALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,20,0,20,20
YOTALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,13,0,13,13
ZUDAÑEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-09-01,0,40,0,40,40
ACHACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,3,67,3,67,70
ALALAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,16,2,16,18
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,37,0,37,37
ARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,87,228,87,228,315
ARBIETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,55,0,55,0,55
ARQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,694,0,694,694
ASCENCION DE GUARAYOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
ATOCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,291,0,291,291
AYATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,12,1,12,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,15,165,15,165,180
BATALLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,10,2,10,2,12
BELEN DE ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,3,0,3,3
BETANZOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,40,0,40,40
BOLIVAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,667,0,667,667
BUENA VISTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,15,440,15,440,455
CABEZAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,32,54,32,54,86
CAIROMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,8,6,8,6,14
"CAIZA ""D""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
CALACOTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,207,0,207,207
CALAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
CAMARGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,26,32,26,32,58
CAPINOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,570,112,570,112,682
CARACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
CARANAVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,13,0,13,0,13
CARAPARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,700,0,700,700
CARIPUYO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,13,0,13,13
CHACARILLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,3,0,3,3
CHALLAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,5,853,5,853,858
CHARAGUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,520,0,520,520
CHARAÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,20,0,20,20
CHAYANTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,15,0,15,15
CHIMORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,0,2,0,2
CHIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,10,1,10,11
CHUMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,208,1,208,209
CLIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,32,288,32,288,320
COBIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,22,0,22,22
COCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,56,313,56,313,369
COCHABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,452,257,452,257,709
COIPASA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,30,0,30,30
COLCAPIRHUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,250,0,250,250
"COLCHA ""K""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,6,0,6,6
COLOMI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,70,85,70,85,155
COLQUENCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,4,0,4,0,4
COMANCHE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,30,0,30,30
CONCEPCION,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,51,0,51,51
COPACABANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,17,0,17,17
COTAGAITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,53,0,53,53
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,25,4184,25,4184,4209
CUATRO CAÑADAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,593,0,593,593
CUEVO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,7,0,7,7
CURAHUARA DE CARANGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,1,2,1,3
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,335,2408,335,2408,2743
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,146,2,146,148
EL PUENTE(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,320,0,320,320
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,869,1,869,870
ENTRE RIOS TRJ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,92,0,92,92
EUCALIPTUS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,6,0,6,6
EXALTACION,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,300,200,300,200,500
FERNANDEZ ALONSO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,20,3,20,3,23
FILADELFIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,20,0,20,20
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,60,1,60,61
GUAYARAMERIN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,20,20,20,20,40
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,6,0,6,6
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,38,0,38,38
IXIAMAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,3,0,3,3
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,57,0,57,57
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,223,0,223,223
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,231,322,231,322,553
LLALLAGUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,9500,0,9500,9500
LLICA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,10,0,10,0,10
MAIRANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,1426,0,1426,1426
MINEROS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,60,0,60,60
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,4,103,4,103,107
MOCOMOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,20,0,20,20
MONTEAGUDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,81,0,81,81
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,188,390,188,390,578
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,236,2,236,238
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,7,59,7,59,66
OKINAWA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,110,0,110,110
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,23,0,23,23
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,401,0,401,401
PADCAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,38,0,38,38
PAMPA AULLAGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,4,0,4,0,4
PAMPA GRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,225,40,225,40,265
PAPEL PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
PASORAPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,6,0,6,0,6
PATACAMAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,2,0,2,2
POCONA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,12,0,12,12
POJO (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,9,0,9,9
POROMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,26,0,26,26
PORONGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,38,0,38,38
PORTACHUELO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,50,150,50,150,200
POSTRER VALLE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,97,0,97,97
POTOSI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,33,709,33,709,742
PUCARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,36,0,36,36
PUERTO PEREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,38,0,38,38
PUERTO SUAREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,8,0,8,8
PUERTO VILLARROEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,18,32,18,32,50
QUILLACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,99,922,99,922,1021
QUIME,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,30,0,30,30
RAVELO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,25,0,25,25
REYES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,1780,0,1780,1780
ROBORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,40,0,40,40
RURRENABAQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,10,0,10,0,10
SACABA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,14,987,14,987,1001
SACACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,38,0,38,38
SAMAIPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,177,0,177,177
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,777,0,777,777
SAN BENITO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,40,0,40,40
SAN BORJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
SAN BUENA VENTURA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,16,0,16,16
SAN CARLOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,23,0,23,23
SAN IGNACIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,70,0,70,0,70
SAN IGNACIO DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,35,113,35,113,148
SAN JAVIER(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,25,0,25,25
SAN JULIAN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,91,0,91,91
SAN LORENZO(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,35,0,35,35
SAN MATIAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,3,468,3,468,471
SAN MIGUEL DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,18,10,18,10,28
SAN PEDRO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,10,0,10,0,10
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,32,0,32,32
SAN PEDRO DE TIQUINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,12,0,12,12
SAN RAFAEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,200,80,200,80,280
SAN RAMON SCZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,1473,0,1473,1473
SANTA ANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,3231,0,3231,3231
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2383,10336,2383,10336,12719
SANTA ROSA DEL SARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,3,0,3,0,3
SANTIVAÑES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,5,123,5,123,128
SAPAHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,17,0,17,17
SHINAOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,50,0,50,0,50
SICA SICA (VILLA AROMA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,16,0,16,16
SICAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,10,1,10,11
SIPE SIPE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,94,197,94,197,291
SOPACHUY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,48,0,48,0,48
SORACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,194,1,194,195
SUCRE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,45,0,45,0,45
TACACOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,55,0,55,55
TACOPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,262,0,262,262
TAPACARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,15,223,15,223,238
TARATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,31,0,31,0,31
TARIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,45,724,45,724,769
TIQUIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,4,905,4,905,909
TIRAQUE (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,52,0,52,52
TOLATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,5,127,5,127,132
TOLEDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,3,34,3,34,37
TOMAVE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,7,90,7,90,97
TOTORA(CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,18,52,18,52,70
TRIGAL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
TUPIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,24,0,24,24
UMALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,9,0,9,9
URIONDO (A. CONCEPCION),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,1,0,1,0,1
UYUNI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,10,0,10,10
VACAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,15,240,15,240,255
VALLEGRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,270,0,270,270
VILA VILA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,54,0,54,54
VILLA CHARCAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,10,100,10,100,110
VILLA MONTES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,30,2,30,32
VILLA SERRANO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,39,0,39,39
VILLA TUNARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,192,422,192,422,614
VILLAZON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,0,258,0,258,258
VINTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,381,434,381,434,815
VITICHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,35,40,35,40,75
WARNES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,16,291,16,291,307
YAPACANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,2,2826,2,2826,2828
YOTALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-10-01,5,2,5,2,7
ACACIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,46,0,46,46
ACHOCALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,10,0,10,10
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,48,0,48,48
ALALAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,2,8,2,8,10
ANTEQUERA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,1,0,1,0,1
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,20,0,20,20
ARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,293,0,293,293
ARBIETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,13,0,13,13
ASCENCION DE GUARAYOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,10,200,10,200,210
AYATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,42,0,42,42
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,15,225,15,225,240
AZURDUY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,60,0,60,60
BELEN DE ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,3,0,3,3
BERMEJO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,328,3552,328,3552,3880
BETANZOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,30,0,30,30
BOYUIBE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,30,0,30,0,30
BUENA VISTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,242,0,242,242
CABEZAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,20,0,20,20
"CAIZA ""D""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,25,0,25,25
CALACOTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,376,0,376,376
CAMARGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,27,0,27,27
CARACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,10,0,10,10
CARANAVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,14,57,14,57,71
CARAPARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,253,0,253,253
CARMEN RIVERO TORREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,20,0,20,20
CHALLAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,168,0,168,168
CHARAGUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,40,983,40,983,1023
CHARAÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,20,0,20,20
CHAYANTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,15,0,15,0,15
CHIMORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,60,0,60,60
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,1,92,1,92,93
CHUMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,21,249,21,249,270
CLIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,19,85,19,85,104
COBIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,12,10,12,10,22
COCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,4,61,4,61,65
COCHABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,1143,2953,1143,2953,4096
COLCAPIRHUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,2221,0,2221,2221
"COLCHA ""K""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,4,0,4,0,4
COLOMI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,61,45,61,45,106
COLQUENCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,9,0,9,0,9
CONCEPCION,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,50,0,50,50
COPACABANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,22,0,22,22
CORQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,49,0,49,49
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,39,123,39,123,162
CUATRO CAÑADAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,55,0,55,55
CURAHUARA DE CARANGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,2,0,2,2
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,202,3828,202,3828,4030
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,190,0,190,190
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,10,629,10,629,639
EUCALIPTUS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,3,0,3,3
FERNANDEZ ALONSO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,504,605,504,605,1109
GENERAL SAAVEDRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,18,0,18,18
GUTIERREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,16,0,16,0,16
HUACARETA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,30,0,30,30
HUAYLLAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,1,0,1,0,1
ICLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,10,0,10,0,10
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,4,20,4,20,24
JESUS DE MACHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,8,0,8,8
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,32,0,32,32
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,10,10,10,10,20
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,58,629,58,629,687
MECAPACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,19,0,19,19
MINEROS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,9,0,9,0,9
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,10,39,10,39,49
MONTEAGUDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,20,0,20,0,20
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,782,2905,782,2905,3687
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,10,105,10,105,115
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,25,0,25,25
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,0,10,0,10,10
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-11-01,87,262,87,262,349
