,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,TOTALES,TOTALES,TOTALES
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2024-09-01,126,150,10,14,0,0,276,24,300
SAN JULIAN,consulta externa,personas de 60 anos y mas,2024-09-01,1050,926,341,354,51,41,1976,695,2671
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2024-09-01,80,61,117,88,0,0,141,205,346
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2024-09-01,689,1150,75,92,0,0,1839,167,2006
SAN LUCAS,consulta externa,personas de 60 anos y mas,2024-09-01,907,1350,98,136,30,42,2257,234,2491
SAN MATIAS,consulta externa,personas de 60 anos y mas,2024-09-01,159,197,158,205,3,3,356,363,719
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2024-09-01,237,229,114,149,0,0,466,263,729
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2024-09-01,107,135,6,4,0,0,242,10,252
SAN PEDRO,consulta externa,personas de 60 anos y mas,2024-09-01,213,199,26,49,0,0,412,75,487
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-09-01,828,857,0,0,72,140,1685,0,1685
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2024-09-01,106,107,10,10,22,20,213,20,233
SAN PEDRO DE MACHA,consulta externa,personas de 60 anos y mas,2024-09-01,706,867,4,4,0,0,1573,8,1581
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2024-09-01,17,24,4,7,0,0,41,11,52
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2024-09-01,58,64,197,254,0,0,122,451,573
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2024-09-01,75,58,6,11,0,0,133,17,150
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2024-09-01,136,107,45,78,0,0,243,123,366
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2024-09-01,90,145,11,12,0,0,235,23,258
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2024-09-01,114,92,6,7,0,0,206,13,219
SANTA ANA,consulta externa,personas de 60 anos y mas,2024-09-01,215,258,35,43,0,0,473,78,551
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2024-09-01,20812,26615,13356,18019,1302,1725,47427,31375,78802
SANTA ROSA,consulta externa,personas de 60 anos y mas,2024-09-01,125,156,28,38,1,1,281,66,347
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2024-09-01,415,385,41,48,85,85,800,89,889
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2024-09-01,301,304,19,25,0,0,605,44,649
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2024-09-01,428,474,15,32,0,1,902,47,949
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2024-09-01,157,149,95,109,0,0,306,204,510
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2024-09-01,199,226,16,24,0,0,425,40,465
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2024-09-01,284,473,62,122,0,0,757,184,941
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2024-09-01,113,169,22,39,126,169,282,61,343
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2024-09-01,248,210,78,79,5,8,458,157,615
SENA,consulta externa,personas de 60 anos y mas,2024-09-01,101,71,15,16,0,0,172,31,203
SHINAOTA,consulta externa,personas de 60 anos y mas,2024-09-01,360,412,124,127,9,3,772,251,1023
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2024-09-01,509,494,101,161,127,156,1003,262,1265
SICAYA,consulta externa,personas de 60 anos y mas,2024-09-01,62,83,85,106,0,0,145,191,336
SIPE SIPE,consulta externa,personas de 60 anos y mas,2024-09-01,775,1155,333,431,0,0,1930,764,2694
SOPACHUY,consulta externa,personas de 60 anos y mas,2024-09-01,157,268,105,172,0,0,425,277,702
SORACACHI,consulta externa,personas de 60 anos y mas,2024-09-01,523,587,27,30,12,21,1110,57,1167
SORATA,consulta externa,personas de 60 anos y mas,2024-09-01,385,370,139,125,31,28,755,264,1019
SUCRE,consulta externa,personas de 60 anos y mas,2024-09-01,7551,10851,4576,7106,730,989,18402,11682,30084
TACACHI,consulta externa,personas de 60 anos y mas,2024-09-01,35,63,4,10,0,0,98,14,112
TACACOMA,consulta externa,personas de 60 anos y mas,2024-09-01,146,102,26,36,0,0,248,62,310
TACOBAMBA,consulta externa,personas de 60 anos y mas,2024-09-01,347,425,0,0,0,0,772,0,772
TACOPAYA,consulta externa,personas de 60 anos y mas,2024-09-01,443,464,61,69,36,41,907,130,1037
TAHUA,consulta externa,personas de 60 anos y mas,2024-09-01,58,63,1,2,0,0,121,3,124
TAPACARI,consulta externa,personas de 60 anos y mas,2024-09-01,941,1034,5,3,0,0,1975,8,1983
TARABUCO,consulta externa,personas de 60 anos y mas,2024-09-01,724,871,91,115,0,0,1595,206,1801
TARACO,consulta externa,personas de 60 anos y mas,2024-09-01,190,231,141,155,0,0,421,296,717
TARATA,consulta externa,personas de 60 anos y mas,2024-09-01,213,287,61,112,0,0,500,173,673
TARIJA,consulta externa,personas de 60 anos y mas,2024-09-01,6150,8158,4224,5780,400,408,14308,10004,24312
TARVITA,consulta externa,personas de 60 anos y mas,2024-09-01,270,473,57,89,13,10,743,146,889
TEOPONTE,consulta externa,personas de 60 anos y mas,2024-09-01,137,116,5,16,0,0,253,21,274
TIAHUANACU,consulta externa,personas de 60 anos y mas,2024-09-01,233,246,226,184,0,0,479,410,889
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2024-09-01,701,950,2,0,2,2,1651,2,1653
TIPUANI,consulta externa,personas de 60 anos y mas,2024-09-01,164,81,42,38,0,0,245,80,325
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2024-09-01,742,1163,251,533,0,0,1905,784,2689
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2024-09-01,516,690,296,275,0,0,1206,571,1777
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2024-09-01,66,108,8,20,0,0,174,28,202
TOCO,consulta externa,personas de 60 anos y mas,2024-09-01,93,128,86,139,0,0,221,225,446
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2024-09-01,19,15,1,0,0,0,34,1,35
TOLATA,consulta externa,personas de 60 anos y mas,2024-09-01,67,113,88,166,0,0,180,254,434
TOLEDO,consulta externa,personas de 60 anos y mas,2024-09-01,271,348,20,37,0,0,619,57,676
TOMAVE,consulta externa,personas de 60 anos y mas,2024-09-01,287,413,8,21,0,0,700,29,729
TOMINA,consulta externa,personas de 60 anos y mas,2024-09-01,289,311,141,164,0,0,600,305,905
TORO TORO,consulta externa,personas de 60 anos y mas,2024-09-01,401,443,9,8,0,0,844,17,861
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2024-09-01,359,436,31,43,1,1,795,74,869
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2024-09-01,269,308,2,9,5,9,577,11,588
TRIGAL,consulta externa,personas de 60 anos y mas,2024-09-01,28,31,38,56,0,0,59,94,153
TRINIDAD,consulta externa,personas de 60 anos y mas,2024-09-01,1630,1863,1100,1581,601,512,3493,2681,6174
TUPIZA,consulta externa,personas de 60 anos y mas,2024-09-01,1068,1548,646,974,27,71,2616,1620,4236
TURCO,consulta externa,personas de 60 anos y mas,2024-09-01,202,232,25,38,0,0,434,63,497
UMALA,consulta externa,personas de 60 anos y mas,2024-09-01,155,180,51,55,31,18,335,106,441
UNCIA,consulta externa,personas de 60 anos y mas,2024-09-01,534,708,83,127,107,141,1242,210,1452
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2024-09-01,412,664,144,214,104,220,1076,358,1434
URUBICHA,consulta externa,personas de 60 anos y mas,2024-09-01,78,77,0,0,0,5,155,0,155
UYUNI,consulta externa,personas de 60 anos y mas,2024-09-01,805,1030,284,320,14,24,1835,604,2439
VACAS,consulta externa,personas de 60 anos y mas,2024-09-01,388,559,55,65,0,0,947,120,1067
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2024-09-01,335,438,638,964,27,18,773,1602,2375
VIACHA,consulta externa,personas de 60 anos y mas,2024-09-01,619,889,630,845,129,175,1508,1475,2983
VILA VILA,consulta externa,personas de 60 anos y mas,2024-09-01,194,219,35,42,0,0,413,77,490
VILLA CHARCAS,consulta externa,personas de 60 anos y mas,2024-09-01,373,523,36,44,22,24,896,80,976
VILLA MONTES,consulta externa,personas de 60 anos y mas,2024-09-01,1167,1111,438,432,46,28,2278,870,3148
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2024-09-01,37,13,10,9,0,0,50,19,69
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2024-09-01,171,233,42,57,0,2,404,99,503
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2024-09-01,285,339,149,242,0,0,624,391,1015
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2024-09-01,1737,1463,345,292,44,28,3200,637,3837
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2024-09-01,227,250,101,159,0,0,477,260,737
VILLAZON,consulta externa,personas de 60 anos y mas,2024-09-01,520,857,511,824,97,197,1377,1335,2712
VINTO,consulta externa,personas de 60 anos y mas,2024-09-01,804,1126,239,359,0,0,1930,598,2528
VITICHI,consulta externa,personas de 60 anos y mas,2024-09-01,512,726,6,13,14,9,1238,19,1257
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2024-09-01,52,48,9,12,0,0,100,21,121
WARNES,consulta externa,personas de 60 anos y mas,2024-09-01,1939,2287,558,776,7,11,4226,1334,5560
YACO,consulta externa,personas de 60 anos y mas,2024-09-01,231,201,7,11,0,0,432,18,450
YACUIBA,consulta externa,personas de 60 anos y mas,2024-09-01,2535,4928,1377,1737,285,400,7463,3114,10577
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2024-09-01,422,582,42,55,0,2,1004,97,1101
YANACACHI,consulta externa,personas de 60 anos y mas,2024-09-01,208,160,19,29,28,20,368,48,416
YAPACANI,consulta externa,personas de 60 anos y mas,2024-09-01,810,615,215,253,19,15,1425,468,1893
YOCALLA,consulta externa,personas de 60 anos y mas,2024-09-01,288,358,0,2,3,2,646,2,648
YOTALA,consulta externa,personas de 60 anos y mas,2024-09-01,193,311,280,408,17,23,504,688,1192
YUNCHARA,consulta externa,personas de 60 anos y mas,2024-09-01,137,189,25,60,22,25,326,85,411
YUNGUYO DE LITORAL,consulta externa,personas de 60 anos y mas,2024-09-01,15,20,0,1,0,0,35,1,36
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2024-09-01,207,237,377,397,0,0,444,774,1218
ACACIO,consulta externa,personas de 60 anos y mas,2024-10-01,285,383,1,5,0,0,668,6,674
ACHACACHI,consulta externa,personas de 60 anos y mas,2024-10-01,666,771,189,231,39,46,1437,420,1857
ACHOCALLA,consulta externa,personas de 60 anos y mas,2024-10-01,395,543,46,66,0,0,938,112,1050
AIQUILE,consulta externa,personas de 60 anos y mas,2024-10-01,320,429,509,603,61,73,749,1112,1861
ALALAY,consulta externa,personas de 60 anos y mas,2024-10-01,48,64,56,77,2,4,112,133,245
ALCALA,consulta externa,personas de 60 anos y mas,2024-10-01,144,175,43,64,2,4,319,107,426
ALTO BENI,consulta externa,personas de 60 anos y mas,2024-10-01,260,215,56,61,0,0,475,117,592
ANCORAIMES,consulta externa,personas de 60 anos y mas,2024-10-01,269,258,157,136,31,20,527,293,820
ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-10-01,202,280,9,20,0,0,482,29,511
ANTEQUERA,consulta externa,personas de 60 anos y mas,2024-10-01,56,65,6,8,0,0,121,14,135
ANZALDO,consulta externa,personas de 60 anos y mas,2024-10-01,264,402,16,26,63,68,666,42,708
APOLO,consulta externa,personas de 60 anos y mas,2024-10-01,270,276,49,64,5,5,546,113,659
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2024-10-01,98,103,4,10,0,1,201,14,215
ARANI,consulta externa,personas de 60 anos y mas,2024-10-01,226,320,89,166,0,0,546,255,801
ARBIETO,consulta externa,personas de 60 anos y mas,2024-10-01,494,720,113,189,0,0,1214,302,1516
ARQUE,consulta externa,personas de 60 anos y mas,2024-10-01,220,320,0,1,0,0,540,1,541
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2024-10-01,255,208,47,70,9,10,463,117,580
ATOCHA,consulta externa,personas de 60 anos y mas,2024-10-01,204,199,86,129,1,5,403,215,618
AUCAPATA,consulta externa,personas de 60 anos y mas,2024-10-01,90,70,2,5,6,10,160,7,167
AYATA,consulta externa,personas de 60 anos y mas,2024-10-01,306,296,14,18,57,62,602,32,634
AYO AYO,consulta externa,personas de 60 anos y mas,2024-10-01,305,338,17,16,0,0,643,33,676
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2024-10-01,465,501,623,638,16,14,966,1261,2227
AZURDUY,consulta externa,personas de 60 anos y mas,2024-10-01,128,227,76,131,0,0,355,207,562
BATALLAS,consulta externa,personas de 60 anos y mas,2024-10-01,243,312,203,196,1,1,555,399,954
BAURES,consulta externa,personas de 60 anos y mas,2024-10-01,157,149,23,23,0,0,306,46,352
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-10-01,76,108,25,41,0,0,184,66,250
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2024-10-01,76,85,21,25,0,0,161,46,207
BELLA FLOR,consulta externa,personas de 60 anos y mas,2024-10-01,55,32,52,30,0,0,87,82,169
BERMEJO,consulta externa,personas de 60 anos y mas,2024-10-01,791,911,373,527,190,154,1702,900,2602
BETANZOS,consulta externa,personas de 60 anos y mas,2024-10-01,1244,1491,99,95,0,1,2735,194,2929
BOLIVAR,consulta externa,personas de 60 anos y mas,2024-10-01,228,245,28,38,0,0,473,66,539
BOLPEBRA,consulta externa,personas de 60 anos y mas,2024-10-01,33,33,23,11,0,0,66,34,100
BOYUIBE,consulta externa,personas de 60 anos y mas,2024-10-01,92,97,128,137,0,0,189,265,454
BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-10-01,194,201,59,49,28,25,395,108,503
CABEZAS,consulta externa,personas de 60 anos y mas,2024-10-01,476,449,52,58,36,19,925,110,1035
CAIROMA,consulta externa,personas de 60 anos y mas,2024-10-01,182,171,9,3,108,96,353,12,365
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2024-10-01,413,717,21,69,0,0,1130,90,1220
CAJUATA,consulta externa,personas de 60 anos y mas,2024-10-01,136,105,55,58,15,11,241,113,354
CALACOTO,consulta externa,personas de 60 anos y mas,2024-10-01,348,386,43,76,0,0,734,119,853
CALAMARCA,consulta externa,personas de 60 anos y mas,2024-10-01,335,412,15,22,0,0,747,37,784
CAMARGO,consulta externa,personas de 60 anos y mas,2024-10-01,475,731,241,427,2,1,1206,668,1874
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2024-10-01,143,156,43,45,0,0,299,88,387
CAMIRI,consulta externa,personas de 60 anos y mas,2024-10-01,485,637,519,678,20,38,1122,1197,2319
CAPINOTA,consulta externa,personas de 60 anos y mas,2024-10-01,584,850,109,169,0,0,1434,278,1712
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2024-10-01,369,390,15,24,0,0,759,39,798
CARACOLLO,consulta externa,personas de 60 anos y mas,2024-10-01,630,746,84,122,53,52,1376,206,1582
CARANAVI,consulta externa,personas de 60 anos y mas,2024-10-01,1334,931,230,222,7,5,2265,452,2717
CARANGAS,consulta externa,personas de 60 anos y mas,2024-10-01,21,26,15,18,0,0,47,33,80
CARAPARI,consulta externa,personas de 60 anos y mas,2024-10-01,396,428,133,160,3,0,824,293,1117
CARIPUYO,consulta externa,personas de 60 anos y mas,2024-10-01,385,502,2,6,0,0,887,8,895
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2024-10-01,134,138,4,11,3,3,272,15,287
CATACORA,consulta externa,personas de 60 anos y mas,2024-10-01,46,65,6,4,0,0,111,10,121
CHACARILLA,consulta externa,personas de 60 anos y mas,2024-10-01,23,21,4,2,48,37,44,6,50
CHALLAPATA,consulta externa,personas de 60 anos y mas,2024-10-01,825,985,99,157,57,117,1810,256,2066
CHAQUI,consulta externa,personas de 60 anos y mas,2024-10-01,539,751,3,2,0,0,1290,5,1295
CHARAGUA,consulta externa,personas de 60 anos y mas,2024-10-01,607,633,76,143,3,18,1240,219,1459
CHARAÑA,consulta externa,personas de 60 anos y mas,2024-10-01,109,124,12,22,0,0,233,34,267
CHAYANTA,consulta externa,personas de 60 anos y mas,2024-10-01,601,771,28,38,0,0,1372,66,1438
CHIMORE,consulta externa,personas de 60 anos y mas,2024-10-01,451,342,70,52,14,8,793,122,915
CHIPAYA,consulta externa,personas de 60 anos y mas,2024-10-01,41,55,4,4,0,0,96,8,104
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2024-10-01,48,68,1,3,0,0,116,4,120
CHUA COCANI,consulta externa,personas de 60 anos y mas,2024-10-01,73,101,57,94,0,0,174,151,325
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2024-10-01,199,150,98,79,5,9,349,177,526
CHUMA,consulta externa,personas de 60 anos y mas,2024-10-01,487,506,108,101,51,31,993,209,1202
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2024-10-01,80,163,5,39,0,0,243,44,287
CKOCHAS,consulta externa,personas de 60 anos y mas,2024-10-01,637,813,4,7,1,1,1450,11,1461
CLIZA,consulta externa,personas de 60 anos y mas,2024-10-01,330,494,289,426,0,0,824,715,1539
COBIJA,consulta externa,personas de 60 anos y mas,2024-10-01,734,837,538,613,3,4,1571,1151,2722
COCAPATA,consulta externa,personas de 60 anos y mas,2024-10-01,520,555,13,18,0,0,1075,31,1106
COCHABAMBA,consulta externa,personas de 60 anos y mas,2024-10-01,17551,23896,18252,24703,558,672,41447,42955,84402
COIPASA,consulta externa,personas de 60 anos y mas,2024-10-01,32,35,2,0,2,3,67,2,69
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2024-10-01,718,1079,409,798,0,0,1797,1207,3004
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2024-10-01,529,649,46,64,10,3,1178,110,1288
COLLANA,consulta externa,personas de 60 anos y mas,2024-10-01,73,112,41,46,0,0,185,87,272
COLOMI,consulta externa,personas de 60 anos y mas,2024-10-01,325,441,212,328,18,35,766,540,1306
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2024-10-01,126,140,71,93,6,3,266,164,430
COLQUECHACA,consulta externa,personas de 60 anos y mas,2024-10-01,500,583,10,13,0,0,1083,23,1106
COLQUENCHA,consulta externa,personas de 60 anos y mas,2024-10-01,192,228,43,61,0,0,420,104,524
COLQUIRI,consulta externa,personas de 60 anos y mas,2024-10-01,405,435,43,24,17,13,840,67,907
COMANCHE,consulta externa,personas de 60 anos y mas,2024-10-01,88,93,9,8,0,0,181,17,198
COMARAPA,consulta externa,personas de 60 anos y mas,2024-10-01,286,391,88,125,0,0,677,213,890
COMBAYA,consulta externa,personas de 60 anos y mas,2024-10-01,96,90,51,60,0,0,186,111,297
CONCEPCION,consulta externa,personas de 60 anos y mas,2024-10-01,208,211,49,45,0,0,419,94,513
COPACABANA,consulta externa,personas de 60 anos y mas,2024-10-01,253,286,14,24,0,0,539,38,577
CORIPATA,consulta externa,personas de 60 anos y mas,2024-10-01,256,247,72,56,3,4,503,128,631
CORO CORO,consulta externa,personas de 60 anos y mas,2024-10-01,310,303,44,48,47,57,613,92,705
COROICO,consulta externa,personas de 60 anos y mas,2024-10-01,253,253,152,169,12,17,506,321,827
CORQUE,consulta externa,personas de 60 anos y mas,2024-10-01,347,423,64,84,23,22,770,148,918
COTAGAITA,consulta externa,personas de 60 anos y mas,2024-10-01,939,1351,56,154,10,15,2290,210,2500
COTOCA,consulta externa,personas de 60 anos y mas,2024-10-01,955,1057,402,555,154,225,2012,957,2969
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-10-01,25,26,1,1,0,0,51,2,53
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2024-10-01,300,278,245,250,2,11,578,495,1073
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2024-10-01,79,87,26,35,0,0,166,61,227
CUEVO,consulta externa,personas de 60 anos y mas,2024-10-01,110,182,26,49,0,0,292,75,367
CULPINA,consulta externa,personas de 60 anos y mas,2024-10-01,292,342,80,112,24,47,634,192,826
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2024-10-01,178,233,13,18,6,7,411,31,442
CURVA,consulta externa,personas de 60 anos y mas,2024-10-01,53,66,2,1,1,1,119,3,122
DESAGUADERO,consulta externa,personas de 60 anos y mas,2024-10-01,101,104,42,47,30,52,205,89,294
EL ALTO,consulta externa,personas de 60 anos y mas,2024-10-01,7926,9927,7007,8291,809,988,17853,15298,33151
EL CHORO,consulta externa,personas de 60 anos y mas,2024-10-01,166,205,10,9,0,0,371,19,390
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2024-10-01,363,277,6,7,1,0,640,13,653
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2024-10-01,378,506,117,194,5,4,884,311,1195
EL TORNO,consulta externa,personas de 60 anos y mas,2024-10-01,850,977,502,672,0,0,1827,1174,3001
EL VILLAR,consulta externa,personas de 60 anos y mas,2024-10-01,118,164,29,50,0,0,282,79,361
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2024-10-01,462,569,177,243,0,0,1031,420,1451
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2024-10-01,459,423,59,56,0,0,882,115,997
ESCARA,consulta externa,personas de 60 anos y mas,2024-10-01,31,31,2,1,0,0,62,3,65
ESCOMA,consulta externa,personas de 60 anos y mas,2024-10-01,128,140,2,3,0,0,268,5,273
ESMERALDA,consulta externa,personas de 60 anos y mas,2024-10-01,57,73,8,5,0,1,130,13,143
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2024-10-01,163,184,11,12,21,35,347,23,370
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2024-10-01,14,9,1,5,0,0,23,6,29
EXALTACION,consulta externa,personas de 60 anos y mas,2024-10-01,41,40,1,0,4,5,81,1,82
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2024-10-01,377,371,80,97,0,0,748,177,925
FILADELFIA,consulta externa,personas de 60 anos y mas,2024-10-01,122,71,80,74,0,0,193,154,347
GAIOC JATUN AYLLU YURA,consulta externa,personas de 60 anos y mas,2024-10-01,208,293,2,3,0,0,501,5,506
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2024-10-01,255,339,31,61,0,0,594,92,686
GIA-TIM,consulta externa,personas de 60 anos y mas,2024-10-01,45,25,2,1,0,0,70,3,73
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2024-10-01,166,183,25,27,0,1,349,52,401
GUANAY,consulta externa,personas de 60 anos y mas,2024-10-01,141,136,67,99,0,0,277,166,443
GUAQUI,consulta externa,personas de 60 anos y mas,2024-10-01,194,264,44,37,13,10,458,81,539
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2024-10-01,473,551,289,401,47,53,1024,690,1714
GUTIERREZ,consulta externa,personas de 60 anos y mas,2024-10-01,222,294,84,101,0,0,516,185,701
HUACARAJE,consulta externa,personas de 60 anos y mas,2024-10-01,53,58,12,17,1,1,111,29,140
HUACARETA,consulta externa,personas de 60 anos y mas,2024-10-01,156,241,71,127,16,16,397,198,595
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2024-10-01,66,85,28,42,0,0,151,70,221
HUACHACALLA,consulta externa,personas de 60 anos y mas,2024-10-01,46,57,8,10,2,2,103,18,121
HUANUNI,consulta externa,personas de 60 anos y mas,2024-10-01,483,567,203,263,29,36,1050,466,1516
HUARINA,consulta externa,personas de 60 anos y mas,2024-10-01,106,153,166,239,0,0,259,405,664
HUATAJATA,consulta externa,personas de 60 anos y mas,2024-10-01,47,52,74,52,0,0,99,126,225
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2024-10-01,235,200,11,18,25,32,435,29,464
HUMANATA,consulta externa,personas de 60 anos y mas,2024-10-01,76,85,78,84,0,0,161,162,323
ICHOCA,consulta externa,personas de 60 anos y mas,2024-10-01,242,231,39,28,33,28,473,67,540
ICLA,consulta externa,personas de 60 anos y mas,2024-10-01,161,228,76,122,0,0,389,198,587
INCAHUASI,consulta externa,personas de 60 anos y mas,2024-10-01,179,237,27,45,26,24,416,72,488
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2024-10-01,15,8,4,0,0,0,23,4,27
INQUISIVI,consulta externa,personas de 60 anos y mas,2024-10-01,241,202,34,20,6,5,443,54,497
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2024-10-01,356,276,125,132,22,20,632,257,889
IXIAMAS,consulta externa,personas de 60 anos y mas,2024-10-01,204,136,13,19,7,3,340,32,372
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2024-10-01,211,259,125,123,22,31,470,248,718
LA ASUNTA,consulta externa,personas de 60 anos y mas,2024-10-01,463,298,83,73,172,124,761,156,917
LA GUARDIA,consulta externa,personas de 60 anos y mas,2024-10-01,1610,2071,525,657,38,40,3681,1182,4863
LA PAZ,consulta externa,personas de 60 anos y mas,2024-10-01,16504,24050,19707,28325,652,832,40554,48032,88586
LA RIVERA,consulta externa,personas de 60 anos y mas,2024-10-01,9,17,1,3,0,0,26,4,30
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2024-10-01,81,94,25,45,0,0,175,70,245
LAJA,consulta externa,personas de 60 anos y mas,2024-10-01,306,384,196,227,0,0,690,423,1113
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2024-10-01,113,223,18,58,0,0,336,76,412
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2024-10-01,122,99,9,12,0,0,221,21,242
LLALLAGUA,consulta externa,personas de 60 anos y mas,2024-10-01,778,1097,126,178,3,4,1875,304,2179
LLICA,consulta externa,personas de 60 anos y mas,2024-10-01,111,141,13,10,21,27,252,23,275
LORETO,consulta externa,personas de 60 anos y mas,2024-10-01,48,60,14,15,6,9,108,29,137
LURIBAY,consulta externa,personas de 60 anos y mas,2024-10-01,304,288,68,67,0,0,592,135,727
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-10-01,122,154,43,67,0,3,276,110,386
MACHARETI,consulta externa,personas de 60 anos y mas,2024-10-01,164,191,59,96,5,5,355,155,510
MAGDALENA,consulta externa,personas de 60 anos y mas,2024-10-01,155,159,74,92,30,20,314,166,480
MAIRANA,consulta externa,personas de 60 anos y mas,2024-10-01,109,117,227,281,0,0,226,508,734
MALLA,consulta externa,personas de 60 anos y mas,2024-10-01,90,70,6,0,0,0,160,6,166
MAPIRI,consulta externa,personas de 60 anos y mas,2024-10-01,182,181,95,71,0,0,363,166,529
MECAPACA,consulta externa,personas de 60 anos y mas,2024-10-01,193,169,54,51,0,0,362,105,467
MINEROS,consulta externa,personas de 60 anos y mas,2024-10-01,364,345,67,75,15,14,709,142,851
