,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO PRIMERA,NINOS DE 6 MESES A < 1 AÑO PRIMERA,TOTALES,TOTALES,TOTALES
TUPIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,104,112,19,11,3,3,216,30,246
TURCO,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,4,2,0,0,0,0,6,0,6
UMALA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,8,8,1,2,1,2,16,3,19
UNCIA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,52,40,0,2,4,3,92,2,94
URIONDO (A. CONCEPCION),consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,56,50,6,11,23,26,106,17,123
URUBICHA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,11,10,1,0,0,0,21,1,22
UYUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,65,58,8,16,6,0,123,24,147
VACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,16,11,7,1,0,0,27,8,35
VALLEGRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,18,23,24,29,2,1,41,53,94
VIACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,192,211,89,94,13,18,403,183,586
VILA VILA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,10,11,0,2,0,0,21,2,23
VILLA CHARCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,41,18,4,0,4,2,59,4,63
VILLA MONTES,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,137,127,17,9,0,0,264,26,290
VILLA NUEVA (LOMA ALTA),consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,7,6,6,2,0,0,13,8,21
VILLA RIVERO,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,14,21,4,4,0,0,35,8,43
VILLA SERRANO,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,11,15,7,7,0,0,26,14,40
VILLA TUNARI,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,409,406,58,65,12,12,815,123,938
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,23,31,6,7,0,0,54,13,67
VILLAZON,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,50,37,9,6,16,14,87,15,102
VINTO,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,194,170,83,51,0,0,364,134,498
VITICHI,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,14,6,0,0,2,0,20,0,20
WALDO BALLIVIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,0,2,3,2,0,0,2,5,7
WARNES,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,300,207,30,31,0,0,507,61,568
YACO,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,24,11,4,7,0,0,35,11,46
YACUIBA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,301,233,54,46,47,44,534,100,634
YAMPARAEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,15,18,1,0,0,0,33,1,34
YANACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,5,11,0,0,0,0,16,0,16
YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,107,112,17,13,0,1,219,30,249
YOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,8,9,0,0,0,0,17,0,17
YOTALA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,14,14,2,4,5,4,28,6,34
YUNCHARA,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,10,19,0,1,0,4,29,1,30
ZUDAÑEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-09-01,16,17,6,7,0,0,33,13,46
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,5,0,0,0,0,6,0,6
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,48,42,18,8,1,8,90,26,116
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,51,43,30,26,0,0,94,56,150
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,30,20,45,43,15,4,50,88,138
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,0,3,3,0,0,2,6,8
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,9,0,0,1,0,13,0,13
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,28,34,2,0,0,0,62,2,64
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,6,1,6,4,2,12,7,19
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,8,0,0,0,0,10,0,10
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,4,1,1,0,0,7,2,9
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,9,3,2,1,3,12,5,17
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,62,59,23,29,3,1,121,52,173
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,9,6,0,1,0,0,15,1,16
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,6,1,2,0,0,18,3,21
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,100,70,14,17,0,0,170,31,201
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,38,30,0,0,0,0,68,0,68
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,54,53,1,2,60,42,107,3,110
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,37,48,5,4,0,1,85,9,94
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,22,14,1,0,0,0,36,1,37
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,19,29,0,0,2,0,48,0,48
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,19,11,5,4,0,0,30,9,39
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,70,77,8,9,0,0,147,17,164
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,21,23,2,2,0,0,44,4,48
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,7,5,5,0,0,20,10,30
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,11,0,0,0,0,14,0,14
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,1,0,1,0,0,2,1,3
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,6,1,0,0,0,8,1,9
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,9,20,5,1,0,0,29,6,35
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,209,169,42,40,7,3,378,82,460
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,59,36,4,2,0,0,95,6,101
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,7,4,3,0,0,11,7,18
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,3,0,0,0,0,5,0,5
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,13,2,2,0,0,27,4,31
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,15,1,4,1,2,27,5,32
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,97,100,3,8,3,1,197,11,208
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,16,14,0,0,13,11,30,0,30
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,30,30,0,0,0,0,60,0,60
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,44,24,4,3,22,1,68,7,75
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,6,0,1,0,0,19,1,20
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,20,11,0,0,0,0,31,0,31
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,26,19,5,7,0,0,45,12,57
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,4,0,0,0,0,10,0,10
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,43,25,12,5,1,9,68,17,85
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,71,70,5,12,0,0,141,17,158
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,23,18,2,1,0,0,41,3,44
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,55,67,5,6,10,13,122,11,133
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,172,145,23,23,1,1,317,46,363
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,54,52,3,7,0,0,106,10,116
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,16,6,0,1,0,0,22,1,23
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,10,7,0,2,0,0,17,2,19
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,4,2,0,0,0,7,2,9
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,1,0,0,0,4,3,0,3
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,28,40,11,7,0,5,68,18,86
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,7,7,0,0,0,0,14,0,14
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,66,69,15,22,9,9,135,37,172
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,3,0,2,0,0,7,2,9
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,28,36,2,7,0,0,64,9,73
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,131,152,19,26,5,4,283,45,328
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,3,0,0,0,0,8,0,8
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,2,0,0,0,0,7,0,7
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,3,15,6,0,0,8,21,29
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,22,25,10,14,4,4,47,24,71
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,19,15,0,1,1,0,34,1,35
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,11,1,5,0,0,24,6,30
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,25,34,0,0,0,1,59,0,59
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,65,50,38,35,0,0,115,73,188
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,136,128,101,79,2,2,264,180,444
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,80,76,0,0,0,0,156,0,156
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1710,1593,633,659,43,32,3303,1292,4595
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,0,1,0,0,0,0,1,0,1
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,90,76,52,55,0,0,166,107,273
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,31,26,2,1,1,0,57,3,60
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,10,5,3,1,0,0,15,4,19
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,35,33,17,7,9,5,68,24,92
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,9,2,1,2,0,23,3,26
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,34,21,0,1,0,0,55,1,56
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,28,7,10,0,0,41,17,58
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,48,32,5,8,6,1,80,13,93
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,2,0,1,0,0,7,1,8
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,40,23,5,3,0,0,63,8,71
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,1,0,0,0,0,2,0,2
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,53,52,12,13,1,0,105,25,130
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,7,10,3,2,0,0,17,5,22
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,38,34,7,1,2,0,72,8,80
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,16,21,4,1,5,2,37,5,42
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,38,44,26,21,1,2,82,47,129
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,10,8,1,0,0,0,18,1,19
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,26,21,6,6,2,0,47,12,59
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,141,117,15,7,21,16,258,22,280
CRUZ DE MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,0,0,0,1,0,0,0,1,1
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,31,32,2,2,7,8,63,4,67
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,6,2,0,0,0,11,2,13
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,11,9,8,0,0,17,17,34
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,24,20,2,5,3,4,44,7,51
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,3,2,1,0,0,4,3,7
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,5,1,0,0,0,7,1,8
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,5,4,1,0,0,7,5,12
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2180,1982,948,1015,168,186,4162,1963,6125
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,0,4,0,0,0,0,4,0,4
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,34,21,7,3,0,0,55,10,65
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,23,28,1,0,0,2,51,1,52
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,147,155,165,211,0,0,302,376,678
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,7,5,0,0,0,0,12,0,12
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,37,35,0,2,0,0,72,2,74
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,137,163,4,19,0,0,300,23,323
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,10,0,0,0,0,15,0,15
ESMERALDA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,0,0,0,2,0,2,0,2
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,8,0,0,2,2,13,0,13
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,0,3,0,0,0,0,3,0,3
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,6,0,0,3,1,12,0,12
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,49,45,8,9,0,0,94,17,111
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,44,18,1,0,0,0,62,1,63
GAIOC JATUN AYLLU YURA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,16,12,0,0,0,0,28,0,28
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,60,54,15,17,0,0,114,32,146
GIA-TIM,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,11,0,2,0,1,25,2,27
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,21,6,2,0,1,35,8,43
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,31,26,40,38,0,0,57,78,135
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,4,3,3,0,0,7,6,13
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,86,66,9,13,7,4,152,22,174
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,62,34,2,4,0,0,96,6,102
HUACARAJE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,4,3,7,0,0,8,10,18
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,22,3,3,0,0,35,6,41
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,5,3,2,0,0,8,5,13
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,2,0,0,0,0,5,0,5
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,41,27,13,14,1,1,68,27,95
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,5,6,5,0,0,9,11,20
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,3,4,6,0,0,4,10,14
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,9,1,5,5,2,1,10,10,20
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,7,3,10,0,0,12,13,25
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,13,3,4,1,2,25,7,32
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,15,5,2,0,0,27,7,34
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,51,28,1,1,2,2,79,2,81
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,2,0,0,0,0,3,0,3
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,25,30,0,3,0,2,55,3,58
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,48,27,12,22,2,3,75,34,109
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,24,25,18,11,3,1,49,29,78
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,15,17,9,5,0,0,32,14,46
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,136,127,13,24,50,43,263,37,300
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,310,290,132,165,18,18,600,297,897
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1902,1787,661,722,27,25,3689,1383,5072
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,7,15,4,3,0,0,22,7,29
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,20,24,11,9,0,0,44,20,64
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,6,0,0,0,0,7,0,7
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,9,3,0,0,0,0,12,0,12
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,98,111,3,3,3,2,209,6,215
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,7,0,1,0,0,9,1,10
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,4,2,1,1,3,6,3,9
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,17,7,2,0,0,29,9,38
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,7,0,0,1,0,11,0,11
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,14,1,0,3,1,28,1,29
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,22,14,5,6,4,1,36,11,47
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,33,13,8,3,0,0,46,11,57
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,0,0,0,0,0,2,0,2
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,34,31,12,3,0,0,65,15,80
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,8,12,11,5,0,0,20,16,36
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,59,63,9,16,2,1,122,25,147
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,84,44,25,19,9,7,128,44,172
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,20,6,4,6,0,0,26,10,36
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,5,0,0,0,0,8,0,8
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,6,1,2,0,0,20,3,23
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,51,40,13,8,4,1,91,21,112
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,627,475,109,118,5,1,1102,227,1329
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,9,1,0,0,0,0,10,0,10
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,23,12,0,0,2,2,35,0,35
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,8,4,0,0,0,0,12,0,12
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,4,0,0,0,0,5,0,5
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,28,35,0,3,0,0,63,3,66
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,23,33,2,7,0,0,56,9,65
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,11,5,2,0,0,24,7,31
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,794,728,222,250,76,87,1522,472,1994
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,54,63,5,5,5,4,117,10,127
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,34,2,4,0,0,46,6,52
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,75,78,9,16,0,0,153,25,178
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,45,56,2,3,8,8,101,5,106
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,95,104,24,15,0,0,199,39,238
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,1,1,0,0,0,7,1,8
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,9,0,1,0,0,22,1,23
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,4,3,2,3,1,10,5,15
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,6,0,6,5,0,0,6,11,17
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,35,39,1,3,0,0,74,4,78
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,12,9,3,1,0,0,21,4,25
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,24,30,1,2,0,0,54,3,57
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,36,31,0,0,0,1,67,0,67
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,21,14,8,11,0,0,35,19,54
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,15,25,3,9,1,2,40,12,52
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,21,19,7,0,2,2,40,7,47
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,23,13,0,0,0,0,36,0,36
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,32,23,2,2,2,5,55,4,59
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,22,13,10,2,0,0,35,12,47
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,21,20,28,23,2,0,41,51,92
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,18,2,3,0,0,31,5,36
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,2,2,0,0,0,0,4,0,4
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,670,555,96,79,35,37,1225,175,1400
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,8,16,0,0,0,0,24,0,24
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,1,0,3,0,0,0,1,3,4
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,64,46,3,3,0,0,110,6,116
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,14,8,3,3,0,0,22,6,28
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,15,19,2,0,0,0,34,2,36
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,27,42,10,10,1,3,69,20,89
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,3,5,3,3,0,0,8,6,14
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,58,43,4,0,10,14,101,4,105
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,4,6,0,0,0,0,10,0,10
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,1,2,1,0,0,6,3,9
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,35,11,0,0,1,0,46,0,46
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,454,467,31,33,0,0,921,64,985
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,33,0,3,1,3,46,3,49
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,83,101,94,93,0,0,184,187,371
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,5,5,1,0,0,0,10,1,11
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,450,395,221,178,6,10,845,399,1244
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2024-10-01,13,8,6,1,0,0,21,7,28
