,group,variable,month,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
BOLPEBRA,consulta externa, personas de 60 anos y mas,2014-10-01,40,22,1,2,41,24,65
BOYUIBE,consulta externa, personas de 60 anos y mas,2014-10-01,30,51,3,22,33,73,106
BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-10-01,121,162,14,6,135,168,303
CABEZAS,consulta externa, personas de 60 anos y mas,2014-10-01,259,263,16,24,275,287,562
CAIROMA,consulta externa, personas de 60 anos y mas,2014-10-01,146,134,10,9,156,143,299
"CAIZA ""D""",consulta externa, personas de 60 anos y mas,2014-10-01,32,131,0,1,32,132,164
CAJUATA,consulta externa, personas de 60 anos y mas,2014-10-01,133,120,9,8,142,128,270
CALACOTO,consulta externa, personas de 60 anos y mas,2014-10-01,157,157,36,19,193,176,369
CALAMARCA,consulta externa, personas de 60 anos y mas,2014-10-01,193,262,25,39,218,301,519
CAMARGO,consulta externa, personas de 60 anos y mas,2014-10-01,312,444,82,136,394,580,974
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 60 anos y mas,2014-10-01,36,85,1,4,37,89,126
CAMIRI,consulta externa, personas de 60 anos y mas,2014-10-01,297,406,42,94,339,500,839
CAPINOTA,consulta externa, personas de 60 anos y mas,2014-10-01,174,225,99,119,273,344,617
CAQUIAVIRI,consulta externa, personas de 60 anos y mas,2014-10-01,139,156,51,38,190,194,384
CARACOLLO,consulta externa, personas de 60 anos y mas,2014-10-01,198,199,23,29,221,228,449
CARANAVI,consulta externa, personas de 60 anos y mas,2014-10-01,334,192,170,100,504,292,796
CARANGAS,consulta externa, personas de 60 anos y mas,2014-10-01,3,10,0,0,3,10,13
CARAPARI,consulta externa, personas de 60 anos y mas,2014-10-01,168,252,12,10,180,262,442
CARIPUYO,consulta externa, personas de 60 anos y mas,2014-10-01,44,55,3,0,47,55,102
CARMEN RIVERO TORREZ,consulta externa, personas de 60 anos y mas,2014-10-01,37,33,6,13,43,46,89
CATACORA,consulta externa, personas de 60 anos y mas,2014-10-01,22,28,2,2,24,30,54
CHACARILLA,consulta externa, personas de 60 anos y mas,2014-10-01,31,37,7,4,38,41,79
CHALLAPATA,consulta externa, personas de 60 anos y mas,2014-10-01,242,322,75,79,317,401,718
CHAQUI,consulta externa, personas de 60 anos y mas,2014-10-01,114,189,4,6,118,195,313
CHARAGUA,consulta externa, personas de 60 anos y mas,2014-10-01,184,238,17,32,201,270,471
CHARAÑA,consulta externa, personas de 60 anos y mas,2014-10-01,38,43,19,12,57,55,112
CHAYANTA,consulta externa, personas de 60 anos y mas,2014-10-01,127,254,19,19,146,273,419
CHIMORE,consulta externa, personas de 60 anos y mas,2014-10-01,117,75,8,13,125,88,213
CHIPAYA,consulta externa, personas de 60 anos y mas,2014-10-01,13,4,0,0,13,4,17
CHOQUE COTA,consulta externa, personas de 60 anos y mas,2014-10-01,17,18,0,0,17,18,35
CHUA COCANI,consulta externa, personas de 60 anos y mas,2014-10-01,89,94,23,13,112,107,219
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 60 anos y mas,2014-10-01,150,145,46,32,196,177,373
CHUMA,consulta externa, personas de 60 anos y mas,2014-10-01,156,178,29,13,185,191,376
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 60 anos y mas,2014-10-01,26,43,0,1,26,44,70
CKOCHAS,consulta externa, personas de 60 anos y mas,2014-10-01,59,112,5,7,64,119,183
CLIZA,consulta externa, personas de 60 anos y mas,2014-10-01,88,120,106,158,194,278,472
COBIJA,consulta externa, personas de 60 anos y mas,2014-10-01,335,263,91,83,426,346,772
COCAPATA,consulta externa, personas de 60 anos y mas,2014-10-01,92,93,0,4,92,97,189
COCHABAMBA,consulta externa, personas de 60 anos y mas,2014-10-01,6416,8239,8029,9834,14445,18073,32518
COIPASA,consulta externa, personas de 60 anos y mas,2014-10-01,11,4,0,0,11,4,15
COLCAPIRHUA,consulta externa, personas de 60 anos y mas,2014-10-01,159,253,54,122,213,375,588
"COLCHA ""K""",consulta externa, personas de 60 anos y mas,2014-10-01,146,223,11,15,157,238,395
COLLANA,consulta externa, personas de 60 anos y mas,2014-10-01,36,50,12,15,48,65,113
COLOMI,consulta externa, personas de 60 anos y mas,2014-10-01,76,81,11,15,87,96,183
COLPA BELGICA,consulta externa, personas de 60 anos y mas,2014-10-01,107,82,6,7,113,89,202
COLQUECHACA,consulta externa, personas de 60 anos y mas,2014-10-01,283,334,8,10,291,344,635
COLQUENCHA,consulta externa, personas de 60 anos y mas,2014-10-01,89,121,41,54,130,175,305
COLQUIRI,consulta externa, personas de 60 anos y mas,2014-10-01,199,218,16,13,215,231,446
COMANCHE,consulta externa, personas de 60 anos y mas,2014-10-01,41,32,17,11,58,43,101
COMARAPA,consulta externa, personas de 60 anos y mas,2014-10-01,76,84,11,17,87,101,188
COMBAYA,consulta externa, personas de 60 anos y mas,2014-10-01,85,88,2,4,87,92,179
CONCEPCION,consulta externa, personas de 60 anos y mas,2014-10-01,130,133,59,51,189,184,373
COPACABANA,consulta externa, personas de 60 anos y mas,2014-10-01,75,77,3,10,78,87,165
CORIPATA,consulta externa, personas de 60 anos y mas,2014-10-01,97,69,54,43,151,112,263
CORO CORO,consulta externa, personas de 60 anos y mas,2014-10-01,109,135,11,11,120,146,266
COROICO,consulta externa, personas de 60 anos y mas,2014-10-01,181,162,168,172,349,334,683
CORQUE,consulta externa, personas de 60 anos y mas,2014-10-01,99,109,12,5,111,114,225
COTAGAITA,consulta externa, personas de 60 anos y mas,2014-10-01,393,758,20,54,413,812,1225
COTOCA,consulta externa, personas de 60 anos y mas,2014-10-01,214,242,22,32,236,274,510
CRUZ DE MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-10-01,13,16,1,2,14,18,32
CUATRO CAÑADAS,consulta externa, personas de 60 anos y mas,2014-10-01,110,129,8,10,118,139,257
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 60 anos y mas,2014-10-01,29,76,2,3,31,79,110
CUEVO,consulta externa, personas de 60 anos y mas,2014-10-01,49,77,25,32,74,109,183
CULPINA,consulta externa, personas de 60 anos y mas,2014-10-01,213,345,12,22,225,367,592
CURAHUARA DE CARANGAS,consulta externa, personas de 60 anos y mas,2014-10-01,25,50,1,1,26,51,77
CURVA,consulta externa, personas de 60 anos y mas,2014-10-01,30,40,3,3,33,43,76
DESAGUADERO,consulta externa, personas de 60 anos y mas,2014-10-01,47,77,34,58,81,135,216
EL ALTO,consulta externa, personas de 60 anos y mas,2014-10-01,4314,4825,2357,2834,6671,7659,14330
EL CHORO,consulta externa, personas de 60 anos y mas,2014-10-01,72,73,10,6,82,79,161
EL PUENTE(STC),consulta externa, personas de 60 anos y mas,2014-10-01,114,82,3,0,117,82,199
EL PUENTE(TJA),consulta externa, personas de 60 anos y mas,2014-10-01,89,267,7,13,96,280,376
EL TORNO,consulta externa, personas de 60 anos y mas,2014-10-01,778,933,246,118,1024,1051,2075
EL VILLAR,consulta externa, personas de 60 anos y mas,2014-10-01,107,210,7,9,114,219,333
ENTRE RIOS TRJ,consulta externa, personas de 60 anos y mas,2014-10-01,255,260,20,26,275,286,561
ENTRE RIOS CBBA,consulta externa, personas de 60 anos y mas,2014-10-01,94,90,5,5,99,95,194
ESCARA,consulta externa, personas de 60 anos y mas,2014-10-01,3,9,0,3,3,12,15
ESCOMA,consulta externa, personas de 60 anos y mas,2014-10-01,69,53,41,30,110,83,193
ESMERALDA,consulta externa, personas de 60 anos y mas,2014-10-01,36,18,0,1,36,19,55
EUCALIPTUS,consulta externa, personas de 60 anos y mas,2014-10-01,87,84,4,4,91,88,179
EUREKA (SANTOS MERCADO),consulta externa, personas de 60 anos y mas,2014-10-01,3,5,2,1,5,6,11
EXALTACION,consulta externa, personas de 60 anos y mas,2014-10-01,14,15,0,1,14,16,30
FERNANDEZ ALONSO,consulta externa, personas de 60 anos y mas,2014-10-01,81,97,8,10,89,107,196
FILADELFIA,consulta externa, personas de 60 anos y mas,2014-10-01,45,46,1,0,46,46,92
GENERAL SAAVEDRA,consulta externa, personas de 60 anos y mas,2014-10-01,48,69,15,3,63,72,135
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 60 anos y mas,2014-10-01,130,132,7,4,137,136,273
GUANAY,consulta externa, personas de 60 anos y mas,2014-10-01,134,121,14,7,148,128,276
GUAQUI,consulta externa, personas de 60 anos y mas,2014-10-01,130,184,10,5,140,189,329
GUAYARAMERIN,consulta externa, personas de 60 anos y mas,2014-10-01,463,523,141,222,604,745,1349
GUTIERREZ,consulta externa, personas de 60 anos y mas,2014-10-01,102,155,2,3,104,158,262
HUACARETA,consulta externa, personas de 60 anos y mas,2014-10-01,149,196,2,5,151,201,352
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 60 anos y mas,2014-10-01,47,65,0,0,47,65,112
HUACHACALLA,consulta externa, personas de 60 anos y mas,2014-10-01,14,42,20,50,34,92,126
HUANUNI,consulta externa, personas de 60 anos y mas,2014-10-01,173,150,79,85,252,235,487
HUARACAJE,consulta externa, personas de 60 anos y mas,2014-10-01,29,31,0,1,29,32,61
HUARINA,consulta externa, personas de 60 anos y mas,2014-10-01,104,73,29,30,133,103,236
HUATAJATA,consulta externa, personas de 60 anos y mas,2014-10-01,29,22,121,136,150,158,308
HUAYLLAMARCA,consulta externa, personas de 60 anos y mas,2014-10-01,134,108,3,2,137,110,247
HUMANATA,consulta externa, personas de 60 anos y mas,2014-10-01,57,61,7,18,64,79,143
ICHOCA,consulta externa, personas de 60 anos y mas,2014-10-01,105,90,4,0,109,90,199
ICLA,consulta externa, personas de 60 anos y mas,2014-10-01,143,308,26,35,169,343,512
INCAHUASI,consulta externa, personas de 60 anos y mas,2014-10-01,102,174,6,11,108,185,293
INGAVI (HUMAITA),consulta externa, personas de 60 anos y mas,2014-10-01,10,3,1,2,11,5,16
INQUISIVI,consulta externa, personas de 60 anos y mas,2014-10-01,174,141,3,8,177,149,326
IRUPANA (VILLA DE LANZA),consulta externa, personas de 60 anos y mas,2014-10-01,221,215,113,110,334,325,659
IXIAMAS,consulta externa, personas de 60 anos y mas,2014-10-01,41,25,0,4,41,29,70
JESUS DE MACHACA,consulta externa, personas de 60 anos y mas,2014-10-01,310,349,52,58,362,407,769
LA ASUNTA,consulta externa, personas de 60 anos y mas,2014-10-01,154,98,63,37,217,135,352
LA GUARDIA,consulta externa, personas de 60 anos y mas,2014-10-01,402,496,54,60,456,556,1012
LA PAZ,consulta externa, personas de 60 anos y mas,2014-10-01,11927,15026,12709,18582,24636,33608,58244
LA RIVERA,consulta externa, personas de 60 anos y mas,2014-10-01,11,7,2,2,13,9,22
LAGUNILLAS,consulta externa, personas de 60 anos y mas,2014-10-01,82,106,4,1,86,107,193
LAJA,consulta externa, personas de 60 anos y mas,2014-10-01,180,190,63,82,243,272,515
LAS CARRERAS,consulta externa, personas de 60 anos y mas,2014-10-01,56,94,2,3,58,97,155
LICOMA PAMPA,consulta externa, personas de 60 anos y mas,2014-10-01,77,60,0,3,77,63,140
LLALLAGUA,consulta externa, personas de 60 anos y mas,2014-10-01,373,578,23,36,396,614,1010
LLICA,consulta externa, personas de 60 anos y mas,2014-10-01,33,36,4,4,37,40,77
LORETO,consulta externa, personas de 60 anos y mas,2014-10-01,41,36,6,4,47,40,87
LURIBAY,consulta externa, personas de 60 anos y mas,2014-10-01,190,224,9,19,199,243,442
MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-10-01,88,109,19,31,107,140,247
MACHARETI,consulta externa, personas de 60 anos y mas,2014-10-01,114,141,15,14,129,155,284
MAGDALENA,consulta externa, personas de 60 anos y mas,2014-10-01,67,65,32,55,99,120,219
MAIRANA,consulta externa, personas de 60 anos y mas,2014-10-01,50,53,28,47,78,100,178
MALLA,consulta externa, personas de 60 anos y mas,2014-10-01,41,46,4,4,45,50,95
MAPIRI,consulta externa, personas de 60 anos y mas,2014-10-01,82,65,11,9,93,74,167
MECAPACA,consulta externa, personas de 60 anos y mas,2014-10-01,137,135,10,8,147,143,290
MINEROS,consulta externa, personas de 60 anos y mas,2014-10-01,59,50,16,3,75,53,128
MIZQUE,consulta externa, personas de 60 anos y mas,2014-10-01,107,167,24,36,131,203,334
MOCOMOCO,consulta externa, personas de 60 anos y mas,2014-10-01,167,178,28,25,195,203,398
MOJINETE,consulta externa, personas de 60 anos y mas,2014-10-01,22,35,5,6,27,41,68
MOJOCOYA,consulta externa, personas de 60 anos y mas,2014-10-01,133,206,14,14,147,220,367
MONTEAGUDO,consulta externa, personas de 60 anos y mas,2014-10-01,633,842,113,126,746,968,1714
MONTERO,consulta externa, personas de 60 anos y mas,2014-10-01,962,1177,189,239,1151,1416,2567
MORO MORO,consulta externa, personas de 60 anos y mas,2014-10-01,27,47,22,41,49,88,137
MOROCHATA,consulta externa, personas de 60 anos y mas,2014-10-01,135,186,12,20,147,206,353
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 60 anos y mas,2014-10-01,14,11,2,8,16,19,35
NAZACARA DE PACAJES,consulta externa, personas de 60 anos y mas,2014-10-01,15,25,3,0,18,25,43
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 60 anos y mas,2014-10-01,16,11,2,1,18,12,30
OCURI,consulta externa, personas de 60 anos y mas,2014-10-01,89,191,0,2,89,193,282
OKINAWA,consulta externa, personas de 60 anos y mas,2014-10-01,94,124,13,10,107,134,241
OMEREQUE,consulta externa, personas de 60 anos y mas,2014-10-01,76,89,11,4,87,93,180
ORURO,consulta externa, personas de 60 anos y mas,2014-10-01,4171,4941,2642,3317,6813,8258,15071
PADCAYA,consulta externa, personas de 60 anos y mas,2014-10-01,334,421,14,16,348,437,785
PADILLA,consulta externa, personas de 60 anos y mas,2014-10-01,298,591,10,8,308,599,907
PAILON,consulta externa, personas de 60 anos y mas,2014-10-01,73,96,4,12,77,108,185
PALCA,consulta externa, personas de 60 anos y mas,2014-10-01,138,132,7,3,145,135,280
PALOS BLANCOS,consulta externa, personas de 60 anos y mas,2014-10-01,317,206,41,24,358,230,588
PAMPA AULLAGAS,consulta externa, personas de 60 anos y mas,2014-10-01,26,31,2,1,28,32,60
PAMPA GRANDE,consulta externa, personas de 60 anos y mas,2014-10-01,76,141,1,9,77,150,227
PAPEL PAMPA,consulta externa, personas de 60 anos y mas,2014-10-01,195,231,9,8,204,239,443
PASORAPA,consulta externa, personas de 60 anos y mas,2014-10-01,50,119,11,15,61,134,195
PATACAMAYA,consulta externa, personas de 60 anos y mas,2014-10-01,45,57,11,9,56,66,122
PAZÑA,consulta externa, personas de 60 anos y mas,2014-10-01,36,39,4,2,40,41,81
PELECHUCO,consulta externa, personas de 60 anos y mas,2014-10-01,65,46,8,3,73,49,122
POCOATA,consulta externa, personas de 60 anos y mas,2014-10-01,215,293,4,5,219,298,517
POCONA,consulta externa, personas de 60 anos y mas,2014-10-01,96,188,7,7,103,195,298
POJO (CBBA),consulta externa, personas de 60 anos y mas,2014-10-01,52,77,9,9,61,86,147
POOPO,consulta externa, personas de 60 anos y mas,2014-10-01,77,76,23,14,100,90,190
PORCO,consulta externa, personas de 60 anos y mas,2014-10-01,31,30,0,2,31,32,63
POROMA,consulta externa, personas de 60 anos y mas,2014-10-01,167,211,19,11,186,222,408
PORONGO,consulta externa, personas de 60 anos y mas,2014-10-01,98,120,5,2,103,122,225
PORTACHUELO,consulta externa, personas de 60 anos y mas,2014-10-01,212,253,55,64,267,317,584
PORVENIR,consulta externa, personas de 60 anos y mas,2014-10-01,49,25,14,4,63,29,92
POSTRER VALLE,consulta externa, personas de 60 anos y mas,2014-10-01,42,53,4,18,46,71,117
POTOSI,consulta externa, personas de 60 anos y mas,2014-10-01,3733,3594,1440,2223,5173,5817,10990
PRESTO,consulta externa, personas de 60 anos y mas,2014-10-01,135,170,1,1,136,171,307
PUCARA,consulta externa, personas de 60 anos y mas,2014-10-01,47,53,39,75,86,128,214
PUCARANI,consulta externa, personas de 60 anos y mas,2014-10-01,250,280,72,42,322,322,644
PUERTO ACOSTA,consulta externa, personas de 60 anos y mas,2014-10-01,204,218,18,18,222,236,458
PUERTO CARABUCO,consulta externa, personas de 60 anos y mas,2014-10-01,216,203,29,27,245,230,475
PUERTO GONZALO MORENO,consulta externa, personas de 60 anos y mas,2014-10-01,93,76,10,4,103,80,183
PUERTO PEREZ,consulta externa, personas de 60 anos y mas,2014-10-01,89,105,57,86,146,191,337
PUERTO QUIJARRO,consulta externa, personas de 60 anos y mas,2014-10-01,70,80,0,0,70,80,150
PUERTO RICO,consulta externa, personas de 60 anos y mas,2014-10-01,79,48,8,12,87,60,147
PUERTO SILES,consulta externa, personas de 60 anos y mas,2014-10-01,9,5,0,0,9,5,14
PUERTO VILLARROEL,consulta externa, personas de 60 anos y mas,2014-10-01,181,142,23,27,204,169,373
PUNA,consulta externa, personas de 60 anos y mas,2014-10-01,268,571,11,20,279,591,870
PUNATA,consulta externa, personas de 60 anos y mas,2014-10-01,226,343,271,374,497,717,1214
QUIABAYA,consulta externa, personas de 60 anos y mas,2014-10-01,55,45,17,17,72,62,134
QUILLACOLLO,consulta externa, personas de 60 anos y mas,2014-10-01,1332,1726,1556,1996,2888,3722,6610
QUIME,consulta externa, personas de 60 anos y mas,2014-10-01,66,61,36,27,102,88,190
QUIRUSILLAS,consulta externa, personas de 60 anos y mas,2014-10-01,26,33,0,1,26,34,60
RAVELO,consulta externa, personas de 60 anos y mas,2014-10-01,196,323,1,7,197,330,527
REYES,consulta externa, personas de 60 anos y mas,2014-10-01,163,193,20,31,183,224,407
RIBERALTA,consulta externa, personas de 60 anos y mas,2014-10-01,501,482,91,79,592,561,1153
ROBORE,consulta externa, personas de 60 anos y mas,2014-10-01,272,377,24,58,296,435,731
RURRENABAQUE,consulta externa, personas de 60 anos y mas,2014-10-01,123,174,6,5,129,179,308
SABAYA,consulta externa, personas de 60 anos y mas,2014-10-01,146,154,21,32,167,186,353
SACABA,consulta externa, personas de 60 anos y mas,2014-10-01,555,733,243,337,798,1070,1868
SACABAMBA,consulta externa, personas de 60 anos y mas,2014-10-01,50,82,5,3,55,85,140
SACACA,consulta externa, personas de 60 anos y mas,2014-10-01,82,135,3,2,85,137,222
SAIPINA,consulta externa, personas de 60 anos y mas,2014-10-01,67,99,17,18,84,117,201
SALINAS DE GARCI MENDOZA,consulta externa, personas de 60 anos y mas,2014-10-01,134,107,2,4,136,111,247
SAMAIPATA,consulta externa, personas de 60 anos y mas,2014-10-01,132,156,14,35,146,191,337
SAN AGUSTIN,consulta externa, personas de 60 anos y mas,2014-10-01,30,42,13,38,43,80,123
SAN ANDRES,consulta externa, personas de 60 anos y mas,2014-10-01,96,82,41,17,137,99,236
SAN ANDRES DE MACHACA,consulta externa, personas de 60 anos y mas,2014-10-01,146,139,61,81,207,220,427
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 60 anos y mas,2014-10-01,19,23,1,3,20,26,46
SAN ANTONIO DE LOMERIO,consulta externa, personas de 60 anos y mas,2014-10-01,57,69,1,3,58,72,130
SAN BENITO,consulta externa, personas de 60 anos y mas,2014-10-01,55,96,58,91,113,187,300
SAN BORJA,consulta externa, personas de 60 anos y mas,2014-10-01,181,203,93,91,274,294,568
SAN BUENA VENTURA,consulta externa, personas de 60 anos y mas,2014-10-01,79,96,7,7,86,103,189
SAN CARLOS,consulta externa, personas de 60 anos y mas,2014-10-01,240,232,53,48,293,280,573
SAN IGNACIO,consulta externa, personas de 60 anos y mas,2014-10-01,243,271,29,53,272,324,596
SAN IGNACIO DE VELASCO,consulta externa, personas de 60 anos y mas,2014-10-01,322,345,38,47,360,392,752
SAN JAVIER(BNI),consulta externa, personas de 60 anos y mas,2014-10-01,13,20,1,1,14,21,35
SAN JAVIER(STC),consulta externa, personas de 60 anos y mas,2014-10-01,54,79,1,1,55,80,135
SAN JOAQUIN,consulta externa, personas de 60 anos y mas,2014-10-01,25,21,4,0,29,21,50
SAN JOSE DE CHIQUITOS,consulta externa, personas de 60 anos y mas,2014-10-01,180,183,14,18,194,201,395
SAN JUAN DE YAPACANI,consulta externa, personas de 60 anos y mas,2014-10-01,134,116,40,39,174,155,329
SAN JULIAN,consulta externa, personas de 60 anos y mas,2014-10-01,290,269,11,5,301,274,575
SAN LORENZO(PND),consulta externa, personas de 60 anos y mas,2014-10-01,37,33,0,0,37,33,70
SAN LORENZO(TJA),consulta externa, personas de 60 anos y mas,2014-10-01,228,351,5,9,233,360,593
SAN LUCAS,consulta externa, personas de 60 anos y mas,2014-10-01,383,636,8,11,391,647,1038
SAN MATIAS,consulta externa, personas de 60 anos y mas,2014-10-01,129,142,9,17,138,159,297
SAN MIGUEL DE VELASCO,consulta externa, personas de 60 anos y mas,2014-10-01,56,68,53,73,109,141,250
SAN PABLO DE LIPEZ,consulta externa, personas de 60 anos y mas,2014-10-01,41,75,0,3,41,78,119
SAN PEDRO,consulta externa, personas de 60 anos y mas,2014-10-01,200,180,42,42,242,222,464
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-10-01,144,256,3,5,147,261,408
SAN PEDRO DE CURAHUARA,consulta externa, personas de 60 anos y mas,2014-10-01,184,157,16,14,200,171,371
SAN PEDRO DE QUEMES,consulta externa, personas de 60 anos y mas,2014-10-01,19,17,4,2,23,19,42
SAN PEDRO DE TIQUINA,consulta externa, personas de 60 anos y mas,2014-10-01,98,93,69,121,167,214,381
SAN PEDRO(PND),consulta externa, personas de 60 anos y mas,2014-10-01,19,7,2,0,21,7,28
SAN RAFAEL,consulta externa, personas de 60 anos y mas,2014-10-01,56,61,17,22,73,83,156
SAN RAMON BENI,consulta externa, personas de 60 anos y mas,2014-10-01,57,56,35,22,92,78,170
SAN RAMON SCZ,consulta externa, personas de 60 anos y mas,2014-10-01,67,78,4,24,71,102,173
SANTA ANA,consulta externa, personas de 60 anos y mas,2014-10-01,62,108,130,191,192,299,491
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 60 anos y mas,2014-10-01,8191,11770,4357,5337,12548,17107,29655
SANTA ROSA,consulta externa, personas de 60 anos y mas,2014-10-01,38,35,1,7,39,42,81
SANTA ROSA DEL SARA,consulta externa, personas de 60 anos y mas,2014-10-01,188,174,35,36,223,210,433
SANTIAGO DE CALLAPA,consulta externa, personas de 60 anos y mas,2014-10-01,195,176,5,2,200,178,378
SANTIAGO DE HUARI,consulta externa, personas de 60 anos y mas,2014-10-01,176,193,13,27,189,220,409
SANTIAGO DE HUATA,consulta externa, personas de 60 anos y mas,2014-10-01,175,158,51,34,226,192,418
SANTIAGO DE MACHACA,consulta externa, personas de 60 anos y mas,2014-10-01,77,89,20,33,97,122,219
SANTIVAÑES,consulta externa, personas de 60 anos y mas,2014-10-01,84,149,26,44,110,193,303
SANTUARIO DE QUILLACAS,consulta externa, personas de 60 anos y mas,2014-10-01,14,21,0,1,14,22,36
SAPAHAQUI,consulta externa, personas de 60 anos y mas,2014-10-01,153,163,7,11,160,174,334
SENA,consulta externa, personas de 60 anos y mas,2014-10-01,69,19,9,3,78,22,100
SHINAOTA,consulta externa, personas de 60 anos y mas,2014-10-01,79,67,26,24,105,91,196
SICA SICA (VILLA AROMA),consulta externa, personas de 60 anos y mas,2014-10-01,315,364,31,36,346,400,746
SICAYA,consulta externa, personas de 60 anos y mas,2014-10-01,24,47,0,2,24,49,73
SIPE SIPE,consulta externa, personas de 60 anos y mas,2014-10-01,110,163,16,35,126,198,324
SOPACHUY,consulta externa, personas de 60 anos y mas,2014-10-01,131,274,3,14,134,288,422
SORACACHI,consulta externa, personas de 60 anos y mas,2014-10-01,52,56,6,3,58,59,117
SORATA,consulta externa, personas de 60 anos y mas,2014-10-01,159,179,114,96,273,275,548
SUCRE,consulta externa, personas de 60 anos y mas,2014-10-01,3977,6360,2944,4241,6921,10601,17522
TACACHI,consulta externa, personas de 60 anos y mas,2014-10-01,12,41,0,0,12,41,53
TACACOMA,consulta externa, personas de 60 anos y mas,2014-10-01,56,27,7,1,63,28,91
TACOBAMBA,consulta externa, personas de 60 anos y mas,2014-10-01,46,98,4,1,50,99,149
TACOPAYA,consulta externa, personas de 60 anos y mas,2014-10-01,94,167,4,7,98,174,272
TAHUA,consulta externa, personas de 60 anos y mas,2014-10-01,22,25,1,1,23,26,49
TAPACARI,consulta externa, personas de 60 anos y mas,2014-10-01,187,222,14,5,201,227,428
TARABUCO,consulta externa, personas de 60 anos y mas,2014-10-01,228,329,9,23,237,352,589
TARACO,consulta externa, personas de 60 anos y mas,2014-10-01,98,87,128,120,226,207,433
TARATA,consulta externa, personas de 60 anos y mas,2014-10-01,53,76,11,12,64,88,152
TARIJA,consulta externa, personas de 60 anos y mas,2014-10-01,2935,3902,2439,3554,5374,7456,12830
TARVITA,consulta externa, personas de 60 anos y mas,2014-10-01,271,451,3,5,274,456,730
TEOPONTE,consulta externa, personas de 60 anos y mas,2014-10-01,121,60,14,17,135,77,212
TIAWANACU,consulta externa, personas de 60 anos y mas,2014-10-01,152,169,20,19,172,188,360
TINGUIPAYA,consulta externa, personas de 60 anos y mas,2014-10-01,91,119,7,9,98,128,226
TIPUANI,consulta externa, personas de 60 anos y mas,2014-10-01,104,63,54,24,158,87,245
TIQUIPAYA,consulta externa, personas de 60 anos y mas,2014-10-01,84,142,36,83,120,225,345
TIRAQUE (CBBA),consulta externa, personas de 60 anos y mas,2014-10-01,88,123,28,42,116,165,281
TITO YUPANQUI (PARQUIPUJIO),consulta externa, personas de 60 anos y mas,2014-10-01,31,51,11,27,42,78,120
TOCO,consulta externa, personas de 60 anos y mas,2014-10-01,72,137,15,15,87,152,239
TODOS SANTOS,consulta externa, personas de 60 anos y mas,2014-10-01,1,4,1,0,2,4,6
TOLATA,consulta externa, personas de 60 anos y mas,2014-10-01,56,80,26,58,82,138,220
TOLEDO,consulta externa, personas de 60 anos y mas,2014-10-01,77,84,2,4,79,88,167
TOMAVE,consulta externa, personas de 60 anos y mas,2014-10-01,166,303,4,8,170,311,481
TOMINA,consulta externa, personas de 60 anos y mas,2014-10-01,161,195,1,1,162,196,358
TORO TORO,consulta externa, personas de 60 anos y mas,2014-10-01,85,139,0,0,85,139,224
TOTORA(CBBA),consulta externa, personas de 60 anos y mas,2014-10-01,62,63,9,5,71,68,139
TOTORA(ORR),consulta externa, personas de 60 anos y mas,2014-10-01,91,76,0,25,91,101,192
TRIGAL,consulta externa, personas de 60 anos y mas,2014-10-01,34,42,18,40,52,82,134
TRINIDAD,consulta externa, personas de 60 anos y mas,2014-10-01,1248,1794,488,775,1736,2569,4305
TUPIZA,consulta externa, personas de 60 anos y mas,2014-10-01,532,825,37,58,569,883,1452
TURCO,consulta externa, personas de 60 anos y mas,2014-10-01,57,46,6,5,63,51,114
UMALA,consulta externa, personas de 60 anos y mas,2014-10-01,135,117,6,10,141,127,268
UNCIA,consulta externa, personas de 60 anos y mas,2014-10-01,203,383,66,108,269,491,760
URIONDO (A. CONCEPCION),consulta externa, personas de 60 anos y mas,2014-10-01,278,456,21,41,299,497,796
URUBICHA,consulta externa, personas de 60 anos y mas,2014-10-01,37,65,0,4,37,69,106
UYUNI,consulta externa, personas de 60 anos y mas,2014-10-01,415,449,62,104,477,553,1030
VACAS,consulta externa, personas de 60 anos y mas,2014-10-01,112,173,13,18,125,191,316
VALLEGRANDE,consulta externa, personas de 60 anos y mas,2014-10-01,152,210,287,674,439,884,1323
VIACHA,consulta externa, personas de 60 anos y mas,2014-10-01,467,512,168,178,635,690,1325
