,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
PUERTO PEREZ,consulta externa, menores de 5 anos,2014-10-01,57,48,4,0,61,48,109
PUERTO QUIJARRO,consulta externa, menores de 5 anos,2014-10-01,386,392,9,11,395,403,798
PUERTO RICO,consulta externa, menores de 5 anos,2014-10-01,243,243,8,15,251,258,509
PUERTO SILES,consulta externa, menores de 5 anos,2014-10-01,33,32,2,2,35,34,69
PUERTO VILLARROEL,consulta externa, menores de 5 anos,2014-10-01,2038,1910,164,171,2202,2081,4283
PUNA,consulta externa, menores de 5 anos,2014-10-01,348,344,11,4,359,348,707
PUNATA,consulta externa, menores de 5 anos,2014-10-01,511,464,178,314,689,778,1467
QUIABAYA,consulta externa, menores de 5 anos,2014-10-01,60,45,0,0,60,45,105
QUILLACOLLO,consulta externa, menores de 5 anos,2014-10-01,1353,1243,2489,2236,3842,3479,7321
QUIME,consulta externa, menores de 5 anos,2014-10-01,165,157,7,12,172,169,341
QUIRUSILLAS,consulta externa, menores de 5 anos,2014-10-01,22,24,1,0,23,24,47
RAVELO,consulta externa, menores de 5 anos,2014-10-01,296,285,2,2,298,287,585
REYES,consulta externa, menores de 5 anos,2014-10-01,437,358,2,0,439,358,797
RIBERALTA,consulta externa, menores de 5 anos,2014-10-01,3084,2578,228,225,3312,2803,6115
ROBORE,consulta externa, menores de 5 anos,2014-10-01,391,330,29,18,420,348,768
RURRENABAQUE,consulta externa, menores de 5 anos,2014-10-01,307,384,14,12,321,396,717
SABAYA,consulta externa, menores de 5 anos,2014-10-01,65,57,2,2,67,59,126
SACABA,consulta externa, menores de 5 anos,2014-10-01,2613,2392,220,205,2833,2597,5430
SACABAMBA,consulta externa, menores de 5 anos,2014-10-01,98,87,32,40,130,127,257
SACACA,consulta externa, menores de 5 anos,2014-10-01,483,418,10,4,493,422,915
SAIPINA,consulta externa, menores de 5 anos,2014-10-01,164,144,17,12,181,156,337
SALINAS DE GARCI MENDOZA,consulta externa, menores de 5 anos,2014-10-01,210,174,11,4,221,178,399
SAMAIPATA,consulta externa, menores de 5 anos,2014-10-01,238,208,12,8,250,216,466
SAN AGUSTIN,consulta externa, menores de 5 anos,2014-10-01,43,55,2,1,45,56,101
SAN ANDRES,consulta externa, menores de 5 anos,2014-10-01,312,338,56,57,368,395,763
SAN ANDRES DE MACHACA,consulta externa, menores de 5 anos,2014-10-01,32,43,4,1,36,44,80
SAN ANTONIO DE ESMORUCO,consulta externa, menores de 5 anos,2014-10-01,47,37,5,7,52,44,96
SAN ANTONIO DE LOMERIO,consulta externa, menores de 5 anos,2014-10-01,204,211,6,6,210,217,427
SAN BENITO,consulta externa, menores de 5 anos,2014-10-01,135,122,129,108,264,230,494
SAN BORJA,consulta externa, menores de 5 anos,2014-10-01,922,869,73,107,995,976,1971
SAN BUENA VENTURA,consulta externa, menores de 5 anos,2014-10-01,276,240,8,7,284,247,531
SAN CARLOS,consulta externa, menores de 5 anos,2014-10-01,562,508,46,73,608,581,1189
SAN IGNACIO,consulta externa, menores de 5 anos,2014-10-01,828,743,198,183,1026,926,1952
SAN IGNACIO DE VELASCO,consulta externa, menores de 5 anos,2014-10-01,1243,1171,332,175,1575,1346,2921
SAN JAVIER(BNI),consulta externa, menores de 5 anos,2014-10-01,62,48,18,15,80,63,143
SAN JAVIER(STC),consulta externa, menores de 5 anos,2014-10-01,178,182,0,0,178,182,360
SAN JOAQUIN,consulta externa, menores de 5 anos,2014-10-01,34,30,66,112,100,142,242
SAN JOSE DE CHIQUITOS,consulta externa, menores de 5 anos,2014-10-01,406,422,38,45,444,467,911
SAN JUAN DE YAPACANI,consulta externa, menores de 5 anos,2014-10-01,292,282,48,46,340,328,668
SAN JULIAN,consulta externa, menores de 5 anos,2014-10-01,1806,1710,129,116,1935,1826,3761
SAN LORENZO(PND),consulta externa, menores de 5 anos,2014-10-01,178,196,54,66,232,262,494
SAN LORENZO(TJA),consulta externa, menores de 5 anos,2014-10-01,561,463,53,44,614,507,1121
SAN LUCAS,consulta externa, menores de 5 anos,2014-10-01,913,862,7,10,920,872,1792
SAN MATIAS,consulta externa, menores de 5 anos,2014-10-01,257,229,102,125,359,354,713
SAN MIGUEL DE VELASCO,consulta externa, menores de 5 anos,2014-10-01,251,236,49,41,300,277,577
SAN PABLO DE LIPEZ,consulta externa, menores de 5 anos,2014-10-01,102,106,6,14,108,120,228
SAN PEDRO,consulta externa, menores de 5 anos,2014-10-01,652,589,62,58,714,647,1361
SAN PEDRO DE BUENA VISTA,consulta externa, menores de 5 anos,2014-10-01,598,533,8,9,606,542,1148
SAN PEDRO DE CURAHUARA,consulta externa, menores de 5 anos,2014-10-01,136,108,5,3,141,111,252
SAN PEDRO DE QUEMES,consulta externa, menores de 5 anos,2014-10-01,12,13,0,1,12,14,26
SAN PEDRO DE TIQUINA,consulta externa, menores de 5 anos,2014-10-01,48,36,8,15,56,51,107
SAN PEDRO(PND),consulta externa, menores de 5 anos,2014-10-01,72,75,1,0,73,75,148
SAN RAFAEL,consulta externa, menores de 5 anos,2014-10-01,303,273,23,11,326,284,610
SAN RAMON BENI,consulta externa, menores de 5 anos,2014-10-01,108,109,1,3,109,112,221
SAN RAMON SCZ,consulta externa, menores de 5 anos,2014-10-01,207,283,6,6,213,289,502
SANTA ANA,consulta externa, menores de 5 anos,2014-10-01,153,186,349,319,502,505,1007
SANTA CRUZ DE LA SIERRA,consulta externa, menores de 5 anos,2014-10-01,24098,22864,5809,5512,29907,28376,58283
SANTA ROSA,consulta externa, menores de 5 anos,2014-10-01,256,241,0,4,256,245,501
SANTA ROSA DEL SARA,consulta externa, menores de 5 anos,2014-10-01,543,521,127,151,670,672,1342
SANTIAGO DE CALLAPA,consulta externa, menores de 5 anos,2014-10-01,45,44,19,29,64,73,137
SANTIAGO DE HUARI,consulta externa, menores de 5 anos,2014-10-01,175,158,10,5,185,163,348
SANTIAGO DE HUATA,consulta externa, menores de 5 anos,2014-10-01,64,52,7,13,71,65,136
SANTIAGO DE MACHACA,consulta externa, menores de 5 anos,2014-10-01,27,26,2,1,29,27,56
SANTIVAÑES,consulta externa, menores de 5 anos,2014-10-01,124,97,15,3,139,100,239
SANTUARIO DE QUILLACAS,consulta externa, menores de 5 anos,2014-10-01,58,58,0,3,58,61,119
SAPAHAQUI,consulta externa, menores de 5 anos,2014-10-01,117,96,3,1,120,97,217
SENA,consulta externa, menores de 5 anos,2014-10-01,155,142,10,14,165,156,321
SHINAOTA,consulta externa, menores de 5 anos,2014-10-01,678,574,118,101,796,675,1471
SICA SICA (VILLA AROMA),consulta externa, menores de 5 anos,2014-10-01,354,301,24,15,378,316,694
SICAYA,consulta externa, menores de 5 anos,2014-10-01,94,70,2,2,96,72,168
SIPE SIPE,consulta externa, menores de 5 anos,2014-10-01,802,739,265,269,1067,1008,2075
SOPACHUY,consulta externa, menores de 5 anos,2014-10-01,197,180,16,4,213,184,397
SORACACHI,consulta externa, menores de 5 anos,2014-10-01,168,145,40,34,208,179,387
SORATA,consulta externa, menores de 5 anos,2014-10-01,286,249,15,6,301,255,556
SUCRE,consulta externa, menores de 5 anos,2014-10-01,7736,7203,2984,2742,10720,9945,20665
TACACHI,consulta externa, menores de 5 anos,2014-10-01,25,20,5,3,30,23,53
TACACOMA,consulta externa, menores de 5 anos,2014-10-01,86,76,3,3,89,79,168
TACOBAMBA,consulta externa, menores de 5 anos,2014-10-01,175,161,4,5,179,166,345
TACOPAYA,consulta externa, menores de 5 anos,2014-10-01,118,118,1,2,119,120,239
TAHUA,consulta externa, menores de 5 anos,2014-10-01,22,20,0,2,22,22,44
TAPACARI,consulta externa, menores de 5 anos,2014-10-01,406,330,9,10,415,340,755
TARABUCO,consulta externa, menores de 5 anos,2014-10-01,305,301,4,1,309,302,611
TARACO,consulta externa, menores de 5 anos,2014-10-01,46,27,41,19,87,46,133
TARATA,consulta externa, menores de 5 anos,2014-10-01,143,116,11,6,154,122,276
TARIJA,consulta externa, menores de 5 anos,2014-10-01,5974,5595,1633,1469,7607,7064,14671
TARVITA,consulta externa, menores de 5 anos,2014-10-01,559,463,16,10,575,473,1048
TEOPONTE,consulta externa, menores de 5 anos,2014-10-01,409,418,5,0,414,418,832
TIAWANACU,consulta externa, menores de 5 anos,2014-10-01,104,87,0,0,104,87,191
TINGUIPAYA,consulta externa, menores de 5 anos,2014-10-01,387,463,62,72,449,535,984
TIPUANI,consulta externa, menores de 5 anos,2014-10-01,307,242,119,94,426,336,762
TIQUIPAYA,consulta externa, menores de 5 anos,2014-10-01,1400,1228,319,256,1719,1484,3203
TIRAQUE (CBBA),consulta externa, menores de 5 anos,2014-10-01,266,243,16,10,282,253,535
TITO YUPANQUI (PARQUIPUJIO),consulta externa, menores de 5 anos,2014-10-01,13,12,14,7,27,19,46
TOCO,consulta externa, menores de 5 anos,2014-10-01,102,83,49,57,151,140,291
TOLATA,consulta externa, menores de 5 anos,2014-10-01,102,91,26,13,128,104,232
TOLEDO,consulta externa, menores de 5 anos,2014-10-01,79,57,15,4,94,61,155
TOMAVE,consulta externa, menores de 5 anos,2014-10-01,186,175,8,8,194,183,377
TOMINA,consulta externa, menores de 5 anos,2014-10-01,278,298,4,7,282,305,587
TORO TORO,consulta externa, menores de 5 anos,2014-10-01,306,252,7,2,313,254,567
TOTORA(CBBA),consulta externa, menores de 5 anos,2014-10-01,207,191,15,8,222,199,421
TOTORA(ORR),consulta externa, menores de 5 anos,2014-10-01,94,79,3,3,97,82,179
TRIGAL,consulta externa, menores de 5 anos,2014-10-01,36,27,1,4,37,31,68
TRINIDAD,consulta externa, menores de 5 anos,2014-10-01,2958,2568,630,571,3588,3139,6727
TUPIZA,consulta externa, menores de 5 anos,2014-10-01,939,945,66,55,1005,1000,2005
TURCO,consulta externa, menores de 5 anos,2014-10-01,93,93,2,3,95,96,191
UMALA,consulta externa, menores de 5 anos,2014-10-01,115,147,1,4,116,151,267
UNCIA,consulta externa, menores de 5 anos,2014-10-01,581,464,27,30,608,494,1102
URIONDO (A. CONCEPCION),consulta externa, menores de 5 anos,2014-10-01,434,416,89,90,523,506,1029
URUBICHA,consulta externa, menores de 5 anos,2014-10-01,240,208,14,12,254,220,474
UYUNI,consulta externa, menores de 5 anos,2014-10-01,525,505,24,18,549,523,1072
VACAS,consulta externa, menores de 5 anos,2014-10-01,139,120,16,23,155,143,298
VALLEGRANDE,consulta externa, menores de 5 anos,2014-10-01,263,287,51,70,314,357,671
VIACHA,consulta externa, menores de 5 anos,2014-10-01,800,658,316,462,1116,1120,2236
VILA VILA,consulta externa, menores de 5 anos,2014-10-01,64,86,3,3,67,89,156
VILLA CHARCAS,consulta externa, menores de 5 anos,2014-10-01,328,319,4,6,332,325,657
VILLA MONTES,consulta externa, menores de 5 anos,2014-10-01,1151,1123,92,65,1243,1188,2431
VILLA NUEVA (LOMA ALTA),consulta externa, menores de 5 anos,2014-10-01,121,98,4,0,125,98,223
VILLA RIVERO,consulta externa, menores de 5 anos,2014-10-01,172,151,23,10,195,161,356
VILLA SERRANO,consulta externa, menores de 5 anos,2014-10-01,394,421,46,46,440,467,907
VILLA TUNARI,consulta externa, menores de 5 anos,2014-10-01,2695,2558,112,128,2807,2686,5493
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, menores de 5 anos,2014-10-01,233,214,55,53,288,267,555
VILLAZON,consulta externa, menores de 5 anos,2014-10-01,1108,1034,81,63,1189,1097,2286
VINTO,consulta externa, menores de 5 anos,2014-10-01,483,385,568,483,1051,868,1919
VITICHI,consulta externa, menores de 5 anos,2014-10-01,132,103,3,3,135,106,241
WALDO BALLIVIAN,consulta externa, menores de 5 anos,2014-10-01,62,39,0,0,62,39,101
WARNES,consulta externa, menores de 5 anos,2014-10-01,2933,2714,192,204,3125,2918,6043
YACO,consulta externa, menores de 5 anos,2014-10-01,103,107,12,26,115,133,248
YACUIBA,consulta externa, menores de 5 anos,2014-10-01,2676,2461,490,463,3166,2924,6090
YAMPARAEZ,consulta externa, menores de 5 anos,2014-10-01,123,99,15,11,138,110,248
YANACACHI,consulta externa, menores de 5 anos,2014-10-01,156,175,8,8,164,183,347
YAPACANI,consulta externa, menores de 5 anos,2014-10-01,989,1028,71,99,1060,1127,2187
YOCALLA,consulta externa, menores de 5 anos,2014-10-01,184,164,0,0,184,164,348
YOTALA,consulta externa, menores de 5 anos,2014-10-01,231,167,44,49,275,216,491
YUNCHARA,consulta externa, menores de 5 anos,2014-10-01,169,151,6,3,175,154,329
YUNGUYO DE LITORAL,consulta externa, menores de 5 anos,2014-10-01,1,0,0,0,1,0,1
ZUDAÑEZ,consulta externa, menores de 5 anos,2014-10-01,186,162,15,9,201,171,372
ACACIO,consulta externa, menores de 5 anos,2014-11-01,103,102,1,1,104,103,207
ACHACACHI,consulta externa, menores de 5 anos,2014-11-01,381,345,214,252,595,597,1192
ACHOCALLA,consulta externa, menores de 5 anos,2014-11-01,180,188,3,4,183,192,375
AIQUILE,consulta externa, menores de 5 anos,2014-11-01,433,381,40,32,473,413,886
ALALAY,consulta externa, menores de 5 anos,2014-11-01,21,28,6,2,27,30,57
ALCALA,consulta externa, menores de 5 anos,2014-11-01,96,81,6,1,102,82,184
ALTO BENI,consulta externa, menores de 5 anos,2014-11-01,495,434,12,9,507,443,950
ANCORAIMES,consulta externa, menores de 5 anos,2014-11-01,128,111,10,9,138,120,258
ANDAMARCA,consulta externa, menores de 5 anos,2014-11-01,49,54,1,1,50,55,105
ANTEQUERA,consulta externa, menores de 5 anos,2014-11-01,50,44,6,7,56,51,107
ANZALDO,consulta externa, menores de 5 anos,2014-11-01,75,69,45,47,120,116,236
APOLO,consulta externa, menores de 5 anos,2014-11-01,474,449,79,69,553,518,1071
ARAMPAMPA,consulta externa, menores de 5 anos,2014-11-01,85,72,1,0,86,72,158
ARANI,consulta externa, menores de 5 anos,2014-11-01,128,101,25,12,153,113,266
ARBIETO,consulta externa, menores de 5 anos,2014-11-01,215,233,49,61,264,294,558
ARQUE,consulta externa, menores de 5 anos,2014-11-01,316,305,5,11,321,316,637
ASCENCION DE GUARAYOS,consulta externa, menores de 5 anos,2014-11-01,397,361,14,7,411,368,779
ATOCHA,consulta externa, menores de 5 anos,2014-11-01,358,298,21,15,379,313,692
AUCAPATA,consulta externa, menores de 5 anos,2014-11-01,93,78,0,6,93,84,177
AYATA,consulta externa, menores de 5 anos,2014-11-01,181,143,15,13,196,156,352
AYO AYO,consulta externa, menores de 5 anos,2014-11-01,68,73,4,4,72,77,149
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, menores de 5 anos,2014-11-01,534,511,11,10,545,521,1066
AZURDUY,consulta externa, menores de 5 anos,2014-11-01,401,375,14,17,415,392,807
BATALLAS,consulta externa, menores de 5 anos,2014-11-01,151,133,5,0,156,133,289
BAURES,consulta externa, menores de 5 anos,2014-11-01,138,113,16,10,154,123,277
BELEN DE ANDAMARCA,consulta externa, menores de 5 anos,2014-11-01,26,23,2,2,28,25,53
BELEN DE URMIRI,consulta externa, menores de 5 anos,2014-11-01,20,18,0,0,20,18,38
BELLA FLOR,consulta externa, menores de 5 anos,2014-11-01,91,97,3,8,94,105,199
BERMEJO,consulta externa, menores de 5 anos,2014-11-01,1409,1165,112,87,1521,1252,2773
BETANZOS,consulta externa, menores de 5 anos,2014-11-01,526,533,3,11,529,544,1073
BOLIVAR,consulta externa, menores de 5 anos,2014-11-01,160,133,2,2,162,135,297
BOLPEBRA,consulta externa, menores de 5 anos,2014-11-01,78,52,1,15,79,67,146
BOYUIBE,consulta externa, menores de 5 anos,2014-11-01,70,63,25,24,95,87,182
BUENA VISTA,consulta externa, menores de 5 anos,2014-11-01,169,178,0,0,169,178,347
CABEZAS,consulta externa, menores de 5 anos,2014-11-01,793,757,22,18,815,775,1590
CAIROMA,consulta externa, menores de 5 anos,2014-11-01,155,150,36,34,191,184,375
"CAIZA ""D""",consulta externa, menores de 5 anos,2014-11-01,219,142,8,3,227,145,372
CAJUATA,consulta externa, menores de 5 anos,2014-11-01,257,256,2,2,259,258,517
CALACOTO,consulta externa, menores de 5 anos,2014-11-01,74,71,0,2,74,73,147
CALAMARCA,consulta externa, menores de 5 anos,2014-11-01,303,248,17,7,320,255,575
CAMARGO,consulta externa, menores de 5 anos,2014-11-01,334,252,11,15,345,267,612
CAMATAQUI (C. VILLA ABECIA),consulta externa, menores de 5 anos,2014-11-01,47,27,3,1,50,28,78
CAMIRI,consulta externa, menores de 5 anos,2014-11-01,570,484,31,21,601,505,1106
CAPINOTA,consulta externa, menores de 5 anos,2014-11-01,337,325,59,49,396,374,770
CAQUIAVIRI,consulta externa, menores de 5 anos,2014-11-01,125,82,6,2,131,84,215
CARACOLLO,consulta externa, menores de 5 anos,2014-11-01,599,530,3,2,602,532,1134
CARANAVI,consulta externa, menores de 5 anos,2014-11-01,910,844,126,136,1036,980,2016
CARANGAS,consulta externa, menores de 5 anos,2014-11-01,4,0,0,0,4,0,4
CARAPARI,consulta externa, menores de 5 anos,2014-11-01,422,364,18,22,440,386,826
CARIPUYO,consulta externa, menores de 5 anos,2014-11-01,105,116,4,1,109,117,226
CARMEN RIVERO TORREZ,consulta externa, menores de 5 anos,2014-11-01,70,82,6,13,76,95,171
CATACORA,consulta externa, menores de 5 anos,2014-11-01,14,18,8,3,22,21,43
CHACARILLA,consulta externa, menores de 5 anos,2014-11-01,34,22,1,0,35,22,57
CHALLAPATA,consulta externa, menores de 5 anos,2014-11-01,448,414,243,296,691,710,1401
CHAQUI,consulta externa, menores de 5 anos,2014-11-01,158,130,7,2,165,132,297
CHARAGUA,consulta externa, menores de 5 anos,2014-11-01,695,706,19,34,714,740,1454
CHARAÑA,consulta externa, menores de 5 anos,2014-11-01,21,15,2,1,23,16,39
CHAYANTA,consulta externa, menores de 5 anos,2014-11-01,246,224,7,7,253,231,484
CHIMORE,consulta externa, menores de 5 anos,2014-11-01,672,584,184,167,856,751,1607
CHIPAYA,consulta externa, menores de 5 anos,2014-11-01,34,18,4,3,38,21,59
CHOQUE COTA,consulta externa, menores de 5 anos,2014-11-01,5,9,0,0,5,9,14
CHUA COCANI,consulta externa, menores de 5 anos,2014-11-01,19,18,13,3,32,21,53
CHULUMANI (V. DE LA LIBERTAD),consulta externa, menores de 5 anos,2014-11-01,384,356,36,36,420,392,812
CHUMA,consulta externa, menores de 5 anos,2014-11-01,118,100,4,5,122,105,227
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, menores de 5 anos,2014-11-01,129,105,2,0,131,105,236
CKOCHAS,consulta externa, menores de 5 anos,2014-11-01,306,311,11,7,317,318,635
CLIZA,consulta externa, menores de 5 anos,2014-11-01,516,413,94,91,610,504,1114
COBIJA,consulta externa, menores de 5 anos,2014-11-01,1118,975,96,78,1214,1053,2267
COCAPATA,consulta externa, menores de 5 anos,2014-11-01,440,383,23,19,463,402,865
COCHABAMBA,consulta externa, menores de 5 anos,2014-11-01,9411,8196,5538,5002,14949,13198,28147
COIPASA,consulta externa, menores de 5 anos,2014-11-01,2,22,0,0,2,22,24
COLCAPIRHUA,consulta externa, menores de 5 anos,2014-11-01,597,514,455,416,1052,930,1982
"COLCHA ""K""",consulta externa, menores de 5 anos,2014-11-01,268,260,25,38,293,298,591
COLLANA,consulta externa, menores de 5 anos,2014-11-01,43,27,7,3,50,30,80
COLOMI,consulta externa, menores de 5 anos,2014-11-01,325,296,3,7,328,303,631
COLPA BELGICA,consulta externa, menores de 5 anos,2014-11-01,197,195,20,23,217,218,435
COLQUECHACA,consulta externa, menores de 5 anos,2014-11-01,562,523,4,2,566,525,1091
COLQUENCHA,consulta externa, menores de 5 anos,2014-11-01,121,70,15,11,136,81,217
COLQUIRI,consulta externa, menores de 5 anos,2014-11-01,235,259,7,6,242,265,507
COMANCHE,consulta externa, menores de 5 anos,2014-11-01,22,20,0,1,22,21,43
COMARAPA,consulta externa, menores de 5 anos,2014-11-01,314,274,58,57,372,331,703
COMBAYA,consulta externa, menores de 5 anos,2014-11-01,33,34,1,0,34,34,68
CONCEPCION,consulta externa, menores de 5 anos,2014-11-01,127,131,5,24,132,155,287
COPACABANA,consulta externa, menores de 5 anos,2014-11-01,85,80,1,0,86,80,166
CORIPATA,consulta externa, menores de 5 anos,2014-11-01,330,286,44,31,374,317,691
CORO CORO,consulta externa, menores de 5 anos,2014-11-01,178,125,7,4,185,129,314
COROICO,consulta externa, menores de 5 anos,2014-11-01,322,292,55,15,377,307,684
CORQUE,consulta externa, menores de 5 anos,2014-11-01,105,112,8,1,113,113,226
COTAGAITA,consulta externa, menores de 5 anos,2014-11-01,377,317,10,4,387,321,708
COTOCA,consulta externa, menores de 5 anos,2014-11-01,1236,1058,76,87,1312,1145,2457
CRUZ DE MACHACAMARCA,consulta externa, menores de 5 anos,2014-11-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,consulta externa, menores de 5 anos,2014-11-01,479,416,26,27,505,443,948
CUCHUMUELA (V. G. VILLARROEL),consulta externa, menores de 5 anos,2014-11-01,15,15,1,2,16,17,33
CUEVO,consulta externa, menores de 5 anos,2014-11-01,71,85,5,5,76,90,166
CULPINA,consulta externa, menores de 5 anos,2014-11-01,410,398,15,5,425,403,828
CURAHUARA DE CARANGAS,consulta externa, menores de 5 anos,2014-11-01,61,66,5,2,66,68,134
CURVA,consulta externa, menores de 5 anos,2014-11-01,65,58,1,3,66,61,127
DESAGUADERO,consulta externa, menores de 5 anos,2014-11-01,28,28,1,2,29,30,59
EL ALTO,consulta externa, menores de 5 anos,2014-11-01,14510,13256,4774,4344,19284,17600,36884
EL CHORO,consulta externa, menores de 5 anos,2014-11-01,71,73,3,2,74,75,149
EL PUENTE(STC),consulta externa, menores de 5 anos,2014-11-01,389,348,9,2,398,350,748
EL PUENTE(TJA),consulta externa, menores de 5 anos,2014-11-01,217,181,31,36,248,217,465
EL TORNO,consulta externa, menores de 5 anos,2014-11-01,1055,981,76,79,1131,1060,2191
EL VILLAR,consulta externa, menores de 5 anos,2014-11-01,95,71,10,5,105,76,181
ENTRE RIOS TRJ,consulta externa, menores de 5 anos,2014-11-01,322,296,3,1,325,297,622
ENTRE RIOS CBBA,consulta externa, menores de 5 anos,2014-11-01,1067,966,55,70,1122,1036,2158
ESCARA,consulta externa, menores de 5 anos,2014-11-01,2,10,0,0,2,10,12
ESCOMA,consulta externa, menores de 5 anos,2014-11-01,46,29,39,46,85,75,160
ESMERALDA,consulta externa, menores de 5 anos,2014-11-01,5,3,1,0,6,3,9
EUCALIPTUS,consulta externa, menores de 5 anos,2014-11-01,99,72,2,4,101,76,177
EUREKA (SANTOS MERCADO),consulta externa, menores de 5 anos,2014-11-01,46,30,8,2,54,32,86
EXALTACION,consulta externa, menores de 5 anos,2014-11-01,33,31,21,25,54,56,110
FERNANDEZ ALONSO,consulta externa, menores de 5 anos,2014-11-01,434,352,47,47,481,399,880
FILADELFIA,consulta externa, menores de 5 anos,2014-11-01,191,174,1,1,192,175,367
GENERAL SAAVEDRA,consulta externa, menores de 5 anos,2014-11-01,479,335,106,57,585,392,977
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, menores de 5 anos,2014-11-01,192,168,12,4,204,172,376
GUANAY,consulta externa, menores de 5 anos,2014-11-01,233,241,31,33,264,274,538
GUAQUI,consulta externa, menores de 5 anos,2014-11-01,47,51,1,2,48,53,101
GUAYARAMERIN,consulta externa, menores de 5 anos,2014-11-01,928,895,162,158,1090,1053,2143
GUTIERREZ,consulta externa, menores de 5 anos,2014-11-01,388,374,131,132,519,506,1025
HUACARETA,consulta externa, menores de 5 anos,2014-11-01,223,199,25,25,248,224,472
HUACAYA (VILLA DE HUACAYA),consulta externa, menores de 5 anos,2014-11-01,133,89,17,30,150,119,269
HUACHACALLA,consulta externa, menores de 5 anos,2014-11-01,12,12,1,3,13,15,28
HUANUNI,consulta externa, menores de 5 anos,2014-11-01,440,432,91,94,531,526,1057
HUARACAJE,consulta externa, menores de 5 anos,2014-11-01,82,80,1,2,83,82,165
HUARINA,consulta externa, menores de 5 anos,2014-11-01,53,62,41,39,94,101,195
HUATAJATA,consulta externa, menores de 5 anos,2014-11-01,11,11,44,36,55,47,102
HUAYLLAMARCA,consulta externa, menores de 5 anos,2014-11-01,58,56,3,1,61,57,118
HUMANATA,consulta externa, menores de 5 anos,2014-11-01,23,12,2,1,25,13,38
ICHOCA,consulta externa, menores de 5 anos,2014-11-01,49,35,2,9,51,44,95
ICLA,consulta externa, menores de 5 anos,2014-11-01,287,294,4,2,291,296,587
INCAHUASI,consulta externa, menores de 5 anos,2014-11-01,354,377,6,5,360,382,742
INGAVI (HUMAITA),consulta externa, menores de 5 anos,2014-11-01,34,65,6,7,40,72,112
INQUISIVI,consulta externa, menores de 5 anos,2014-11-01,138,153,1,0,139,153,292
IRUPANA (VILLA DE LANZA),consulta externa, menores de 5 anos,2014-11-01,459,440,41,24,500,464,964
IXIAMAS,consulta externa, menores de 5 anos,2014-11-01,333,287,3,11,336,298,634
JESUS DE MACHACA,consulta externa, menores de 5 anos,2014-11-01,235,234,55,78,290,312,602
LA ASUNTA,consulta externa, menores de 5 anos,2014-11-01,1186,1063,85,92,1271,1155,2426
LA GUARDIA,consulta externa, menores de 5 anos,2014-11-01,1775,1695,123,107,1898,1802,3700
LA PAZ,consulta externa, menores de 5 anos,2014-11-01,13062,13508,3360,3837,16422,17345,33767
LA RIVERA,consulta externa, menores de 5 anos,2014-11-01,6,7,1,1,7,8,15
LAGUNILLAS,consulta externa, menores de 5 anos,2014-11-01,191,187,10,16,201,203,404
LAJA,consulta externa, menores de 5 anos,2014-11-01,186,175,20,11,206,186,392
LAS CARRERAS,consulta externa, menores de 5 anos,2014-11-01,66,70,7,4,73,74,147
LICOMA PAMPA,consulta externa, menores de 5 anos,2014-11-01,43,30,0,1,43,31,74
LLALLAGUA,consulta externa, menores de 5 anos,2014-11-01,808,773,18,8,826,781,1607
LLICA,consulta externa, menores de 5 anos,2014-11-01,46,69,5,4,51,73,124
LORETO,consulta externa, menores de 5 anos,2014-11-01,81,90,35,21,116,111,227
LURIBAY,consulta externa, menores de 5 anos,2014-11-01,110,102,29,32,139,134,273
MACHACAMARCA,consulta externa, menores de 5 anos,2014-11-01,51,39,11,17,62,56,118
MACHARETI,consulta externa, menores de 5 anos,2014-11-01,187,162,6,5,193,167,360
MAGDALENA,consulta externa, menores de 5 anos,2014-11-01,283,219,28,32,311,251,562
MAIRANA,consulta externa, menores de 5 anos,2014-11-01,156,109,16,22,172,131,303
MALLA,consulta externa, menores de 5 anos,2014-11-01,41,39,0,0,41,39,80
MAPIRI,consulta externa, menores de 5 anos,2014-11-01,251,255,19,13,270,268,538
MECAPACA,consulta externa, menores de 5 anos,2014-11-01,156,106,8,15,164,121,285
MINEROS,consulta externa, menores de 5 anos,2014-11-01,376,342,1,0,377,342,719
MIZQUE,consulta externa, menores de 5 anos,2014-11-01,467,432,22,27,489,459,948
MOCOMOCO,consulta externa, menores de 5 anos,2014-11-01,100,80,3,2,103,82,185
MOJINETE,consulta externa, menores de 5 anos,2014-11-01,14,25,4,2,18,27,45
MOJOCOYA,consulta externa, menores de 5 anos,2014-11-01,169,150,51,52,220,202,422
MONTEAGUDO,consulta externa, menores de 5 anos,2014-11-01,874,841,112,85,986,926,1912
MONTERO,consulta externa, menores de 5 anos,2014-11-01,1941,1656,473,557,2414,2213,4627
MORO MORO,consulta externa, menores de 5 anos,2014-11-01,33,54,1,4,34,58,92
MOROCHATA,consulta externa, menores de 5 anos,2014-11-01,187,160,42,44,229,204,433
