,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,13,12,5,4,18,16,34
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,0,0,1,1,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,3,1,0,2,3,5
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,0,0,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,18,14,7,8,25,22,47
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,4,3,6,5,10,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,5,4,8,7,13,20
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,9,6,7,14,16,30
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,12,9,5,2,17,11,28
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,62,41,27,16,89,57,146
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,17,19,17,21,38
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,630,655,14,29,644,684,1328
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,34,40,3,3,37,43,80
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,14,14,2,1,16,15,31
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,10,7,6,4,16,11,27
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,0,0,2,4,2,6
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,14,9,12,14,26,23,49
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,7,6,8,7,15
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,3,7,4,10,7,17
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,22,11,9,7,31,18,49
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,3,2,0,3,3,6
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,21,18,13,8,34,26,60
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,0,5,6,7,6,13
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,13,2,2,11,15,26
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,2,1,0,9,2,11
COROICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,4,17,15,17,19,36
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,2,3,5,5,7,12
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,5,12,16,21,21,42
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,50,49,10,4,60,53,113
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,14,20,9,7,23,27,50
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,0,1,3,3,3,6
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,10,6,9,13,19,32
CURVA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,3,3,3,3,6
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,2,0,1,5,3,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,600,595,270,326,870,921,1791
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,3,2,3,2,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,5,9,4,18,9,27
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,0,8,11,12,11,23
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,47,40,7,2,54,42,96
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,0,1,1,2,3
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,13,21,11,9,24,30,54
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,24,32,0,0,24,32,56
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,10,3,12,4,16
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,1,5,1,8,2,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,1,2,1,4,5
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,2,1,3,2,5
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,2,2,2,4,4,8
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,1,4,3,4,4,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,11,2,1,6,12,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,2,5,5,12,7,19
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,7,6,6,13,13,26
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,3,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,23,22,27,33,50,55,105
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,14,11,14,13,27
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,4,1,8,2,12,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,0,0,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,17,20,3,1,20,21,41
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,0,0,2,1,3
HUARINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,1,6,4,6,5,11
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,0,0,2,2,2,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,2,2,2,2,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,1,0,0,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,1,3,6,6,7,13
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,5,3,2,4,7,11
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,3,3,3,3,6
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,7,9,16,16,23,39
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,7,5,4,8,11,19
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,3,4,1,9,4,13
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,33,33,12,9,45,42,87
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,77,84,23,9,100,93,193
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,547,553,8,12,555,565,1120
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,6,10,10,12,16,28
LAJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,14,14,10,22,24,46
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,2,5,2,5,7
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,2,0,1,3,3,6
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,24,22,29,36,53,58,111
LLICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,1,0,5,7,6,13
LORETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,3,5,5,5,8,13
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,9,2,5,8,14,22
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,2,4,2,4,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,3,2,4,5,7,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,9,4,3,7,12,19
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,11,18,0,0,11,18,29
MALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,2,0,4,1,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,19,12,10,11,29,23,52
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,12,9,3,2,15,11,26
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,2,0,2,3,4,7
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,21,16,7,6,28,22,50
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,2,8,11,10,13,23
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,0,2,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,5,6,1,8,6,14
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,17,12,3,0,20,12,32
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,143,104,4,5,147,109,256
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,0,11,9,12,9,21
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,3,5,3,5,8
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,4,1,4,5
OCURI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,4,11,7,13,11,24
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,10,5,3,3,13,8,21
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,4,2,4,2,6
ORURO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,238,245,11,10,249,255,504
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,14,10,8,7,22,17,39
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,2,2,0,8,2,10
PAILON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,22,10,55,42,77,52,129
PALCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,24,19,9,9,33,28,61
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,9,9,6,18,15,33
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,13,8,3,1,16,9,25
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,0,3,4,4,4,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,0,0,1,1,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,17,15,2,4,19,19,38
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,1,4,3,8,4,12
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,6,3,1,8,7,15
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,6,29,21,29,27,56
POCONA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,2,8,9,13,11,24
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,8,2,5,11,13,24
POOPO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,1,0,0,3,1,4
PORCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,7,6,5,15,12,27
POROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,8,4,7,8,15,23
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,2,9,6,16,8,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,16,17,5,2,21,19,40
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,2,3,3,8,5,13
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,214,203,29,21,243,224,467
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,1,8,10,12,11,23
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,16,13,12,9,28,22,50
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,2,4,2,4,6
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,8,8,8,10,18
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,6,7,7,8,15
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,4,8,5,17,9,26
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,11,7,3,13,14,27
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,5,2,1,6,6,12
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,2,1,2,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,10,12,8,12,18,24,42
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,47,42,16,9,63,51,114
PUNA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,12,4,10,11,22,15,37
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,24,20,4,3,28,23,51
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,4,7,4,7,11
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,82,95,70,63,152,158,310
QUIME,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,8,8,3,10,11,21
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,2,10,6,13,8,21
REYES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,14,9,14,17,28,45
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,65,63,56,59,121,122,243
ROBORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,13,17,15,18,33
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,19,13,1,10,20,23,43
SABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,1,1,3,7,4,11
SACABA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,121,115,28,19,149,134,283
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,5,0,1,1,6,7
SACACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,14,4,11,13,25,38
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,1,3,7,3,8,11
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,5,7,14,13,19,32
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,9,4,2,5,11,9,20
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,0,0,0,3,0,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,0,11,4,14,4,18
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,6,0,0,5,6,11
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,3,1,3,3,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,4,3,4,7,8,15
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,38,44,14,18,52,62,114
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,10,12,10,8,20,20,40
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,21,15,5,4,26,19,45
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,25,23,22,23,47,46,93
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,61,42,5,8,66,50,116
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,1,1,1,3,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,13,9,0,0,13,9,22
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,3,5,5,6,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,23,25,11,21,34,46,80
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,5,5,4,9,9,18
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,28,22,11,3,39,25,64
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,4,1,4,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,4,10,3,12,7,19
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,12,8,10,7,22,15,37
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,8,5,2,13,10,23
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,6,6,7,12,13,25
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,3,0,1,0,4,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,4,5,1,13,5,18
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,19,28,19,9,38,37,75
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,2,6,2,6,4,10
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,1,5,7,8,8,16
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,7,2,1,4,8,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,0,3,8,6,8,14
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,6,4,0,0,6,4,10
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,17,11,11,9,28,20,48
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1497,1356,39,40,1536,1396,2932
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,2,6,7,9,9,18
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,12,4,3,2,15,6,21
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,2,1,4,2,6
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,3,0,0,2,3,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,2,1,4,3,6,9
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,4,7,4,7,11
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,3,1,3,5,6,11
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,4,4,1,5,5,10
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,2,2,1,3,3,6
SENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,3,0,14,11,17,11,28
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,13,16,1,0,14,16,30
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,16,11,2,4,18,15,33
SICAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,0,3,2,3,2,5
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,59,45,1,4,60,49,109
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,2,1,6,10,8,11,19
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,3,3,4,4,8
SORATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,4,4,13,9,17,13,30
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,322,297,7,6,329,303,632
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,0,5,3,6,3,9
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,0,4,2,3,2,7,9
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,8,8,8,13,16,29
TAHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,1,1,1,0,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,20,14,7,12,27,26,53
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,7,7,6,12,13,25
TARACO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,5,1,1,0,6,1,7
TARATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,6,2,4,10,10,20
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,189,170,8,13,197,183,380
TARVITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,8,3,3,4,11,7,18
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-10-01,7,5,7,9,14,14,28
