,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
MINEROS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,1,0,2,2,3,5
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,4,0,1,0,5,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,5,4,2,0,7,4,11
MONTERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,42,39,8,6,50,45,95
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,1,1,0,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,5,3,5,3,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,0,2,1,4,1,5
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,7,3,2,2,9,5,14
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,77,62,18,18,95,80,175
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,0,0,0,1,1
PAILON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,2,2,0,3,2,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,1,0,0,3,1,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,2,2,1,4,3,7
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,1,2,2,3,3,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,2,1,4,4,6,10
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,2,2,2,5,4,9
PORCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,4,10,0,12,4,16
POROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,3,0,1,0,4,4
PORONGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,7,1,8,1,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,0,0,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,43,45,5,1,48,46,94
PUCARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,2,0,0,0,2,2
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,1,4,1,4,5
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,5,1,6,4,11,15
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,1,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,12,13,0,0,12,13,25
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,4,0,3,1,7,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,2,0,0,2,2,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,16,14,17,15,33,29,62
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,53,44,13,13,66,57,123
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,2,13,12,15,14,29
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,4,3,0,0,4,3,7
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,5,8,3,1,8,9,17
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,45,30,3,2,48,32,80
SABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,80,87,57,23,137,110,247
SACACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,7,7,7,7,14
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,3,4,3,4,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,2,0,0,0,2,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,11,4,21,17,32,21,53
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,21,19,2,8,23,27,50
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,13,9,3,0,16,9,25
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,8,1,0,3,8,11
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,47,45,1,1,48,46,94
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,30,45,0,0,30,45,75
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,4,8,1,3,5,11,16
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,10,11,4,9,14,20,34
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,4,3,5,3,8
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,17,21,8,10,25,31,56
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,8,7,4,9,12,16,28
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,5,1,4,4,9,5,14
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,1,0,0,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,1,0,0,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,7,2,2,5,9,14
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,2,2,0,3,2,5
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,3,0,0,2,3,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,5,4,0,0,5,4,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,5,5,3,2,8,7,15
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,9,0,0,3,9,12
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,515,475,4,5,519,480,999
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,4,1,0,0,4,1,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,8,14,0,0,8,14,22
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,2,0,1,0,3,3
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,4,0,2,2,6,2,8
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,5,3,2,0,7,3,10
SENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,5,0,0,3,5,8
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,1,5,5,6,6,12
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,2,5,4,5,6,11
SORATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,6,1,3,4,9,13
SUCRE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,0,0,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,18,23,0,2,18,25,43
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,0,0,0,1,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,3,0,0,3,3,6
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,6,5,6,6,12
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,0,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,17,12,43,37,60,49,109
TOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,2,0,0,3,2,5
TOLATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,2,1,0,1,2,2,4
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,2,1,2,2,4
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,4,3,0,0,4,3,7
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,7,11,7,3,14,14,28
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,1,0,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,18,17,27,18,45,35,80
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,0,0,0,1,1
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,8,5,0,0,8,5,13
UYUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,6,4,9,10,15,14,29
VACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,3,4,3,3,6,7,13
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,16,17,1,0,17,17,34
VIACHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,52,40,5,3,57,43,100
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,1,3,1,4,5
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,18,26,7,13,25,39,64
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,1,2,4,0,5,2,7
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,9,6,13,15,22,21,43
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,11,6,0,0,11,6,17
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,0,1,0,0,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,7,1,0,0,7,1,8
VINTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,15,19,0,0,15,19,34
WARNES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,40,35,3,0,43,35,78
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,16,14,13,18,29,32,61
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-09-01,20,33,2,5,22,38,60
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,10,6,1,2,11,8,19
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,1,2,2,2,3,5
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,2,2,4,3,6,9
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,1,1,1,2
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,5,4,3,3,8,7,15
BAURES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,2,0,0,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,2,0,0,0,2,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,3,1,3,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,2,0,0,0,2,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,19,3,4,13,23,16,39
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,4,12,1,0,5,12,17
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,5,4,13,12,18,16,34
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,2,3,2,5,4,9
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,16,4,1,0,17,4,21
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,5,6,5,6,11
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,17,14,3,3,20,17,37
CHUMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,44,42,13,10,57,52,109
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,5,3,6,12,11,15,26
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,56,56,0,0,56,56,112
COLOMI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,4,5,15,7,19,26
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,18,22,5,9,23,31,54
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,2,2,2,2,4,6
CORQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,31,37,1,0,32,37,69
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,5,9,0,0,5,9,14
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,1,1,2,3,3,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,237,284,79,103,316,387,703
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,6,8,1,0,7,8,15
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,30,40,0,1,30,41,71
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,5,0,1,0,6,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,2,4,2,4,4,8
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,1,2,0,2,1,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,3,2,2,2,5,4,9
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,0,15,11,17,11,28
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
GUANAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,1,4,5,5,6,11
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,10,6,2,4,12,10,22
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,5,5,10,6,15,21
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,2,1,0,2,2,4
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,3,2,5,5,8,7,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,8,11,0,0,8,11,19
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,27,21,24,22,51,43,94
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,252,268,65,46,317,314,631
LAJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,1,0,0,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,3,1,60,60,63,61,124
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,11,10,2,3,13,13,26
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,1,0,0,1,1,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,5,2,2,0,7,2,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,2,0,0,0,2,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,3,3,0,0,3,3,6
MONTERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,52,41,5,7,57,48,105
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,2,2,2,2,4,6
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,4,1,0,3,4,7
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,48,59,2,0,50,59,109
PAILON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,4,32,21,34,25,59
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,3,0,0,2,3,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,4,5,4,5,9
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,4,1,0,2,4,6
PORONGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,1,0,1,1,2,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,4,1,0,3,4,7
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,8,6,3,3,11,9,20
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,22,21,0,1,22,22,44
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,2,1,2,1,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,6,3,1,4,7,7,14
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,5,3,0,0,5,3,8
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,9,7,1,0,10,7,17
PUNA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,28,25,1,5,29,30,59
REYES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,0,5,10,5,10,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,3,2,0,0,3,2,5
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,13,10,2,3,15,13,28
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,22,22,0,0,22,22,44
SABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,79,93,28,31,107,124,231
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,0,0,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,17,16,0,1,17,17,34
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,23,21,13,10,36,31,67
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,8,6,5,9,13,15,28
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,3,5,3,5,6,10,16
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,6,3,2,3,8,6,14
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,0,1,3,2,3,3,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,2,0,0,1,2,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,6,6,0,0,6,6,12
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,3,0,1,1,4,5
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,2,4,5,0,7,4,11
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,3,1,4,1,5
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,3,2,0,3,3,6
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,11,9,0,1,11,10,21
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,289,310,9,4,298,314,612
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,6,6,0,0,6,6,12
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,2,0,0,1,2,3
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-10-01,1,0,0,0,1,0,1
