,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,33,19,3,3,36,22,58
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,1,1,1,2,3
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,1,2,0,3,1,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,1,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,3,0,0,0,3,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,1,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,2,0,0,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,5,2,1,2,6,4,10
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,1,0,2,2
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,1,1,0,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,1,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,1,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,4,0,0,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,3,8,1,5,4,13,17
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,1,1,1,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,2,1,0,0,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,12,8,4,1,16,9,25
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,1,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,2,0,1,1,3,4
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,4,2,0,1,4,3,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,1,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,1,0,0,1,1,2
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,2,5,0,1,2,6,8
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,1,0,0,1,1,2
PORONGO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,2,0,0,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,1,2,2,2,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,3,1,1,2,4,6
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,1,1,0,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,1,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,1,1,1,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,2,2,0,0,2,2,4
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,2,0,2,0,4,4
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,29,19,5,4,34,23,57
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,1,0,0,1,1,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,3,0,0,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,2,0,0,0,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,4,2,1,0,5,2,7
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,2,0,0,1,2,3
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,2,1,3,1,4
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,1,2,2,2,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1,0,1
