,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,0,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,7,2,1,4,8,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,7,6,3,8,10,14,24
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,15,14,0,0,15,14,29
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,17,13,11,8,28,21,49
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1513,1370,50,57,1563,1427,2990
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,10,5,0,2,10,7,17
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,11,9,3,2,14,11,25
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,1,2,1,4,2,6
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,3,3,0,2,3,5,8
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,2,1,4,3,6,9
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,0,4,4,4,4,8
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,3,1,3,5,6,11
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,4,0,0,2,4,6
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,4,3,1,4,5,9
SENA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,3,0,14,11,17,11,28
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,13,16,1,0,14,16,30
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,17,11,2,4,19,15,34
SICAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,0,3,2,3,2,5
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,65,44,1,4,66,48,114
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,1,6,10,8,11,19
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,2,3,3,7,5,12
SORATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,5,10,8,15,13,28
SUCRE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,330,302,11,6,341,308,649
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,4,8,5,12,9,21
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,5,3,5,3,10,13
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,8,9,8,14,16,30
TAHUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,1,1,0,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,25,16,11,12,36,28,64
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,7,7,4,12,11,23
TARACO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,1,1,0,6,1,7
TARATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,7,6,2,4,9,10,19
TARIJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,175,180,13,17,188,197,385
TARVITA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,8,5,5,5,13,10,23
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,7,5,7,9,14,14,28
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,8,5,0,3,8,8,16
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,17,13,11,12,28,25,53
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,8,6,2,8,10,14,24
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,48,41,20,20,68,61,129
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,8,8,7,9,15,17,32
TOCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,3,4,1,1,4,5,9
TOLATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,1,6,1,7,2,9
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,3,3,3,5,6,11
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,3,7,8,5,11,12,23
TOMINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,6,3,2,2,8,5,13
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,3,16,10,21,13,34
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,7,13,7,17,14,31
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,0,3,2,4,2,6
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,1,0,0,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,101,96,33,26,134,122,256
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,30,28,3,9,33,37,70
TURCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,2,0,1,0,3,3
UMALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,8,0,6,7,14,7,21
UNCIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,10,9,11,9,21,18,39
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,11,6,1,1,12,7,19
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,2,3,7,4,9,13
UYUNI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,29,34,4,1,33,35,68
VACAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,2,7,2,11,4,15
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,12,18,4,1,16,19,35
VIACHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,49,50,10,12,59,62,121
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,3,1,2,2,5,7
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,7,5,9,13,16,18,34
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,23,34,12,10,35,44,79
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,0,2,5,3,5,8
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,3,0,9,6,12,6,18
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,7,8,4,0,11,8,19
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,57,52,22,25,79,77,156
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,1,9,3,14,4,18
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,41,38,7,7,48,45,93
VINTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,33,36,17,15,50,51,101
VITICHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,0,5,1,9,1,10
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,2,0,1,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,97,105,13,6,110,111,221
YACO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,1,2,4,7,5,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,80,96,24,20,104,116,220
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,5,2,5,3,10,5,15
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,4,1,1,2,5,3,8
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,24,31,19,19,43,50,93
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,7,9,5,10,12,19,31
YOTALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,1,4,4,5,5,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,1,2,1,5,2,7,9
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,0,1,0,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-10-01,0,0,4,7,4,7,11
ACACIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,2,3,5,5,7,12
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,13,13,16,21,29,50
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,9,11,10,19,19,38
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,20,17,3,2,23,19,42
ALALAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,1,0,1,0,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,1,1,2,2,3,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,9,4,3,11,12,23
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,3,4,3,10,6,16
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,0,1,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,0,5,2,7,2,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,2,12,9,14,11,25
APOLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,11,9,11,3,22,12,34
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,3,1,3,4,6,10
ARANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,10,7,1,5,11,12,23
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,10,1,1,8,11,19
ARQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,6,3,2,5,8,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,26,35,8,15,34,50,84
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,16,11,2,2,18,13,31
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,4,5,4,5,8,13
AYATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,3,1,2,5,5,10
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,5,4,1,12,6,18
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,11,13,12,22,23,45
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,3,4,2,10,5,15
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,11,3,7,10,18,28
BAURES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,5,1,1,0,6,1,7
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,2,1,1,1,3,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,2,3,7,4,9,13
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,23,27,6,8,29,35,64
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,22,16,4,9,26,25,51
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,4,6,4,6,10
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,1,1,2,1,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,5,5,6,5,11
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,3,7,8,10,11,21
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,16,24,44,34,60,58,118
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,10,1,3,5,13,18
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,3,4,1,10,4,14
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,12,11,6,6,18,17,35
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,1,1,2,3,3,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,4,2,3,2,7,9
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,4,3,1,12,5,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,2,0,0,3,2,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,39,28,2,5,41,33,74
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,10,9,10,8,20,17,37
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,3,3,3,6,6,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,11,7,6,3,17,10,27
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,45,42,17,9,62,51,113
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,4,8,7,11,11,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,10,10,11,10,21
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,7,9,8,9,17
CATACORA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,0,0,1,0,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,0,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,20,21,27,24,47,45,92
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,5,3,2,11,7,18
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,13,8,33,39,46,47,93
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,0,1,1,1,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,7,6,7,10,14,24
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,17,21,4,9,21,30,51
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,1,0,3,0,4,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,1,0,0,2,1,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,2,1,4,2,6,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,15,15,6,0,21,15,36
CHUMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,2,5,8,13,10,23
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,8,3,5,5,13,18
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,5,1,3,10,8,18
CLIZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,12,10,8,18,20,38
COBIJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,43,55,29,29,72,84,156
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,10,13,14,17,24,41
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,606,554,27,28,633,582,1215
COIPASA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,4,2,5,2,7
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,28,44,6,6,34,50,84
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,18,18,5,11,23,29,52
COLLANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,4,0,1,0,5,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,12,13,15,22,27,49
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,6,1,1,4,7,11
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,12,14,17,23,29,52
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,1,5,1,5,2,7
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,2,11,16,18,18,36
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,2,6,3,9,5,14
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,12,5,9,13,21,34
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,1,0,0,2,1,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,14,17,1,5,15,22,37
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,8,5,1,12,9,21
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,21,16,5,3,26,19,45
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,3,4,3,7,6,13
COROICO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,10,18,22,26,32,58
CORQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,1,0,2,1,3,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,4,6,5,12,9,21
COTOCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,58,64,36,30,94,94,188
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,7,22,26,30,33,63
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,0,2,0,2,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,3,6,4,6,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,7,8,8,15,15,30
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,5,1,3,2,8,3,11
CURVA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,1,2,2,2,4
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,5,5,0,0,5,5,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,671,593,449,404,1120,997,2117
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,2,1,0,1,2,3
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,13,9,4,5,17,14,31
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,5,5,1,11,6,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,44,45,13,17,57,62,119
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,0,2,2,6,2,8
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,5,10,8,16,13,29
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,41,41,3,3,44,44,88
ESCARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,2,0,0,0,2,2
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,5,1,0,5,5,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,5,1,0,1,5,2,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,2,4,2,4,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,3,4,0,0,3,4,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,4,4,2,5,6,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,8,10,0,0,8,10,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,6,5,8,9,14,23
GUANAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,8,12,11,21,19,40
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,4,4,8,5,12,17
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,33,20,31,27,64,47,111
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,5,7,7,13,12,25
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,5,6,5,3,10,9,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,0,5,0,5,5
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,2,1,0,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,19,17,8,10,27,27,54
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,1,6,5,7,6,13
HUARINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,2,2,3,2,5,7
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,2,0,0,1,2,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,1,0,2,0,3,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,2,1,1,5,3,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,3,1,1,8,4,12
ICLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,0,7,3,7,3,10
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,2,7,8,11,10,21
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,3,0,4,0,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,1,10,9,12,10,22
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,5,5,8,6,13,11,24
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,13,6,27,21,40,27,67
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,12,4,0,0,12,4,16
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,27,29,13,16,40,45,85
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,69,84,16,11,85,95,180
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,579,537,171,167,750,704,1454
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,0,0,0,1,0,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,7,5,4,3,11,8,19
LAJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,9,10,1,5,10,15,25
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,1,2,0,0,1,2,3
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,1,2,3,2,4,6
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,18,16,28,27,46,43,89
LLICA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,4,1,0,1,4,2,6
LORETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,1,22,23,22,24,46
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,6,1,2,9,8,10,18
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,0,1,0,0,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-11-01,2,5,1,0,3,5,8
