,group,variable,month,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,10,6,4,7,14,13,27
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,7,3,5,9,12,21
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,10,10,3,1,13,11,24
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,4,1,1,8,5,13
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,30,12,10,11,40,23,63
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,4,0,0,4,4,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,1,1,1,2,3
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,2,0,2,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,2,2,0,10,2,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,6,2,6,2,8
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,11,6,0,1,11,7,18
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,11,11,18,18,29,47
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,916,810,110,108,1026,918,1944
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,5,0,0,7,5,12
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,19,15,7,12,26,27,53
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,2,0,2,1,4,5
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,3,0,3,0,3
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,1,0,3,1,4
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,5,0,0,0,5,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,3,2,1,7,4,11
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,2,2,3,2,5
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,3,4,4,5,7,12
SENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,9,0,2,5,11,16
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,7,7,5,16,12,28
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,7,3,5,10,12,22
SICAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,5,2,5,3,8
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,34,32,6,9,40,41,81
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,3,9,5,13,8,21
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,2,0,2,1,4,5
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,7,7,10,13,17,30
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,166,167,32,22,198,189,387
TACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,0,0,0,2,0,2
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,0,3,2,5,7
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,4,3,2,5,6,11
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,2,3,1,6,3,9
TAHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,2,1,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,15,9,5,10,20,30
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,3,3,4,6,7,13
TARACO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,1,1,1,2
TARATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,4,6,3,14,7,21
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,149,145,35,23,184,168,352
TARVITA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,0,6,5,8,5,13
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,9,0,2,5,11,16
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,2,3,2,7,4,11
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,2,6,7,11,9,20
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,1,0,3,1,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,26,20,11,13,37,33,70
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,6,15,8,21,14,35
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,3,0,1,3,4,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,4,1,3,5,7,12
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,0,0,0,1,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,3,10,10,19,13,32
TOMINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,7,1,5,6,12,18
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,2,7,7,13,9,22
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,9,9,4,18,13,31
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,2,1,2,2,4,6
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,64,59,23,26,87,85,172
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,19,24,11,10,30,34,64
UMALA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,0,0,2,1,3
UNCIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,28,13,3,2,31,15,46
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,13,0,7,3,20,23
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,9,1,2,10,11,21
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,16,0,2,9,18,27
VACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,8,2,1,6,9,15
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,14,11,1,0,15,11,26
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,35,30,12,12,47,42,89
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,2,1,1,2,3,5
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,8,1,0,10,8,18
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,29,28,10,7,39,35,74
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,2,0,2,1,3
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,8,5,6,12,14,26
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,8,2,1,6,9,15
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,48,58,12,14,60,72,132
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,1,0,1,8,2,10
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,14,26,4,5,18,31,49
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,31,21,18,16,49,37,86
VITICHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,3,1,0,6,3,9
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,72,101,35,37,107,138,245
YACO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,0,1,2,3,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,63,57,33,23,96,80,176
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,1,1,1,7,2,9
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,0,0,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,39,34,21,25,60,59,119
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,10,1,2,10,12,22
YOTALA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,4,1,4,2,6
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,0,5,1,7,1,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,2,3,5,6,7,13
ACACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,1,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,20,18,3,5,23,23,46
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,8,1,5,4,13,5,18
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,9,4,10,9,19,28
ALALAY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,0,1,1,1,1,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,1,1,4,2,5,7
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,6,5,0,2,6,7,13
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,6,3,2,5,8,8,16
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,2,1,3,1,5,6
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,1,0,0,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,2,2,0,2,2,4
APOLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,13,4,2,7,15,22
ARANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,3,0,0,5,3,8
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,6,7,9,2,15,9,24
ARQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,3,1,1,3,4,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,28,22,2,3,30,25,55
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,7,5,0,0,7,5,12
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,2,3,1,3,3,6
AYATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,4,0,0,2,4,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,1,1,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,1,3,18,6,19,25
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,4,4,1,5,5,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,7,9,7,9,14,18,32
BAURES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,1,0,0,2,1,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,0,1,0,3,0,3
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,0,2,0,2,0,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,0,1,2,1,2,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,33,25,8,9,41,34,75
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,11,9,11,9,22,18,40
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,1,1,3,3,4,7
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,2,0,1,3,3,6
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,10,8,0,0,10,8,18
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,7,4,12,10,19,14,33
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,9,4,6,9,15,24
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,6,3,2,3,8,6,14
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,6,1,1,2,7,9
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,1,2,3,2,4,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,3,5,1,10,4,14
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,13,2,1,6,14,8,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,0,1,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,24,20,3,1,27,21,48
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,2,1,2,4,4,8
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,4,3,7,8,11,19
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,9,9,2,1,11,10,21
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,22,23,3,7,25,30,55
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,13,6,3,0,16,6,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,1,1,1,3,2,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,4,0,1,2,5,2,7
CATACORA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,1,2,0,2,1,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,13,12,8,6,21,18,39
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,13,8,0,1,13,9,22
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,7,6,10,10,17,16,33
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,0,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,5,6,7,9,12,21
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,12,16,7,7,19,23,42
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,0,0,0,2,0,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,1,0,0,2,1,3
CHUMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,0,0,1,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,0,1,0,3,0,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,4,5,6,10,10,20
CLIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,16,9,6,4,22,13,35
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,28,29,1,0,29,29,58
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,3,10,10,11,13,24
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,383,369,23,12,406,381,787
COIPASA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,1,0,0,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,19,26,3,3,22,29,51
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,11,9,6,7,17,16,33
COLLANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,11,11,0,1,11,12,23
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,7,5,4,1,11,6,17
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,10,5,5,1,15,6,21
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,3,0,0,5,3,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,1,7,6,10,7,17
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,0,0,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,8,1,3,6,11,17
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,0,0,2,2,2,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,4,0,0,5,4,9
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,2,1,1,6,3,9
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,12,5,0,1,12,6,18
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,1,0,1,5,2,7
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,5,5,2,2,7,7,14
CORQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,0,0,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,13,12,5,10,18,22,40
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,19,14,0,0,19,14,33
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,12,8,3,1,15,9,24
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,0,0,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,0,3,2,4,2,6
CULPINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,13,14,13,14,26,28,54
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,3,2,1,3,4,5,9
CURVA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,2,2,4,0,6,2,8
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,1,1,0,1,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-12-01,256,272,104,107,360,379,739
