,group,variable,month,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,6,4,6,10
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,2,2,2,4
CULPINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,2,1,2,3
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,172,201,172,201,373
EL TORNO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,1,0,1,1
ENTRE RIOS TRJ,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,1,0,1,1
ESCOMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,3,5,3,5,8
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,3,1,3,1,4
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,26,13,26,13,39
ICLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,1,1,1,2
INCAHUASI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,0,1,0,1
INGAVI (HUMAITA),cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,1,1,1,2
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,15,30,15,30,45
JESUS DE MACHACA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,0,1,0,1
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,166,242,166,242,408
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,8,0,8,8
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,4,2,4,6
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,9,6,9,6,15
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,7,0,7,7
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,12,14,12,14,26
NACEBE (SANTA ROSA DEL ABUNA),cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,8,3,8,3,11
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,89,91,89,91,180
PAILON,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,20,4,20,24
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,8,2,8,2,10
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,38,72,38,72,110
PUERTO QUIJARRO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,9,4,9,4,13
PUERTO RICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,10,4,10,14
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,23,6,23,6,29
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,14,1,14,15
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,41,180,41,180,221
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,17,42,17,42,59
ROBORE,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,8,2,8,10
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,6,12,6,12,18
SABAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,6,0,6,6
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,8,14,8,14,22
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,3,4,3,4,7
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,11,2,11,13
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,96,42,96,42,138
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,9,8,9,8,17
SAN LORENZO(PND),cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,9,1,9,10
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,19,17,19,17,36
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,18,4,18,22
SAN RAMON BENI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,340,464,340,464,804
SENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,22,28,22,28,50
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,2,4,2,6
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,83,268,83,268,351
TARABUCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,0,1,0,1
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,47,76,47,76,123
TARVITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,0,4,0,4
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,8,1,8,9
TOTORA(CBBA),cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,1,0,1,1
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,5,3,5,3,8
TUPIZA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,0,1,0,1,1
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,7,8,7,8,15
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,6,12,6,12,18
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,2,2,2,4
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,10,7,10,7,17
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,0,2,0,2
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,2,3,2,3,5
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,1,13,1,13,14
WARNES,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,3,4,3,4,7
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,4,2,4,2,6
ZUDAÑEZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-12-01,10,12,10,12,22
