,group,variable,month,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,7,0,7,7
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,4,0,4,4
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,2,1,2,3
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,9,0,9,9
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,6,3,6,3,9
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,6,1,6,1,7
CHAYANTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,7,0,7,7
CHIMORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,0,1,0,1
CHIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,9,0,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,1,1,1,2
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,53,46,53,46,99
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,382,594,382,594,976
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,15,0,15,15
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,12,28,12,28,40
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,9,2,9,2,11
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,4,6,4,6,10
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,2,1,2,1,3
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,2,1,2,3
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,205,217,205,217,422
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
ENTRE RIOS TRJ,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,3,5,3,5,8
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,3,1,3,1,4
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,26,13,26,13,39
ICLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,1,1,1,2
INCAHUASI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,0,1,0,1
INGAVI (HUMAITA),cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,1,1,1,2
INQUISIVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,12,28,12,28,40
JESUS DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,0,1,0,1
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,16,38,16,38,54
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,328,528,328,528,856
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,4,33,4,33,37
MACHARETI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,9,6,9,6,15
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,7,0,7,7
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,2,10,2,10,12
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,7,7,7,7,14
NACEBE (SANTA ROSA DEL ABUNA),cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,8,3,8,3,11
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,86,147,86,147,233
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,4,11,4,11,15
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,4,20,4,20,24
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,8,2,8,2,10
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,67,105,67,105,172
PUERTO RICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,6,7,6,7,13
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,10,3,10,3,13
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,10,0,10,10
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,41,180,41,180,221
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,8,7,8,7,15
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,4,1,4,5
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,3,4,3,4,7
SABAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,6,0,6,6
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,5,34,5,34,39
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,3,5,3,5,8
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,2,11,2,11,13
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,96,42,96,42,138
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,7,31,7,31,38
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,9,15,9,15,24
SAN LORENZO(PND),cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,9,1,9,10
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,19,17,19,17,36
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,3,16,3,16,19
SAN RAMON BENI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,374,428,374,428,802
SENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,25,26,25,26,51
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,4,2,4,2,6
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,155,375,155,375,530
TARABUCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,0,1,0,1
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,24,79,24,79,103
TARVITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,4,0,4,0,4
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,17,1,17,18
TOTORA(CBBA),cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,1,0,1,1
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,31,21,31,21,52
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,0,5,0,5,5
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,5,8,5,8,13
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,6,10,6,10,16
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,6,4,6,4,10
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,10,7,10,7,17
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,2,0,2,0,2
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,3,11,3,11,14
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,1,13,1,13,14
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,8,7,8,7,15
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,7,2,7,2,9
ZUDAÑEZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-12-01,6,6,6,6,12
