,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,2,0,2,2
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,16,12,16,12,28
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,28,0,28,28
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,31,5,31,36
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,50,0,50,50
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,6,15,6,15,21
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,2,0,2,2
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,18,1,18,19
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,67,3,67,70
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,28,150,28,150,178
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,66,467,66,467,533
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,10,20,10,20,30
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,13,1,13,14
COLQUECHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,0,1,0,1
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,20,5,20,25
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,2,0,2,2
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,0,2,0,2
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,13,0,13,13
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,60,0,60,60
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,232,1250,232,1250,1482
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,4,0,4,4
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,10,28,10,28,38
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,12,3,12,15
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,19,5,19,24
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,7,0,7,7
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,155,115,155,115,270
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,71,5,71,76
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,3,0,3,3
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,15,15,15,15,30
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,17,0,17,17
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,44,3,44,47
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,75,5,75,80
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,481,600,481,600,1081
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,4,1,4,5
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,13,2,13,15
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,41,3,41,44
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,78,1,78,79
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,4,0,4,4
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,10,76,10,76,86
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,7,183,7,183,190
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,4,2,4,6
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,58,380,58,380,438
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,14,0,14,14
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,7,0,7,7
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,13,3,13,16
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,11,0,11,11
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,7,0,7,7
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,78,0,78,78
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,46,33,46,33,79
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,8,7,8,7,15
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,11,1,11,12
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,2,1,2,3
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,99,3,99,102
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,7,96,7,96,103
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,12,0,12,12
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,6,21,6,21,27
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,22,2,22,24
SABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,1,0,1,1
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,13,470,13,470,483
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,17,0,17,17
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,26,5,26,31
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,18,122,18,122,140
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,10,5,10,5,15
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,20,1,20,21
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,32,45,32,45,77
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,18,1,18,19
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,18,0,18,18
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,15,1,15,16
SAN RAMON BENI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,1,0,1,1
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,35,3,35,38
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,47,452,47,452,499
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,7,3,7,10
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,13,1,13,14
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,42,0,42,42
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,18,89,18,89,107
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,20,80,20,80,100
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,94,251,94,251,345
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,1,1,1,2
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,4,8,4,8,12
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,16,21,16,21,37
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,0,2,0,2
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,109,288,109,288,397
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,9,0,9,9
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,20,1,20,1,21
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,16,0,16,16
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,28,0,28,28
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,72,0,72,72
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,1,0,1,1
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,5,5,5,10
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,2,0,2,2
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,1,13,1,13,14
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,15,2,15,17
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,25,3,25,28
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,2,130,2,130,132
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,20,79,20,79,99
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,5,19,5,19,24
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,12,16,12,16,28
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,41,1,41,42
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,6,0,6,6
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,14,1,14,15
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,32,0,32,32
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,5,0,5,5
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,35,0,35,35
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,25,17,25,17,42
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,2,0,2,2
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,31,79,31,79,110
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,6,41,6,41,47
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,17,12,17,12,29
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,6,26,6,26,32
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,53,3,53,56
CHUQUIHUTA AYLLU JUCUMANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,2,3,2,5
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,9,94,9,94,103
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,81,268,81,268,349
COIPASA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,0,1,0,1
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,10,30,10,30,40
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,6,1,6,7
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,14,2,14,16
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,8,2,8,10
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,91,0,91,91
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,55,0,55,55
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,237,867,237,867,1104
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,4,0,4,4
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,14,1,14,15
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,14,93,14,93,107
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,1,0,1,1
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,16,1,16,17
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,4,2,4,2,6
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,11,0,11,11
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,622,61,622,61,683
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,4,0,4,4
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,7,1,7,8
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,8,56,8,56,64
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,56,1,56,57
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,173,342,173,342,515
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,11,1,11,12
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,2,0,2,2
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,5,0,5,5
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,6,18,6,18,24
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,1,0,1,1
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,50,0,50,50
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,8,83,8,83,91
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,13,208,13,208,221
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,7,2,7,2,9
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,2,0,2,2
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,25,343,25,343,368
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,21,0,21,21
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,4,0,4,4
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,7,66,7,66,73
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,78,3,78,81
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,9,7,9,7,16
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,54,1,54,55
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,22,3,22,25
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,16,3,16,19
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,1,2,1,3
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,65,2,65,67
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,4,33,4,33,37
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,0,1,0,1
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,16,0,16,16
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,30,0,30,30
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,50,1,50,51
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,6,98,6,98,104
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,13,0,13,13
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,5,45,5,45,50
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,12,106,12,106,118
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,17,3,17,20
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,17,3,17,20
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,57,1,57,58
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,30,45,30,45,75
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,10,1,10,11
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,26,1,26,27
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,7,1,7,8
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,35,1,35,36
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,89,261,89,261,350
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,36,23,36,23,59
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,29,0,29,29
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,36,1,36,37
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,60,137,60,137,197
TACOPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,2,0,2,2
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,28,3,28,31
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,116,145,116,145,261
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,8,1,8,9
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,5,0,5,5
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,6,1,6,7
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,7,2,7,9
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,11,1,11,12
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,34,111,34,111,145
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,3,0,3,3
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,9,5,9,5,14
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,1,0,1,1
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,2,0,2,2
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,53,0,53,53
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,3,2,3,2,5
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,5,0,5,5
VILLA RIVERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,1,0,1,0,1
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,15,0,15,15
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,13,0,13,13
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,5,41,5,41,46
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,19,105,19,105,124
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,18,2,18,20
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,2,14,2,14,16
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-10-01,0,5,0,5,5
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,33,1,33,34
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,6,0,6,6
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,33,0,33,33
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,4,2,4,2,6
AYATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,12,40,12,40,52
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,27,0,27,27
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,3,0,3,3
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,10,3,10,13
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,0,1,0,1
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,7,12,7,12,19
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,3,18,3,18,21
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,20,60,20,60,80
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,1,1,1,2
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,8,54,8,54,62
CHAYANTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,5,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,7,9,7,9,16
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,85,1,85,86
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,20,298,20,298,318
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,10,30,10,30,40
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,10,1,10,11
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,52,1,52,53
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,170,867,170,867,1037
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,30,0,30,30
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,21,0,21,21
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,2,79,2,79,81
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,3,0,3,3
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,4,0,4,4
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,1,0,1,1
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,238,66,238,66,304
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,2,0,2,2
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,50,0,50,50
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,4,1,4,5
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,6,0,6,6
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,2,39,2,39,41
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,9,0,9,9
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,194,365,194,365,559
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,1,4,1,4,5
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,2,4,2,4,6
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-11-01,0,4,0,4,4
