municipality,group,variable,month,2.3 Pacientes retornados al establecimiento de origen,TOTAL
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
MOJOCOYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,490,490
NUEVO MANOA (NUEVA ESPERANZA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
OKINAWA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,166,166
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,35,35
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,10,10
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
PELECHUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
POCOATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
PORCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
POROMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
PORVENIR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,10,10
PUCARANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
PUERTO GONZALO MORENO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,14,14
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,8,8
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,118,118
QUILLACOLLO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,20,20
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,14,14
SACABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SAMAIPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SAN ANDRES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
SAN BENITO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,7,7
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,9,9
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,48,48
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
SAN MATIAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,13,13
SAN PABLO DE LIPEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
SAN PEDRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SAN RAFAEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SANTA ANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,327,327
SANTA ROSA DEL SARA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,168,168
TACACOMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
TACOPAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
TAPACARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,53,53
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,9,9
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,4,4
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,67,67
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,40,40
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
VILLA TUNARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,31,31
VINTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,48,48
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
YANACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
YAPACANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
YOTALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
ACACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
AIQUILE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
ARBIETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,8,8
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,4,4
"CAIZA ""D""",referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
CARAPARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
CLIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,13,13
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,178,178
COCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,6,6
COLOMI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
COLQUECHACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,5,5
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,28,28
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
GUAYARAMERIN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
HUARINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
INCAHUASI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,7,7
LA ASUNTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,760,760
LAGUNILLAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
MINEROS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
MIZQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
MOJINETE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
MOJOCOYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,55,55
MORO MORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
OMEREQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,191,191
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,10,10
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,12,12
PUCARANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,11,11
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,5,5
SAN BENITO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,4,4
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,33,33
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
SAN JUAN DE YAPACANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,8,8
SAN PEDRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
SAN RAFAEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
SANTA ANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,298,298
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,175,175
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
TEOPONTE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
TOLATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,2,2
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,24,24
VILA VILA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,3,3
VILLA RIVERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,34,34
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,5,5
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,19,19
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-10-01,1,1
ACACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
AIQUILE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
ALCALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
ARBIETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,6,6
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,14,14
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,4,4
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
BOLIVAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
CAPINOTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
CHUMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,183,183
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
COLOMI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
COMANCHE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,4,4
CULPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,9,9
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,5,5
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,6,6
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
IRUPANA (VILLA DE LANZA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
LA ASUNTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,5,5
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,679,679
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
MIZQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
MOJOCOYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,406,406
MOROCHATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,28,28
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,4,4
POROMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
PORONGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,12,12
PUERTO QUIJARRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
PUERTO RICO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,6,6
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,15,15
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,21,21
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,6,6
SAN PEDRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
SAN RAFAEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,646,646
SENA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
SICAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,98,98
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,11,11
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
TIPUANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,4,4
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,29,29
URUBICHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,5,5
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,9,9
VILLA TUNARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,17,17
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,2,2
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-11-01,3,3
ARQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,13,13
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,15,15
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
CLIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,21,21
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,175,175
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,3,3
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,54,54
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,3,3
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
HUANUNI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,3,3
ICLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,503,503
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
MECAPACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
MIZQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,62,62
MOROCHATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,49,49
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
PORTACHUELO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,23,23
PUERTO RICO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
RAVELO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
REYES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,5,5
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,12,12
SACABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SAN BENITO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,6,6
SAN BORJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,27,27
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,3,3
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SAN MATIAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
SANTA ANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,33,33
SANTA ROSA DEL SARA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,127,127
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,12,12
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,13,13
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
TOLATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,4,4
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
VILLA TUNARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,8,8
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,30,30
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-12-01,2,2
