municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,14,14
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
HUACAYA (VILLA DE HUACAYA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,90,90
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,34,34
HUATAJATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
HUMANATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
ICHOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,11,11
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,21,21
INQUISIVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
IRUPANA (VILLA DE LANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,7,7
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,21,21
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,42,42
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,267,267
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,7825,7825
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,28,28
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,26,26
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,21,21
LORETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
LURIBAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
MACHACAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,7,7
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,12,12
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,16,16
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,6,6
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,34,34
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,52,52
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,27,27
MOCOMOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,11,11
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,44,44
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,757,757
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,10,10
MOROCHATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,15,15
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,619,619
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,48,48
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,13,13
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,59,59
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,14,14
PAPEL PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,30,30
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,8,8
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,6,6
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,13,13
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,40,40
POSTRER VALLE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,6,6
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,290,290
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,11,11
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,56,56
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,22,22
PUERTO PEREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,10,10
PUERTO SILES,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,26,26
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,77,77
QUIABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,10,10
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
RAVELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
RIBERALTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,116,116
ROBORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,31,31
RURRENABAQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
SABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SACABA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,113,113
SACABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
SACACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,12,12
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
SAN AGUSTIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,11,11
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,12,12
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
SAN BENITO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,11,11
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,12,12
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,13,13
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,24,24
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,35,35
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,21,21
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,52,52
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,92,92
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,36,36
SAN PABLO DE LIPEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,22,22
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
SAN PEDRO DE CURAHUARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,8,8
SAN RAMON SCZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3846,3846
SANTA ROSA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SANTIAGO DE CALLAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SANTIAGO DE HUARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
SANTIAGO DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
SANTIVAÑES,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,11,11
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,13,13
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,12,12
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,10,10
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,23,23
SICAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,31,31
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,10,10
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1108,1108
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
TAHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,3,3
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,7,7
TARATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,13,13
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,450,450
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,17,17
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,35,35
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,84,84
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,14,14
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,4,4
TOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,7,7
TOLATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,59,59
TOMINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,5,5
TORO TORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
TOTORA(ORR),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
TRIGAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
TRINIDAD,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,649,649
TUPIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,98,98
TURCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,2,2
UMALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
URIONDO (A. CONCEPCION),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,25,25
URUBICHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,24,24
UYUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,13,13
VACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,14,14
VALLEGRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,22,22
VIACHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,135,135
VILA VILA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
VILLA CHARCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,6,6
VILLA MONTES,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,48,48
VILLA RIVERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,6,6
VILLA SERRANO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
VILLA TUNARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,70,70
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,20,20
VILLAZON,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,258,258
VINTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,49,49
WARNES,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,35,35
YACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
YACUIBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,167,167
YAMPARAEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,24,24
YANACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,1,1
YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,220,220
YOTALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,37,37
YUNCHARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,9,9
ZUDAÑEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-10-01,8,8
ACACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,44,44
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,15,15
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
ALALAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
ANCORAIMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
ARAMPAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
ARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,43,43
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,19,19
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,94,94
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,8,8
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
BELLA FLOR,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,41,41
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,56,56
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,8,8
BOLPEBRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,28,28
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
"CAIZA ""D""",referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,40,40
CAJUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
CALAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
CAMARGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,20,20
CAMATAQUI (C. VILLA ABECIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
CAMIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,112,112
CAPINOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,36,36
CAQUIAVIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
CARACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,24,24
CARANAVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,39,39
CARAPARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,51,51
CARIPUYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
CARMEN RIVERO TORREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
CATACORA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
CHACARILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
CHALLAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
CHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,8,8
CHARAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
CHIMORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,29,29
CHUA COCANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,22,22
CHUMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
CKOCHAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,21,21
CLIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,41,41
COBIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,97,97
COCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,14,14
COCHABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,346,346
COLCAPIRHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,27,27
"COLCHA ""K""",referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
COLOMI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,27,27
COLQUECHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
COMANCHE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
COMARAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
CONCEPCION,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
COPACABANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
CORIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
CORO CORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
COROICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,23,23
CORQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
COTAGAITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,26,26
COTOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,36,36
CUATRO CAÑADAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,29,29
CUCHUMUELA (V. G. VILLARROEL),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
CUEVO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,12,12
CULPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,25,25
CURAHUARA DE CARANGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,17,17
CURVA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
DESAGUADERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
EL ALTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3388,3388
EL CHORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
EL PUENTE(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,18,18
EL PUENTE(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
EL TORNO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,42,42
EL VILLAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
ENTRE RIOS TRJ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
ENTRE RIOS CBBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,57,57
ESCOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,65,65
ESMERALDA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
EUREKA (SANTOS MERCADO),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
FERNANDEZ ALONSO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,19,19
FILADELFIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,8,8
GUAYARAMERIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,65,65
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,17,17
HUACAYA (VILLA DE HUACAYA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,74,74
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
HUAYLLAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
IRUPANA (VILLA DE LANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,12,12
JESUS DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,35,35
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,247,247
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7504,7504
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,28,28
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,21,21
LURIBAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,17,17
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,19,19
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,45,45
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,35,35
MOCOMOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,10,10
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,38,38
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,714,714
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,10,10
MOROCHATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
NAZACARA DE PACAJES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,43,43
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,492,492
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,37,37
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,18,18
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,59,59
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,27,27
PAPEL PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
PASORAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,24,24
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
POOPO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,17,17
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
