,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
BELLA FLOR,estado nutricional,l talla normal,2012-10-01,28,25,28,23,55,56,111,104,215
BERMEJO,estado nutricional,l talla normal,2012-10-01,303,297,292,252,175,182,770,731,1501
BETANZOS,estado nutricional,l talla normal,2012-10-01,278,250,190,219,217,233,685,702,1387
BOLIVAR,estado nutricional,l talla normal,2012-10-01,67,55,25,30,64,68,156,153,309
BOLPEBRA,estado nutricional,l talla normal,2012-10-01,14,15,14,21,30,25,58,61,119
BOYUIBE,estado nutricional,l talla normal,2012-10-01,22,20,44,30,41,43,107,93,200
BUENA VISTA,estado nutricional,l talla normal,2012-10-01,110,85,89,86,92,59,291,230,521
CABEZAS,estado nutricional,l talla normal,2012-10-01,139,110,90,99,78,80,307,289,596
CAIROMA,estado nutricional,l talla normal,2012-10-01,79,79,64,55,69,68,212,202,414
"CAIZA ""D""",estado nutricional,l talla normal,2012-10-01,84,66,60,65,40,52,184,183,367
CAJUATA,estado nutricional,l talla normal,2012-10-01,82,88,68,67,65,41,215,196,411
CALACOTO,estado nutricional,l talla normal,2012-10-01,48,29,30,45,41,27,119,101,220
CALAMARCA,estado nutricional,l talla normal,2012-10-01,72,85,69,74,52,76,193,235,428
CAMARGO,estado nutricional,l talla normal,2012-10-01,116,124,76,95,116,117,308,336,644
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-10-01,30,25,24,14,48,38,102,77,179
CAMIRI,estado nutricional,l talla normal,2012-10-01,346,323,260,228,275,237,881,788,1669
CAPINOTA,estado nutricional,l talla normal,2012-10-01,91,83,57,64,54,44,202,191,393
CAQUIAVIRI,estado nutricional,l talla normal,2012-10-01,56,45,46,58,47,31,149,134,283
CARACOLLO,estado nutricional,l talla normal,2012-10-01,158,194,129,113,151,142,438,449,887
CARANAVI,estado nutricional,l talla normal,2012-10-01,416,331,339,343,239,210,994,884,1878
CARANGAS,estado nutricional,l talla normal,2012-10-01,1,4,2,2,2,1,5,7,12
CARAPARI,estado nutricional,l talla normal,2012-10-01,141,143,146,106,128,93,415,342,757
CARIPUYO,estado nutricional,l talla normal,2012-10-01,63,61,41,56,29,32,133,149,282
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-10-01,36,45,30,20,38,30,104,95,199
CATACORA,estado nutricional,l talla normal,2012-10-01,3,3,4,3,7,9,14,15,29
CHACARILLA,estado nutricional,l talla normal,2012-10-01,9,1,7,5,5,5,21,11,32
CHALLAPATA,estado nutricional,l talla normal,2012-10-01,347,384,235,197,163,183,745,764,1509
CHAQUI,estado nutricional,l talla normal,2012-10-01,54,53,47,39,33,33,134,125,259
CHARAGUA,estado nutricional,l talla normal,2012-10-01,259,243,169,155,197,170,625,568,1193
CHARAÑA,estado nutricional,l talla normal,2012-10-01,18,18,18,12,14,18,50,48,98
CHAYANTA,estado nutricional,l talla normal,2012-10-01,100,102,84,84,53,72,237,258,495
CHIMORE,estado nutricional,l talla normal,2012-10-01,103,79,73,74,77,60,253,213,466
CHIPAYA,estado nutricional,l talla normal,2012-10-01,20,18,18,13,29,31,67,62,129
CHOQUE COTA,estado nutricional,l talla normal,2012-10-01,8,9,8,6,11,18,27,33,60
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-10-01,41,45,13,7,1,1,55,53,108
CHUMA,estado nutricional,l talla normal,2012-10-01,72,43,76,75,74,72,222,190,412
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-10-01,75,53,43,39,36,49,154,141,295
CKOCHAS,estado nutricional,l talla normal,2012-10-01,133,108,107,107,72,78,312,293,605
CLIZA,estado nutricional,l talla normal,2012-10-01,193,205,138,115,125,125,456,445,901
COBIJA,estado nutricional,l talla normal,2012-10-01,554,507,319,315,262,263,1135,1085,2220
COCAPATA,estado nutricional,l talla normal,2012-10-01,261,138,122,129,130,130,513,397,910
COCHABAMBA,estado nutricional,l talla normal,2012-10-01,3686,3296,2478,2186,1691,1589,7855,7071,14926
COIPASA,estado nutricional,l talla normal,2012-10-01,6,4,7,4,6,12,19,20,39
COLCAPIRHUA,estado nutricional,l talla normal,2012-10-01,456,391,292,251,320,271,1068,913,1981
"COLCHA ""K""",estado nutricional,l talla normal,2012-10-01,119,131,104,118,98,86,321,335,656
COLLANA,estado nutricional,l talla normal,2012-10-01,25,18,9,14,16,17,50,49,99
COLOMI,estado nutricional,l talla normal,2012-10-01,175,152,122,105,98,115,395,372,767
COLPA BELGICA,estado nutricional,l talla normal,2012-10-01,1,1,1,2,0,0,2,3,5
COLQUECHACA,estado nutricional,l talla normal,2012-10-01,241,252,179,214,99,111,519,577,1096
COLQUENCHA,estado nutricional,l talla normal,2012-10-01,50,51,58,68,34,43,142,162,304
COLQUIRI,estado nutricional,l talla normal,2012-10-01,146,133,75,84,77,88,298,305,603
COMANCHE,estado nutricional,l talla normal,2012-10-01,21,17,18,13,13,26,52,56,108
COMARAPA,estado nutricional,l talla normal,2012-10-01,155,117,120,113,41,54,316,284,600
COMBAYA,estado nutricional,l talla normal,2012-10-01,15,18,7,15,24,25,46,58,104
CONCEPCION,estado nutricional,l talla normal,2012-10-01,154,145,77,90,55,75,286,310,596
COPACABANA,estado nutricional,l talla normal,2012-10-01,80,86,52,49,76,67,208,202,410
CORIPATA,estado nutricional,l talla normal,2012-10-01,63,64,30,35,29,46,122,145,267
CORO CORO,estado nutricional,l talla normal,2012-10-01,46,48,57,59,36,58,139,165,304
COROICO,estado nutricional,l talla normal,2012-10-01,81,66,36,38,35,38,152,142,294
CORQUE,estado nutricional,l talla normal,2012-10-01,56,65,60,43,50,48,166,156,322
COTAGAITA,estado nutricional,l talla normal,2012-10-01,160,172,102,122,144,166,406,460,866
COTOCA,estado nutricional,l talla normal,2012-10-01,384,369,195,206,143,147,722,722,1444
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-10-01,1,0,1,0,2,4,4,4,8
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-10-01,166,154,136,108,194,203,496,465,961
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-10-01,8,7,17,9,10,3,35,19,54
CUEVO,estado nutricional,l talla normal,2012-10-01,27,44,32,30,49,46,108,120,228
CULPINA,estado nutricional,l talla normal,2012-10-01,65,74,75,63,98,86,238,223,461
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-10-01,54,39,29,40,45,42,128,121,249
CURVA,estado nutricional,l talla normal,2012-10-01,15,25,13,17,14,12,42,54,96
DESAGUADERO,estado nutricional,l talla normal,2012-10-01,29,31,21,13,15,14,65,58,123
EL ALTO,estado nutricional,l talla normal,2012-10-01,5304,4997,3964,3723,3299,3168,12567,11888,24455
EL CHORO,estado nutricional,l talla normal,2012-10-01,61,52,36,58,41,59,138,169,307
EL PUENTE(STC),estado nutricional,l talla normal,2012-10-01,97,111,113,90,65,58,275,259,534
EL PUENTE(TJA),estado nutricional,l talla normal,2012-10-01,73,88,71,71,82,95,226,254,480
EL TORNO,estado nutricional,l talla normal,2012-10-01,428,399,277,219,210,212,915,830,1745
EL VILLAR,estado nutricional,l talla normal,2012-10-01,37,22,25,30,64,53,126,105,231
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-10-01,202,203,168,195,183,162,553,560,1113
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-10-01,386,351,306,283,228,176,920,810,1730
ESCARA,estado nutricional,l talla normal,2012-10-01,0,0,0,0,1,2,1,2,3
ESCOMA,estado nutricional,l talla normal,2012-10-01,30,32,20,26,32,45,82,103,185
ESMERALDA,estado nutricional,l talla normal,2012-10-01,1,5,2,0,1,3,4,8,12
EUCALIPTUS,estado nutricional,l talla normal,2012-10-01,71,66,41,48,67,57,179,171,350
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-10-01,19,15,11,20,25,10,55,45,100
EXALTACION,estado nutricional,l talla normal,2012-10-01,24,25,19,21,26,28,69,74,143
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-10-01,121,97,119,108,136,110,376,315,691
FILADELFIA,estado nutricional,l talla normal,2012-10-01,49,45,37,30,20,27,106,102,208
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-10-01,138,118,126,124,118,104,382,346,728
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-10-01,75,70,48,60,35,63,158,193,351
GUANAY,estado nutricional,l talla normal,2012-10-01,147,124,119,92,141,118,407,334,741
GUAQUI,estado nutricional,l talla normal,2012-10-01,36,51,30,43,35,41,101,135,236
GUAYARAMERIN,estado nutricional,l talla normal,2012-10-01,610,544,378,429,310,277,1298,1250,2548
GUTIERREZ,estado nutricional,l talla normal,2012-10-01,151,164,147,142,165,175,463,481,944
HUACARETA,estado nutricional,l talla normal,2012-10-01,89,85,85,90,152,129,326,304,630
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-10-01,21,16,17,23,34,31,72,70,142
HUACHACALLA,estado nutricional,l talla normal,2012-10-01,4,16,4,3,12,16,20,35,55
HUANUNI,estado nutricional,l talla normal,2012-10-01,229,222,111,126,118,142,458,490,948
HUARACAJE,estado nutricional,l talla normal,2012-10-01,38,43,31,25,24,36,93,104,197
HUARINA,estado nutricional,l talla normal,2012-10-01,31,44,30,17,39,28,100,89,189
HUAYLLAMARCA,estado nutricional,l talla normal,2012-10-01,21,19,42,24,50,25,113,68,181
HUMANATA,estado nutricional,l talla normal,2012-10-01,26,18,22,27,23,18,71,63,134
ICHOCA,estado nutricional,l talla normal,2012-10-01,19,13,21,8,14,17,54,38,92
ICLA,estado nutricional,l talla normal,2012-10-01,56,72,45,53,89,136,190,261,451
INCAHUASI,estado nutricional,l talla normal,2012-10-01,120,96,83,79,141,165,344,340,684
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-10-01,31,23,18,13,5,14,54,50,104
INQUISIVI,estado nutricional,l talla normal,2012-10-01,73,67,63,75,44,70,180,212,392
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-10-01,21,31,34,22,27,28,82,81,163
IXIAMAS,estado nutricional,l talla normal,2012-10-01,59,64,82,69,54,52,195,185,380
JESUS DE MACHACA,estado nutricional,l talla normal,2012-10-01,67,79,50,70,75,75,192,224,416
LA ASUNTA,estado nutricional,l talla normal,2012-10-01,250,209,176,159,114,94,540,462,1002
LA GUARDIA,estado nutricional,l talla normal,2012-10-01,654,694,300,312,357,311,1311,1317,2628
LA PAZ,estado nutricional,l talla normal,2012-10-01,4988,4262,3046,2820,3657,3311,11691,10393,22084
LA RIVERA,estado nutricional,l talla normal,2012-10-01,4,2,1,0,1,2,6,4,10
LAGUNILLAS,estado nutricional,l talla normal,2012-10-01,61,67,59,43,101,80,221,190,411
LAJA,estado nutricional,l talla normal,2012-10-01,123,106,99,106,78,86,300,298,598
LAS CARRERAS,estado nutricional,l talla normal,2012-10-01,33,36,18,24,45,48,96,108,204
LICOMA PAMPA,estado nutricional,l talla normal,2012-10-01,35,22,19,15,27,29,81,66,147
LLALLAGUA,estado nutricional,l talla normal,2012-10-01,337,311,243,242,162,203,742,756,1498
LLICA,estado nutricional,l talla normal,2012-10-01,32,31,25,22,12,15,69,68,137
LORETO,estado nutricional,l talla normal,2012-10-01,33,31,26,34,44,48,103,113,216
LURIBAY,estado nutricional,l talla normal,2012-10-01,46,44,50,64,60,85,156,193,349
MACHACAMARCA,estado nutricional,l talla normal,2012-10-01,40,44,28,43,30,29,98,116,214
MACHARETI,estado nutricional,l talla normal,2012-10-01,60,60,169,61,135,107,364,228,592
MAGDALENA,estado nutricional,l talla normal,2012-10-01,101,113,65,66,51,71,217,250,467
MAIRANA,estado nutricional,l talla normal,2012-10-01,98,103,82,83,55,63,235,249,484
MALLA,estado nutricional,l talla normal,2012-10-01,8,21,12,8,8,15,28,44,72
MAPIRI,estado nutricional,l talla normal,2012-10-01,129,115,112,87,105,92,346,294,640
MECAPACA,estado nutricional,l talla normal,2012-10-01,99,84,102,69,78,73,279,226,505
MINEROS,estado nutricional,l talla normal,2012-10-01,219,212,160,145,136,128,515,485,1000
MIZQUE,estado nutricional,l talla normal,2012-10-01,352,273,242,245,312,192,906,710,1616
MOCOMOCO,estado nutricional,l talla normal,2012-10-01,94,66,96,93,79,73,269,232,501
MOJINETE,estado nutricional,l talla normal,2012-10-01,4,11,0,1,2,5,6,17,23
MOJOCOYA,estado nutricional,l talla normal,2012-10-01,61,48,38,64,101,80,200,192,392
MONTEAGUDO,estado nutricional,l talla normal,2012-10-01,264,238,221,213,257,246,742,697,1439
MONTERO,estado nutricional,l talla normal,2012-10-01,1166,1140,757,807,736,728,2659,2675,5334
MORO MORO,estado nutricional,l talla normal,2012-10-01,24,19,24,14,22,15,70,48,118
MOROCHATA,estado nutricional,l talla normal,2012-10-01,90,81,62,78,82,77,234,236,470
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-10-01,29,23,31,20,28,26,88,69,157
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-10-01,5,1,6,6,6,3,17,10,27
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-10-01,39,27,23,23,78,57,140,107,247
OCURI,estado nutricional,l talla normal,2012-10-01,113,109,82,78,79,67,274,254,528
OKINAWA,estado nutricional,l talla normal,2012-10-01,119,118,89,117,98,83,306,318,624
OMEREQUE,estado nutricional,l talla normal,2012-10-01,66,33,71,56,79,68,216,157,373
ORURO,estado nutricional,l talla normal,2012-10-01,2202,2229,1740,1718,1251,1232,5193,5179,10372
PADCAYA,estado nutricional,l talla normal,2012-10-01,156,169,144,142,156,131,456,442,898
PADILLA,estado nutricional,l talla normal,2012-10-01,65,93,75,93,164,187,304,373,677
PAILON,estado nutricional,l talla normal,2012-10-01,92,81,54,72,77,48,223,201,424
PALCA,estado nutricional,l talla normal,2012-10-01,128,129,114,86,102,100,344,315,659
PALOS BLANCOS,estado nutricional,l talla normal,2012-10-01,280,287,245,205,232,228,757,720,1477
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-10-01,26,14,8,17,10,5,44,36,80
PAMPA GRANDE,estado nutricional,l talla normal,2012-10-01,63,79,66,63,31,35,160,177,337
PAPEL PAMPA,estado nutricional,l talla normal,2012-10-01,39,49,45,28,56,42,140,119,259
PASORAPA,estado nutricional,l talla normal,2012-10-01,16,19,26,32,46,34,88,85,173
PATACAMAYA,estado nutricional,l talla normal,2012-10-01,169,159,111,123,69,83,349,365,714
PAZÑA,estado nutricional,l talla normal,2012-10-01,61,51,47,39,82,103,190,193,383
PELECHUCO,estado nutricional,l talla normal,2012-10-01,62,54,35,32,51,51,148,137,285
POCOATA,estado nutricional,l talla normal,2012-10-01,162,192,123,134,163,145,448,471,919
POCONA,estado nutricional,l talla normal,2012-10-01,112,88,101,60,108,81,321,229,550
POJO (CBBA),estado nutricional,l talla normal,2012-10-01,123,134,103,99,79,90,305,323,628
POOPO,estado nutricional,l talla normal,2012-10-01,62,61,48,50,46,41,156,152,308
PORCO,estado nutricional,l talla normal,2012-10-01,118,105,76,76,48,52,242,233,475
POROMA,estado nutricional,l talla normal,2012-10-01,137,162,123,110,188,187,448,459,907
PORONGO,estado nutricional,l talla normal,2012-10-01,75,61,56,63,64,50,195,174,369
PORTACHUELO,estado nutricional,l talla normal,2012-10-01,100,93,45,44,61,54,206,191,397
PORVENIR,estado nutricional,l talla normal,2012-10-01,54,59,44,45,33,42,131,146,277
POSTRER VALLE,estado nutricional,l talla normal,2012-10-01,18,13,13,15,7,8,38,36,74
POTOSI,estado nutricional,l talla normal,2012-10-01,1331,1303,667,682,492,517,2490,2502,4992
PRESTO,estado nutricional,l talla normal,2012-10-01,75,59,39,53,70,66,184,178,362
PUCARA,estado nutricional,l talla normal,2012-10-01,18,2,14,18,10,19,42,39,81
PUCARANI,estado nutricional,l talla normal,2012-10-01,230,249,206,205,184,147,620,601,1221
PUERTO ACOSTA,estado nutricional,l talla normal,2012-10-01,67,56,40,41,51,73,158,170,328
PUERTO CARABUCO,estado nutricional,l talla normal,2012-10-01,71,66,63,61,70,57,204,184,388
PUERTO GONZALO MORENO,estado nutricional,l talla normal,2012-10-01,85,104,66,54,76,78,227,236,463
PUERTO PEREZ,estado nutricional,l talla normal,2012-10-01,39,38,49,23,47,45,135,106,241
PUERTO QUIJARRO,estado nutricional,l talla normal,2012-10-01,139,141,127,111,85,76,351,328,679
PUERTO RICO,estado nutricional,l talla normal,2012-10-01,88,81,70,54,80,69,238,204,442
PUERTO SILES,estado nutricional,l talla normal,2012-10-01,9,9,9,9,11,14,29,32,61
PUERTO SUAREZ,estado nutricional,l talla normal,2012-10-01,129,120,79,79,64,59,272,258,530
PUERTO VILLARROEL,estado nutricional,l talla normal,2012-10-01,530,469,443,317,328,259,1301,1045,2346
PUNA,estado nutricional,l talla normal,2012-10-01,148,155,134,130,122,132,404,417,821
PUNATA,estado nutricional,l talla normal,2012-10-01,261,233,166,159,186,139,613,531,1144
QUIABAYA,estado nutricional,l talla normal,2012-10-01,7,4,6,0,10,13,23,17,40
QUILLACOLLO,estado nutricional,l talla normal,2012-10-01,902,799,689,625,527,410,2118,1834,3952
QUIME,estado nutricional,l talla normal,2012-10-01,60,63,53,61,54,51,167,175,342
QUIRUSILLAS,estado nutricional,l talla normal,2012-10-01,6,13,11,12,10,10,27,35,62
RAVELO,estado nutricional,l talla normal,2012-10-01,126,144,79,87,156,140,361,371,732
REYES,estado nutricional,l talla normal,2012-10-01,121,119,110,115,110,117,341,351,692
RIBERALTA,estado nutricional,l talla normal,2012-10-01,1264,1429,995,913,613,582,2872,2924,5796
ROBORE,estado nutricional,l talla normal,2012-10-01,121,125,96,105,30,51,247,281,528
RURRENABAQUE,estado nutricional,l talla normal,2012-10-01,137,130,97,105,59,65,293,300,593
SABAYA,estado nutricional,l talla normal,2012-10-01,31,20,17,22,29,44,77,86,163
SACABA,estado nutricional,l talla normal,2012-10-01,1466,1260,884,973,723,876,3073,3109,6182
SACABAMBA,estado nutricional,l talla normal,2012-10-01,42,20,19,30,34,36,95,86,181
SACACA,estado nutricional,l talla normal,2012-10-01,159,192,84,115,136,128,379,435,814
SAIPINA,estado nutricional,l talla normal,2012-10-01,74,54,51,47,58,56,183,157,340
SALINAS DE GARCI MENDOZA,estado nutricional,l talla normal,2012-10-01,115,78,69,76,117,109,301,263,564
SAMAIPATA,estado nutricional,l talla normal,2012-10-01,66,70,53,53,43,46,162,169,331
SAN AGUSTIN,estado nutricional,l talla normal,2012-10-01,14,14,11,9,11,11,36,34,70
SAN ANDRES,estado nutricional,l talla normal,2012-10-01,95,103,119,92,135,130,349,325,674
SAN ANDRES DE MACHACA,estado nutricional,l talla normal,2012-10-01,18,14,20,24,8,15,46,53,99
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla normal,2012-10-01,13,15,10,12,21,25,44,52,96
SAN ANTONIO DE LOMERIO,estado nutricional,l talla normal,2012-10-01,71,62,52,63,100,99,223,224,447
SAN BENITO,estado nutricional,l talla normal,2012-10-01,126,139,102,106,151,142,379,387,766
SAN BORJA,estado nutricional,l talla normal,2012-10-01,371,342,266,256,195,191,832,789,1621
SAN BUENA VENTURA,estado nutricional,l talla normal,2012-10-01,85,65,71,63,75,58,231,186,417
SAN CARLOS,estado nutricional,l talla normal,2012-10-01,260,252,169,171,140,149,569,572,1141
SAN IGNACIO,estado nutricional,l talla normal,2012-10-01,304,284,229,236,308,356,841,876,1717
SAN IGNACIO DE VELASCO,estado nutricional,l talla normal,2012-10-01,627,590,511,521,429,422,1567,1533,3100
SAN JAVIER(BNI),estado nutricional,l talla normal,2012-10-01,23,29,20,31,48,38,91,98,189
SAN JAVIER(STC),estado nutricional,l talla normal,2012-10-01,121,159,81,73,102,95,304,327,631
SAN JOAQUIN,estado nutricional,l talla normal,2012-10-01,85,47,38,47,39,33,162,127,289
SAN JOSE DE CHIQUITOS,estado nutricional,l talla normal,2012-10-01,126,111,81,69,69,92,276,272,548
SAN JUAN DE YAPACANI,estado nutricional,l talla normal,2012-10-01,98,60,67,54,52,60,217,174,391
SAN JULIAN,estado nutricional,l talla normal,2012-10-01,295,405,407,375,264,258,966,1038,2004
SAN LORENZO(PND),estado nutricional,l talla normal,2012-10-01,44,52,51,39,35,45,130,136,266
SAN LORENZO(TJA),estado nutricional,l talla normal,2012-10-01,237,221,168,176,184,163,589,560,1149
SAN LUCAS,estado nutricional,l talla normal,2012-10-01,157,152,133,107,253,224,543,483,1026
SAN MATIAS,estado nutricional,l talla normal,2012-10-01,95,92,65,51,57,71,217,214,431
SAN MIGUEL DE VELASCO,estado nutricional,l talla normal,2012-10-01,165,163,104,119,133,122,402,404,806
SAN PABLO DE LIPEZ,estado nutricional,l talla normal,2012-10-01,15,11,18,11,12,15,45,37,82
SAN PEDRO,estado nutricional,l talla normal,2012-10-01,147,135,130,105,120,131,397,371,768
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla normal,2012-10-01,200,259,182,176,170,158,552,593,1145
SAN PEDRO DE CURAHUARA,estado nutricional,l talla normal,2012-10-01,55,39,39,34,34,33,128,106,234
SAN PEDRO DE QUEMES,estado nutricional,l talla normal,2012-10-01,4,2,4,2,1,5,9,9,18
SAN PEDRO DE TIQUINA,estado nutricional,l talla normal,2012-10-01,28,19,27,23,32,34,87,76,163
SAN PEDRO(PND),estado nutricional,l talla normal,2012-10-01,13,5,7,4,9,14,29,23,52
SAN RAFAEL,estado nutricional,l talla normal,2012-10-01,55,59,58,49,48,51,161,159,320
SAN RAMON BENI,estado nutricional,l talla normal,2012-10-01,49,26,19,23,24,46,92,95,187
SANTA ANA,estado nutricional,l talla normal,2012-10-01,225,225,120,123,108,98,453,446,899
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla normal,2012-10-01,7895,7128,3994,3667,3707,3375,15596,14170,29766
SANTA ROSA,estado nutricional,l talla normal,2012-10-01,118,125,85,84,58,66,261,275,536
SANTA ROSA DEL SARA,estado nutricional,l talla normal,2012-10-01,148,108,95,91,57,88,300,287,587
SANTIAGO DE CALLAPA,estado nutricional,l talla normal,2012-10-01,20,22,17,6,8,12,45,40,85
SANTIAGO DE HUARI,estado nutricional,l talla normal,2012-10-01,78,95,63,50,61,62,202,207,409
SANTIAGO DE HUATA,estado nutricional,l talla normal,2012-10-01,30,56,38,44,50,55,118,155,273
SANTIAGO DE MACHACA,estado nutricional,l talla normal,2012-10-01,25,25,22,14,10,20,57,59,116
SANTIVAÑES,estado nutricional,l talla normal,2012-10-01,35,51,48,34,54,54,137,139,276
SANTUARIO DE QUILLACAS,estado nutricional,l talla normal,2012-10-01,37,28,36,25,20,23,93,76,169
SAPAHAQUI,estado nutricional,l talla normal,2012-10-01,57,52,53,33,63,55,173,140,313
SENA,estado nutricional,l talla normal,2012-10-01,47,44,37,41,45,33,129,118,247
SHINAOTA,estado nutricional,l talla normal,2012-10-01,210,321,278,227,253,258,741,806,1547
SICA SICA (VILLA AROMA),estado nutricional,l talla normal,2012-10-01,172,142,139,148,151,134,462,424,886
SICAYA,estado nutricional,l talla normal,2012-10-01,34,27,25,27,24,15,83,69,152
SIPE SIPE,estado nutricional,l talla normal,2012-10-01,475,448,322,272,228,231,1025,951,1976
SOPACHUY,estado nutricional,l talla normal,2012-10-01,61,53,36,45,76,79,173,177,350
SORACACHI,estado nutricional,l talla normal,2012-10-01,101,120,104,82,117,138,322,340,662
SORATA,estado nutricional,l talla normal,2012-10-01,117,114,133,88,132,115,382,317,699
SUCRE,estado nutricional,l talla normal,2012-10-01,2999,2880,2317,2209,2103,2035,7419,7124,14543
TACACHI,estado nutricional,l talla normal,2012-10-01,9,7,6,3,14,9,29,19,48
TACACOMA,estado nutricional,l talla normal,2012-10-01,70,72,61,55,58,55,189,182,371
TACOBAMBA,estado nutricional,l talla normal,2012-10-01,61,63,47,50,33,50,141,163,304
TACOPAYA,estado nutricional,l talla normal,2012-10-01,66,67,48,65,75,87,189,219,408
TAHUA,estado nutricional,l talla normal,2012-10-01,2,6,2,6,3,6,7,18,25
TAPACARI,estado nutricional,l talla normal,2012-10-01,211,218,158,162,187,194,556,574,1130
TARABUCO,estado nutricional,l talla normal,2012-10-01,141,108,96,94,157,120,394,322,716
TARACO,estado nutricional,l talla normal,2012-10-01,24,20,15,14,11,11,50,45,95
TARATA,estado nutricional,l talla normal,2012-10-01,87,110,58,88,50,58,195,256,451
TARIJA,estado nutricional,l talla normal,2012-10-01,1767,1634,1325,1154,1107,871,4199,3659,7858
TARVITA,estado nutricional,l talla normal,2012-10-01,121,125,105,107,168,152,394,384,778
TEOPONTE,estado nutricional,l talla normal,2012-10-01,143,130,95,78,87,99,325,307,632
TIAWANACU,estado nutricional,l talla normal,2012-10-01,93,102,91,81,78,91,262,274,536
TINGUIPAYA,estado nutricional,l talla normal,2012-10-01,148,139,112,105,86,84,346,328,674
TIPUANI,estado nutricional,l talla normal,2012-10-01,140,80,85,56,129,78,354,214,568
TIQUIPAYA,estado nutricional,l talla normal,2012-10-01,718,615,447,368,437,475,1602,1458,3060
TIRAQUE (CBBA),estado nutricional,l talla normal,2012-10-01,196,149,128,134,99,79,423,362,785
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla normal,2012-10-01,4,4,2,7,6,5,12,16,28
TOCO,estado nutricional,l talla normal,2012-10-01,44,43,32,29,49,43,125,115,240
TODOS SANTOS,estado nutricional,l talla normal,2012-10-01,2,1,3,3,1,0,6,4,10
TOLATA,estado nutricional,l talla normal,2012-10-01,50,33,39,51,24,40,113,124,237
TOLEDO,estado nutricional,l talla normal,2012-10-01,35,51,29,36,38,32,102,119,221
TOMAVE,estado nutricional,l talla normal,2012-10-01,104,112,62,72,68,60,234,244,478
TOMINA,estado nutricional,l talla normal,2012-10-01,87,67,60,77,123,132,270,276,546
TORO TORO,estado nutricional,l talla normal,2012-10-01,80,84,70,61,83,79,233,224,457
TOTORA(CBBA),estado nutricional,l talla normal,2012-10-01,181,140,127,124,69,58,377,322,699
TOTORA(ORR),estado nutricional,l talla normal,2012-10-01,44,27,36,56,40,52,120,135,255
TRIGAL,estado nutricional,l talla normal,2012-10-01,6,10,11,9,8,9,25,28,53
TRINIDAD,estado nutricional,l talla normal,2012-10-01,761,747,491,495,382,369,1634,1611,3245
TUPIZA,estado nutricional,l talla normal,2012-10-01,292,288,227,219,232,216,751,723,1474
TURCO,estado nutricional,l talla normal,2012-10-01,29,38,32,24,44,51,105,113,218
UMALA,estado nutricional,l talla normal,2012-10-01,68,58,31,58,83,82,182,198,380
UNCIA,estado nutricional,l talla normal,2012-10-01,133,156,103,120,115,118,351,394,745
URIONDO (A. CONCEPCION),estado nutricional,l talla normal,2012-10-01,124,129,113,120,160,140,397,389,786
URUBICHA,estado nutricional,l talla normal,2012-10-01,72,58,77,64,113,118,262,240,502
UYUNI,estado nutricional,l talla normal,2012-10-01,201,206,128,145,57,58,386,409,795
VACAS,estado nutricional,l talla normal,2012-10-01,87,77,67,58,56,50,210,185,395
VALLEGRANDE,estado nutricional,l talla normal,2012-10-01,133,121,109,116,99,84,341,321,662
VIACHA,estado nutricional,l talla normal,2012-10-01,440,421,284,275,282,249,1006,945,1951
VILA VILA,estado nutricional,l talla normal,2012-10-01,26,26,13,15,38,50,77,91,168
VILLA CHARCAS,estado nutricional,l talla normal,2012-10-01,142,149,87,92,107,95,336,336,672
