,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-09-01,0,1,2,4,3,5,5,10,15
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-09-01,2,0,0,0,1,1,3,1,4
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-09-01,1,1,1,2,1,3,3,6,9
SAN PEDRO(PND),estado nutricional,l talla baja,2012-09-01,1,0,3,1,2,0,6,1,7
SAN RAFAEL,estado nutricional,l talla baja,2012-09-01,4,0,6,4,2,0,12,4,16
SAN RAMON BENI,estado nutricional,l talla baja,2012-09-01,3,3,3,1,4,2,10,6,16
SAN RAMON SCZ,estado nutricional,l talla baja,2012-09-01,4,3,2,2,1,1,7,6,13
SANTA ANA,estado nutricional,l talla baja,2012-09-01,3,4,6,5,1,6,10,15,25
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla baja,2012-09-01,86,70,86,62,86,66,258,198,456
SANTA ROSA,estado nutricional,l talla baja,2012-09-01,2,2,7,5,2,2,11,9,20
SANTA ROSA DEL SARA,estado nutricional,l talla baja,2012-09-01,0,0,3,2,4,4,7,6,13
SANTIAGO DE CALLAPA,estado nutricional,l talla baja,2012-09-01,1,3,3,4,1,2,5,9,14
SANTIAGO DE HUARI,estado nutricional,l talla baja,2012-09-01,10,4,16,14,22,17,48,35,83
SANTIAGO DE HUATA,estado nutricional,l talla baja,2012-09-01,4,1,5,4,3,1,12,6,18
SANTIAGO DE MACHACA,estado nutricional,l talla baja,2012-09-01,2,1,5,4,6,5,13,10,23
SANTIVAÑES,estado nutricional,l talla baja,2012-09-01,1,1,7,5,13,8,21,14,35
SANTUARIO DE QUILLACAS,estado nutricional,l talla baja,2012-09-01,1,2,7,7,7,4,15,13,28
SAPAHAQUI,estado nutricional,l talla baja,2012-09-01,10,4,10,8,16,15,36,27,63
SENA,estado nutricional,l talla baja,2012-09-01,0,5,8,2,4,2,12,9,21
SHINAOTA,estado nutricional,l talla baja,2012-09-01,4,9,23,41,14,26,41,76,117
SICA SICA (VILLA AROMA),estado nutricional,l talla baja,2012-09-01,14,10,34,16,23,33,71,59,130
SICAYA,estado nutricional,l talla baja,2012-09-01,3,2,10,8,10,8,23,18,41
SIPE SIPE,estado nutricional,l talla baja,2012-09-01,46,34,61,67,46,33,153,134,287
SOPACHUY,estado nutricional,l talla baja,2012-09-01,12,4,21,12,36,49,69,65,134
SORACACHI,estado nutricional,l talla baja,2012-09-01,16,5,20,13,39,44,75,62,137
SORATA,estado nutricional,l talla baja,2012-09-01,2,4,11,6,20,10,33,20,53
SUCRE,estado nutricional,l talla baja,2012-09-01,80,53,163,137,151,153,394,343,737
TACACHI,estado nutricional,l talla baja,2012-09-01,0,1,0,0,0,1,0,2,2
TACACOMA,estado nutricional,l talla baja,2012-09-01,2,4,5,2,7,5,14,11,25
TACOBAMBA,estado nutricional,l talla baja,2012-09-01,8,7,23,8,18,16,49,31,80
TACOPAYA,estado nutricional,l talla baja,2012-09-01,12,7,35,18,44,45,91,70,161
TAHUA,estado nutricional,l talla baja,2012-09-01,0,1,1,4,3,6,4,11,15
TAPACARI,estado nutricional,l talla baja,2012-09-01,55,33,79,56,87,92,221,181,402
TARABUCO,estado nutricional,l talla baja,2012-09-01,17,10,76,33,141,119,234,162,396
TARACO,estado nutricional,l talla baja,2012-09-01,2,1,2,0,0,0,4,1,5
TARATA,estado nutricional,l talla baja,2012-09-01,1,6,8,9,14,8,23,23,46
TARIJA,estado nutricional,l talla baja,2012-09-01,25,19,30,29,35,30,90,78,168
TARVITA,estado nutricional,l talla baja,2012-09-01,17,18,38,44,128,110,183,172,355
TEOPONTE,estado nutricional,l talla baja,2012-09-01,0,1,4,3,5,5,9,9,18
TIAWANACU,estado nutricional,l talla baja,2012-09-01,6,6,12,8,5,8,23,22,45
TINGUIPAYA,estado nutricional,l talla baja,2012-09-01,40,34,51,44,51,53,142,131,273
TIPUANI,estado nutricional,l talla baja,2012-09-01,0,1,3,1,2,3,5,5,10
TIQUIPAYA,estado nutricional,l talla baja,2012-09-01,12,20,25,45,44,51,81,116,197
TIRAQUE (CBBA),estado nutricional,l talla baja,2012-09-01,9,17,43,43,13,18,65,78,143
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla baja,2012-09-01,0,0,1,1,1,2,2,3,5
TOCO,estado nutricional,l talla baja,2012-09-01,2,5,9,6,6,3,17,14,31
TOLATA,estado nutricional,l talla baja,2012-09-01,0,1,1,0,0,2,1,3,4
TOLEDO,estado nutricional,l talla baja,2012-09-01,4,0,12,6,10,3,26,9,35
TOMAVE,estado nutricional,l talla baja,2012-09-01,10,11,34,20,41,42,85,73,158
TOMINA,estado nutricional,l talla baja,2012-09-01,7,8,23,19,68,71,98,98,196
TORO TORO,estado nutricional,l talla baja,2012-09-01,9,4,26,20,55,46,90,70,160
TOTORA(CBBA),estado nutricional,l talla baja,2012-09-01,13,3,15,19,11,11,39,33,72
TOTORA(ORR),estado nutricional,l talla baja,2012-09-01,0,6,4,2,5,5,9,13,22
TRIGAL,estado nutricional,l talla baja,2012-09-01,0,0,0,0,0,1,0,1,1
TRINIDAD,estado nutricional,l talla baja,2012-09-01,13,13,19,14,16,10,48,37,85
TUPIZA,estado nutricional,l talla baja,2012-09-01,30,21,32,21,45,38,107,80,187
TURCO,estado nutricional,l talla baja,2012-09-01,0,1,4,4,2,9,6,14,20
UMALA,estado nutricional,l talla baja,2012-09-01,5,3,9,7,5,4,19,14,33
UNCIA,estado nutricional,l talla baja,2012-09-01,27,7,43,39,58,52,128,98,226
URIONDO (A. CONCEPCION),estado nutricional,l talla baja,2012-09-01,0,3,6,4,7,4,13,11,24
URUBICHA,estado nutricional,l talla baja,2012-09-01,9,5,14,7,1,1,24,13,37
UYUNI,estado nutricional,l talla baja,2012-09-01,7,8,31,15,15,20,53,43,96
VACAS,estado nutricional,l talla baja,2012-09-01,8,2,20,16,9,17,37,35,72
VALLEGRANDE,estado nutricional,l talla baja,2012-09-01,0,1,2,2,2,3,4,6,10
VIACHA,estado nutricional,l talla baja,2012-09-01,24,10,36,30,22,33,82,73,155
VILA VILA,estado nutricional,l talla baja,2012-09-01,7,6,11,7,10,27,28,40,68
VILLA CHARCAS,estado nutricional,l talla baja,2012-09-01,21,19,55,49,91,83,167,151,318
VILLA MONTES,estado nutricional,l talla baja,2012-09-01,8,0,12,3,13,17,33,20,53
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla baja,2012-09-01,4,3,6,3,3,23,13,29,42
VILLA RIVERO,estado nutricional,l talla baja,2012-09-01,0,2,10,7,6,5,16,14,30
VILLA SERRANO,estado nutricional,l talla baja,2012-09-01,8,7,22,13,59,46,89,66,155
VILLA TUNARI,estado nutricional,l talla baja,2012-09-01,10,10,45,32,56,54,111,96,207
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla baja,2012-09-01,6,5,8,16,7,18,21,39,60
VILLAZON,estado nutricional,l talla baja,2012-09-01,33,16,65,25,42,23,140,64,204
VINTO,estado nutricional,l talla baja,2012-09-01,12,4,29,22,14,12,55,38,93
VITICHI,estado nutricional,l talla baja,2012-09-01,13,2,15,20,32,22,60,44,104
WALDO BALLIVIAN,estado nutricional,l talla baja,2012-09-01,3,0,6,3,4,3,13,6,19
WARNES,estado nutricional,l talla baja,2012-09-01,1,3,3,5,3,1,7,9,16
YACO,estado nutricional,l talla baja,2012-09-01,5,10,11,10,17,16,33,36,69
YACUIBA,estado nutricional,l talla baja,2012-09-01,4,5,7,8,11,16,22,29,51
YAMPARAEZ,estado nutricional,l talla baja,2012-09-01,4,1,17,10,54,64,75,75,150
YANACACHI,estado nutricional,l talla baja,2012-09-01,1,0,2,0,1,1,4,1,5
YAPACANI,estado nutricional,l talla baja,2012-09-01,6,0,13,6,6,9,25,15,40
YOCALLA,estado nutricional,l talla baja,2012-09-01,22,14,14,5,18,7,54,26,80
YOTALA,estado nutricional,l talla baja,2012-09-01,1,3,8,1,28,13,37,17,54
YUNCHARA,estado nutricional,l talla baja,2012-09-01,3,3,12,5,29,29,44,37,81
ZUDAÑEZ,estado nutricional,l talla baja,2012-09-01,6,6,13,14,44,41,63,61,124
ACACIO,estado nutricional,l talla baja,2012-10-01,10,16,22,27,34,43,66,86,152
ACHACACHI,estado nutricional,l talla baja,2012-10-01,16,12,50,33,41,26,107,71,178
ACHOCALLA,estado nutricional,l talla baja,2012-10-01,5,4,12,3,6,7,23,14,37
AIQUILE,estado nutricional,l talla baja,2012-10-01,23,14,55,27,42,55,120,96,216
ALALAY,estado nutricional,l talla baja,2012-10-01,3,2,5,6,10,6,18,14,32
ALCALA,estado nutricional,l talla baja,2012-10-01,0,0,3,0,14,8,17,8,25
ALTO BENI,estado nutricional,l talla baja,2012-10-01,2,1,1,1,1,5,4,7,11
ANCORAIMES,estado nutricional,l talla baja,2012-10-01,16,11,44,27,25,16,85,54,139
ANDAMARCA,estado nutricional,l talla baja,2012-10-01,1,0,9,3,21,20,31,23,54
ANTEQUERA,estado nutricional,l talla baja,2012-10-01,8,10,7,4,6,5,21,19,40
ANZALDO,estado nutricional,l talla baja,2012-10-01,4,2,12,11,15,25,31,38,69
APOLO,estado nutricional,l talla baja,2012-10-01,11,8,26,30,37,26,74,64,138
ARAMPAMPA,estado nutricional,l talla baja,2012-10-01,5,5,7,10,7,14,19,29,48
ARANI,estado nutricional,l talla baja,2012-10-01,3,2,12,8,17,14,32,24,56
ARBIETO,estado nutricional,l talla baja,2012-10-01,1,2,2,7,8,12,11,21,32
ARQUE,estado nutricional,l talla baja,2012-10-01,14,13,55,47,47,42,116,102,218
ASCENCION DE GUARAYOS,estado nutricional,l talla baja,2012-10-01,5,2,9,10,2,6,16,18,34
ATOCHA,estado nutricional,l talla baja,2012-10-01,11,7,24,14,14,20,49,41,90
AUCAPATA,estado nutricional,l talla baja,2012-10-01,0,1,7,9,10,8,17,18,35
AYATA,estado nutricional,l talla baja,2012-10-01,12,6,27,13,20,22,59,41,100
AYO AYO,estado nutricional,l talla baja,2012-10-01,9,3,30,17,8,12,47,32,79
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla baja,2012-10-01,20,20,55,39,60,57,135,116,251
AZURDUY,estado nutricional,l talla baja,2012-10-01,13,8,32,29,74,81,119,118,237
BATALLAS,estado nutricional,l talla baja,2012-10-01,23,5,23,17,15,18,61,40,101
BAURES,estado nutricional,l talla baja,2012-10-01,2,1,2,4,1,1,5,6,11
BELEN DE ANDAMARCA,estado nutricional,l talla baja,2012-10-01,1,0,2,1,3,11,6,12,18
BELEN DE URMIRI,estado nutricional,l talla baja,2012-10-01,3,2,7,4,3,5,13,11,24
BELLA FLOR,estado nutricional,l talla baja,2012-10-01,0,0,1,2,2,0,3,2,5
BERMEJO,estado nutricional,l talla baja,2012-10-01,1,1,15,7,8,11,24,19,43
BETANZOS,estado nutricional,l talla baja,2012-10-01,50,35,86,68,110,116,246,219,465
BOLIVAR,estado nutricional,l talla baja,2012-10-01,39,21,36,28,69,67,144,116,260
BOLPEBRA,estado nutricional,l talla baja,2012-10-01,1,2,5,2,7,6,13,10,23
BOYUIBE,estado nutricional,l talla baja,2012-10-01,0,1,0,0,3,5,3,6,9
BUENA VISTA,estado nutricional,l talla baja,2012-10-01,1,0,0,1,1,1,2,2,4
CABEZAS,estado nutricional,l talla baja,2012-10-01,3,1,4,0,5,1,12,2,14
CAIROMA,estado nutricional,l talla baja,2012-10-01,13,7,22,22,24,22,59,51,110
"CAIZA ""D""",estado nutricional,l talla baja,2012-10-01,5,4,13,8,13,9,31,21,52
CAJUATA,estado nutricional,l talla baja,2012-10-01,0,2,0,0,1,1,1,3,4
CALACOTO,estado nutricional,l talla baja,2012-10-01,0,0,8,3,8,6,16,9,25
CALAMARCA,estado nutricional,l talla baja,2012-10-01,18,10,20,15,29,20,67,45,112
CAMARGO,estado nutricional,l talla baja,2012-10-01,11,5,31,23,67,50,109,78,187
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla baja,2012-10-01,1,0,8,4,13,3,22,7,29
CAMIRI,estado nutricional,l talla baja,2012-10-01,4,3,5,4,10,10,19,17,36
CAPINOTA,estado nutricional,l talla baja,2012-10-01,10,4,14,25,22,9,46,38,84
CAQUIAVIRI,estado nutricional,l talla baja,2012-10-01,6,13,14,11,12,8,32,32,64
CARACOLLO,estado nutricional,l talla baja,2012-10-01,14,11,47,23,33,35,94,69,163
CARANAVI,estado nutricional,l talla baja,2012-10-01,12,15,51,18,61,73,124,106,230
CARANGAS,estado nutricional,l talla baja,2012-10-01,0,0,1,0,1,0,2,0,2
CARAPARI,estado nutricional,l talla baja,2012-10-01,1,1,3,1,12,8,16,10,26
CARIPUYO,estado nutricional,l talla baja,2012-10-01,13,15,28,34,47,47,88,96,184
CARMEN RIVERO TORREZ,estado nutricional,l talla baja,2012-10-01,1,3,1,0,2,0,4,3,7
CATACORA,estado nutricional,l talla baja,2012-10-01,1,1,5,1,3,2,9,4,13
CHACARILLA,estado nutricional,l talla baja,2012-10-01,1,0,1,1,5,6,7,7,14
CHALLAPATA,estado nutricional,l talla baja,2012-10-01,26,14,73,44,68,59,167,117,284
CHAQUI,estado nutricional,l talla baja,2012-10-01,8,4,21,9,9,18,38,31,69
CHARAGUA,estado nutricional,l talla baja,2012-10-01,6,1,8,1,6,4,20,6,26
CHARAÑA,estado nutricional,l talla baja,2012-10-01,1,0,3,5,3,4,7,9,16
CHAYANTA,estado nutricional,l talla baja,2012-10-01,12,9,51,37,56,36,119,82,201
CHIMORE,estado nutricional,l talla baja,2012-10-01,5,4,2,9,7,12,14,25,39
CHIPAYA,estado nutricional,l talla baja,2012-10-01,0,0,3,2,10,15,13,17,30
CHOQUE COTA,estado nutricional,l talla baja,2012-10-01,0,1,3,3,0,3,3,7,10
CHUMA,estado nutricional,l talla baja,2012-10-01,2,4,19,23,22,29,43,56,99
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla baja,2012-10-01,6,6,15,13,19,23,40,42,82
CKOCHAS,estado nutricional,l talla baja,2012-10-01,20,30,60,34,39,32,119,96,215
CLIZA,estado nutricional,l talla baja,2012-10-01,8,1,13,5,8,6,29,12,41
COBIJA,estado nutricional,l talla baja,2012-10-01,13,13,29,10,22,13,64,36,100
COCAPATA,estado nutricional,l talla baja,2012-10-01,29,18,72,56,95,85,196,159,355
COCHABAMBA,estado nutricional,l talla baja,2012-10-01,96,91,179,172,160,153,435,416,851
COIPASA,estado nutricional,l talla baja,2012-10-01,0,0,0,1,0,1,0,2,2
COLCAPIRHUA,estado nutricional,l talla baja,2012-10-01,6,13,27,10,16,12,49,35,84
"COLCHA ""K""",estado nutricional,l talla baja,2012-10-01,6,5,16,9,9,12,31,26,57
COLLANA,estado nutricional,l talla baja,2012-10-01,2,0,6,1,8,5,16,6,22
COLOMI,estado nutricional,l talla baja,2012-10-01,5,9,35,19,25,20,65,48,113
COLQUECHACA,estado nutricional,l talla baja,2012-10-01,84,61,141,116,87,91,312,268,580
COLQUENCHA,estado nutricional,l talla baja,2012-10-01,19,6,25,13,16,12,60,31,91
COLQUIRI,estado nutricional,l talla baja,2012-10-01,12,8,26,16,22,19,60,43,103
COMANCHE,estado nutricional,l talla baja,2012-10-01,10,5,12,15,4,7,26,27,53
COMARAPA,estado nutricional,l talla baja,2012-10-01,4,1,12,1,7,6,23,8,31
COMBAYA,estado nutricional,l talla baja,2012-10-01,4,0,7,2,5,12,16,14,30
CONCEPCION,estado nutricional,l talla baja,2012-10-01,6,9,14,7,4,15,24,31,55
COPACABANA,estado nutricional,l talla baja,2012-10-01,8,2,7,7,18,4,33,13,46
CORIPATA,estado nutricional,l talla baja,2012-10-01,0,0,0,2,4,1,4,3,7
CORO CORO,estado nutricional,l talla baja,2012-10-01,9,4,20,12,20,19,49,35,84
COROICO,estado nutricional,l talla baja,2012-10-01,1,4,3,2,3,2,7,8,15
CORQUE,estado nutricional,l talla baja,2012-10-01,10,15,23,15,10,6,43,36,79
COTAGAITA,estado nutricional,l talla baja,2012-10-01,20,7,48,20,78,70,146,97,243
COTOCA,estado nutricional,l talla baja,2012-10-01,4,4,3,4,5,3,12,11,23
CUATRO CAÑADAS,estado nutricional,l talla baja,2012-10-01,3,3,11,4,8,3,22,10,32
CUEVO,estado nutricional,l talla baja,2012-10-01,5,3,5,2,4,8,14,13,27
CULPINA,estado nutricional,l talla baja,2012-10-01,19,22,28,23,25,33,72,78,150
CURAHUARA DE CARANGAS,estado nutricional,l talla baja,2012-10-01,5,8,11,8,13,12,29,28,57
CURVA,estado nutricional,l talla baja,2012-10-01,3,3,8,2,17,8,28,13,41
DESAGUADERO,estado nutricional,l talla baja,2012-10-01,1,2,4,0,5,2,10,4,14
EL ALTO,estado nutricional,l talla baja,2012-10-01,446,251,645,422,357,319,1448,992,2440
EL CHORO,estado nutricional,l talla baja,2012-10-01,11,2,5,1,18,8,34,11,45
EL PUENTE(STC),estado nutricional,l talla baja,2012-10-01,2,1,5,4,2,3,9,8,17
EL PUENTE(TJA),estado nutricional,l talla baja,2012-10-01,10,5,15,9,22,19,47,33,80
EL TORNO,estado nutricional,l talla baja,2012-10-01,10,2,9,5,6,10,25,17,42
EL VILLAR,estado nutricional,l talla baja,2012-10-01,1,1,2,1,6,13,9,15,24
ENTRE RIOS TRJ,estado nutricional,l talla baja,2012-10-01,4,4,14,7,10,19,28,30,58
ENTRE RIOS CBBA,estado nutricional,l talla baja,2012-10-01,7,8,28,23,32,14,67,45,112
ESCARA,estado nutricional,l talla baja,2012-10-01,0,0,1,0,0,0,1,0,1
ESCOMA,estado nutricional,l talla baja,2012-10-01,2,0,6,2,11,5,19,7,26
ESMERALDA,estado nutricional,l talla baja,2012-10-01,0,0,0,0,1,0,1,0,1
EUCALIPTUS,estado nutricional,l talla baja,2012-10-01,3,1,10,3,8,9,21,13,34
EUREKA (SANTOS MERCADO),estado nutricional,l talla baja,2012-10-01,2,1,1,5,6,5,9,11,20
EXALTACION,estado nutricional,l talla baja,2012-10-01,0,1,3,3,2,3,5,7,12
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-10-01,3,0,5,0,5,8,13,8,21
FILADELFIA,estado nutricional,l talla baja,2012-10-01,5,0,2,1,4,3,11,4,15
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-10-01,1,2,1,3,2,1,4,6,10
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-10-01,12,7,30,19,18,34,60,60,120
GUANAY,estado nutricional,l talla baja,2012-10-01,5,6,8,6,10,12,23,24,47
GUAQUI,estado nutricional,l talla baja,2012-10-01,1,5,12,3,5,7,18,15,33
GUAYARAMERIN,estado nutricional,l talla baja,2012-10-01,40,31,51,23,19,28,110,82,192
GUTIERREZ,estado nutricional,l talla baja,2012-10-01,15,12,25,22,34,29,74,63,137
HUACARETA,estado nutricional,l talla baja,2012-10-01,0,2,4,6,19,10,23,18,41
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-10-01,2,1,5,2,8,2,15,5,20
HUACHACALLA,estado nutricional,l talla baja,2012-10-01,2,0,5,0,6,4,13,4,17
HUANUNI,estado nutricional,l talla baja,2012-10-01,25,15,45,16,24,32,94,63,157
HUARACAJE,estado nutricional,l talla baja,2012-10-01,0,1,5,1,1,0,6,2,8
HUARINA,estado nutricional,l talla baja,2012-10-01,2,1,5,2,10,7,17,10,27
HUAYLLAMARCA,estado nutricional,l talla baja,2012-10-01,1,3,8,1,3,15,12,19,31
HUMANATA,estado nutricional,l talla baja,2012-10-01,3,3,13,7,11,18,27,28,55
ICHOCA,estado nutricional,l talla baja,2012-10-01,3,1,14,4,3,3,20,8,28
ICLA,estado nutricional,l talla baja,2012-10-01,6,9,25,12,118,79,149,100,249
INCAHUASI,estado nutricional,l talla baja,2012-10-01,17,12,56,29,51,51,124,92,216
INQUISIVI,estado nutricional,l talla baja,2012-10-01,2,2,7,5,7,16,16,23,39
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-10-01,1,1,1,1,4,1,6,3,9
IXIAMAS,estado nutricional,l talla baja,2012-10-01,2,0,5,1,2,3,9,4,13
JESUS DE MACHACA,estado nutricional,l talla baja,2012-10-01,5,8,10,9,15,17,30,34,64
LA ASUNTA,estado nutricional,l talla baja,2012-10-01,5,0,5,16,17,12,27,28,55
LA GUARDIA,estado nutricional,l talla baja,2012-10-01,3,6,7,9,7,4,17,19,36
LA PAZ,estado nutricional,l talla baja,2012-10-01,548,382,569,443,495,446,1612,1271,2883
LAGUNILLAS,estado nutricional,l talla baja,2012-10-01,0,3,1,3,5,12,6,18,24
LAJA,estado nutricional,l talla baja,2012-10-01,6,7,19,11,12,5,37,23,60
LAS CARRERAS,estado nutricional,l talla baja,2012-10-01,3,0,2,0,11,4,16,4,20
LICOMA PAMPA,estado nutricional,l talla baja,2012-10-01,0,0,6,2,4,9,10,11,21
LLALLAGUA,estado nutricional,l talla baja,2012-10-01,34,24,70,284,45,41,149,349,498
LLICA,estado nutricional,l talla baja,2012-10-01,2,1,7,2,5,4,14,7,21
LORETO,estado nutricional,l talla baja,2012-10-01,2,0,2,1,3,7,7,8,15
LURIBAY,estado nutricional,l talla baja,2012-10-01,3,0,10,5,12,7,25,12,37
MACHACAMARCA,estado nutricional,l talla baja,2012-10-01,2,1,6,1,1,5,9,7,16
MACHARETI,estado nutricional,l talla baja,2012-10-01,2,0,7,2,10,3,19,5,24
MAGDALENA,estado nutricional,l talla baja,2012-10-01,5,5,10,3,3,3,18,11,29
MAIRANA,estado nutricional,l talla baja,2012-10-01,2,1,9,9,7,6,18,16,34
MALLA,estado nutricional,l talla baja,2012-10-01,4,2,13,7,10,11,27,20,47
MAPIRI,estado nutricional,l talla baja,2012-10-01,2,1,4,7,8,14,14,22,36
MECAPACA,estado nutricional,l talla baja,2012-10-01,7,5,27,7,12,15,46,27,73
MINEROS,estado nutricional,l talla baja,2012-10-01,10,4,14,10,10,17,34,31,65
MIZQUE,estado nutricional,l talla baja,2012-10-01,18,13,42,51,38,40,98,104,202
MOCOMOCO,estado nutricional,l talla baja,2012-10-01,14,3,13,6,11,8,38,17,55
MOJINETE,estado nutricional,l talla baja,2012-10-01,0,2,2,1,1,0,3,3,6
MOJOCOYA,estado nutricional,l talla baja,2012-10-01,3,1,9,9,23,26,35,36,71
MONTEAGUDO,estado nutricional,l talla baja,2012-10-01,3,2,5,10,29,25,37,37,74
MONTERO,estado nutricional,l talla baja,2012-10-01,17,14,26,4,31,30,74,48,122
MORO MORO,estado nutricional,l talla baja,2012-10-01,0,1,4,2,2,0,6,3,9
MOROCHATA,estado nutricional,l talla baja,2012-10-01,39,22,60,34,66,55,165,111,276
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-10-01,0,0,4,2,8,7,12,9,21
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-10-01,0,0,2,0,4,8,6,8,14
OCURI,estado nutricional,l talla baja,2012-10-01,36,19,96,62,101,94,233,175,408
OKINAWA,estado nutricional,l talla baja,2012-10-01,0,0,2,2,1,1,3,3,6
OMEREQUE,estado nutricional,l talla baja,2012-10-01,0,0,1,1,4,1,5,2,7
ORURO,estado nutricional,l talla baja,2012-10-01,315,242,443,312,257,256,1015,810,1825
PADCAYA,estado nutricional,l talla baja,2012-10-01,4,1,7,5,6,5,17,11,28
PADILLA,estado nutricional,l talla baja,2012-10-01,6,3,18,14,43,28,67,45,112
PAILON,estado nutricional,l talla baja,2012-10-01,0,0,0,0,1,1,1,1,2
PALCA,estado nutricional,l talla baja,2012-10-01,13,8,18,14,26,15,57,37,94
PALOS BLANCOS,estado nutricional,l talla baja,2012-10-01,6,6,17,12,17,18,40,36,76
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-10-01,6,2,8,3,1,13,15,18,33
PAMPA GRANDE,estado nutricional,l talla baja,2012-10-01,4,0,8,2,1,2,13,4,17
PAPEL PAMPA,estado nutricional,l talla baja,2012-10-01,4,2,7,4,3,2,14,8,22
PASORAPA,estado nutricional,l talla baja,2012-10-01,0,1,0,4,2,4,2,9,11
PATACAMAYA,estado nutricional,l talla baja,2012-10-01,16,12,31,19,25,18,72,49,121
PAZÑA,estado nutricional,l talla baja,2012-10-01,9,3,15,7,28,22,52,32,84
PELECHUCO,estado nutricional,l talla baja,2012-10-01,1,4,12,7,10,6,23,17,40
POCOATA,estado nutricional,l talla baja,2012-10-01,31,22,81,65,78,89,190,176,366
POCONA,estado nutricional,l talla baja,2012-10-01,12,2,20,22,9,13,41,37,78
POJO (CBBA),estado nutricional,l talla baja,2012-10-01,3,6,13,5,11,12,27,23,50
POOPO,estado nutricional,l talla baja,2012-10-01,2,1,5,8,7,9,14,18,32
PORCO,estado nutricional,l talla baja,2012-10-01,11,11,20,10,14,22,45,43,88
POROMA,estado nutricional,l talla baja,2012-10-01,14,9,21,27,73,87,108,123,231
PORONGO,estado nutricional,l talla baja,2012-10-01,1,0,1,0,1,2,3,2,5
PORTACHUELO,estado nutricional,l talla baja,2012-10-01,1,10,2,4,2,4,5,18,23
PORVENIR,estado nutricional,l talla baja,2012-10-01,3,4,2,0,1,3,6,7,13
POSTRER VALLE,estado nutricional,l talla baja,2012-10-01,2,0,2,1,0,1,4,2,6
POTOSI,estado nutricional,l talla baja,2012-10-01,208,114,255,154,144,137,607,405,1012
PRESTO,estado nutricional,l talla baja,2012-10-01,11,9,26,17,54,48,91,74,165
PUCARA,estado nutricional,l talla baja,2012-10-01,1,0,1,1,3,3,5,4,9
PUCARANI,estado nutricional,l talla baja,2012-10-01,25,11,29,21,18,22,72,54,126
PUERTO ACOSTA,estado nutricional,l talla baja,2012-10-01,6,3,4,4,3,4,13,11,24
PUERTO CARABUCO,estado nutricional,l talla baja,2012-10-01,8,2,8,10,20,25,36,37,73
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-10-01,25,15,39,18,40,40,104,73,177
PUERTO PEREZ,estado nutricional,l talla baja,2012-10-01,2,0,2,3,2,4,6,7,13
PUERTO QUIJARRO,estado nutricional,l talla baja,2012-10-01,1,0,0,0,0,0,1,0,1
PUERTO RICO,estado nutricional,l talla baja,2012-10-01,1,2,14,10,15,9,30,21,51
PUERTO SILES,estado nutricional,l talla baja,2012-10-01,0,0,0,0,0,2,0,2,2
PUERTO SUAREZ,estado nutricional,l talla baja,2012-10-01,7,2,3,5,2,1,12,8,20
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-10-01,4,10,13,17,11,23,28,50,78
PUNA,estado nutricional,l talla baja,2012-10-01,4,11,39,24,37,52,80,87,167
PUNATA,estado nutricional,l talla baja,2012-10-01,7,8,11,26,11,10,29,44,73
QUIABAYA,estado nutricional,l talla baja,2012-10-01,0,0,0,0,1,2,1,2,3
QUILLACOLLO,estado nutricional,l talla baja,2012-10-01,28,20,67,55,34,34,129,109,238
QUIME,estado nutricional,l talla baja,2012-10-01,0,0,6,2,13,11,19,13,32
QUIRUSILLAS,estado nutricional,l talla baja,2012-10-01,0,0,3,1,0,1,3,2,5
RAVELO,estado nutricional,l talla baja,2012-10-01,41,31,99,93,160,192,300,316,616
REYES,estado nutricional,l talla baja,2012-10-01,3,5,7,4,3,4,13,13,26
RIBERALTA,estado nutricional,l talla baja,2012-10-01,68,49,143,89,72,70,283,208,491
