,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SAN ANDRES,estado nutricional,l 9.1 talla normal,2011-10-01,101,90,86,75,105,107,292,272,564
SAN ANDRES DE MACHACA,estado nutricional,l 9.1 talla normal,2011-10-01,27,31,18,24,34,23,79,78,157
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.1 talla normal,2011-10-01,12,14,7,6,8,12,27,32,59
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.1 talla normal,2011-10-01,59,58,41,51,115,116,215,225,440
SAN BENITO,estado nutricional,l 9.1 talla normal,2011-10-01,124,119,77,78,97,74,298,271,569
SAN BORJA,estado nutricional,l 9.1 talla normal,2011-10-01,441,412,291,255,251,299,983,966,1949
SAN BUENA VENTURA,estado nutricional,l 9.1 talla normal,2011-10-01,113,100,74,56,110,88,297,244,541
SAN CARLOS,estado nutricional,l 9.1 talla normal,2011-10-01,231,196,143,110,140,128,514,434,948
SAN IGNACIO,estado nutricional,l 9.1 talla normal,2011-10-01,310,243,186,206,239,245,735,694,1429
SAN IGNACIO DE VELASCO,estado nutricional,l 9.1 talla normal,2011-10-01,818,703,455,436,548,551,1821,1690,3511
SAN JAVIER(BNI),estado nutricional,l 9.1 talla normal,2011-10-01,19,29,17,14,28,24,64,67,131
SAN JAVIER(STC),estado nutricional,l 9.1 talla normal,2011-10-01,123,125,70,55,74,75,267,255,522
SAN JOAQUIN,estado nutricional,l 9.1 talla normal,2011-10-01,32,23,17,14,5,11,54,48,102
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.1 talla normal,2011-10-01,139,115,80,67,55,68,274,250,524
SAN JUAN DE YAPACANI,estado nutricional,l 9.1 talla normal,2011-10-01,74,78,39,37,54,60,167,175,342
SAN JULIAN,estado nutricional,l 9.1 talla normal,2011-10-01,310,291,192,190,174,175,676,656,1332
SAN LORENZO(PND),estado nutricional,l 9.1 talla normal,2011-10-01,64,72,39,55,65,65,168,192,360
SAN LORENZO(TJA),estado nutricional,l 9.1 talla normal,2011-10-01,158,176,152,143,148,140,458,459,917
SAN LUCAS,estado nutricional,l 9.1 talla normal,2011-10-01,141,253,104,148,206,214,451,615,1066
SAN MATIAS,estado nutricional,l 9.1 talla normal,2011-10-01,91,79,21,33,29,38,141,150,291
SAN MIGUEL DE VELASCO,estado nutricional,l 9.1 talla normal,2011-10-01,131,115,93,81,110,102,334,298,632
SAN PABLO DE LIPEZ,estado nutricional,l 9.1 talla normal,2011-10-01,29,26,18,15,12,14,59,55,114
SAN PEDRO,estado nutricional,l 9.1 talla normal,2011-10-01,182,144,129,119,146,120,457,383,840
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-10-01,229,229,174,158,160,157,563,544,1107
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.1 talla normal,2011-10-01,45,41,31,30,50,46,126,117,243
SAN PEDRO DE QUEMES,estado nutricional,l 9.1 talla normal,2011-10-01,1,2,1,0,5,8,7,10,17
SAN PEDRO DE TIQUINA,estado nutricional,l 9.1 talla normal,2011-10-01,26,27,24,26,33,20,83,73,156
SAN PEDRO(PND),estado nutricional,l 9.1 talla normal,2011-10-01,10,5,9,10,11,11,30,26,56
SAN RAFAEL,estado nutricional,l 9.1 talla normal,2011-10-01,47,58,44,67,70,75,161,200,361
SAN RAMON BENI,estado nutricional,l 9.1 talla normal,2011-10-01,39,34,25,25,28,31,92,90,182
SAN RAMON SCZ,estado nutricional,l 9.1 talla normal,2011-10-01,73,60,35,24,58,66,166,150,316
SANTA ANA,estado nutricional,l 9.1 talla normal,2011-10-01,175,162,102,90,81,79,358,331,689
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.1 talla normal,2011-10-01,7198,6530,3697,3396,3298,3057,14193,12983,27176
SANTA ROSA,estado nutricional,l 9.1 talla normal,2011-10-01,88,80,42,41,59,51,189,172,361
SANTA ROSA DEL SARA,estado nutricional,l 9.1 talla normal,2011-10-01,132,135,60,80,58,97,250,312,562
SANTIAGO DE CALLAPA,estado nutricional,l 9.1 talla normal,2011-10-01,30,31,30,32,8,19,68,82,150
SANTIAGO DE HUARI,estado nutricional,l 9.1 talla normal,2011-10-01,73,73,77,57,65,72,215,202,417
SANTIAGO DE HUATA,estado nutricional,l 9.1 talla normal,2011-10-01,40,28,33,35,26,25,99,88,187
SANTIAGO DE MACHACA,estado nutricional,l 9.1 talla normal,2011-10-01,34,20,16,21,27,27,77,68,145
SANTIVAÑES,estado nutricional,l 9.1 talla normal,2011-10-01,51,58,35,35,53,54,139,147,286
SANTUARIO DE QUILLACAS,estado nutricional,l 9.1 talla normal,2011-10-01,44,35,26,35,17,21,87,91,178
SAPAHAQUI,estado nutricional,l 9.1 talla normal,2011-10-01,61,51,43,54,66,67,170,172,342
SENA,estado nutricional,l 9.1 talla normal,2011-10-01,45,33,34,23,23,32,102,88,190
SHINAOTA,estado nutricional,l 9.1 talla normal,2011-10-01,346,297,189,169,336,241,871,707,1578
SICA SICA (VILLA AROMA),estado nutricional,l 9.1 talla normal,2011-10-01,186,138,147,149,137,161,470,448,918
SICAYA,estado nutricional,l 9.1 talla normal,2011-10-01,45,30,27,27,12,16,84,73,157
SIPE SIPE,estado nutricional,l 9.1 talla normal,2011-10-01,392,331,226,221,165,161,783,713,1496
SOPACHUY,estado nutricional,l 9.1 talla normal,2011-10-01,50,66,35,50,59,58,144,174,318
SORACACHI,estado nutricional,l 9.1 talla normal,2011-10-01,113,82,74,90,137,125,324,297,621
SORATA,estado nutricional,l 9.1 talla normal,2011-10-01,158,124,94,97,118,130,370,351,721
SUCRE,estado nutricional,l 9.1 talla normal,2011-10-01,3042,2765,2198,2056,2410,2157,7650,6978,14628
TACACHI,estado nutricional,l 9.1 talla normal,2011-10-01,5,5,2,6,9,12,16,23,39
TACACOMA,estado nutricional,l 9.1 talla normal,2011-10-01,53,50,36,33,52,38,141,121,262
TACOBAMBA,estado nutricional,l 9.1 talla normal,2011-10-01,62,60,51,45,52,55,165,160,325
TACOPAYA,estado nutricional,l 9.1 talla normal,2011-10-01,90,90,66,71,153,167,309,328,637
TAHUA,estado nutricional,l 9.1 talla normal,2011-10-01,5,5,3,3,4,6,12,14,26
TAPACARI,estado nutricional,l 9.1 talla normal,2011-10-01,159,233,131,129,136,169,426,531,957
TARABUCO,estado nutricional,l 9.1 talla normal,2011-10-01,112,133,90,114,151,143,353,390,743
TARACO,estado nutricional,l 9.1 talla normal,2011-10-01,24,11,26,17,9,14,59,42,101
TARATA,estado nutricional,l 9.1 talla normal,2011-10-01,70,101,55,67,53,48,178,216,394
TARIJA,estado nutricional,l 9.1 talla normal,2011-10-01,1397,1249,989,864,755,673,3141,2786,5927
TARVITA,estado nutricional,l 9.1 talla normal,2011-10-01,114,131,79,77,138,138,331,346,677
TEOPONTE,estado nutricional,l 9.1 talla normal,2011-10-01,124,92,70,56,76,80,270,228,498
TIAWANACU,estado nutricional,l 9.1 talla normal,2011-10-01,97,76,77,69,94,96,268,241,509
TINGUIPAYA,estado nutricional,l 9.1 talla normal,2011-10-01,133,118,89,74,89,79,311,271,582
TIPUANI,estado nutricional,l 9.1 talla normal,2011-10-01,129,70,85,52,68,56,282,178,460
TIQUIPAYA,estado nutricional,l 9.1 talla normal,2011-10-01,610,619,396,350,425,439,1431,1408,2839
TIRAQUE (CBBA),estado nutricional,l 9.1 talla normal,2011-10-01,203,207,153,155,88,104,444,466,910
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.1 talla normal,2011-10-01,7,8,7,6,10,4,24,18,42
TOCO,estado nutricional,l 9.1 talla normal,2011-10-01,59,43,32,29,49,44,140,116,256
TODOS SANTOS,estado nutricional,l 9.1 talla normal,2011-10-01,0,1,2,0,1,1,3,2,5
TOLATA,estado nutricional,l 9.1 talla normal,2011-10-01,65,62,30,37,42,38,137,137,274
TOLEDO,estado nutricional,l 9.1 talla normal,2011-10-01,45,24,45,34,47,47,137,105,242
TOMAVE,estado nutricional,l 9.1 talla normal,2011-10-01,90,77,72,76,88,78,250,231,481
TOMINA,estado nutricional,l 9.1 talla normal,2011-10-01,83,81,54,58,132,143,269,282,551
TORO TORO,estado nutricional,l 9.1 talla normal,2011-10-01,104,82,61,51,87,89,252,222,474
TOTORA(CBBA),estado nutricional,l 9.1 talla normal,2011-10-01,170,160,119,118,62,81,351,359,710
TOTORA(ORR),estado nutricional,l 9.1 talla normal,2011-10-01,46,48,39,41,36,55,121,144,265
TRIGAL,estado nutricional,l 9.1 talla normal,2011-10-01,9,11,14,15,25,35,48,61,109
TRINIDAD,estado nutricional,l 9.1 talla normal,2011-10-01,765,772,390,347,297,297,1452,1416,2868
TUPIZA,estado nutricional,l 9.1 talla normal,2011-10-01,283,259,200,188,223,205,706,652,1358
TURCO,estado nutricional,l 9.1 talla normal,2011-10-01,37,39,27,25,42,55,106,119,225
UMALA,estado nutricional,l 9.1 talla normal,2011-10-01,52,64,48,54,77,62,177,180,357
UNCIA,estado nutricional,l 9.1 talla normal,2011-10-01,134,143,105,76,58,62,297,281,578
URIONDO (A. CONCEPCION),estado nutricional,l 9.1 talla normal,2011-10-01,155,133,134,124,112,117,401,374,775
URUBICHA,estado nutricional,l 9.1 talla normal,2011-10-01,94,70,52,46,144,169,290,285,575
UYUNI,estado nutricional,l 9.1 talla normal,2011-10-01,210,223,137,151,91,96,438,470,908
VACAS,estado nutricional,l 9.1 talla normal,2011-10-01,79,92,79,70,113,125,271,287,558
VALLEGRANDE,estado nutricional,l 9.1 talla normal,2011-10-01,148,147,85,85,80,78,313,310,623
VIACHA,estado nutricional,l 9.1 talla normal,2011-10-01,476,430,365,331,323,285,1164,1046,2210
VILA VILA,estado nutricional,l 9.1 talla normal,2011-10-01,39,33,25,29,85,69,149,131,280
VILLA CHARCAS,estado nutricional,l 9.1 talla normal,2011-10-01,121,136,81,93,128,118,330,347,677
VILLA MONTES,estado nutricional,l 9.1 talla normal,2011-10-01,346,378,261,251,265,232,872,861,1733
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.1 talla normal,2011-10-01,48,55,31,37,51,55,130,147,277
VILLA RIVERO,estado nutricional,l 9.1 talla normal,2011-10-01,73,72,51,76,62,36,186,184,370
VILLA SERRANO,estado nutricional,l 9.1 talla normal,2011-10-01,100,103,109,72,100,115,309,290,599
VILLA TUNARI,estado nutricional,l 9.1 talla normal,2011-10-01,1102,982,749,656,805,679,2656,2317,4973
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.1 talla normal,2011-10-01,89,87,82,57,143,124,314,268,582
VILLAZON,estado nutricional,l 9.1 talla normal,2011-10-01,289,310,269,272,224,241,782,823,1605
VINTO,estado nutricional,l 9.1 talla normal,2011-10-01,401,304,202,166,117,122,720,592,1312
VITICHI,estado nutricional,l 9.1 talla normal,2011-10-01,71,80,61,46,74,82,206,208,414
WALDO BALLIVIAN,estado nutricional,l 9.1 talla normal,2011-10-01,14,20,13,9,4,4,31,33,64
WARNES,estado nutricional,l 9.1 talla normal,2011-10-01,484,407,232,231,258,251,974,889,1863
YACO,estado nutricional,l 9.1 talla normal,2011-10-01,60,73,49,37,59,50,168,160,328
YACUIBA,estado nutricional,l 9.1 talla normal,2011-10-01,689,607,528,481,465,423,1682,1511,3193
YAMPARAEZ,estado nutricional,l 9.1 talla normal,2011-10-01,46,55,40,39,81,91,167,185,352
YANACACHI,estado nutricional,l 9.1 talla normal,2011-10-01,81,56,44,40,64,47,189,143,332
YAPACANI,estado nutricional,l 9.1 talla normal,2011-10-01,504,477,345,360,253,249,1102,1086,2188
YOCALLA,estado nutricional,l 9.1 talla normal,2011-10-01,56,50,66,67,56,61,178,178,356
YOTALA,estado nutricional,l 9.1 talla normal,2011-10-01,55,54,69,48,99,117,223,219,442
YUNCHARA,estado nutricional,l 9.1 talla normal,2011-10-01,32,35,28,32,93,58,153,125,278
YUNGUYO DE LITORAL,estado nutricional,l 9.1 talla normal,2011-10-01,1,2,0,0,0,2,1,4,5
ZUDAÑEZ,estado nutricional,l 9.1 talla normal,2011-10-01,59,47,33,36,114,102,206,185,391
ACACIO,estado nutricional,l 9.1 talla normal,2011-11-01,45,38,32,41,29,32,106,111,217
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-11-01,304,314,228,183,170,159,702,656,1358
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-11-01,111,93,67,66,86,66,264,225,489
AIQUILE,estado nutricional,l 9.1 talla normal,2011-11-01,284,279,213,184,159,196,656,659,1315
ALALAY,estado nutricional,l 9.1 talla normal,2011-11-01,25,24,29,16,27,25,81,65,146
ALCALA,estado nutricional,l 9.1 talla normal,2011-11-01,24,24,18,22,47,47,89,93,182
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-11-01,102,95,61,56,89,65,252,216,468
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-11-01,53,69,39,60,50,50,142,179,321
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-11-01,21,20,15,36,49,37,85,93,178
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-11-01,28,19,12,21,23,22,63,62,125
ANZALDO,estado nutricional,l 9.1 talla normal,2011-11-01,64,52,46,49,38,35,148,136,284
APOLO,estado nutricional,l 9.1 talla normal,2011-11-01,194,180,98,103,167,162,459,445,904
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-11-01,29,42,31,28,41,33,101,103,204
ARANI,estado nutricional,l 9.1 talla normal,2011-11-01,140,103,67,73,66,47,273,223,496
ARBIETO,estado nutricional,l 9.1 talla normal,2011-11-01,93,95,67,66,117,103,277,264,541
ARQUE,estado nutricional,l 9.1 talla normal,2011-11-01,159,163,79,86,116,95,354,344,698
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-11-01,242,279,109,102,58,91,409,472,881
ATOCHA,estado nutricional,l 9.1 talla normal,2011-11-01,114,94,60,79,100,96,274,269,543
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-11-01,39,39,37,35,35,35,111,109,220
AYATA,estado nutricional,l 9.1 talla normal,2011-11-01,89,75,47,68,58,55,194,198,392
AYO AYO,estado nutricional,l 9.1 talla normal,2011-11-01,54,59,34,38,39,16,127,113,240
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-11-01,295,227,188,159,211,152,694,538,1232
AZURDUY,estado nutricional,l 9.1 talla normal,2011-11-01,95,97,74,79,115,122,284,298,582
BATALLAS,estado nutricional,l 9.1 talla normal,2011-11-01,108,134,60,98,81,89,249,321,570
BAURES,estado nutricional,l 9.1 talla normal,2011-11-01,46,45,40,25,66,54,152,124,276
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-11-01,6,7,10,16,12,16,28,39,67
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-11-01,9,16,9,9,11,7,29,32,61
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-11-01,32,33,35,25,34,48,101,106,207
BERMEJO,estado nutricional,l 9.1 talla normal,2011-11-01,258,256,179,175,130,150,567,581,1148
BETANZOS,estado nutricional,l 9.1 talla normal,2011-11-01,224,257,206,222,245,220,675,699,1374
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-11-01,46,58,43,53,50,63,139,174,313
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-11-01,20,16,9,25,37,26,66,67,133
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-11-01,29,23,21,20,44,46,94,89,183
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-11-01,113,108,85,69,117,82,315,259,574
CABEZAS,estado nutricional,l 9.1 talla normal,2011-11-01,107,122,90,74,70,80,267,276,543
CAIROMA,estado nutricional,l 9.1 talla normal,2011-11-01,79,83,51,69,71,73,201,225,426
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-11-01,85,74,86,75,46,56,217,205,422
CAJUATA,estado nutricional,l 9.1 talla normal,2011-11-01,80,81,49,46,70,45,199,172,371
CALACOTO,estado nutricional,l 9.1 talla normal,2011-11-01,24,37,29,28,24,14,77,79,156
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-11-01,88,90,73,63,53,67,214,220,434
CAMARGO,estado nutricional,l 9.1 talla normal,2011-11-01,116,128,102,83,106,123,324,334,658
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.1 talla normal,2011-11-01,31,23,31,18,51,40,113,81,194
CAMIRI,estado nutricional,l 9.1 talla normal,2011-11-01,351,298,223,219,255,249,829,766,1595
CAPINOTA,estado nutricional,l 9.1 talla normal,2011-11-01,113,114,55,76,40,31,208,221,429
CAQUIAVIRI,estado nutricional,l 9.1 talla normal,2011-11-01,63,94,70,48,50,37,183,179,362
CARACOLLO,estado nutricional,l 9.1 talla normal,2011-11-01,177,165,124,113,134,112,435,390,825
CARANAVI,estado nutricional,l 9.1 talla normal,2011-11-01,496,422,351,307,253,229,1100,958,2058
CARANGAS,estado nutricional,l 9.1 talla normal,2011-11-01,3,0,0,1,2,2,5,3,8
CARAPARI,estado nutricional,l 9.1 talla normal,2011-11-01,132,113,101,101,114,115,347,329,676
CARIPUYO,estado nutricional,l 9.1 talla normal,2011-11-01,71,77,45,43,68,55,184,175,359
CARMEN RIVERO TORREZ,estado nutricional,l 9.1 talla normal,2011-11-01,37,33,27,53,45,34,109,120,229
CATACORA,estado nutricional,l 9.1 talla normal,2011-11-01,5,6,5,5,10,8,20,19,39
CHACARILLA,estado nutricional,l 9.1 talla normal,2011-11-01,6,2,6,6,5,4,17,12,29
CHALLAPATA,estado nutricional,l 9.1 talla normal,2011-11-01,312,299,174,216,161,139,647,654,1301
CHAQUI,estado nutricional,l 9.1 talla normal,2011-11-01,72,47,35,48,37,40,144,135,279
CHARAGUA,estado nutricional,l 9.1 talla normal,2011-11-01,257,233,173,166,252,252,682,651,1333
CHARAÑA,estado nutricional,l 9.1 talla normal,2011-11-01,30,9,14,12,15,17,59,38,97
CHAYANTA,estado nutricional,l 9.1 talla normal,2011-11-01,122,104,60,57,40,71,222,232,454
CHIMORE,estado nutricional,l 9.1 talla normal,2011-11-01,102,96,64,46,81,75,247,217,464
CHIPAYA,estado nutricional,l 9.1 talla normal,2011-11-01,14,12,12,12,5,7,31,31,62
CHOQUE COTA,estado nutricional,l 9.1 talla normal,2011-11-01,10,3,10,6,7,6,27,15,42
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.1 talla normal,2011-11-01,101,99,63,58,86,82,250,239,489
CHUMA,estado nutricional,l 9.1 talla normal,2011-11-01,74,95,67,62,28,39,169,196,365
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.1 talla normal,2011-11-01,60,48,41,43,25,29,126,120,246
CKOCHAS,estado nutricional,l 9.1 talla normal,2011-11-01,138,131,80,96,96,90,314,317,631
CLIZA,estado nutricional,l 9.1 talla normal,2011-11-01,235,149,125,119,117,109,477,377,854
COBIJA,estado nutricional,l 9.1 talla normal,2011-11-01,388,349,246,221,190,172,824,742,1566
COCAPATA,estado nutricional,l 9.1 talla normal,2011-11-01,158,163,138,111,131,137,427,411,838
COCHABAMBA,estado nutricional,l 9.1 talla normal,2011-11-01,3136,2916,1828,1671,1504,1393,6468,5980,12448
COIPASA,estado nutricional,l 9.1 talla normal,2011-11-01,6,5,3,7,9,8,18,20,38
COLCAPIRHUA,estado nutricional,l 9.1 talla normal,2011-11-01,373,299,198,196,196,193,767,688,1455
"COLCHA ""K""",estado nutricional,l 9.1 talla normal,2011-11-01,96,96,74,84,86,90,256,270,526
COLLANA,estado nutricional,l 9.1 talla normal,2011-11-01,11,13,24,15,7,15,42,43,85
COLOMI,estado nutricional,l 9.1 talla normal,2011-11-01,255,198,121,102,85,58,461,358,819
COLPA BELGICA,estado nutricional,l 9.1 talla normal,2011-11-01,7,7,1,2,0,0,8,9,17
COLQUECHACA,estado nutricional,l 9.1 talla normal,2011-11-01,245,249,158,188,63,74,466,511,977
COLQUENCHA,estado nutricional,l 9.1 talla normal,2011-11-01,60,77,41,51,34,38,135,166,301
COLQUIRI,estado nutricional,l 9.1 talla normal,2011-11-01,133,146,72,86,101,96,306,328,634
COMANCHE,estado nutricional,l 9.1 talla normal,2011-11-01,20,37,18,20,19,34,57,91,148
COMARAPA,estado nutricional,l 9.1 talla normal,2011-11-01,186,168,89,107,64,45,339,320,659
COMBAYA,estado nutricional,l 9.1 talla normal,2011-11-01,11,21,17,16,31,23,59,60,119
CONCEPCION,estado nutricional,l 9.1 talla normal,2011-11-01,139,166,69,89,58,61,266,316,582
COPACABANA,estado nutricional,l 9.1 talla normal,2011-11-01,70,63,47,58,67,50,184,171,355
CORIPATA,estado nutricional,l 9.1 talla normal,2011-11-01,136,121,102,97,130,119,368,337,705
CORO CORO,estado nutricional,l 9.1 talla normal,2011-11-01,77,53,36,52,42,50,155,155,310
COROICO,estado nutricional,l 9.1 talla normal,2011-11-01,148,118,85,103,101,114,334,335,669
CORQUE,estado nutricional,l 9.1 talla normal,2011-11-01,76,39,37,46,50,40,163,125,288
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-11-01,137,148,105,129,151,156,393,433,826
COTOCA,estado nutricional,l 9.1 talla normal,2011-11-01,443,418,254,232,280,253,977,903,1880
CRUZ DE MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-11-01,1,0,0,1,1,1,2,2,4
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-11-01,132,112,98,87,100,88,330,287,617
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-11-01,16,10,9,9,15,15,40,34,74
CUEVO,estado nutricional,l 9.1 talla normal,2011-11-01,42,32,32,23,68,58,142,113,255
CULPINA,estado nutricional,l 9.1 talla normal,2011-11-01,168,162,145,134,158,185,471,481,952
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-11-01,39,56,36,29,52,45,127,130,257
CURVA,estado nutricional,l 9.1 talla normal,2011-11-01,26,21,16,7,21,8,63,36,99
DESAGUADERO,estado nutricional,l 9.1 talla normal,2011-11-01,32,20,30,15,21,35,83,70,153
EL ALTO,estado nutricional,l 9.1 talla normal,2011-11-01,5919,5617,3782,3816,3421,3332,13122,12765,25887
EL CHORO,estado nutricional,l 9.1 talla normal,2011-11-01,39,67,36,39,51,49,126,155,281
EL PUENTE(STC),estado nutricional,l 9.1 talla normal,2011-11-01,144,113,73,83,84,94,301,290,591
EL PUENTE(TJA),estado nutricional,l 9.1 talla normal,2011-11-01,44,45,43,36,60,73,147,154,301
EL TORNO,estado nutricional,l 9.1 talla normal,2011-11-01,395,376,195,211,191,211,781,798,1579
EL VILLAR,estado nutricional,l 9.1 talla normal,2011-11-01,28,30,21,29,72,73,121,132,253
ENTRE RIOS TRJ,estado nutricional,l 9.1 talla normal,2011-11-01,180,180,158,144,179,162,517,486,1003
ENTRE RIOS CBBA,estado nutricional,l 9.1 talla normal,2011-11-01,315,333,262,239,210,192,787,764,1551
ESCARA,estado nutricional,l 9.1 talla normal,2011-11-01,1,1,0,0,2,4,3,5,8
ESCOMA,estado nutricional,l 9.1 talla normal,2011-11-01,24,22,26,13,24,12,74,47,121
ESMERALDA,estado nutricional,l 9.1 talla normal,2011-11-01,1,0,2,1,2,0,5,1,6
EUCALIPTUS,estado nutricional,l 9.1 talla normal,2011-11-01,51,40,51,47,36,37,138,124,262
EUREKA (SANTOS MERCADO),estado nutricional,l 9.1 talla normal,2011-11-01,13,10,9,10,19,14,41,34,75
EXALTACION,estado nutricional,l 9.1 talla normal,2011-11-01,15,24,10,19,39,18,64,61,125
FERNANDEZ ALONSO,estado nutricional,l 9.1 talla normal,2011-11-01,72,60,46,41,50,61,168,162,330
FILADELFIA,estado nutricional,l 9.1 talla normal,2011-11-01,81,60,35,31,72,53,188,144,332
GENERAL SAAVEDRA,estado nutricional,l 9.1 talla normal,2011-11-01,162,144,94,95,96,97,352,336,688
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.1 talla normal,2011-11-01,98,91,57,74,59,85,214,250,464
GUANAY,estado nutricional,l 9.1 talla normal,2011-11-01,134,132,89,92,116,115,339,339,678
GUAQUI,estado nutricional,l 9.1 talla normal,2011-11-01,78,46,30,24,28,26,136,96,232
GUAYARAMERIN,estado nutricional,l 9.1 talla normal,2011-11-01,482,506,184,210,213,172,879,888,1767
GUTIERREZ,estado nutricional,l 9.1 talla normal,2011-11-01,144,144,135,135,194,199,473,478,951
HUACARETA,estado nutricional,l 9.1 talla normal,2011-11-01,83,80,68,63,95,95,246,238,484
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.1 talla normal,2011-11-01,20,20,25,15,41,46,86,81,167
HUACHACALLA,estado nutricional,l 9.1 talla normal,2011-11-01,10,1,3,2,9,5,22,8,30
HUANUNI,estado nutricional,l 9.1 talla normal,2011-11-01,180,172,102,101,81,113,363,386,749
HUARACAJE,estado nutricional,l 9.1 talla normal,2011-11-01,49,32,22,21,18,29,89,82,171
HUARINA,estado nutricional,l 9.1 talla normal,2011-11-01,39,33,23,29,21,17,83,79,162
HUAYLLAMARCA,estado nutricional,l 9.1 talla normal,2011-11-01,35,39,23,23,31,26,89,88,177
HUMANATA,estado nutricional,l 9.1 talla normal,2011-11-01,29,29,17,24,18,21,64,74,138
ICHOCA,estado nutricional,l 9.1 talla normal,2011-11-01,23,16,17,18,21,14,61,48,109
ICLA,estado nutricional,l 9.1 talla normal,2011-11-01,65,64,40,49,123,129,228,242,470
INCAHUASI,estado nutricional,l 9.1 talla normal,2011-11-01,101,116,71,78,100,117,272,311,583
INGAVI (HUMAITA),estado nutricional,l 9.1 talla normal,2011-11-01,33,12,12,9,11,12,56,33,89
INQUISIVI,estado nutricional,l 9.1 talla normal,2011-11-01,80,67,56,48,95,68,231,183,414
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.1 talla normal,2011-11-01,78,68,50,55,94,92,222,215,437
IXIAMAS,estado nutricional,l 9.1 talla normal,2011-11-01,103,93,48,53,45,54,196,200,396
JESUS DE MACHACA,estado nutricional,l 9.1 talla normal,2011-11-01,83,97,76,71,94,99,253,267,520
LA ASUNTA,estado nutricional,l 9.1 talla normal,2011-11-01,367,380,278,231,242,237,887,848,1735
LA GUARDIA,estado nutricional,l 9.1 talla normal,2011-11-01,622,571,206,275,253,241,1081,1087,2168
LA PAZ,estado nutricional,l 9.1 talla normal,2011-11-01,4230,3946,2831,2648,3136,2994,10197,9588,19785
LA RIVERA,estado nutricional,l 9.1 talla normal,2011-11-01,1,0,3,3,1,1,5,4,9
LAGUNILLAS,estado nutricional,l 9.1 talla normal,2011-11-01,57,41,45,56,113,83,215,180,395
LAJA,estado nutricional,l 9.1 talla normal,2011-11-01,129,120,86,70,58,66,273,256,529
LAS CARRERAS,estado nutricional,l 9.1 talla normal,2011-11-01,25,25,30,27,62,47,117,99,216
LICOMA PAMPA,estado nutricional,l 9.1 talla normal,2011-11-01,37,18,21,20,22,19,80,57,137
LLALLAGUA,estado nutricional,l 9.1 talla normal,2011-11-01,345,345,192,238,141,127,678,710,1388
LLICA,estado nutricional,l 9.1 talla normal,2011-11-01,27,28,33,24,22,26,82,78,160
LORETO,estado nutricional,l 9.1 talla normal,2011-11-01,36,45,43,41,60,52,139,138,277
LURIBAY,estado nutricional,l 9.1 talla normal,2011-11-01,60,74,47,46,47,71,154,191,345
