,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COLPA BELGICA,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,0,1,0,1,1,2,3
COLQUECHACA,estado nutricional,l 9.2 talla baja,2011-11-01,76,55,159,132,75,78,310,265,575
COLQUENCHA,estado nutricional,l 9.2 talla baja,2011-11-01,18,9,23,14,5,4,46,27,73
COLQUIRI,estado nutricional,l 9.2 talla baja,2011-11-01,18,17,18,18,44,50,80,85,165
COMANCHE,estado nutricional,l 9.2 talla baja,2011-11-01,12,4,10,8,14,12,36,24,60
COMARAPA,estado nutricional,l 9.2 talla baja,2011-11-01,11,4,17,10,6,4,34,18,52
COMBAYA,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,4,5,2,5,7,11,18
CONCEPCION,estado nutricional,l 9.2 talla baja,2011-11-01,9,6,14,13,11,4,34,23,57
COPACABANA,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,6,3,5,6,12,10,22
CORIPATA,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,3,1,3,4,6,5,11
CORO CORO,estado nutricional,l 9.2 talla baja,2011-11-01,5,9,14,8,11,16,30,33,63
COROICO,estado nutricional,l 9.2 talla baja,2011-11-01,8,4,12,15,17,23,37,42,79
CORQUE,estado nutricional,l 9.2 talla baja,2011-11-01,7,0,8,10,5,11,20,21,41
COTAGAITA,estado nutricional,l 9.2 talla baja,2011-11-01,22,9,51,33,67,60,140,102,242
COTOCA,estado nutricional,l 9.2 talla baja,2011-11-01,4,4,2,4,5,9,11,17,28
CUATRO CAÑADAS,estado nutricional,l 9.2 talla baja,2011-11-01,2,0,4,3,3,6,9,9,18
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.2 talla baja,2011-11-01,3,1,5,3,0,1,8,5,13
CUEVO,estado nutricional,l 9.2 talla baja,2011-11-01,3,2,5,5,8,7,16,14,30
CULPINA,estado nutricional,l 9.2 talla baja,2011-11-01,15,10,34,25,64,47,113,82,195
CURAHUARA DE CARANGAS,estado nutricional,l 9.2 talla baja,2011-11-01,12,8,11,7,18,11,41,26,67
CURVA,estado nutricional,l 9.2 talla baja,2011-11-01,4,1,8,5,13,8,25,14,39
DESAGUADERO,estado nutricional,l 9.2 talla baja,2011-11-01,2,2,5,1,3,5,10,8,18
EL ALTO,estado nutricional,l 9.2 talla baja,2011-11-01,439,261,534,363,402,349,1375,973,2348
EL CHORO,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,6,0,7,5,13,5,18
EL PUENTE(STC),estado nutricional,l 9.2 talla baja,2011-11-01,2,5,7,3,7,10,16,18,34
EL PUENTE(TJA),estado nutricional,l 9.2 talla baja,2011-11-01,10,0,11,5,17,11,38,16,54
EL TORNO,estado nutricional,l 9.2 talla baja,2011-11-01,1,6,6,6,15,8,22,20,42
EL VILLAR,estado nutricional,l 9.2 talla baja,2011-11-01,0,2,4,3,18,13,22,18,40
ENTRE RIOS TRJ,estado nutricional,l 9.2 talla baja,2011-11-01,5,3,13,9,22,21,40,33,73
ENTRE RIOS CBBA,estado nutricional,l 9.2 talla baja,2011-11-01,2,6,10,5,17,18,29,29,58
ESCARA,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,0,0,0,1,0,1
ESCOMA,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,2,6,2,3,4,9,13
EUCALIPTUS,estado nutricional,l 9.2 talla baja,2011-11-01,3,3,7,15,2,9,12,27,39
EUREKA (SANTOS MERCADO),estado nutricional,l 9.2 talla baja,2011-11-01,0,0,2,0,1,0,3,0,3
EXALTACION,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,2,2,5,3,8,7,15
FERNANDEZ ALONSO,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,2,1,3,2,5,7
FILADELFIA,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,5,2,2,1,8,3,11
GENERAL SAAVEDRA,estado nutricional,l 9.2 talla baja,2011-11-01,2,2,9,4,7,9,18,15,33
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.2 talla baja,2011-11-01,8,1,17,24,34,43,59,68,127
GUANAY,estado nutricional,l 9.2 talla baja,2011-11-01,4,2,4,8,9,13,17,23,40
GUAQUI,estado nutricional,l 9.2 talla baja,2011-11-01,4,2,4,8,10,2,18,12,30
GUAYARAMERIN,estado nutricional,l 9.2 talla baja,2011-11-01,52,16,30,8,14,21,96,45,141
GUTIERREZ,estado nutricional,l 9.2 talla baja,2011-11-01,9,5,25,23,41,47,75,75,150
HUACARETA,estado nutricional,l 9.2 talla baja,2011-11-01,4,0,7,5,11,5,22,10,32
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.2 talla baja,2011-11-01,4,2,3,3,8,5,15,10,25
HUACHACALLA,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,0,3,5,4,5,9
HUANUNI,estado nutricional,l 9.2 talla baja,2011-11-01,23,20,52,25,28,27,103,72,175
HUARACAJE,estado nutricional,l 9.2 talla baja,2011-11-01,3,0,2,1,3,1,8,2,10
HUARINA,estado nutricional,l 9.2 talla baja,2011-11-01,2,0,7,2,1,2,10,4,14
HUAYLLAMARCA,estado nutricional,l 9.2 talla baja,2011-11-01,5,2,6,6,9,18,20,26,46
HUMANATA,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,20,10,7,7,28,19,47
ICHOCA,estado nutricional,l 9.2 talla baja,2011-11-01,8,1,12,5,20,12,40,18,58
ICLA,estado nutricional,l 9.2 talla baja,2011-11-01,11,4,38,28,113,105,162,137,299
INCAHUASI,estado nutricional,l 9.2 talla baja,2011-11-01,34,20,35,29,65,51,134,100,234
INQUISIVI,estado nutricional,l 9.2 talla baja,2011-11-01,4,3,11,2,11,12,26,17,43
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.2 talla baja,2011-11-01,2,5,7,5,10,11,19,21,40
IXIAMAS,estado nutricional,l 9.2 talla baja,2011-11-01,4,1,1,2,6,3,11,6,17
JESUS DE MACHACA,estado nutricional,l 9.2 talla baja,2011-11-01,6,3,14,12,11,9,31,24,55
LA ASUNTA,estado nutricional,l 9.2 talla baja,2011-11-01,9,9,14,20,108,28,131,57,188
LA GUARDIA,estado nutricional,l 9.2 talla baja,2011-11-01,13,12,15,16,10,8,38,36,74
LA PAZ,estado nutricional,l 9.2 talla baja,2011-11-01,382,281,450,339,336,319,1168,939,2107
LAGUNILLAS,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,2,7,5,8,7,15
LAJA,estado nutricional,l 9.2 talla baja,2011-11-01,11,2,10,5,2,5,23,12,35
LAS CARRERAS,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,4,3,5,10,10,13,23
LICOMA PAMPA,estado nutricional,l 9.2 talla baja,2011-11-01,0,4,2,1,3,3,5,8,13
LLALLAGUA,estado nutricional,l 9.2 talla baja,2011-11-01,41,28,70,43,47,44,158,115,273
LLICA,estado nutricional,l 9.2 talla baja,2011-11-01,3,3,4,6,6,8,13,17,30
LORETO,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,1,0,1,1,3,1,4
LURIBAY,estado nutricional,l 9.2 talla baja,2011-11-01,9,6,12,14,18,16,39,36,75
MACHACAMARCA,estado nutricional,l 9.2 talla baja,2011-11-01,5,0,3,1,3,1,11,2,13
MACHARETI,estado nutricional,l 9.2 talla baja,2011-11-01,3,1,7,1,11,8,21,10,31
MAGDALENA,estado nutricional,l 9.2 talla baja,2011-11-01,4,2,4,1,3,7,11,10,21
MAIRANA,estado nutricional,l 9.2 talla baja,2011-11-01,2,3,7,3,5,2,14,8,22
MALLA,estado nutricional,l 9.2 talla baja,2011-11-01,8,4,9,6,13,6,30,16,46
MAPIRI,estado nutricional,l 9.2 talla baja,2011-11-01,0,3,13,9,14,6,27,18,45
MECAPACA,estado nutricional,l 9.2 talla baja,2011-11-01,11,3,14,12,13,15,38,30,68
MINEROS,estado nutricional,l 9.2 talla baja,2011-11-01,7,3,12,6,7,7,26,16,42
MIZQUE,estado nutricional,l 9.2 talla baja,2011-11-01,27,27,57,39,43,47,127,113,240
MOCOMOCO,estado nutricional,l 9.2 talla baja,2011-11-01,2,2,16,10,11,12,29,24,53
MOJINETE,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,3,1,3,5,7,8,15
MOJOCOYA,estado nutricional,l 9.2 talla baja,2011-11-01,2,6,15,9,16,23,33,38,71
MONTEAGUDO,estado nutricional,l 9.2 talla baja,2011-11-01,7,3,18,14,24,24,49,41,90
MONTERO,estado nutricional,l 9.2 talla baja,2011-11-01,21,15,36,14,18,25,75,54,129
MORO MORO,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,2,2,2,0,5,2,7
MOROCHATA,estado nutricional,l 9.2 talla baja,2011-11-01,19,14,32,38,32,47,83,99,182
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.2 talla baja,2011-11-01,3,1,7,4,3,0,13,5,18
NAZACARA DE PACAJES,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,2,0,1,1,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.2 talla baja,2011-11-01,0,0,0,5,0,3,0,8,8
OCURI,estado nutricional,l 9.2 talla baja,2011-11-01,40,30,101,64,79,106,220,200,420
OKINAWA,estado nutricional,l 9.2 talla baja,2011-11-01,0,2,3,3,0,0,3,5,8
OMEREQUE,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,3,0,1,0,4,0,4
ORURO,estado nutricional,l 9.2 talla baja,2011-11-01,240,208,413,243,191,189,844,640,1484
PADCAYA,estado nutricional,l 9.2 talla baja,2011-11-01,3,2,9,6,7,6,19,14,33
PADILLA,estado nutricional,l 9.2 talla baja,2011-11-01,4,7,13,12,41,42,58,61,119
PAILON,estado nutricional,l 9.2 talla baja,2011-11-01,2,1,5,2,4,4,11,7,18
PALCA,estado nutricional,l 9.2 talla baja,2011-11-01,12,9,17,9,6,7,35,25,60
PALOS BLANCOS,estado nutricional,l 9.2 talla baja,2011-11-01,4,3,13,9,13,13,30,25,55
PAMPA AULLAGAS,estado nutricional,l 9.2 talla baja,2011-11-01,6,3,4,8,8,4,18,15,33
PAMPA GRANDE,estado nutricional,l 9.2 talla baja,2011-11-01,2,0,7,4,5,5,14,9,23
PAPEL PAMPA,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,3,3,2,5,6,9,15
PASORAPA,estado nutricional,l 9.2 talla baja,2011-11-01,0,1,3,2,2,2,5,5,10
PATACAMAYA,estado nutricional,l 9.2 talla baja,2011-11-01,31,22,45,28,11,25,87,75,162
PAZÑA,estado nutricional,l 9.2 talla baja,2011-11-01,5,1,9,5,26,18,40,24,64
PELECHUCO,estado nutricional,l 9.2 talla baja,2011-11-01,4,4,12,9,6,3,22,16,38
POCOATA,estado nutricional,l 9.2 talla baja,2011-11-01,42,30,72,56,105,105,219,191,410
POCONA,estado nutricional,l 9.2 talla baja,2011-11-01,14,7,23,21,15,11,52,39,91
POJO (CBBA),estado nutricional,l 9.2 talla baja,2011-11-01,7,4,12,9,13,6,32,19,51
POOPO,estado nutricional,l 9.2 talla baja,2011-11-01,7,3,7,5,20,8,34,16,50
PORCO,estado nutricional,l 9.2 talla baja,2011-11-01,27,13,37,23,21,34,85,70,155
POROMA,estado nutricional,l 9.2 talla baja,2011-11-01,12,12,49,35,93,117,154,164,318
PORONGO,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,0,0,2,1,2,1,3
PORTACHUELO,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,1,0,0,1,1,2
PORVENIR,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,2,1,3,1,6,3,9
POSTRER VALLE,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,0,0,1,3,1,3,4
POTOSI,estado nutricional,l 9.2 talla baja,2011-11-01,204,140,271,167,138,138,613,445,1058
PRESTO,estado nutricional,l 9.2 talla baja,2011-11-01,9,3,38,13,59,52,106,68,174
PUCARA,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,0,2,2,3,2,5
PUCARANI,estado nutricional,l 9.2 talla baja,2011-11-01,15,18,43,27,21,12,79,57,136
PUERTO ACOSTA,estado nutricional,l 9.2 talla baja,2011-11-01,5,3,16,9,7,4,28,16,44
PUERTO CARABUCO,estado nutricional,l 9.2 talla baja,2011-11-01,5,3,20,15,24,23,49,41,90
PUERTO GONZALO MORENO,estado nutricional,l 9.2 talla baja,2011-11-01,8,7,22,15,28,12,58,34,92
PUERTO PEREZ,estado nutricional,l 9.2 talla baja,2011-11-01,2,0,5,2,2,0,9,2,11
PUERTO RICO,estado nutricional,l 9.2 talla baja,2011-11-01,2,3,7,5,10,5,19,13,32
PUERTO SILES,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,0,3,2,4,2,6
PUERTO SUAREZ,estado nutricional,l 9.2 talla baja,2011-11-01,4,2,5,0,1,0,10,2,12
PUERTO VILLARROEL,estado nutricional,l 9.2 talla baja,2011-11-01,8,9,39,33,40,27,87,69,156
PUNA,estado nutricional,l 9.2 talla baja,2011-11-01,23,12,47,48,52,61,122,121,243
PUNATA,estado nutricional,l 9.2 talla baja,2011-11-01,6,7,8,25,7,10,21,42,63
QUIABAYA,estado nutricional,l 9.2 talla baja,2011-11-01,1,3,2,2,4,2,7,7,14
QUILLACOLLO,estado nutricional,l 9.2 talla baja,2011-11-01,25,16,53,47,25,33,103,96,199
QUIME,estado nutricional,l 9.2 talla baja,2011-11-01,7,3,12,4,16,11,35,18,53
QUIRUSILLAS,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,0,0,0,0,1,0,1
RAVELO,estado nutricional,l 9.2 talla baja,2011-11-01,29,29,70,85,146,162,245,276,521
REYES,estado nutricional,l 9.2 talla baja,2011-11-01,6,5,6,4,7,7,19,16,35
RIBERALTA,estado nutricional,l 9.2 talla baja,2011-11-01,47,36,75,57,45,32,167,125,292
ROBORE,estado nutricional,l 9.2 talla baja,2011-11-01,2,3,1,0,1,0,4,3,7
RURRENABAQUE,estado nutricional,l 9.2 talla baja,2011-11-01,8,10,10,6,9,3,27,19,46
SABAYA,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,3,2,2,3,6,6,12
SACABA,estado nutricional,l 9.2 talla baja,2011-11-01,39,26,96,77,63,68,198,171,369
SACABAMBA,estado nutricional,l 9.2 talla baja,2011-11-01,7,8,10,9,14,24,31,41,72
SACACA,estado nutricional,l 9.2 talla baja,2011-11-01,37,33,97,65,112,125,246,223,469
SAIPINA,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,0,0,1,1,1,1,2
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.2 talla baja,2011-11-01,7,3,24,10,21,15,52,28,80
SAMAIPATA,estado nutricional,l 9.2 talla baja,2011-11-01,2,1,1,2,3,0,6,3,9
SAN AGUSTIN,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,0,2,1,1,2,3,5
SAN ANDRES,estado nutricional,l 9.2 talla baja,2011-11-01,3,1,4,6,5,4,12,11,23
SAN ANDRES DE MACHACA,estado nutricional,l 9.2 talla baja,2011-11-01,3,1,2,1,3,1,8,3,11
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.2 talla baja,2011-11-01,3,1,8,7,9,7,20,15,35
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.2 talla baja,2011-11-01,3,3,9,6,11,9,23,18,41
SAN BENITO,estado nutricional,l 9.2 talla baja,2011-11-01,10,3,20,21,9,7,39,31,70
SAN BORJA,estado nutricional,l 9.2 talla baja,2011-11-01,25,13,47,24,79,69,151,106,257
SAN BUENA VENTURA,estado nutricional,l 9.2 talla baja,2011-11-01,2,1,5,5,4,5,11,11,22
SAN CARLOS,estado nutricional,l 9.2 talla baja,2011-11-01,2,5,4,3,7,1,13,9,22
SAN IGNACIO,estado nutricional,l 9.2 talla baja,2011-11-01,13,7,19,17,34,24,66,48,114
SAN IGNACIO DE VELASCO,estado nutricional,l 9.2 talla baja,2011-11-01,33,16,32,25,38,21,103,62,165
SAN JAVIER(BNI),estado nutricional,l 9.2 talla baja,2011-11-01,2,0,0,0,1,2,3,2,5
SAN JAVIER(STC),estado nutricional,l 9.2 talla baja,2011-11-01,2,5,8,6,1,3,11,14,25
SAN JOAQUIN,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,0,3,2,1,3,4,7
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.2 talla baja,2011-11-01,4,4,4,4,2,3,10,11,21
SAN JUAN DE YAPACANI,estado nutricional,l 9.2 talla baja,2011-11-01,2,1,1,3,1,1,4,5,9
SAN JULIAN,estado nutricional,l 9.2 talla baja,2011-11-01,7,12,5,6,6,15,18,33,51
SAN LORENZO(PND),estado nutricional,l 9.2 talla baja,2011-11-01,5,1,7,4,7,5,19,10,29
SAN LORENZO(TJA),estado nutricional,l 9.2 talla baja,2011-11-01,5,6,17,10,15,12,37,28,65
SAN LUCAS,estado nutricional,l 9.2 talla baja,2011-11-01,23,39,51,73,100,103,174,215,389
SAN MATIAS,estado nutricional,l 9.2 talla baja,2011-11-01,2,1,7,4,1,2,10,7,17
SAN MIGUEL DE VELASCO,estado nutricional,l 9.2 talla baja,2011-11-01,11,12,33,18,20,16,64,46,110
SAN PABLO DE LIPEZ,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,3,4,2,2,5,6,11
SAN PEDRO,estado nutricional,l 9.2 talla baja,2011-11-01,2,0,5,2,6,1,13,3,16
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-11-01,55,31,94,76,86,89,235,196,431
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.2 talla baja,2011-11-01,2,3,0,8,11,8,13,19,32
SAN PEDRO DE QUEMES,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,0,0,1,0,2,2,4
SAN PEDRO DE TIQUINA,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,0,1,4,0,5,1,6
SAN PEDRO(PND),estado nutricional,l 9.2 talla baja,2011-11-01,1,0,2,0,2,1,5,1,6
SAN RAFAEL,estado nutricional,l 9.2 talla baja,2011-11-01,10,1,8,6,7,4,25,11,36
SAN RAMON BENI,estado nutricional,l 9.2 talla baja,2011-11-01,0,3,4,2,1,2,5,7,12
SAN RAMON SCZ,estado nutricional,l 9.2 talla baja,2011-11-01,1,0,3,0,3,0,7,0,7
SANTA ANA,estado nutricional,l 9.2 talla baja,2011-11-01,4,1,6,1,0,4,10,6,16
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.2 talla baja,2011-11-01,117,98,104,73,87,95,308,266,574
SANTA ROSA,estado nutricional,l 9.2 talla baja,2011-11-01,4,2,3,1,3,2,10,5,15
SANTA ROSA DEL SARA,estado nutricional,l 9.2 talla baja,2011-11-01,3,2,4,0,2,2,9,4,13
SANTIAGO DE CALLAPA,estado nutricional,l 9.2 talla baja,2011-11-01,2,6,7,7,2,2,11,15,26
SANTIAGO DE HUARI,estado nutricional,l 9.2 talla baja,2011-11-01,14,4,14,5,21,23,49,32,81
SANTIAGO DE HUATA,estado nutricional,l 9.2 talla baja,2011-11-01,4,3,8,1,1,0,13,4,17
SANTIAGO DE MACHACA,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,11,9,15,9,27,19,46
SANTIVAÑES,estado nutricional,l 9.2 talla baja,2011-11-01,4,0,7,5,12,13,23,18,41
SANTUARIO DE QUILLACAS,estado nutricional,l 9.2 talla baja,2011-11-01,5,1,13,7,7,10,25,18,43
SAPAHAQUI,estado nutricional,l 9.2 talla baja,2011-11-01,4,3,15,5,15,21,34,29,63
SENA,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,8,4,6,5,15,11,26
SHINAOTA,estado nutricional,l 9.2 talla baja,2011-11-01,3,4,10,15,11,14,24,33,57
SICA SICA (VILLA AROMA),estado nutricional,l 9.2 talla baja,2011-11-01,10,6,30,17,15,19,55,42,97
SICAYA,estado nutricional,l 9.2 talla baja,2011-11-01,7,2,15,8,14,12,36,22,58
SIPE SIPE,estado nutricional,l 9.2 talla baja,2011-11-01,8,23,43,38,41,23,92,84,176
SOPACHUY,estado nutricional,l 9.2 talla baja,2011-11-01,1,3,18,16,42,42,61,61,122
SORACACHI,estado nutricional,l 9.2 talla baja,2011-11-01,11,5,27,19,30,26,68,50,118
SORATA,estado nutricional,l 9.2 talla baja,2011-11-01,7,6,13,19,14,10,34,35,69
SUCRE,estado nutricional,l 9.2 talla baja,2011-11-01,116,98,219,158,244,248,579,504,1083
TACACHI,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,0,0,0,1,0,1,1
TACACOMA,estado nutricional,l 9.2 talla baja,2011-11-01,5,3,7,2,3,8,15,13,28
TACOBAMBA,estado nutricional,l 9.2 talla baja,2011-11-01,13,4,27,18,26,22,66,44,110
TACOPAYA,estado nutricional,l 9.2 talla baja,2011-11-01,25,4,29,18,73,66,127,88,215
TAHUA,estado nutricional,l 9.2 talla baja,2011-11-01,1,1,2,3,2,2,5,6,11
TAPACARI,estado nutricional,l 9.2 talla baja,2011-11-01,34,31,52,42,64,49,150,122,272
TARABUCO,estado nutricional,l 9.2 talla baja,2011-11-01,20,15,84,39,164,162,268,216,484
TARACO,estado nutricional,l 9.2 talla baja,2011-11-01,0,2,1,2,1,1,2,5,7
TARATA,estado nutricional,l 9.2 talla baja,2011-11-01,4,5,8,10,6,1,18,16,34
TARIJA,estado nutricional,l 9.2 talla baja,2011-11-01,122,19,38,33,29,27,189,79,268
TARVITA,estado nutricional,l 9.2 talla baja,2011-11-01,11,12,51,37,149,127,211,176,387
TEOPONTE,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,7,8,3,8,11,18,29
TIAWANACU,estado nutricional,l 9.2 talla baja,2011-11-01,10,3,30,15,9,8,49,26,75
TINGUIPAYA,estado nutricional,l 9.2 talla baja,2011-11-01,31,12,52,44,26,28,109,84,193
TIPUANI,estado nutricional,l 9.2 talla baja,2011-11-01,8,0,3,4,0,1,11,5,16
TIQUIPAYA,estado nutricional,l 9.2 talla baja,2011-11-01,22,32,70,53,67,63,159,148,307
TIRAQUE (CBBA),estado nutricional,l 9.2 talla baja,2011-11-01,17,29,34,56,21,24,72,109,181
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.2 talla baja,2011-11-01,1,0,1,0,2,1,4,1,5
TOCO,estado nutricional,l 9.2 talla baja,2011-11-01,2,2,6,0,2,1,10,3,13
TODOS SANTOS,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,1,0,0,1,1,1,2
TOLATA,estado nutricional,l 9.2 talla baja,2011-11-01,2,3,5,3,5,1,12,7,19
TOLEDO,estado nutricional,l 9.2 talla baja,2011-11-01,3,1,15,5,4,5,22,11,33
TOMAVE,estado nutricional,l 9.2 talla baja,2011-11-01,21,8,16,14,20,8,57,30,87
TOMINA,estado nutricional,l 9.2 talla baja,2011-11-01,8,5,21,10,78,85,107,100,207
TORO TORO,estado nutricional,l 9.2 talla baja,2011-11-01,12,11,24,29,45,64,81,104,185
TOTORA(CBBA),estado nutricional,l 9.2 talla baja,2011-11-01,10,12,28,30,12,13,50,55,105
TOTORA(ORR),estado nutricional,l 9.2 talla baja,2011-11-01,5,1,9,6,11,11,25,18,43
TRINIDAD,estado nutricional,l 9.2 talla baja,2011-11-01,21,10,14,11,25,17,60,38,98
TUPIZA,estado nutricional,l 9.2 talla baja,2011-11-01,22,10,31,16,39,41,92,67,159
TURCO,estado nutricional,l 9.2 talla baja,2011-11-01,2,2,6,3,8,5,16,10,26
UMALA,estado nutricional,l 9.2 talla baja,2011-11-01,5,1,12,10,5,5,22,16,38
UNCIA,estado nutricional,l 9.2 talla baja,2011-11-01,22,11,67,33,35,19,124,63,187
URIONDO (A. CONCEPCION),estado nutricional,l 9.2 talla baja,2011-11-01,1,1,1,2,3,4,5,7,12
URUBICHA,estado nutricional,l 9.2 talla baja,2011-11-01,9,5,10,3,1,1,20,9,29
UYUNI,estado nutricional,l 9.2 talla baja,2011-11-01,18,7,35,22,18,23,71,52,123
VACAS,estado nutricional,l 9.2 talla baja,2011-11-01,4,5,17,19,11,24,32,48,80
VALLEGRANDE,estado nutricional,l 9.2 talla baja,2011-11-01,10,1,5,5,6,1,21,7,28
VIACHA,estado nutricional,l 9.2 talla baja,2011-11-01,25,18,31,24,27,29,83,71,154
VILA VILA,estado nutricional,l 9.2 talla baja,2011-11-01,2,9,13,18,33,46,48,73,121
VILLA CHARCAS,estado nutricional,l 9.2 talla baja,2011-11-01,15,19,52,28,97,83,164,130,294
VILLA MONTES,estado nutricional,l 9.2 talla baja,2011-11-01,5,4,9,13,18,16,32,33,65
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.2 talla baja,2011-11-01,1,0,7,5,15,6,23,11,34
VILLA RIVERO,estado nutricional,l 9.2 talla baja,2011-11-01,1,4,13,13,13,9,27,26,53
VILLA SERRANO,estado nutricional,l 9.2 talla baja,2011-11-01,5,3,16,11,60,52,81,66,147
VILLA TUNARI,estado nutricional,l 9.2 talla baja,2011-11-01,27,23,69,70,88,97,184,190,374
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.2 talla baja,2011-11-01,2,1,7,8,17,15,26,24,50
VILLAZON,estado nutricional,l 9.2 talla baja,2011-11-01,42,31,71,32,32,36,145,99,244
VINTO,estado nutricional,l 9.2 talla baja,2011-11-01,4,6,27,52,19,21,50,79,129
VITICHI,estado nutricional,l 9.2 talla baja,2011-11-01,11,13,23,15,36,29,70,57,127
WALDO BALLIVIAN,estado nutricional,l 9.2 talla baja,2011-11-01,6,0,3,2,0,5,9,7,16
WARNES,estado nutricional,l 9.2 talla baja,2011-11-01,5,1,3,6,8,12,16,19,35
YACO,estado nutricional,l 9.2 talla baja,2011-11-01,10,11,14,13,33,27,57,51,108
YACUIBA,estado nutricional,l 9.2 talla baja,2011-11-01,4,7,6,8,12,6,22,21,43
YAMPARAEZ,estado nutricional,l 9.2 talla baja,2011-11-01,5,2,17,13,59,73,81,88,169
YANACACHI,estado nutricional,l 9.2 talla baja,2011-11-01,0,0,0,1,4,3,4,4,8
YAPACANI,estado nutricional,l 9.2 talla baja,2011-11-01,2,2,9,1,10,7,21,10,31
YOCALLA,estado nutricional,l 9.2 talla baja,2011-11-01,9,1,15,4,12,6,36,11,47
YOTALA,estado nutricional,l 9.2 talla baja,2011-11-01,5,6,9,6,29,24,43,36,79
YUNCHARA,estado nutricional,l 9.2 talla baja,2011-11-01,8,2,11,4,34,30,53,36,89
YUNGUYO DE LITORAL,estado nutricional,l 9.2 talla baja,2011-11-01,1,2,0,0,0,2,1,4,5
ZUDAÑEZ,estado nutricional,l 9.2 talla baja,2011-11-01,6,2,16,4,65,60,87,66,153
ACACIO,estado nutricional,l 9.2 talla baja,2011-12-01,15,6,17,12,37,43,69,61,130
ACHACACHI,estado nutricional,l 9.2 talla baja,2011-12-01,15,10,30,18,8,13,53,41,94
ACHOCALLA,estado nutricional,l 9.2 talla baja,2011-12-01,6,4,1,3,3,3,10,10,20
AIQUILE,estado nutricional,l 9.2 talla baja,2011-12-01,14,12,27,31,27,29,68,72,140
ALALAY,estado nutricional,l 9.2 talla baja,2011-12-01,7,3,10,11,7,6,24,20,44
ALCALA,estado nutricional,l 9.2 talla baja,2011-12-01,2,0,4,3,18,12,24,15,39
