,group,variable,month,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
TOTORA(CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,1,3,5
TOTORA(ORR),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,2,0,0,7
TRIGAL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,65,70,7,3,145
TUPIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,32,31,11,8,82
TURCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,6,6,13
UMALA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,5,13,16,37
UNCIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,19,8,20,13,60
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,7,5,0,18
URUBICHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,1,0,0,6
UYUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,23,25,0,0,48
VACAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,0,5,4,11
VALLEGRANDE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,7,1,0,19
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,47,34,7,10,98
VILA VILA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,2,4,5,14
VILLA CHARCAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,17,18,8,7,50
VILLA MONTES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,23,20,12,5,60
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,0,0,0,2
VILLA SERRANO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,13,7,4,10,34
VILLA TUNARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,76,56,38,30,200
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,4,2,2,20
VILLAZON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,43,40,3,7,93
VINTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,31,47,1,2,81
VITICHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,14,16,2,2,34
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,2,0,2
WARNES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,94,85,5,4,188
YACO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,10,9,7,7,33
YACUIBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,90,77,29,23,219
YAMPARAEZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,6,4,2,19
YANACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,0,0,3
YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,26,25,13,12,76
YOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,3,0,1,7
YOTALA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,14,8,9,38
YUNCHARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,12,15,33
ZUDAÑEZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,7,10,14,32
ACACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,2,1,1,9
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,10,13,19,47
ACHOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,0,0,1
AIQUILE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,3,8,6,21
ALCALA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,8,2,2,18
ANCORAIMES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,2,0,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,3,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,4,5
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,16,7,6,40
ARAMPAMPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,4,5
ARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,3,5,6,19
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,7,3,1,16
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,3,5,3,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,31,34,0,0,65
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,2,1,0,6
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,2,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,2,3,3,12
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,9,9,8,4,30
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,4,0,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,2,2,4
BELLA FLOR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,2,1,5
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,10,5,7,33
BETANZOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,2,0,0,2
BOLPEBRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,0,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,23,35,3,3,64
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,7,1,2,16
CAIROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,0,5,7
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,0,2,3
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,12,10,6,7,35
CALACOTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,4,0,0,9
CALAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,13,12,0,0,25
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,6,0,5,18
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,13,0,0,19
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,8,4,3,21
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,2,0,0,6
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,9,8,12,11,40
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,33,40,93,86,252
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,5,11,8,27
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,13,15,1,5,34
CHARAGUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,6,17,5,31
CHARAÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,2,3,4,13
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,8,0,1,17
CHIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,2,7,9
CHUA COCANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,4,4,1,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,15,0,0,26
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,3,0,0,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,3,16,13,32
CKOCHAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,5,26,29,64
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,28,20,29,36,113
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,49,41,7,4,101
COCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,3,2,10,17
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,422,414,52,58,946
COIPASA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,4,1,5
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,59,54,35,26,174
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,12,1,4,27
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,10,3,1,21
COLQUECHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,10,14,10,42
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,7,2,2,22
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,2,2,1,8
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,6,2,0,18
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,16,27,3,2,48
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,0,0,0,2
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,5,1,1,18
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,4,1,1,6
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,3,6,3,13
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,1,3,0,7
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,1,2
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,91,60,20,18,189
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,3,1,3,8
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,2,1,5
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,0,0,0,2
CURVA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,4,5
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,317,345,17,30,709
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,5,7,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,6,0,0,13
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,4,1,1,11
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,23,35,0,0,58
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,12,0,4,20
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,5,1,0,12
EUCALIPTUS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,1,4,1,8
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,0,0,2
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,3,1,0,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,2,0,0,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,4,2,1,8
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,5,1,4,16
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,27,28,14,12,81
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,0,0,0,4
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,17,10,0,0,27
HUARACAJE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,1,0,2
HUATAJATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,1,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,2,0,0,4
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,1,0,1,4
ICLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,1,2
INQUISIVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,4,3,0,10
IXIAMAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,5,3,5,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,0,3,2,7
LA ASUNTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,36,36,20,16,108
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,58,48,2,0,108
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,163,194,13,13,383
LAGUNILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,2,7,3,14
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,4,1,1,14
LAS CARRERAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,0,1,1
LLALLAGUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,10,10,20
MACHACAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,2,0,0,2
MAGDALENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,5,0,0,12
MAIRANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,8,0,0,13
MAPIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,7,5,5,24
MECAPACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,0,1,3
MINEROS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,0,2,0,5
MIZQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,10,2,2,22
MOCOMOCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,2,2,4
MONTEAGUDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,9,3,0,0,12
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,93,94,3,1,191
MORO MORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,1,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,4,4,10
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,5,2,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,6,0,0,16
OCURI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,0,0,1
OKINAWA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,13,1,0,22
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,128,144,1,0,273
PADCAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,14,7,1,2,24
PADILLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,4,1,1,7
PAILON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,0,0,1,9
PALCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,3,2,2,9
PALOS BLANCOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,14,11,3,3,31
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,0,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,1,2,4,9
PAZÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,1,1,1,6
PELECHUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,0,1,0,2
POCOATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,5,6
POCONA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,7,0,4,14
POJO (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,3,4,3,15
PORCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,6,4,6,23
POROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,14,13,12,46
PORONGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,2,0,0,2
PORTACHUELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,15,0,0,26
PORVENIR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,0,0,0,2
POTOSI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,235,226,6,5,472
PRESTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,1,0,2,5
PUCARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,8,17,15,16,56
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,4,2,2,4,12
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,3,7,6,18
PUERTO PEREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,7,4,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,26,23,0,0,49
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,0,1,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,7,18,0,0,25
PUNA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,5,2,7,9,23
PUNATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,18,18,3,8,47
QUILLACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,58,49,54,54,215
QUIME,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,1,7,3,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,2,1,0,4
RAVELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,6,1,2,12
RIBERALTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,10,13,5,4,32
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,14,15,5,2,36
RURRENABAQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,1,1,0,0,2
SACABA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,34,35,9,2,80
SACACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,2,8,15,28
SAIPINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,5,7,7,21
SAMAIPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,3,5,0,1,9
SAN AGUSTIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,2,2,0,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,6,4,0,0,10
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-08-01,11,20,1,1,33
