,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,11,13,12,10,46
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,7,11,3,3,24
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,55,46,15,17,133
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,14,16,6,10,46
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,1,0,0,0,1
TOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,4,4,1,0,9
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,1,3,2,1,7
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,2,3,0,1,6
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,11,6,7,4,28
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,5,4,3,3,15
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,3,4,8,9,24
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,10,8,6,7,31
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,1,2,0,1,4
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,0,1,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,141,128,2,3,274
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,40,27,5,5,77
TURCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,2,0,0,0,2
UMALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,2,2,3,1,8
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,16,20,4,3,43
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,5,14,2,4,25
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,6,7,4,3,20
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,23,25,1,1,50
VACAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,5,4,4,3,16
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,15,13,3,3,34
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,51,53,6,0,110
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,2,3,2,2,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,8,6,5,9,28
VILLA MONTES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,40,55,8,5,108
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,3,2,2,1,8
VILLA RIVERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,3,5,1,3,12
VILLA SERRANO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,4,4,4,0,12
VILLA TUNARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,75,68,6,6,155
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,7,6,2,1,16
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,37,43,3,3,86
VINTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,60,44,11,16,131
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,7,5,1,2,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,0,1,1,0,2
WARNES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,127,128,1,2,258
YACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,0,5,2,1,8
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,158,132,11,11,312
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,6,4,3,1,14
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,5,5,0,0,10
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,52,42,11,18,123
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,5,5,3,5,18
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,4,4,1,1,10
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,1,2,3,5,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-10-01,3,3,3,3,12
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,0,3,3,7
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,21,10,13,9,53
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,7,9,5,31
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,14,13,9,7,43
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,0,2,5
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,5,0,0,10
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,11,3,1,18
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,0,0,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,0,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,3,3,4,11
APOLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,9,5,3,26
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,0,2,4,10
ARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,5,3,3,17
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,10,10,7,40
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,6,3,1,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,29,19,5,7,60
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,5,1,1,15
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,1,4,2,11
AYATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,4,4,4,14
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,12,0,0,21
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,15,14,9,49
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,7,2,7,22
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,9,4,4,27
BAURES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,1,1,0,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,0,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,0,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,3,4,1,9
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,28,22,3,3,56
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,12,18,8,7,45
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,3,1,1,8
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,3,1,0,6
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,11,8,1,30
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,22,24,19,17,82
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,7,2,2,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,2,1,3,17
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,8,0,0,21
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,1,1,4
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,6,2,1,17
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,5,2,2,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,1,0,4
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,36,31,1,0,68
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,18,11,7,5,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,2,0,0,7
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,16,12,6,4,38
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,36,34,6,6,82
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,13,0,3,24
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,1,3,2,9
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,7,7,18
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,0,0,1,2
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,0,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,20,21,9,4,54
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,4,1,0,10
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,14,15,19,15,63
CHARAÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,0,1,1,4
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,5,4,10,27
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,26,12,3,1,42
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,0,0,0,4
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,0,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,18,4,5,36
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,3,3,2,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,8,2,4,19
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,7,12,7,1,27
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,16,18,2,0,36
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,54,43,13,13,123
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,7,8,15,14,44
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,619,606,6,3,1234
COIPASA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,0,0,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,33,37,0,0,70
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,11,1,3,19
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,3,1,1,8
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,23,14,1,0,38
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,6,0,0,9
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,12,9,15,47
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,4,0,1,16
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,14,8,5,33
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,1,1,0,5
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,23,16,0,1,40
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,2,0,1,6
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,14,21,1,4,40
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,0,4,3,12
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,11,1,0,23
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,4,0,2,12
COROICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,5,6,10,27
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,0,2,2,4
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,17,4,3,34
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,56,63,11,12,142
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,17,19,10,10,56
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,2,0,0,3
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,2,2,4,12
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,12,6,4,3,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,5,0,0,7
CURVA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,2,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,5,0,0,8
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,656,631,166,156,1609
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,2,1,3,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,14,0,1,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,12,3,2,4,21
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,40,43,10,2,95
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,0,1,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,15,15,3,2,35
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,33,40,0,1,74
ESCARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,0,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,1,1,4
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,6,1,1,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,2,1,1,4
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,2,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,2,0,6
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,1,2,0,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,15,3,0,0,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,4,7,2,17
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,8,4,2,27
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,0,3,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,37,33,10,6,86
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,5,7,6,28
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,8,3,1,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,0,1,5
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,1,0,2
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,14,17,1,2,34
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,2,0,0,7
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,4,2,2,12
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,2,3,9
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,0,0,3
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,0,0,1
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,2,2,8
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,7,3,6,26
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,0,1,0,2
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,4,6,6,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,7,2,3,25
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,7,5,3,23
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,7,2,0,20
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,35,32,7,7,81
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,94,92,3,4,193
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,570,561,6,7,1144
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,9,0,2,13
LAJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,17,6,1,37
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,0,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,1,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,23,25,22,36,106
LLICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,3,1,0,7
LORETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,1,8,5,17
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,7,3,0,2,12
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,0,0,2
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,6,1,1,12
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,16,2,2,33
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,7,0,0,11
MALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,2,0,3
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,18,5,3,35
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,4,0,1,7
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,5,0,0,7
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,20,11,6,8,45
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,3,2,2,8
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,2,1,2,10
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,20,18,3,2,43
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,172,148,4,5,329
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,12,5,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,4,4,1,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,4,0,0,6
OCURI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,10,7,5,6,28
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,15,7,0,0,22
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,3,3,0,10
ORURO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,249,278,14,24,565
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,13,9,1,3,26
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,6,0,1,11
PAILON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,22,23,20,15,80
PALCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,19,13,3,2,37
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,21,15,1,2,39
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,4,0,3,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,7,9,0,1,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,2,0,1,3
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,0,2,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,18,23,1,5,47
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,0,1,5
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,3,0,1,13
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,3,21,9,39
POCONA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,11,8,1,4,24
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,7,4,2,19
POOPO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,4,0,0,9
PORCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,8,8,1,0,17
POROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,12,4,8,5,29
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,6,4,2,1,13
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,22,20,1,0,43
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,4,2,1,12
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,211,209,24,19,463
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,3,1,1,7
PUCARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,1,0,0,3
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,17,15,10,6,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,1,5,12,21
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,1,6,6,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,1,3,1,2,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,2,2,0,0,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,11,0,0,20
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,4,0,1,14
PUERTO SILES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,0,2,0,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,9,12,2,1,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,63,46,3,10,122
PUNA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,5,3,8,10,26
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,22,21,0,1,44
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,3,1,0,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,89,90,45,30,254
QUIME,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-11-01,4,5,3,2,14
