,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,6,2,1,1,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,9,8,0,0,17
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,18,11,2,8,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1527,1391,41,45,3004
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,12,6,0,0,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,10,17,0,1,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,0,1,0,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,2,2,4,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,1,1,0,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,3,0,1,7
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,9,2,3,21
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,2,0,0,7
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,2,0,1,10
SENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,6,6,0,5,17
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,22,21,1,0,44
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,13,13,1,2,29
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,5,0,0,6
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,69,54,1,4,128
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,2,3,3,2,10
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,8,3,1,0,12
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,10,6,11,8,35
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,295,299,4,8,606
TACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,0,0,1,2
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,2,3,6,16
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,4,7,4,20
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,4,5,3,19
TAHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,0,1,0,4
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,13,16,8,10,47
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,9,5,1,2,17
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,2,1,2,0,5
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,13,4,1,23
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,181,194,5,4,384
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,5,5,3,18
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,10,1,3,21
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,6,9,0,1,16
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,14,14,12,9,49
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,6,9,4,1,20
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,62,49,17,17,145
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,14,15,6,10,45
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,0,0,0,1
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,4,4,1,0,9
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,0,3,2,1,6
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,2,2,0,1,5
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,13,7,7,4,31
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,4,3,3,15
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,4,8,9,24
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,10,7,7,7,31
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,2,0,1,4
TRIGAL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,0,1,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,156,138,2,1,297
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,40,27,4,5,76
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,2,0,0,0,2
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,2,2,3,1,8
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,16,20,3,3,42
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,6,10,2,3,21
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,4,4,3,12
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,20,23,1,1,45
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,4,4,3,16
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,16,11,4,3,34
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,51,53,6,0,110
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,3,2,2,10
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,8,6,5,9,28
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,41,54,8,6,109
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,2,2,1,8
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,5,1,3,12
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,4,4,4,0,12
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,70,67,4,3,144
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,6,3,1,17
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,38,43,3,2,86
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,62,52,8,11,133
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,4,1,2,14
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,0,1,1,0,2
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,117,118,1,0,236
YACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,0,5,1,1,7
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,164,109,13,12,298
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,6,4,3,1,14
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,5,5,0,0,10
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,56,54,9,16,135
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,7,3,3,5,18
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,4,4,1,1,10
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,1,2,3,3,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-10-01,3,3,3,3,12
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,0,3,3,7
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,21,10,14,8,53
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,7,9,4,30
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,12,8,6,40
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,0,2,5
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,5,0,0,10
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,12,3,1,19
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,0,0,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,0,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,3,3,4,12
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,9,9,5,3,26
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,0,2,4,10
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,5,2,3,16
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,10,10,7,40
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,8,5,3,1,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,32,21,2,5,60
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,8,5,1,2,16
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,1,4,2,11
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,4,4,4,14
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,13,1,0,24
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,11,15,13,8,47
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,7,2,7,22
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,7,2,4,23
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,11,1,1,0,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,0,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,0,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,3,4,0,8
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,27,21,4,3,55
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,12,18,7,7,44
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,3,1,1,8
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,0,1,2
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,3,1,0,6
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,10,8,1,29
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,23,20,12,16,71
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,7,2,2,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,11,2,1,3,17
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,8,0,0,21
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,0,0,2,6
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,7,6,2,2,17
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,5,1,2,18
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,1,0,4
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,36,31,0,0,67
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,10,7,5,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,2,0,0,7
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,12,5,4,35
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,36,34,6,7,83
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,8,12,0,3,23
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,1,3,2,9
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,2,7,7,17
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,0,0,1,2
CHACARILLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,2,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,18,20,8,2,48
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,4,1,0,10
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,15,14,13,56
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,0,1,1,4
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,7,5,4,9,25
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,22,10,1,2,35
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,0,0,0,4
CHOQUE COTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,0,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,9,17,3,5,34
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,3,3,2,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,6,2,4,17
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,12,5,2,25
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,16,16,1,0,33
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,53,42,12,13,120
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,7,10,15,15,47
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,599,587,2,2,1190
COIPASA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,0,0,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,32,37,0,0,69
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,10,1,3,18
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,3,1,1,9
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,22,12,0,0,34
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,6,0,0,9
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,11,11,9,14,45
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,8,4,0,1,13
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,14,6,5,31
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,0,1,0,3
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,22,16,0,1,39
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,2,0,1,5
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,21,1,4,39
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,0,2,3,11
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,11,1,0,22
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,7,4,0,2,13
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,4,6,7,23
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,0,1,2,3
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,17,4,3,34
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,52,57,8,7,124
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,17,16,9,11,53
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,2,0,0,3
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,2,2,4,12
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,6,2,4,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,5,0,0,7
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,2,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,5,0,0,8
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,609,609,139,171,1528
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,2,1,2,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,6,18,0,0,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,9,3,2,4,18
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,40,43,6,2,91
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,0,1,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,15,14,5,4,38
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,30,35,0,1,66
ESCARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,0,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,1,0,3
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,6,1,1,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,1,1,3
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,0,1,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,2,0,3
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,1,2,0,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,18,6,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,4,7,2,17
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,8,4,2,27
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,0,3,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,36,25,12,8,81
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,5,6,6,27
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,7,3,1,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,2,0,1,5
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,1,0,2
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,16,1,2,33
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,2,0,0,7
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,3,2,2,11
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,2,2,3,9
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,0,0,3
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,0,0,1
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,2,2,2,8
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,7,3,6,26
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,0,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,4,4,6,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,12,5,2,3,22
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,10,7,2,32
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,12,7,3,1,23
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,30,30,7,7,74
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,70,77,5,5,157
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,585,554,5,7,1151
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,9,0,2,13
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,13,16,6,0,35
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,0,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,1,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,23,25,22,35,105
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,3,3,1,0,7
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,12,10,25
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,7,3,0,2,12
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,1,0,0,2
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,4,7,1,1,13
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,16,2,1,33
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,7,8,0,0,15
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,2,0,3
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,9,18,2,3,32
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,4,3,1,10
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,5,0,0,7
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,18,11,7,7,43
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,3,2,2,8
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,5,2,1,2,10
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,19,16,4,2,41
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,142,141,2,5,290
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,1,12,5,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,1,4,3,1,9
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,2,4,0,0,6
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,10,7,5,6,28
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-11-01,14,11,0,0,25
