,group,variable,month,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,5,5,3,17
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,16,13,0,0,29
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,3,0,0,7
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,13,7,3,3,26
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,1,1,1,6
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,11,2,2,29
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,46,59,0,2,107
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,17,26,6,4,53
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,3,2,2,10
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,9,10,6,1,26
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,1,0,1,6
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,1,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,2,0,0,5
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,676,714,152,163,1705
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,1,0,0,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,5,2,0,8
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,13,1,1,22
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,52,50,5,4,111
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,3,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,14,1,7,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,48,29,1,0,78
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,0,0,4
ESMERALDA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,0,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,1,0,2,3
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,2,0,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,4,0,0,9
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,1,3,2,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,15,15,0,0,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,3,6,4,24
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,10,3,3,22
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,2,1,1,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,48,53,6,2,109
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,9,7,3,22
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,7,5,1,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,2,1,0,4
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,0,0,4
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,18,18,0,1,37
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,3,0,0,8
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,2,0,2,7
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,2,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,2,0,1,6
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,0,2,2,4
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,3,1,3,7
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,4,1,3,11
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,2,4,6,19
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,4,3,5,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,6,5,5,21
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,10,11,2,3,26
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,10,9,0,0,19
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,47,38,9,8,102
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,105,78,1,0,184
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,659,656,5,1,1321
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,7,0,4,17
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,12,14,5,3,34
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,0,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,37,29,23,26,115
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,1,0,0,3
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,2,0,2,5
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,5,1,2,16
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,1,0,0,7
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,0,0,4
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,9,2,2,24
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,12,13,0,0,25
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,2,1,0,3
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,13,12,0,1,26
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,8,2,1,18
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,1,1,1,4
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,26,17,3,3,49
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,6,3,2,15
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,0,1,0,3
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,21,15,1,1,38
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,105,115,1,3,224
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,0,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,5,4,8,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,4,4,2,10
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,1,1,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,0,0,0,2
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,6,11,8,30
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,16,9,2,3,30
OMEREQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,5,2,1,10
ORURO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,271,298,13,14,596
PADCAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,22,17,2,2,43
PADILLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,9,0,1,15
PAILON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,32,19,22,23,96
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,15,15,1,4,35
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,23,23,4,1,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,4,0,2,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,11,0,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,1,1,6
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,2,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,17,19,5,2,43
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,2,1,1,8
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,9,0,2,15
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,11,22,22,62
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,12,6,3,2,23
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,11,3,1,23
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,3,1,2,12
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,12,1,1,25
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,10,6,5,27
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,5,4,7,20
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,24,26,0,2,52
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,2,1,0,11
POSTRER VALLE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,239,249,17,16,521
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,2,1,0,4
PUCARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,2,0,0,3
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,15,15,8,4,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,4,3,4,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,1,2,3,9
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,5,4,7,18
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,3,5,2,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,13,16,2,1,32
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,6,2,1,14
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,1,1,1,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,15,20,3,0,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,50,45,2,5,102
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,10,13,6,7,36
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,23,24,0,0,47
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,5,1,2,13
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,101,107,45,43,296
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,3,0,1,6
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,5,9,6,22
REYES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,9,5,9,30
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,105,108,10,7,230
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,12,0,0,26
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,17,15,0,1,33
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,0,0,1
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,136,124,5,2,267
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,1,0,0,4
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,11,9,8,36
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,2,0,1,4
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,5,8,3,21
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,10,0,0,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,0,0,1,6
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,19,1,5,33
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,3,0,1,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,9,1,0,11
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,4,5,0,11
SAN BENITO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,4,1,2,12
SAN BORJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,48,33,12,12,105
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,4,1,1,12
SAN CARLOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,26,20,1,1,48
SAN IGNACIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,13,24,15,7,59
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,57,49,7,14,127
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,0,2,1,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,9,2,0,22
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,5,0,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,14,7,7,42
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,5,1,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,36,40,8,6,90
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,2,4,1,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,18,7,1,1,27
SAN LUCAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,20,22,14,6,62
SAN MATIAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,15,14,4,2,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,14,1,0,29
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,3,1,0,7
SAN PEDRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,12,10,0,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,23,19,13,8,63
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,3,0,0,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,2,0,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,4,2,3,2,11
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,0,0,0,2
SAN RAFAEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,3,2,1,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,2,2,4,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,9,2,0,19
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,34,16,9,5,64
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1607,1430,24,32,3093
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,5,0,0,12
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,18,0,1,30
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,2,0,1,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,0,3,2,5
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,1,1,3,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,3,1,0,5
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,4,3,2,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,4,1,2,9
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,4,1,3,14
SENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,10,9,3,3,25
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,25,16,0,0,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,16,16,6,2,40
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,1,0,1,3
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,47,45,2,1,95
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,6,3,0,10
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,4,2,5,18
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,6,5,7,32
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,298,303,5,7,613
TACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,0,0,1,1
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,6,2,0,11
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,1,5,5,16
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,3,4,4,16
TAHUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,1,0,0,2
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,10,10,7,41
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,11,4,5,23
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,4,0,1,8
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,10,4,0,1,15
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,186,199,5,7,397
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,8,11,6,31
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,8,9,1,0,18
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,9,1,3,24
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,11,11,15,9,46
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,7,2,0,15
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,57,51,12,21,141
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,14,10,3,7,34
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,2,0,0,2
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,3,1,2,8
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,7,6,0,0,13
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,3,0,0,4
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,6,10,8,5,29
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,10,5,4,3,22
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,6,7,6,24
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,12,7,5,2,26
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,2,1,2,5
TRIGAL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,2,0,1,3
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,128,120,2,2,252
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,28,34,3,2,67
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,0,3,0,0,3
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,7,4,0,16
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,22,19,2,3,46
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,13,8,2,0,23
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,1,0,3,3,7
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,21,26,1,1,49
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,1,2,3,8
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,12,9,0,2,23
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,54,50,0,3,107
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,1,3,6,15
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,13,8,7,2,30
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,44,25,3,3,75
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,0,1,0,3
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,7,0,1,13
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,4,0,2,11
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,69,73,10,8,160
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,5,5,1,2,13
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,38,38,3,5,84
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,51,46,8,12,117
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,3,10,1,0,14
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,0,0,0,2
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,122,98,2,1,223
YACO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,1,0,1,4
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,81,87,4,5,177
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-10-01,2,2,0,0,4
