,group,variable,month,TOTAL BCG DENTRO,TOTAL BCG DENTRO,TOTAL BCG FUERA,TOTAL BCG FUERA,TOTALES
GUAQUI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,4,0,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,total bcg,2015-10-01,48,58,0,2,108
GUTIERREZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,8,5,8,4,25
HUACARETA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,4,1,2,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,3,0,0,5
HUACHACALLA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,11,17,1,0,29
HUARACAJE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,2,1,3
HUARINA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,2,4,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,2,1,0,5
HUMANATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,3,1,4
ICHOCA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,4,1,2,9
ICLA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,1,3,2,13
INCAHUASI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,8,7,4,6,25
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,6,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,2,4,2,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,3,3,9
IXIAMAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,10,6,1,1,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,0,3,13,18
LA ASUNTA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,34,28,6,10,78
LA GUARDIA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,49,41,13,13,116
LA PAZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,901,865,16,11,1793
LAGUNILLAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,2,1,6
LAJA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,8,4,1,18
LAS CARRERAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,0,0,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,1,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,15,26,29,31,101
LLICA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,2,1,2,11
LORETO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,1,6,4,12
LURIBAY,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,6,1,1,12
MACHACAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,1,1,0,3
MACHARETI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,0,0,1,3
MAGDALENA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,3,6,8,21
MAIRANA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,17,20,0,0,37
MALLA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,10,14,0,0,24
MECAPACA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,7,4,2,16
MIZQUE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,14,20,11,10,55
MOCOMOCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,4,3,7,18
MOJINETE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,0,1,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,3,0,0,5
MONTEAGUDO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,25,12,0,0,37
MONTERO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,48,38,0,1,87
MORO MORO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,3,1,0,6
MOROCHATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,2,4,8,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,1,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,0,0,1
OCURI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,7,10,8,29
OKINAWA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,7,1,4,18
OMEREQUE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,2,2,1,6
ORURO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,389,320,8,9,726
PADCAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,3,1,2,7
PADILLA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,9,9,3,2,23
PAILON,vacunaciones en menores de 1 ano,total bcg,2015-10-01,16,21,35,31,103
PALCA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,7,6,4,23
PALOS BLANCOS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,24,19,0,2,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,2,1,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,8,8,0,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,1,2,4
PASORAPA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,0,2,0,4
PATACAMAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,21,18,4,3,46
PAZÑA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,0,0,0,2
PELECHUCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,1,0,4,10
POCOATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,4,10,12,29
POCONA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,2,5,4,13
POJO (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,10,9,3,2,24
POOPO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,3,0,0,6
PORCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,14,12,4,1,31
POROMA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,8,5,2,18
PORONGO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,3,1,3,10
PORTACHUELO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,23,24,0,0,47
PORVENIR,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,3,1,3,10
POSTRER VALLE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,277,297,3,14,591
PRESTO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,3,2,10
PUCARA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,16,14,9,8,47
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,0,3,4,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,5,10,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,2,4,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,4,2,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,10,10,1,1,22
PUERTO RICO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,3,3,3,13
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,21,15,1,1,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total bcg,2015-10-01,80,70,5,3,158
PUNA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,2,8,9,21
PUNATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,53,43,1,0,97
QUIABAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,0,5,5
QUILLACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,109,109,18,12,248
QUIME,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,5,7,13
RAVELO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,2,14,15,38
REYES,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,6,9,9,31
RIBERALTA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,141,101,0,0,242
ROBORE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,10,16,0,1,27
RURRENABAQUE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,32,25,3,1,61
SABAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,1,1,0,3
SACABA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,140,119,8,4,271
SACABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,3,0,0,6
SACACA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,12,2,3,22
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,7,2,1,14
SAMAIPATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,3,2,0,11
SAN AGUSTIN,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,2,2,5
SAN ANDRES,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,2,1,1,6
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,1,0,1
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,6,2,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,4,2,11
SAN BENITO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,5,0,0,11
SAN BORJA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,41,58,10,11,120
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,9,12,0,2,23
SAN CARLOS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,17,26,2,3,48
SAN IGNACIO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,20,29,16,28,93
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,61,58,2,3,124
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,0,0,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total bcg,2015-10-01,14,14,0,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,3,1,2,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,13,13,12,16,54
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,3,2,1,12
SAN JULIAN,vacunaciones en menores de 1 ano,total bcg,2015-10-01,32,27,3,3,65
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,4,3,12
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,1,2,3,12
SAN LUCAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,17,24,9,5,55
SAN MATIAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,18,13,4,1,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,9,0,0,13
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,0,1,2
SAN PEDRO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,9,5,0,0,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,17,19,13,8,57
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,3,0,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,2,0,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,0,1,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,4,0,0,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,1,5,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,5,2,1,9
SANTA ANA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,24,18,2,0,44
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1838,1668,89,109,3704
SANTA ROSA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,12,4,2,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,8,10,0,1,19
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,0,2,0,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,3,2,4,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,5,1,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,0,1,4
SANTIVAÑES,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,0,0,3
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,4,1,5
SAPAHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,3,2,2,11
SENA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,3,2,4,11
SHINAOTA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,28,22,0,0,50
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,6,3,6,20
SICAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,1,1,3,8
SIPE SIPE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,27,35,0,0,62
SOPACHUY,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,6,0,1,13
SORACACHI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,2,3,4,10
SORATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,2,5,9,23
SUCRE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,355,336,7,2,700
TACACOMA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,2,3,1,11
TACOBAMBA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,2,1,3
TACOPAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,3,3,5,14
TAPACARI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,13,11,7,1,32
TARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,13,7,4,0,24
TARACO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,1,3,9
TARATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,3,1,0,10
TARIJA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,271,240,2,2,515
TARVITA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,1,5,5,14
TEOPONTE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,8,9,1,0,18
TIAWANACU,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,4,2,2,11
TINGUIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,7,16,20,50
TIPUANI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,5,1,2,13
TIQUIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,48,50,7,20,125
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,16,19,3,5,43
TOCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,1,1,1,7
TOLATA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,2,5,2,10
TOLEDO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,1,0,6
TOMAVE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,5,5,2,13
TOMINA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,4,1,4,2,11
TORO TORO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,5,4,1,17
TOTORA(CBBA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,12,6,3,28
TOTORA(ORR),vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,1,2,1,5
TRIGAL,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total bcg,2015-10-01,190,175,0,0,365
TUPIZA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,67,48,2,4,121
TURCO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,3,0,3
UMALA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,1,1,2,7
UNCIA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,11,11,8,8,38
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,8,0,0,9
URUBICHA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,0,2,5
UYUNI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,34,33,1,1,69
VACAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,1,2,4,5,12
VALLEGRANDE,vacunaciones en menores de 1 ano,total bcg,2015-10-01,20,26,0,1,47
VIACHA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,35,42,4,4,85
VILA VILA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,4,6,13
VILLA CHARCAS,vacunaciones en menores de 1 ano,total bcg,2015-10-01,6,5,7,0,18
VILLA MONTES,vacunaciones en menores de 1 ano,total bcg,2015-10-01,58,43,0,0,101
VILLA RIVERO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,3,4,1,8
VILLA SERRANO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,0,0,0,3
VILLA TUNARI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,63,66,18,14,161
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,2,5,5,14
VILLAZON,vacunaciones en menores de 1 ano,total bcg,2015-10-01,36,35,1,1,73
VINTO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,58,38,2,1,99
VITICHI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,2,4,2,11
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,1,2,0,3
WARNES,vacunaciones en menores de 1 ano,total bcg,2015-10-01,91,93,1,1,186
YACO,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,1,1,5
YACUIBA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,31,18,2,4,55
YAMPARAEZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,5,2,1,0,8
YANACACHI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,5,0,0,7
YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-10-01,44,47,5,5,101
YOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,2,1,0,0,3
YOTALA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,7,6,2,0,15
YUNCHARA,vacunaciones en menores de 1 ano,total bcg,2015-10-01,0,0,1,1,2
ZUDAÑEZ,vacunaciones en menores de 1 ano,total bcg,2015-10-01,3,4,0,0,7
ACACIO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,1,2,3,8
ACHACACHI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,18,7,11,19,55
ACHOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,5,0,2,9
AIQUILE,vacunaciones en menores de 1 ano,total bcg,2015-11-01,28,18,3,7,56
ALALAY,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,1,1,1,3
ALCALA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,2,1,0,4
ALTO BENI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,5,4,0,0,9
ANCORAIMES,vacunaciones en menores de 1 ano,total bcg,2015-11-01,5,4,6,5,20
ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,2,1,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,2,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,5,3,3,12
APOLO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,6,7,3,3,19
ARAMPAMPA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,5,1,0,6
ARANI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,17,5,1,0,23
ARBIETO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,10,13,3,4,30
ARQUE,vacunaciones en menores de 1 ano,total bcg,2015-11-01,4,5,11,5,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total bcg,2015-11-01,18,19,0,0,37
ATOCHA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,3,3,1,1,8
AUCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,0,5,4,9
AYATA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,4,2,5,12
AYO AYO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,1,2,9,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total bcg,2015-11-01,9,10,5,6,30
AZURDUY,vacunaciones en menores de 1 ano,total bcg,2015-11-01,4,10,6,4,24
BATALLAS,vacunaciones en menores de 1 ano,total bcg,2015-11-01,7,13,4,6,30
BAURES,vacunaciones en menores de 1 ano,total bcg,2015-11-01,7,3,0,0,10
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,1,4,1,6
BELLA FLOR,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,1,2,0,3
BERMEJO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,39,23,0,1,63
BETANZOS,vacunaciones en menores de 1 ano,total bcg,2015-11-01,8,15,7,8,38
BOLIVAR,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,0,1,3,4
BOLPEBRA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,1,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total bcg,2015-11-01,3,3,0,0,6
BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,7,0,0,9
CABEZAS,vacunaciones en menores de 1 ano,total bcg,2015-11-01,25,17,34,35,111
CAIROMA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,4,3,2,0,9
"CAIZA ""D""",vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,4,4,2,10
CAJUATA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,5,16,1,0,22
CALACOTO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,0,2,1,3
CALAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,2,6,7,17
CAMARGO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,16,14,2,0,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,2,0,1,3
CAMIRI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,29,31,2,1,63
CAPINOTA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,16,15,3,0,34
CAQUIAVIRI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,1,0,5,8
CARACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,8,8,3,1,20
CARANAVI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,46,42,3,4,95
CARAPARI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,5,11,5,2,23
CARIPUYO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,1,6,4,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total bcg,2015-11-01,4,0,4,4,12
CHACARILLA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,0,1,2,3
CHALLAPATA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,24,17,14,10,65
CHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,2,5,4,12
CHARAGUA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,11,5,33,24,73
CHAYANTA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,9,7,13,10,39
CHIMORE,vacunaciones en menores de 1 ano,total bcg,2015-11-01,13,11,7,4,35
CHIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,0,3,1,5
CHOQUE COTA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,2,2,3,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total bcg,2015-11-01,14,5,4,2,25
CHUMA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,3,5,5,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,2,5,7,16
CKOCHAS,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,2,4,10,18
CLIZA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,17,19,1,1,38
COBIJA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,78,84,0,0,162
COCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,6,3,7,9,25
COCHABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,796,864,6,2,1668
COIPASA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,17,16,0,0,33
"COLCHA ""K""",vacunaciones en menores de 1 ano,total bcg,2015-11-01,3,6,2,3,14
COLLANA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,1,0,0,1
COLOMI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,17,11,1,2,31
COLPA BELGICA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,1,2,1,5
COLQUECHACA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,12,15,21,14,62
COLQUENCHA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,0,0,3,5,8
COLQUIRI,vacunaciones en menores de 1 ano,total bcg,2015-11-01,5,3,11,7,26
COMARAPA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,18,13,1,1,33
COMBAYA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,1,3,1,6
CONCEPCION,vacunaciones en menores de 1 ano,total bcg,2015-11-01,10,19,0,0,29
COPACABANA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,7,4,5,2,18
CORIPATA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,13,9,2,2,26
CORO CORO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,0,7,5,13
COROICO,vacunaciones en menores de 1 ano,total bcg,2015-11-01,9,6,3,1,19
CORQUE,vacunaciones en menores de 1 ano,total bcg,2015-11-01,2,0,1,4,7
COTAGAITA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,7,5,4,5,21
COTOCA,vacunaciones en menores de 1 ano,total bcg,2015-11-01,61,36,1,1,99
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total bcg,2015-11-01,14,8,6,13,41
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total bcg,2015-11-01,1,0,1,0,2
