,group,variable,month,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,4,10,4,2,20
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,35,35,5,2,77
VINTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,65,52,7,5,129
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,9,6,1,3,19
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,2,2,1,0,5
WARNES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,142,123,3,5,273
YACO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,0,2,0,0,2
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,119,125,7,6,257
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,3,4,1,0,8
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,3,5,1,0,9
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,49,47,13,14,123
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,5,6,2,2,15
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,3,5,1,3,12
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,3,1,8,2,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-10-01,3,2,4,3,12
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,3,3,3,9
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,22,14,10,11,57
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,10,8,9,35
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,15,10,7,5,37
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,0,2,3,5
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,1,2,2,7
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,9,0,0,17
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,5,5,1,14
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,2,1,8
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,5,0,0,5
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,2,8,3,15
APOLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,7,8,6,27
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,1,3,1,9
ARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,9,1,0,17
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,15,13,5,0,33
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,2,2,5,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,32,21,4,4,61
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,12,0,0,18
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,0,5,0,5
AYATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,3,2,1,9
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,7,1,1,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,13,8,9,35
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,10,2,9,30
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,11,8,3,1,23
BAURES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,9,1,1,15
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,1,1,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,1,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,2,0,1,3
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,24,22,2,4,52
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,17,11,10,3,41
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,2,3,5,14
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,4,0,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,7,1,2,18
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,26,28,22,17,93
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,5,1,2,12
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,1,1,2,13
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,11,16,0,0,27
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,2,1,4
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,9,3,2,18
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,11,12,1,1,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,2,0,7
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,40,27,1,0,68
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,17,4,3,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,2,2,1,9
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,13,16,6,6,41
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,29,35,10,6,80
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,15,2,3,28
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,3,5,5,16
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,4,2,9,17
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,0,1,2
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,27,21,11,11,70
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,5,0,0,12
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,20,20,25,74
CHARAÑA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,10,7,5,29
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,14,21,7,4,46
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,4,2,1,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,10,9,1,3,23
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,1,2,1,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,5,1,3,13
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,6,1,2,15
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,19,5,3,2,29
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,62,65,11,8,146
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,6,12,8,28
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,576,603,4,4,1187
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,35,32,0,0,67
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,10,2,3,19
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,0,0,0,2
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,15,6,3,1,25
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,8,1,0,16
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,14,18,14,13,59
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,8,0,0,16
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,12,3,12,36
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,23,7,2,3,35
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,2,0,4
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,19,25,8,5,57
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,4,4,1,14
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,14,9,0,0,23
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,3,3,0,7
COROICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,10,5,5,28
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,4,4,1,11
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,14,16,5,3,38
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,49,54,8,9,120
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,18,18,12,9,57
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,2,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,4,1,1,13
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,7,8,8,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,8,1,2,16
CURVA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,3,0,0,4
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,2,0,0,4
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,575,602,177,157,1511
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,4,2,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,17,2,4,30
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,6,1,3,18
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,40,50,8,11,109
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,0,0,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,12,8,2,31
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,38,37,0,1,76
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,1,1,3
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,2,0,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,1,1,3
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,3,1,1,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,0,0,5
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,3,2,0,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,10,9,0,0,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,5,4,0,13
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,12,8,9,4,33
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,2,1,0,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,35,33,12,4,84
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,5,9,6,24
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,12,3,3,26
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,3,5,1,9
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,15,12,1,4,32
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,0,1,2,8
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,1,4,1,11
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,3,3,1,8
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,0,0,1
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,2,1,4
ICLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,1,3,7,14
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,6,5,6,25
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,2,1,5
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,3,2,4,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,3,3,3,18
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,6,4,2,21
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,7,0,1,15
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,38,35,10,13,96
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,98,81,6,6,191
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,558,581,9,19,1167
LA RIVERA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,1,1,4,8
LAJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,13,8,2,2,25
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,3,3,0,12
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,2,1,1,5
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,17,26,21,22,86
LLICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,8,0,1,10
LORETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,8,10,23
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,4,2,2,16
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,1,0,2
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,4,4,2,14
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,11,15,5,2,33
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,10,9,0,0,19
MALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,1,0,1,6
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,12,16,3,0,31
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,4,3,1,11
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,4,1,0,8
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,18,12,5,8,43
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,4,3,2,17
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,6,2,1,15
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,22,20,3,1,46
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,166,179,4,4,353
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,0,9,8,19
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,1,2,1,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,4,0,0,4
OCURI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,4,10,5,20
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,11,8,2,1,22
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,4,3,3,11
ORURO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,278,268,10,9,565
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,7,1,2,16
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,3,2,2,11
PAILON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,17,21,13,13,64
PALCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,12,9,3,5,29
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,28,24,4,4,60
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,1,3,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,9,0,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,0,1,2,7
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,2,0,4
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,15,18,3,0,36
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,2,2,0,7
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,3,3,1,11
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,6,12,9,32
POCONA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,10,2,2,21
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,6,1,1,15
POOPO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,4,0,2,14
PORCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,6,3,2,15
POROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,3,6,7,25
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,12,9,7,0,28
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,19,12,0,0,31
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,5,3,0,10
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,119,130,21,18,288
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,3,3,5,14
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,13,17,7,5,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,2,6,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,2,6,6,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,7,4,2,3,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,1,6,1,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,12,12,1,0,25
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,10,9,1,0,20
PUERTO SILES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,16,7,6,3,32
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,46,43,1,2,92
PUNA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,8,6,9,31
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,16,36,2,2,56
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,2,0,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,92,75,33,42,242
QUIME,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,7,1,1,9
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,3,0,0,5
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,1,10,11,24
REYES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,9,8,2,2,21
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,107,129,13,16,265
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,12,21,1,4,38
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,19,13,5,0,37
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,0,0,1
SACABA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,109,103,7,19,238
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,4,0,0,5
SACACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,14,7,6,12,39
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,2,4,2,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,4,10,6,24
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,3,1,0,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,1,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,5,11,3,1,20
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,0,4,0,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,4,1,2,2,9
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,8,8,1,3,20
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,38,34,23,18,113
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,3,6,2,3,14
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,30,20,2,1,53
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,24,23,2,5,54
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,61,44,14,10,129
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,0,1,8,4,13
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,19,12,1,3,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,6,4,0,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-11-01,13,10,15,17,55
