,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES,TOTALES,TOTALES
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,3,0,3,3
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,10,0,10,10
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,15,38,15,38,53
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,34,140,34,140,174
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,293,430,293,430,723
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,4,2,4,2,6
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,6,6,6,6,12
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,15,34,15,34,49
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,236,376,236,376,612
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-11-01,15,23,15,23,38
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-11-01,38,91,38,91,129
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,9,43,9,43,52
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,129,6,129,6,135
REYES,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,7,0,7,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,46,42,46,42,88
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,7,0,7,7
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,5,0,5,5
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,10,81,10,81,91
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,15,0,15,15
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,3,24,3,24,27
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-11-01,13,4,13,4,17
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,26,53,26,53,79
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,13,62,13,62,75
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,10,1,10,11
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-11-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-11-01,5,26,5,26,31
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,3,1,3,4
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-11-01,2,8,2,8,10
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-11-01,4,14,4,14,18
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,4,1,4,1,5
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-11-01,4,8,4,8,12
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,14,1,14,15
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1612,1357,1612,1357,2969
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,1,0,1,1
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,23,0,23,23
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,4,0,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-11-01,446,737,446,737,1183
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,6,8,6,8,14
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,219,410,219,410,629
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,5,0,5,5
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,26,0,26,26
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,1,0,1,1
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-11-01,84,266,84,266,350
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,19,16,19,16,35
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,4,9,4,9,13
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-11-01,11,38,11,38,49
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,4,0,4,4
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-11-01,29,37,29,37,66
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,34,1,34,35
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-11-01,39,47,39,47,86
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,16,27,16,27,43
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-11-01,2,28,2,28,30
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,30,91,30,91,121
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,2,1,2,3
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,6,25,6,25,31
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,1,0,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,3,3,3,3,6
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,11,2,11,13
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-12-01,9,46,9,46,55
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,3,0,3,3
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,2,1,2,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,19,56,19,56,75
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,9,18,9,18,27
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,5,58,5,58,63
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,3,22,3,22,25
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,3,0,3,3
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,7,0,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2010-12-01,4,9,4,9,13
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,29,77,29,77,106
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1270,2153,1270,2153,3423
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,20,36,20,36,56
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,11,0,11,11
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,10,2,10,12
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,7,14,7,14,21
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,13,0,13,13
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,19,1,19,20
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,305,621,305,621,926
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,16,23,16,23,39
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-12-01,26,45,26,45,71
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1329,1754,1329,1754,3083
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,6,14,6,14,20
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,2,1,2,3
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,7,1,7,8
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,16,41,16,41,57
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,38,126,38,126,164
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,315,471,315,471,786
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,3,12,3,12,15
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,12,20,12,20,32
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,250,520,250,520,770
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-12-01,10,17,10,17,27
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-12-01,48,45,48,45,93
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,13,41,13,41,54
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,11,80,11,80,91
REYES,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,6,0,6,6
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,71,167,71,167,238
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,11,0,11,11
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,9,1,9,10
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,15,107,15,107,122
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,8,0,8,8
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,0,2,0,2
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,17,0,17,17
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,18,0,18,18
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-12-01,5,21,5,21,26
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,9,0,9,9
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,8,60,8,60,68
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-12-01,4,1,4,1,5
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,9,2,9,11
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-12-01,3,10,3,10,13
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,36,0,36,0,36
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-12-01,4,24,4,24,28
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-12-01,7,7,7,7,14
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,14,2,14,16
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,7,1,7,8
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,15,39,15,39,54
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1379,1586,1379,1586,2965
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,4,1,4,5
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,12,0,12,12
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,3,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-12-01,518,571,518,571,1089
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,3,8,3,8,11
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,223,410,223,410,633
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,4,0,4,4
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,23,0,23,23
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2010-12-01,0,2,0,2,2
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-12-01,111,105,111,105,216
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,39,44,39,44,83
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,12,17,12,17,29
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-12-01,11,46,11,46,57
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,3,5,3,5,8
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-12-01,40,33,40,33,73
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,28,2,28,30
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-12-01,48,64,48,64,112
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-12-01,21,15,21,15,36
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,25,2,25,27
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,24,30,24,30,54
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-12-01,4,15,4,15,19
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-12-01,1,0,1,0,1
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-12-01,2,0,2,0,2
