,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES,TOTALES,TOTALES
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,75,6,75,6,81
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,7,0,7,7
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,46,37,46,37,83
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,7,0,7,7
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,5,0,5,5
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,10,57,10,57,67
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,15,0,15,15
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,3,9,3,9,12
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,13,4,13,4,17
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,26,53,26,53,79
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,13,62,13,62,75
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,10,1,10,11
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,5,20,5,20,25
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,3,1,3,4
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,2,8,2,8,10
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,4,14,4,14,18
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,4,8,4,8,12
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,14,1,14,15
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1421,1249,1421,1249,2670
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,1,0,1,1
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,23,0,23,23
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,4,0,4,4
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,307,508,307,508,815
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,6,8,6,8,14
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,214,396,214,396,610
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,5,0,5,5
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,26,0,26,26
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,1,0,1,1
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,84,266,84,266,350
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,17,14,17,14,31
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,4,9,4,9,13
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,11,38,11,38,49
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,4,0,4,4
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,29,37,29,37,66
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,34,1,34,35
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,5,21,5,21,26
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,11,22,11,22,33
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,2,28,2,28,30
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,30,89,30,89,119
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,6,25,6,25,31
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,3,3,3,3,6
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,11,2,11,13
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,5,28,5,28,33
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,3,0,3,3
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,2,1,2,3
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,12,27,12,27,39
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,9,16,9,16,25
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,3,43,3,43,46
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,3,20,3,20,23
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,3,0,3,3
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,7,0,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2010-12-01,4,9,4,9,13
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,29,77,29,77,106
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1167,1931,1167,1931,3098
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,20,36,20,36,56
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,11,0,11,11
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,10,2,10,12
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,5,12,5,12,17
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,13,0,13,13
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,10,0,10,10
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,305,618,305,618,923
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,16,23,16,23,39
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,4,36,4,36,40
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1135,1552,1135,1552,2687
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,6,14,6,14,20
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,2,1,2,3
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,7,1,7,8
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,16,31,16,31,47
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,38,126,38,126,164
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,315,471,315,471,786
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,3,12,3,12,15
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,12,20,12,20,32
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,77,179,77,179,256
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,5,15,5,15,20
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,12,20,12,20,32
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,13,41,13,41,54
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,11,48,11,48,59
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,6,0,6,6
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,71,167,71,167,238
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,11,0,11,11
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,9,1,9,10
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,15,67,15,67,82
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,8,0,8,8
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,10,0,10,10
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,5,21,5,21,26
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,9,0,9,9
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,8,60,8,60,68
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-12-01,4,1,4,1,5
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,9,2,9,11
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,6,2,6,8
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,36,0,36,0,36
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,4,24,4,24,28
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,4,1,4,5
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,14,2,14,16
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,7,1,7,8
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,15,39,15,39,54
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1280,1570,1280,1570,2850
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,4,1,4,5
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,12,0,12,12
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,3,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,359,452,359,452,811
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,3,8,3,8,11
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,222,381,222,381,603
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,4,0,4,4
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,23,0,23,23
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2010-12-01,0,2,0,2,2
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,111,105,111,105,216
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,39,44,39,44,83
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,12,17,12,17,29
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,11,46,11,46,57
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,3,5,3,5,8
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,40,33,40,33,73
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,28,2,28,30
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,12,1,12,13
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,20,11,20,11,31
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,2,25,2,25,27
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,24,30,24,30,54
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,4,15,4,15,19
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2010-12-01,1,0,1,0,1
