,group,variable,month,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,8,0,8,0,8
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,41,0,41,0,41
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,1,2,1,3
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,31,0,31,0,31
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,19,0,19,0,19
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,15,0,15,0,15
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,4,0,4,0,4
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,1,2,1,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,6,0,6,0,6
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,2,0,2,2
BELLA FLOR,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,4,0,4,0,4
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,4,1,4,1,5
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,10,0,10,0,10
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,79,0,79,0,79
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,5,0,5,0,5
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,73,0,73,0,73
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,4,0,4,0,4
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,1,0,1,1
ICLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,92,1,92,1,93
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,3,0,3,0,3
LORETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,7,0,7,0,7
OCURI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,1,1,1,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,31,0,31,0,31
PALCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,2,0,2,2
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,36,0,36,0,36
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,3,0,3,0,3
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,6,0,6,0,6
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,20,0,20,0,20
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,3,0,3,0,3
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,8,0,8,0,8
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,2,2,2,4
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,5,0,5,0,5
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,59,1,59,1,60
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,1,0,1,1
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,36,0,36,0,36
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,1,1,1,2
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,64,0,64,0,64
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,0,2,0,2,2
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,19,0,19,0,19
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,4,0,4,0,4
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,8,0,8,0,8
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,2,0,2,0,2
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-10-01,3,0,3,0,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,2,0,2,2
BELEN DE ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,1,1,1,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,0,4,0,4
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,1,4,1,5
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,5,0,5,0,5
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,6,0,6,0,6
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,70,0,70,0,70
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,1,1,1,2
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,3,0,3,0,3
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,66,0,66,0,66
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,2,4,2,6
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,0,4,0,4
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,1,2,1,3
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,93,0,93,0,93
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,5,0,5,0,5
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,0,4,0,4
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,5,0,5,0,5
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,54,0,54,0,54
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,42,0,42,0,42
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,0,4,0,4
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,14,0,14,0,14
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,21,0,21,0,21
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,5,0,5,0,5
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,7,0,7,0,7
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,20,0,20,0,20
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,7,0,7,0,7
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,45,0,45,0,45
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,1,1,1,2
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,27,0,27,0,27
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,3,0,3,3
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,10,0,10,0,10
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,15,0,15,0,15
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,3,0,3,0,3
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,13,1,13,1,14
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,3,0,3,0,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-11-01,4,0,4,0,4
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,5,1,5,6
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,4,0,4,0,4
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,1,1,1,2
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,1,1,1,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,9,0,9,0,9
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,115,0,115,0,115
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,80,1,80,1,81
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,8,0,8,0,8
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,101,0,101,0,101
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,5,0,5,0,5
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,38,0,38,0,38
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,51,0,51,0,51
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,2,0,2,2
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,3,0,3,0,3
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,11,0,11,0,11
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,15,0,15,0,15
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,4,0,4,0,4
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,42,0,42,0,42
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,34,0,34,0,34
