,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
UMALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,0,3,0,3,3
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,25,5,25,5,30
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,6,0,6,0,6
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,39,2,39,2,41
VACAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,2,0,2,0,2
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,18,0,18,0,18
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,93,2,93,2,95
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,4,0,4,0,4
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,10,1,10,1,11
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,44,0,44,0,44
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,1,1,1,1,2
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,5,0,5,0,5
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,125,5,125,5,130
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,6,1,6,1,7
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,53,0,53,0,53
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,5,0,5,0,5
WARNES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,64,0,64,0,64
YACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,1,2,1,2,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,27,2,27,2,29
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,3,0,3,0,3
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,3,0,3,0,3
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,35,0,35,0,35
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,4,0,4,0,4
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,1,3,1,3,4
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-10-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,10,4,10,14
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,2,9,2,11
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,3,1,3,4
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,1,1,1,2
ALCALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,6,1,6,7
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,1,4,1,5
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,11,6,11,6,17
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,3,2,3,5
ARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,12,0,12,12
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,40,0,40,0,40
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,0,5,0,5
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,3,1,3,4
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,5,4,5,9
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,15,8,15,8,23
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,4,4,4,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,4,5,4,9
BAURES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
BELEN DE ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,14,4,14,4,18
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,6,0,6,0,6
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,11,0,11,0,11
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,8,5,8,5,13
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,1,9,1,10
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,15,1,15,1,16
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,2,0,2,2
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,3,2,3,5
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,11,1,11,1,12
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,50,1,50,1,51
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,7,0,7,7
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,11,3,11,3,14
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,2,3,2,5
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,5,0,5,5
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,38,7,38,7,45
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,1,3,1,4
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,9,4,9,13
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,1,1,1,2
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,6,4,6,10
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,22,0,22,0,22
CHIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,15,0,15,0,15
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,7,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,11,0,11,0,11
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,7,2,7,9
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,19,0,19,0,19
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,23,1,23,1,24
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,12,9,12,9,21
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,788,0,788,0,788
COIPASA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,30,0,30,0,30
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,3,0,3,3
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,6,7,6,7,13
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,1,3,1,4
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,6,6,6,6,12
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,10,0,10,0,10
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,33,0,33,0,33
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,8,2,8,2,10
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,26,2,26,2,28
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,3,2,3,5
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,8,1,8,1,9
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,63,7,63,7,70
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,10,3,10,13
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,1,1,1,2
CURVA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,2,0,2,2
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,713,13,713,13,726
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,1,4,1,5
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,30,0,30,0,30
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,0,9,0,9
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,2,4,2,6
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,0,5,0,5
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,2,1,2,3
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,2,2,2,4
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,9,0,9,9
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,3,3,3,6
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,62,0,62,0,62
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,2,9,2,11
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,19,0,19,0,19
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,2,3,2,5
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,4,1,4,5
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,3,1,3,4
ICLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,9,2,9,11
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,8,0,8,8
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,5,5,5,10
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,7,2,7,2,9
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,7,2,7,2,9
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,46,1,46,1,47
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,76,0,76,0,76
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,848,3,848,3,851
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,6,4,6,10
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,1,2,1,3
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,61,4,61,4,65
LLICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,1,1,1,2
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,7,1,7,1,8
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,16,0,16,0,16
MALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,0,5,0,5
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,18,1,18,1,19
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,10,1,10,11
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,26,0,26,0,26
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,44,0,44,0,44
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,4,3,4,7
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
OCURI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,4,5,4,9
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,7,0,7,0,7
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,444,2,444,2,446
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,24,0,24,0,24
PAILON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,23,0,23,0,23
PALCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,2,2,2,4
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,20,4,20,4,24
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,27,4,27,4,31
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,6,3,6,3,9
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,13,9,13,9,22
POCONA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,7,1,7,1,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,0,5,0,5
POOPO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
PORCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,10,0,10,0,10
POROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,5,4,5,9
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,1,1,1,2
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,23,0,23,0,23
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,424,1,424,1,425
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,17,14,17,14,31
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,3,0,3,3
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,3,1,3,4
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,0,9,0,9
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,1,5,1,6
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,26,0,26,0,26
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,0,5,0,5
PUNA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,8,1,8,1,9
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,7,0,7,0,7
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,69,0,69,0,69
QUIME,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,8,2,8,10
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,1,5,1,6
REYES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,154,0,154,0,154
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,20,0,20,0,20
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,117,1,117,1,118
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,1,3,1,4
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,8,8,8,8,16
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,1,9,1,10
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,1,4,1,5
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,3,0,3,0,3
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,51,14,51,14,65
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,1,2,1,3
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,39,0,39,0,39
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,99,11,99,11,110
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,16,0,16,0,16
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,21,0,21,0,21
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,44,0,44,0,44
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,34,12,34,12,46
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,25,2,25,2,27
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,9,1,9,1,10
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,1,3,1,3,4
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,4,0,4,0,4
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-11-01,5,25,5,25,30
