,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES,TOTALES,TOTALES
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2010-09-01,117,0,117,0,117
SAN JULIAN,consultas prenatales,repetidas,2010-09-01,389,3,389,3,392
SAN LORENZO(PND),consultas prenatales,repetidas,2010-09-01,22,4,22,4,26
SAN LORENZO(TJA),consultas prenatales,repetidas,2010-09-01,127,11,127,11,138
SAN LUCAS,consultas prenatales,repetidas,2010-09-01,211,97,211,97,308
SAN MATIAS,consultas prenatales,repetidas,2010-09-01,80,0,80,0,80
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2010-09-01,95,7,95,7,102
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2010-09-01,16,1,16,1,17
SAN PEDRO,consultas prenatales,repetidas,2010-09-01,108,0,108,0,108
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2010-09-01,101,14,101,14,115
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2010-09-01,17,5,17,5,22
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2010-09-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2010-09-01,11,1,11,1,12
SAN PEDRO(PND),consultas prenatales,repetidas,2010-09-01,1,2,1,2,3
SAN RAFAEL,consultas prenatales,repetidas,2010-09-01,49,0,49,0,49
SAN RAMON BENI,consultas prenatales,repetidas,2010-09-01,30,0,30,0,30
SAN RAMON SCZ,consultas prenatales,repetidas,2010-09-01,119,0,119,0,119
SANTA ANA,consultas prenatales,repetidas,2010-09-01,137,0,137,0,137
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2010-09-01,7907,69,7907,69,7976
SANTA ROSA,consultas prenatales,repetidas,2010-09-01,74,2,74,2,76
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2010-09-01,109,4,109,4,113
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2010-09-01,9,5,9,5,14
SANTIAGO DE HUARI,consultas prenatales,repetidas,2010-09-01,37,5,37,5,42
SANTIAGO DE HUATA,consultas prenatales,repetidas,2010-09-01,24,3,24,3,27
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2010-09-01,6,2,6,2,8
SANTIVAÑES,consultas prenatales,repetidas,2010-09-01,26,0,26,0,26
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2010-09-01,9,6,9,6,15
SAPAHAQUI,consultas prenatales,repetidas,2010-09-01,19,7,19,7,26
SENA,consultas prenatales,repetidas,2010-09-01,28,0,28,0,28
SHINAOTA,consultas prenatales,repetidas,2010-09-01,293,0,293,0,293
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2010-09-01,60,7,60,7,67
SICAYA,consultas prenatales,repetidas,2010-09-01,6,1,6,1,7
SIPE SIPE,consultas prenatales,repetidas,2010-09-01,275,1,275,1,276
SOPACHUY,consultas prenatales,repetidas,2010-09-01,43,10,43,10,53
SORACACHI,consultas prenatales,repetidas,2010-09-01,47,14,47,14,61
SORATA,consultas prenatales,repetidas,2010-09-01,86,32,86,32,118
SUCRE,consultas prenatales,repetidas,2010-09-01,3230,41,3230,41,3271
TACACHI,consultas prenatales,repetidas,2010-09-01,4,0,4,0,4
TACACOMA,consultas prenatales,repetidas,2010-09-01,26,10,26,10,36
TACOBAMBA,consultas prenatales,repetidas,2010-09-01,14,10,14,10,24
TACOPAYA,consultas prenatales,repetidas,2010-09-01,33,5,33,5,38
TAHUA,consultas prenatales,repetidas,2010-09-01,4,0,4,0,4
TAPACARI,consultas prenatales,repetidas,2010-09-01,110,23,110,23,133
TARABUCO,consultas prenatales,repetidas,2010-09-01,110,33,110,33,143
TARACO,consultas prenatales,repetidas,2010-09-01,8,0,8,0,8
TARATA,consultas prenatales,repetidas,2010-09-01,49,2,49,2,51
TARIJA,consultas prenatales,repetidas,2010-09-01,1989,4,1989,4,1993
TARVITA,consultas prenatales,repetidas,2010-09-01,74,35,74,35,109
TEOPONTE,consultas prenatales,repetidas,2010-09-01,28,8,28,8,36
TIAWANACU,consultas prenatales,repetidas,2010-09-01,53,12,53,12,65
TINGUIPAYA,consultas prenatales,repetidas,2010-09-01,61,19,61,19,80
TIPUANI,consultas prenatales,repetidas,2010-09-01,92,0,92,0,92
TIQUIPAYA,consultas prenatales,repetidas,2010-09-01,546,5,546,5,551
TIRAQUE (CBBA),consultas prenatales,repetidas,2010-09-01,124,4,124,4,128
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2010-09-01,3,0,3,0,3
TOCO,consultas prenatales,repetidas,2010-09-01,28,1,28,1,29
TODOS SANTOS,consultas prenatales,repetidas,2010-09-01,1,0,1,0,1
TOLATA,consultas prenatales,repetidas,2010-09-01,32,0,32,0,32
TOLEDO,consultas prenatales,repetidas,2010-09-01,21,3,21,3,24
TOMAVE,consultas prenatales,repetidas,2010-09-01,47,19,47,19,66
TOMINA,consultas prenatales,repetidas,2010-09-01,74,2,74,2,76
TORO TORO,consultas prenatales,repetidas,2010-09-01,31,13,31,13,44
TOTORA(CBBA),consultas prenatales,repetidas,2010-09-01,127,3,127,3,130
TOTORA(ORR),consultas prenatales,repetidas,2010-09-01,12,0,12,0,12
TRIGAL,consultas prenatales,repetidas,2010-09-01,11,1,11,1,12
TRINIDAD,consultas prenatales,repetidas,2010-09-01,1113,1,1113,1,1114
TUPIZA,consultas prenatales,repetidas,2010-09-01,336,25,336,25,361
TURCO,consultas prenatales,repetidas,2010-09-01,16,1,16,1,17
UMALA,consultas prenatales,repetidas,2010-09-01,14,8,14,8,22
UNCIA,consultas prenatales,repetidas,2010-09-01,79,19,79,19,98
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2010-09-01,97,4,97,4,101
URUBICHA,consultas prenatales,repetidas,2010-09-01,46,0,46,0,46
UYUNI,consultas prenatales,repetidas,2010-09-01,218,11,218,11,229
VACAS,consultas prenatales,repetidas,2010-09-01,40,1,40,1,41
VALLEGRANDE,consultas prenatales,repetidas,2010-09-01,96,9,96,9,105
VIACHA,consultas prenatales,repetidas,2010-09-01,329,4,329,4,333
VILA VILA,consultas prenatales,repetidas,2010-09-01,17,0,17,0,17
VILLA CHARCAS,consultas prenatales,repetidas,2010-09-01,78,33,78,33,111
VILLA MONTES,consultas prenatales,repetidas,2010-09-01,297,14,297,14,311
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2010-09-01,20,2,20,2,22
VILLA RIVERO,consultas prenatales,repetidas,2010-09-01,51,4,51,4,55
VILLA SERRANO,consultas prenatales,repetidas,2010-09-01,90,25,90,25,115
VILLA TUNARI,consultas prenatales,repetidas,2010-09-01,565,26,565,26,591
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2010-09-01,52,28,52,28,80
VILLAZON,consultas prenatales,repetidas,2010-09-01,391,15,391,15,406
VINTO,consultas prenatales,repetidas,2010-09-01,291,0,291,0,291
VITICHI,consultas prenatales,repetidas,2010-09-01,35,18,35,18,53
WALDO BALLIVIAN,consultas prenatales,repetidas,2010-09-01,14,0,14,0,14
WARNES,consultas prenatales,repetidas,2010-09-01,565,7,565,7,572
YACO,consultas prenatales,repetidas,2010-09-01,18,8,18,8,26
YACUIBA,consultas prenatales,repetidas,2010-09-01,640,2,640,2,642
YAMPARAEZ,consultas prenatales,repetidas,2010-09-01,41,10,41,10,51
YANACACHI,consultas prenatales,repetidas,2010-09-01,25,0,25,0,25
YAPACANI,consultas prenatales,repetidas,2010-09-01,408,3,408,3,411
YOCALLA,consultas prenatales,repetidas,2010-09-01,19,2,19,2,21
YOTALA,consultas prenatales,repetidas,2010-09-01,59,1,59,1,60
YUNCHARA,consultas prenatales,repetidas,2010-09-01,18,17,18,17,35
YUNGUYO DE LITORAL,consultas prenatales,repetidas,2010-09-01,2,0,2,0,2
ZUDAÑEZ,consultas prenatales,repetidas,2010-09-01,43,7,43,7,50
ACACIO,consultas prenatales,repetidas,2010-10-01,31,2,31,2,33
ACHACACHI,consultas prenatales,repetidas,2010-10-01,271,25,271,25,296
ACHOCALLA,consultas prenatales,repetidas,2010-10-01,51,5,51,5,56
AIQUILE,consultas prenatales,repetidas,2010-10-01,207,4,207,4,211
ALALAY,consultas prenatales,repetidas,2010-10-01,3,9,3,9,12
ALCALA,consultas prenatales,repetidas,2010-10-01,18,1,18,1,19
ALTO BENI,consultas prenatales,repetidas,2010-10-01,40,5,40,5,45
ANCORAIMES,consultas prenatales,repetidas,2010-10-01,54,7,54,7,61
ANDAMARCA,consultas prenatales,repetidas,2010-10-01,4,1,4,1,5
ANTEQUERA,consultas prenatales,repetidas,2010-10-01,6,1,6,1,7
ANZALDO,consultas prenatales,repetidas,2010-10-01,34,11,34,11,45
APOLO,consultas prenatales,repetidas,2010-10-01,87,11,87,11,98
ARAMPAMPA,consultas prenatales,repetidas,2010-10-01,18,2,18,2,20
ARANI,consultas prenatales,repetidas,2010-10-01,106,3,106,3,109
ARBIETO,consultas prenatales,repetidas,2010-10-01,61,12,61,12,73
ARQUE,consultas prenatales,repetidas,2010-10-01,49,0,49,0,49
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2010-10-01,307,0,307,0,307
ATOCHA,consultas prenatales,repetidas,2010-10-01,71,3,71,3,74
AUCAPATA,consultas prenatales,repetidas,2010-10-01,8,0,8,0,8
AYATA,consultas prenatales,repetidas,2010-10-01,12,1,12,1,13
AYO AYO,consultas prenatales,repetidas,2010-10-01,37,1,37,1,38
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2010-10-01,120,18,120,18,138
AZURDUY,consultas prenatales,repetidas,2010-10-01,61,34,61,34,95
BATALLAS,consultas prenatales,repetidas,2010-10-01,78,0,78,0,78
BAURES,consultas prenatales,repetidas,2010-10-01,26,0,26,0,26
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2010-10-01,2,1,2,1,3
BELEN DE URMIRI,consultas prenatales,repetidas,2010-10-01,2,3,2,3,5
BELLA FLOR,consultas prenatales,repetidas,2010-10-01,4,8,4,8,12
BERMEJO,consultas prenatales,repetidas,2010-10-01,355,1,355,1,356
BETANZOS,consultas prenatales,repetidas,2010-10-01,142,29,142,29,171
BOLIVAR,consultas prenatales,repetidas,2010-10-01,29,4,29,4,33
BOLPEBRA,consultas prenatales,repetidas,2010-10-01,4,8,4,8,12
BOYUIBE,consultas prenatales,repetidas,2010-10-01,30,2,30,2,32
BUENA VISTA,consultas prenatales,repetidas,2010-10-01,72,1,72,1,73
CABEZAS,consultas prenatales,repetidas,2010-10-01,123,1,123,1,124
CAIROMA,consultas prenatales,repetidas,2010-10-01,57,8,57,8,65
"CAIZA ""D""",consultas prenatales,repetidas,2010-10-01,58,3,58,3,61
CAJUATA,consultas prenatales,repetidas,2010-10-01,50,1,50,1,51
CALACOTO,consultas prenatales,repetidas,2010-10-01,3,9,3,9,12
CALAMARCA,consultas prenatales,repetidas,2010-10-01,39,3,39,3,42
CAMARGO,consultas prenatales,repetidas,2010-10-01,143,13,143,13,156
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2010-10-01,14,3,14,3,17
CAMIRI,consultas prenatales,repetidas,2010-10-01,310,8,310,8,318
CAPINOTA,consultas prenatales,repetidas,2010-10-01,175,0,175,0,175
CAQUIAVIRI,consultas prenatales,repetidas,2010-10-01,33,3,33,3,36
CARACOLLO,consultas prenatales,repetidas,2010-10-01,91,13,91,13,104
CARANAVI,consultas prenatales,repetidas,2010-10-01,494,15,494,15,509
CARAPARI,consultas prenatales,repetidas,2010-10-01,70,3,70,3,73
CARIPUYO,consultas prenatales,repetidas,2010-10-01,32,8,32,8,40
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2010-10-01,25,0,25,0,25
CATACORA,consultas prenatales,repetidas,2010-10-01,4,0,4,0,4
CHACARILLA,consultas prenatales,repetidas,2010-10-01,4,1,4,1,5
CHALLAPATA,consultas prenatales,repetidas,2010-10-01,222,18,222,18,240
CHAQUI,consultas prenatales,repetidas,2010-10-01,31,5,31,5,36
CHARAGUA,consultas prenatales,repetidas,2010-10-01,200,10,200,10,210
CHARAÑA,consultas prenatales,repetidas,2010-10-01,12,4,12,4,16
CHAYANTA,consultas prenatales,repetidas,2010-10-01,56,11,56,11,67
CHIMORE,consultas prenatales,repetidas,2010-10-01,164,1,164,1,165
CHIPAYA,consultas prenatales,repetidas,2010-10-01,7,0,7,0,7
CHOQUE COTA,consultas prenatales,repetidas,2010-10-01,5,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2010-10-01,171,1,171,1,172
CHUMA,consultas prenatales,repetidas,2010-10-01,30,12,30,12,42
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2010-10-01,21,9,21,9,30
CKOCHAS,consultas prenatales,repetidas,2010-10-01,58,23,58,23,81
CLIZA,consultas prenatales,repetidas,2010-10-01,230,0,230,0,230
COBIJA,consultas prenatales,repetidas,2010-10-01,664,2,664,2,666
COCAPATA,consultas prenatales,repetidas,2010-10-01,14,45,14,45,59
COCHABAMBA,consultas prenatales,repetidas,2010-10-01,7615,38,7615,38,7653
COIPASA,consultas prenatales,repetidas,2010-10-01,6,0,6,0,6
COLCAPIRHUA,consultas prenatales,repetidas,2010-10-01,650,0,650,0,650
"COLCHA ""K""",consultas prenatales,repetidas,2010-10-01,25,16,25,16,41
COLLANA,consultas prenatales,repetidas,2010-10-01,6,5,6,5,11
COLOMI,consultas prenatales,repetidas,2010-10-01,124,1,124,1,125
COLPA BELGICA,consultas prenatales,repetidas,2010-10-01,35,0,35,0,35
COLQUECHACA,consultas prenatales,repetidas,2010-10-01,119,52,119,52,171
COLQUENCHA,consultas prenatales,repetidas,2010-10-01,62,0,62,0,62
COLQUIRI,consultas prenatales,repetidas,2010-10-01,34,47,34,47,81
COMANCHE,consultas prenatales,repetidas,2010-10-01,18,0,18,0,18
COMARAPA,consultas prenatales,repetidas,2010-10-01,219,5,219,5,224
COMBAYA,consultas prenatales,repetidas,2010-10-01,0,2,0,2,2
CONCEPCION,consultas prenatales,repetidas,2010-10-01,97,0,97,0,97
COPACABANA,consultas prenatales,repetidas,2010-10-01,67,1,67,1,68
CORIPATA,consultas prenatales,repetidas,2010-10-01,99,0,99,0,99
CORO CORO,consultas prenatales,repetidas,2010-10-01,31,18,31,18,49
COROICO,consultas prenatales,repetidas,2010-10-01,7,2,7,2,9
CORQUE,consultas prenatales,repetidas,2010-10-01,18,7,18,7,25
COTAGAITA,consultas prenatales,repetidas,2010-10-01,127,24,127,24,151
COTOCA,consultas prenatales,repetidas,2010-10-01,430,0,430,0,430
CUATRO CAÑADAS,consultas prenatales,repetidas,2010-10-01,119,4,119,4,123
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2010-10-01,7,0,7,0,7
CUEVO,consultas prenatales,repetidas,2010-10-01,26,1,26,1,27
CULPINA,consultas prenatales,repetidas,2010-10-01,73,16,73,16,89
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2010-10-01,33,3,33,3,36
CURVA,consultas prenatales,repetidas,2010-10-01,9,1,9,1,10
DESAGUADERO,consultas prenatales,repetidas,2010-10-01,27,0,27,0,27
EL ALTO,consultas prenatales,repetidas,2010-10-01,6394,7,6394,7,6401
EL CHORO,consultas prenatales,repetidas,2010-10-01,11,6,11,6,17
EL PUENTE(STC),consultas prenatales,repetidas,2010-10-01,128,2,128,2,130
EL PUENTE(TJA),consultas prenatales,repetidas,2010-10-01,71,2,71,2,73
EL TORNO,consultas prenatales,repetidas,2010-10-01,436,0,436,0,436
EL VILLAR,consultas prenatales,repetidas,2010-10-01,24,0,24,0,24
ENTRE RIOS TRJ,consultas prenatales,repetidas,2010-10-01,143,8,143,8,151
ENTRE RIOS CBBA,consultas prenatales,repetidas,2010-10-01,239,1,239,1,240
ESCOMA,consultas prenatales,repetidas,2010-10-01,42,3,42,3,45
EUCALIPTUS,consultas prenatales,repetidas,2010-10-01,25,1,25,1,26
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2010-10-01,4,2,4,2,6
EXALTACION,consultas prenatales,repetidas,2010-10-01,9,3,9,3,12
FERNANDEZ ALONSO,consultas prenatales,repetidas,2010-10-01,89,0,89,0,89
FILADELFIA,consultas prenatales,repetidas,2010-10-01,16,0,16,0,16
GENERAL SAAVEDRA,consultas prenatales,repetidas,2010-10-01,110,7,110,7,117
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2010-10-01,25,0,25,0,25
GUANAY,consultas prenatales,repetidas,2010-10-01,104,4,104,4,108
GUAQUI,consultas prenatales,repetidas,2010-10-01,21,1,21,1,22
GUAYARAMERIN,consultas prenatales,repetidas,2010-10-01,440,91,440,91,531
GUTIERREZ,consultas prenatales,repetidas,2010-10-01,71,3,71,3,74
HUACARETA,consultas prenatales,repetidas,2010-10-01,62,13,62,13,75
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2010-10-01,21,7,21,7,28
HUACHACALLA,consultas prenatales,repetidas,2010-10-01,2,0,2,0,2
HUANUNI,consultas prenatales,repetidas,2010-10-01,218,0,218,0,218
HUARACAJE,consultas prenatales,repetidas,2010-10-01,20,0,20,0,20
HUARINA,consultas prenatales,repetidas,2010-10-01,13,5,13,5,18
HUAYLLAMARCA,consultas prenatales,repetidas,2010-10-01,14,0,14,0,14
HUMANATA,consultas prenatales,repetidas,2010-10-01,17,0,17,0,17
ICHOCA,consultas prenatales,repetidas,2010-10-01,2,7,2,7,9
ICLA,consultas prenatales,repetidas,2010-10-01,42,12,42,12,54
INCAHUASI,consultas prenatales,repetidas,2010-10-01,62,43,62,43,105
INGAVI (HUMAITA),consultas prenatales,repetidas,2010-10-01,11,1,11,1,12
INQUISIVI,consultas prenatales,repetidas,2010-10-01,29,3,29,3,32
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2010-10-01,81,3,81,3,84
IXIAMAS,consultas prenatales,repetidas,2010-10-01,75,0,75,0,75
JESUS DE MACHACA,consultas prenatales,repetidas,2010-10-01,40,15,40,15,55
LA ASUNTA,consultas prenatales,repetidas,2010-10-01,322,0,322,0,322
LA GUARDIA,consultas prenatales,repetidas,2010-10-01,543,0,543,0,543
LA PAZ,consultas prenatales,repetidas,2010-10-01,7862,3,7862,3,7865
LA RIVERA,consultas prenatales,repetidas,2010-10-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,repetidas,2010-10-01,25,6,25,6,31
LAJA,consultas prenatales,repetidas,2010-10-01,71,4,71,4,75
LAS CARRERAS,consultas prenatales,repetidas,2010-10-01,12,3,12,3,15
LICOMA PAMPA,consultas prenatales,repetidas,2010-10-01,12,0,12,0,12
LLALLAGUA,consultas prenatales,repetidas,2010-10-01,360,6,360,6,366
LLICA,consultas prenatales,repetidas,2010-10-01,17,2,17,2,19
LORETO,consultas prenatales,repetidas,2010-10-01,10,10,10,10,20
LURIBAY,consultas prenatales,repetidas,2010-10-01,26,3,26,3,29
MACHACAMARCA,consultas prenatales,repetidas,2010-10-01,43,2,43,2,45
MACHARETI,consultas prenatales,repetidas,2010-10-01,54,15,54,15,69
MAGDALENA,consultas prenatales,repetidas,2010-10-01,82,9,82,9,91
MAIRANA,consultas prenatales,repetidas,2010-10-01,113,1,113,1,114
MALLA,consultas prenatales,repetidas,2010-10-01,0,4,0,4,4
MAPIRI,consultas prenatales,repetidas,2010-10-01,125,5,125,5,130
MECAPACA,consultas prenatales,repetidas,2010-10-01,32,5,32,5,37
MINEROS,consultas prenatales,repetidas,2010-10-01,162,1,162,1,163
MIZQUE,consultas prenatales,repetidas,2010-10-01,113,3,113,3,116
MOCOMOCO,consultas prenatales,repetidas,2010-10-01,27,5,27,5,32
MOJINETE,consultas prenatales,repetidas,2010-10-01,1,0,1,0,1
MOJOCOYA,consultas prenatales,repetidas,2010-10-01,45,7,45,7,52
MONTEAGUDO,consultas prenatales,repetidas,2010-10-01,243,21,243,21,264
MONTERO,consultas prenatales,repetidas,2010-10-01,1024,0,1024,0,1024
MORO MORO,consultas prenatales,repetidas,2010-10-01,14,2,14,2,16
MOROCHATA,consultas prenatales,repetidas,2010-10-01,43,15,43,15,58
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2010-10-01,3,2,3,2,5
NAZACARA DE PACAJES,consultas prenatales,repetidas,2010-10-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2010-10-01,12,5,12,5,17
OCURI,consultas prenatales,repetidas,2010-10-01,67,48,67,48,115
OKINAWA,consultas prenatales,repetidas,2010-10-01,125,1,125,1,126
OMEREQUE,consultas prenatales,repetidas,2010-10-01,38,5,38,5,43
ORURO,consultas prenatales,repetidas,2010-10-01,2373,0,2373,0,2373
PADCAYA,consultas prenatales,repetidas,2010-10-01,128,7,128,7,135
PADILLA,consultas prenatales,repetidas,2010-10-01,104,12,104,12,116
PAILON,consultas prenatales,repetidas,2010-10-01,116,0,116,0,116
PALCA,consultas prenatales,repetidas,2010-10-01,37,5,37,5,42
PALOS BLANCOS,consultas prenatales,repetidas,2010-10-01,233,4,233,4,237
PAMPA AULLAGAS,consultas prenatales,repetidas,2010-10-01,11,0,11,0,11
PAMPA GRANDE,consultas prenatales,repetidas,2010-10-01,60,0,60,0,60
PAPEL PAMPA,consultas prenatales,repetidas,2010-10-01,10,4,10,4,14
PASORAPA,consultas prenatales,repetidas,2010-10-01,20,4,20,4,24
PATACAMAYA,consultas prenatales,repetidas,2010-10-01,199,1,199,1,200
PAZÑA,consultas prenatales,repetidas,2010-10-01,31,6,31,6,37
PELECHUCO,consultas prenatales,repetidas,2010-10-01,11,8,11,8,19
POCOATA,consultas prenatales,repetidas,2010-10-01,84,38,84,38,122
POCONA,consultas prenatales,repetidas,2010-10-01,50,5,50,5,55
POJO (CBBA),consultas prenatales,repetidas,2010-10-01,87,0,87,0,87
POOPO,consultas prenatales,repetidas,2010-10-01,33,3,33,3,36
PORCO,consultas prenatales,repetidas,2010-10-01,73,3,73,3,76
POROMA,consultas prenatales,repetidas,2010-10-01,55,25,55,25,80
PORONGO,consultas prenatales,repetidas,2010-10-01,56,5,56,5,61
PORTACHUELO,consultas prenatales,repetidas,2010-10-01,242,0,242,0,242
PORVENIR,consultas prenatales,repetidas,2010-10-01,46,0,46,0,46
POSTRER VALLE,consultas prenatales,repetidas,2010-10-01,11,5,11,5,16
POTOSI,consultas prenatales,repetidas,2010-10-01,1555,5,1555,5,1560
PRESTO,consultas prenatales,repetidas,2010-10-01,18,19,18,19,37
PUCARA,consultas prenatales,repetidas,2010-10-01,9,4,9,4,13
PUCARANI,consultas prenatales,repetidas,2010-10-01,150,2,150,2,152
PUERTO ACOSTA,consultas prenatales,repetidas,2010-10-01,21,1,21,1,22
PUERTO CARABUCO,consultas prenatales,repetidas,2010-10-01,29,7,29,7,36
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2010-10-01,42,0,42,0,42
PUERTO PEREZ,consultas prenatales,repetidas,2010-10-01,16,0,16,0,16
PUERTO QUIJARRO,consultas prenatales,repetidas,2010-10-01,72,0,72,0,72
PUERTO RICO,consultas prenatales,repetidas,2010-10-01,42,8,42,8,50
PUERTO SILES,consultas prenatales,repetidas,2010-10-01,11,1,11,1,12
PUERTO SUAREZ,consultas prenatales,repetidas,2010-10-01,103,0,103,0,103
PUERTO VILLARROEL,consultas prenatales,repetidas,2010-10-01,440,0,440,0,440
PUNA,consultas prenatales,repetidas,2010-10-01,104,11,104,11,115
PUNATA,consultas prenatales,repetidas,2010-10-01,283,10,283,10,293
QUIABAYA,consultas prenatales,repetidas,2010-10-01,8,1,8,1,9
QUILLACOLLO,consultas prenatales,repetidas,2010-10-01,691,10,691,10,701
QUIME,consultas prenatales,repetidas,2010-10-01,66,0,66,0,66
QUIRUSILLAS,consultas prenatales,repetidas,2010-10-01,11,0,11,0,11
RAVELO,consultas prenatales,repetidas,2010-10-01,45,10,45,10,55
REYES,consultas prenatales,repetidas,2010-10-01,94,7,94,7,101
RIBERALTA,consultas prenatales,repetidas,2010-10-01,1149,23,1149,23,1172
ROBORE,consultas prenatales,repetidas,2010-10-01,70,0,70,0,70
RURRENABAQUE,consultas prenatales,repetidas,2010-10-01,167,11,167,11,178
SABAYA,consultas prenatales,repetidas,2010-10-01,7,1,7,1,8
SACABA,consultas prenatales,repetidas,2010-10-01,1166,31,1166,31,1197
SACABAMBA,consultas prenatales,repetidas,2010-10-01,30,1,30,1,31
SACACA,consultas prenatales,repetidas,2010-10-01,126,23,126,23,149
SAIPINA,consultas prenatales,repetidas,2010-10-01,59,3,59,3,62
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2010-10-01,26,10,26,10,36
SAMAIPATA,consultas prenatales,repetidas,2010-10-01,51,1,51,1,52
SAN AGUSTIN,consultas prenatales,repetidas,2010-10-01,3,0,3,0,3
SAN ANDRES,consultas prenatales,repetidas,2010-10-01,35,2,35,2,37
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2010-10-01,10,13,10,13,23
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2010-10-01,14,0,14,0,14
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2010-10-01,13,3,13,3,16
SAN BENITO,consultas prenatales,repetidas,2010-10-01,144,10,144,10,154
SAN BORJA,consultas prenatales,repetidas,2010-10-01,250,19,250,19,269
SAN BUENA VENTURA,consultas prenatales,repetidas,2010-10-01,102,0,102,0,102
SAN CARLOS,consultas prenatales,repetidas,2010-10-01,168,0,168,0,168
SAN IGNACIO,consultas prenatales,repetidas,2010-10-01,189,8,189,8,197
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2010-10-01,624,73,624,73,697
SAN JAVIER(BNI),consultas prenatales,repetidas,2010-10-01,9,1,9,1,10
SAN JAVIER(STC),consultas prenatales,repetidas,2010-10-01,154,0,154,0,154
SAN JOAQUIN,consultas prenatales,repetidas,2010-10-01,21,17,21,17,38
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2010-10-01,117,0,117,0,117
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2010-10-01,88,0,88,0,88
SAN JULIAN,consultas prenatales,repetidas,2010-10-01,293,12,293,12,305
SAN LORENZO(PND),consultas prenatales,repetidas,2010-10-01,17,10,17,10,27
SAN LORENZO(TJA),consultas prenatales,repetidas,2010-10-01,117,9,117,9,126
SAN LUCAS,consultas prenatales,repetidas,2010-10-01,230,51,230,51,281
SAN MATIAS,consultas prenatales,repetidas,2010-10-01,88,2,88,2,90
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2010-10-01,80,8,80,8,88
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2010-10-01,17,1,17,1,18
SAN PEDRO,consultas prenatales,repetidas,2010-10-01,122,0,122,0,122
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2010-10-01,101,22,101,22,123
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2010-10-01,19,5,19,5,24
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2010-10-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2010-10-01,14,0,14,0,14
SAN PEDRO(PND),consultas prenatales,repetidas,2010-10-01,1,0,1,0,1
SAN RAFAEL,consultas prenatales,repetidas,2010-10-01,40,1,40,1,41
SAN RAMON BENI,consultas prenatales,repetidas,2010-10-01,33,0,33,0,33
SAN RAMON SCZ,consultas prenatales,repetidas,2010-10-01,112,0,112,0,112
SANTA ANA,consultas prenatales,repetidas,2010-10-01,175,0,175,0,175
