,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,3,2,3,2,5
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,4,0,4,0,4
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,29,0,29,0,29
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,16,3,16,3,19
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,4,0,4,0,4
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,45,5,45,5,50
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,9,0,9,0,9
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,21,7,21,7,28
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,251,3,251,3,254
TACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,6,0,6,0,6
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,8,0,8,0,8
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,9,3,9,3,12
TAHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,2,2,2,2,4
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,21,3,21,3,24
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,7,0,7,0,7
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,2,1,2,1,3
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,7,0,7,0,7
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,293,0,293,0,293
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,2,0,2,0,2
TEOPONTE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,5,6,5,6,11
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,18,5,18,5,23
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,7,0,7,0,7
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,56,2,56,2,58
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,34,1,34,1,35
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,4,0,4,0,4
TOLATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
TOLEDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,1,1,1,2
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,4,0,4,0,4
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,1,1,1,2
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,7,2,7,2,9
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,18,0,18,0,18
TOTORA(ORR),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,2,1,2,3
TRIGAL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,3,0,3,0,3
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,139,2,139,2,141
TUPIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,29,0,29,0,29
UMALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,0,3,0,3,3
UNCIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,20,2,20,2,22
URIONDO (A. CONCEPCION),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,5,1,5,1,6
URUBICHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,7,0,7,0,7
UYUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,20,0,20,0,20
VACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,9,5,9,5,14
VALLEGRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,5,0,5,0,5
VIACHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,55,2,55,2,57
VILA VILA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,2,1,2,1,3
VILLA CHARCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,4,4,4,4,8
VILLA MONTES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,19,1,19,1,20
VILLA RIVERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,7,2,7,2,9
VILLA SERRANO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,5,1,5,1,6
VILLA TUNARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,112,7,112,7,119
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,1,1,1,2
VILLAZON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,14,1,14,1,15
VINTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,68,0,68,0,68
VITICHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,5,1,5,1,6
WALDO BALLIVIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
WARNES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,59,0,59,0,59
YACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,5,5,5,5,10
YACUIBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,83,3,83,3,86
YAMPARAEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
YANACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,25,0,25,0,25
YOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,2,0,2,0,2
YOTALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,3,0,3,0,3
YUNCHARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
YUNGUYO DE LITORAL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,1,0,1,0,1
ZUDAÑEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-10-01,4,0,4,0,4
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,19,6,19,6,25
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,1,1,1,2
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,45,0,45,0,45
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,2,4,2,6
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,2,5,2,7
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,17,1,17,1,18
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,2,5,2,7
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,3,8,3,11
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,1,1,1,2
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,22,0,22,0,22
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,5,3,5,8
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,16,0,16,0,16
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,35,0,35,0,35
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,1,12,1,13
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,2,1,2,3
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,10,0,10,0,10
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,17,4,17,4,21
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,0,12,0,12
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,0,1,0,1,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,18,0,18,0,18
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,19,1,19,1,20
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,0,8,0,8
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,20,0,20,0,20
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,1,6,1,7
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,7,0,7,0,7
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,2,1,2,3
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,4,5,4,9
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,16,0,16,0,16
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,30,0,30,0,30
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,11,0,11,0,11
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,1,9,1,10
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,5,12,5,17
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,63,6,63,6,69
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,10,1,10,1,11
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,7,8,7,15
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,0,8,0,8
CATACORA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,31,6,31,6,37
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,3,4,3,7
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,34,4,34,4,38
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,5,12,5,17
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,18,2,18,2,20
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,0,6,0,6
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,0,8,0,8
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,2,1,2,3
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,10,2,10,2,12
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,32,0,32,0,32
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,43,0,43,0,43
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,12,3,12,15
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1316,7,1316,7,1323
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,38,0,38,0,38
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,0,5,0,5
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,21,0,21,0,21
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,15,7,15,7,22
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,4,4,4,8
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,1,12,1,13
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,0,1,0,1,1
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,21,0,21,0,21
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,13,1,13,1,14
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,22,0,22,0,22
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,2,9,2,11
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,20,0,20,0,20
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,7,3,7,3,10
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,1,1,1,2
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,3,3,3,6
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,0,5,0,5
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1091,0,1091,0,1091
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,0,12,0,12
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,26,0,26,0,26
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,13,0,13,0,13
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,29,0,29,0,29
ESCARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,10,0,10,0,10
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,0,2,0,2,2
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,0,9,0,9
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,4,1,4,5
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,2,8,2,10
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,1,5,1,6
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,1,1,1,2
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,39,0,39,0,39
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,2,9,2,11
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,16,0,16,0,16
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,1,2,1,3
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
INGAVI (HUMAITA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,0,6,0,6
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,11,2,11,13
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,7,1,7,1,8
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,3,2,3,5
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,0,6,0,6
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,47,0,47,0,47
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,34,0,34,0,34
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1333,1,1333,1,1334
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,0,6,0,6
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,11,0,11,0,11
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,32,10,32,10,42
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,4,6,4,10
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,1,3,1,4
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,1,3,1,4
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,10,0,10,0,10
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,0,2,0,2,2
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,1,5,1,6
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,0,8,0,8
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,0,9,0,9
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,26,4,26,4,30
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,2,8,2,10
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,0,6,0,6
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,132,0,132,0,132
MORO MORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,7,10,7,10,17
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,2,3,2,5
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,11,4,11,4,15
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,0,5,0,5
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,409,0,409,0,409
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,1,4,1,5
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,14,0,14,0,14
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,13,5,13,5,18
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,15,3,15,3,18
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,0,1,0,1,1
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,21,1,21,1,22
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,1,2,1,3
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,18,6,18,6,24
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,13,1,13,1,14
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,14,0,14,0,14
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,0,8,0,8
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,3,6,3,9
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,5,3,5,8
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,6,0,6,0,6
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,0,9,0,9
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,417,0,417,0,417
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,0,2,0,2,2
PUCARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,14,0,14,0,14
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,5,0,5,0,5
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,4,4,4,8
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,18,2,18,2,20
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,1,9,1,10
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,17,0,17,0,17
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,174,0,174,0,174
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,9,0,9,0,9
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,28,2,28,2,30
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,8,0,8,0,8
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,136,8,136,8,144
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,4,0,4,0,4
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,10,4,10,4,14
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,224,14,224,14,238
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,1,12,1,13
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,18,0,18,0,18
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,138,0,138,0,138
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,2,1,2,3
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,19,1,19,1,20
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,2,3,2,5
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,3,0,3,0,3
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,11,1,11,1,12
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,1,1,1,2
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,2,0,2,0,2
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-11-01,12,2,12,2,14
