,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES,TOTALES,TOTALES
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,13,6,13,6,19
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,18,4,18,4,22
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,195,6,195,6,201
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,13,0,13,0,13
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,32,1,32,1,33
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,0,2,0,2
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,187,1,187,1,188
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,2,4,2,6
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,37,2,37,2,39
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,10,0,10,0,10
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,9,3,9,3,12
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,5,0,5,0,5
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,0,2,0,2
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,12,2,12,2,14
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1,4,1,4,5
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,5,0,5,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,0,8,0,8
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,17,0,17,0,17
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,69,0,69,0,69
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,17,0,17,0,17
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,25,0,25,0,25
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,35,4,35,4,39
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,86,9,86,9,95
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,0,2,0,2
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,18,0,18,0,18
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,15,6,15,6,21
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,22,0,22,0,22
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,45,0,45,0,45
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,32,1,32,1,33
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,5,1,5,1,6
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,29,0,29,0,29
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,61,28,61,28,89
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,12,0,12,0,12
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,16,3,16,3,19
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,7,0,7,0,7
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,16,0,16,0,16
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,26,3,26,3,29
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,0,6,0,6
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,1,2,1,3
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,0,8,0,8
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,15,0,15,0,15
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,24,0,24,0,24
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,24,0,24,0,24
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1368,0,1368,0,1368
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,25,2,25,2,27
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,19,0,19,0,19
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,3,2,3,5
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,1,8,1,9
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,7,1,7,1,8
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,0,2,0,2,2
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,0,4,0,4
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,5,0,5,0,5
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,1,4,1,5
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,12,0,12,0,12
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,43,0,43,0,43
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,16,2,16,2,18
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,5,0,5,0,5
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,77,0,77,0,77
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,11,2,11,2,13
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,0,6,0,6
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,13,11,13,11,24
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,821,10,821,10,831
TACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1,0,1,0,1
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,2,8,2,10
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,2,6,2,8
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,0,6,0,6
TAHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,0,2,0,2
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,33,10,33,10,43
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,25,10,25,10,35
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1,0,1,0,1
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,2,8,2,10
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,437,2,437,2,439
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,9,4,9,4,13
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,4,4,4,8
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,16,6,16,6,22
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,22,9,22,9,31
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,9,0,9,0,9
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,83,2,83,2,85
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,30,1,30,1,31
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1,0,1,0,1
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,7,0,7,0,7
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,3,1,3,1,4
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,12,3,12,3,15
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,25,1,25,1,26
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,11,5,11,5,16
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,55,0,55,0,55
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,0,4,0,4
TRIGAL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1,0,1,0,1
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,168,0,168,0,168
TUPIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,79,5,79,5,84
TURCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,0,4,0,4
UMALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,5,4,5,4,9
UNCIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,10,3,10,3,13
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,15,1,15,1,16
URUBICHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,19,0,19,0,19
UYUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,38,1,38,1,39
VACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,15,1,15,1,16
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,11,3,11,3,14
VIACHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,45,1,45,1,46
VILA VILA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,0,6,0,6
VILLA CHARCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,26,7,26,7,33
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,60,3,60,3,63
VILLA NUEVA (LOMA ALTA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,7,0,7,0,7
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,14,2,14,2,16
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,26,9,26,9,35
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,107,4,107,4,111
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,8,8,8,16
VILLAZON,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,60,4,60,4,64
VINTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,64,0,64,0,64
VITICHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,7,6,7,13
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,2,0,2,0,2
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,132,1,132,1,133
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,4,2,4,2,6
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,102,0,102,0,102
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,7,4,7,4,11
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,8,0,8,0,8
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,97,1,97,1,98
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,7,0,7,0,7
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,6,1,6,1,7
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,1,2,1,2,3
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-09-01,9,2,9,2,11
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,7,0,7,0,7
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,65,5,65,5,70
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,9,1,9,1,10
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,48,1,48,1,49
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,0,1,0,1,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,0,6,0,6
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,8,0,8,0,8
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,12,2,12,2,14
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,2,0,2,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,5,3,5,8
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,1,1,1,2
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,2,1,2,1,3
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,18,1,18,1,19
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,12,2,12,2,14
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,7,0,7,0,7
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,58,0,58,0,58
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,23,0,23,0,23
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,2,0,2,0,2
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,24,2,24,2,26
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,20,5,20,5,25
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,28,0,28,0,28
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,0,6,0,6
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,0,1,0,1,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,63,0,63,0,63
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,22,7,22,7,29
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,5,3,5,3,8
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,1,1,1,2
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,4,0,4,0,4
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,25,0,25,0,25
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,27,0,27,0,27
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,10,1,10,1,11
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,0,6,0,6
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,12,0,12,0,12
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,10,1,10,1,11
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,43,2,43,2,45
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,2,1,2,1,3
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,43,0,43,0,43
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,30,0,30,0,30
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,0,6,0,6
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,13,1,13,1,14
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,75,7,75,7,82
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,15,0,15,0,15
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,9,4,9,4,13
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,4,0,4,0,4
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,38,4,38,4,42
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,7,0,7,0,7
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,44,2,44,2,46
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,11,2,11,2,13
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,19,0,19,0,19
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,14,1,14,1,15
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,9,2,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,1,3,1,4
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,14,5,14,5,19
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,24,0,24,0,24
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,77,0,77,0,77
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,17,6,17,23
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1092,10,1092,10,1102
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,70,0,70,0,70
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,11,1,11,1,12
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,2,1,2,3
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,23,0,23,0,23
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,25,11,25,11,36
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,9,0,9,0,9
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,12,22,12,22,34
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,0,6,0,6
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,39,1,39,1,40
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,0,1,0,1,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,35,0,35,0,35
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,14,1,14,1,15
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,11,0,11,0,11
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,8,7,8,7,15
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,4,3,4,7
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,24,5,24,5,29
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,103,0,103,0,103
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,34,1,34,1,35
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,2,0,2,0,2
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,26,3,26,3,29
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,0,6,0,6
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,5,1,5,1,6
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,7,0,7,0,7
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1062,5,1062,5,1067
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,5,2,5,2,7
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,17,0,17,0,17
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,13,0,13,0,13
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,58,0,58,0,58
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,8,0,8,0,8
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,22,0,22,0,22
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,34,0,34,0,34
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,8,1,8,1,9
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,1,1,1,2
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,22,0,22,0,22
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,25,0,25,0,25
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,4,0,4,0,4
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,11,1,11,1,12
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,7,0,7,0,7
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,103,8,103,8,111
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,16,2,16,2,18
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,22,4,22,4,26
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,8,2,8,2,10
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,14,0,14,0,14
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,5,0,5,0,5
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,4,0,4,0,4
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,4,0,4,0,4
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,8,0,8,0,8
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,11,1,11,1,12
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,16,14,16,14,30
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,5,2,5,2,7
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,13,0,13,0,13
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,12,0,12,0,12
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,7,5,7,5,12
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,85,0,85,0,85
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,87,0,87,0,87
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1055,1,1055,1,1056
LA RIVERA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,9,2,9,2,11
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,20,0,20,0,20
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,1,3,1,4
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,86,1,86,1,87
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,5,1,5,1,6
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,0,3,0,3
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,1,6,1,7
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,4,1,4,1,5
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,11,4,11,4,15
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,20,2,20,2,22
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,22,0,22,0,22
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,21,2,21,2,23
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,3,2,3,2,5
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,31,0,31,0,31
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,23,0,23,0,23
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,9,2,9,2,11
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-10-01,6,2,6,2,8
