municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
CARAPARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
CHAYANTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,8,8
CHIMORE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
CKOCHAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,7,7
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
COCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,15,15
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,9,9
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
COPACABANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
CORIPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,22,22
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
CULPINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,16,16
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,69,69
EL CHORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,9,9
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,14,14
ESCOMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
HUMANATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,10,10
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,55,55
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,37,37
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,12,12
LORETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
LURIBAY,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
MACHARETI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,13,13
MALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
MAPIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
MIZQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,12,12
MOJINETE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,7,7
MOJOCOYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,9,9
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
PAZÑA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,11,11
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,12,12
POROMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,9,9
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,21,21
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
PUNA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,10,10
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,27,27
QUIME,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
ROBORE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,8,8
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,7,7
SAN BENITO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,9,9
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,56,56
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,19,19
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,18,18
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,13,13
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,10,10
SHINAOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,31,31
TACOPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,43,43
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
TARATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,10,10
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,14,14
TIAWANACU,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
TINGUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,16,16
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
TOLEDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,7,7
TOMAVE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
TOMINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,10,10
TORO TORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,8,8
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
TRINIDAD,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,32,32
UNCIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,14,14
UYUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,8,8
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,11,11
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,16,16
VILLA RIVERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
VILLAZON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,5,5
YACUIBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,6,6
YAMPARAEZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,3,3
YOTALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,12,12
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-10-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
ANTEQUERA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
ARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
BOLIVAR,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
CAJUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,9,9
CAMARGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,15,15
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
CHIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,37,37
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
COBIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,9,9
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,9,9
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
CULPINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,19,19
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,139,139
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,8,8
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
INQUISIVI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,21,21
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,46,46
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,43,43
LORETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
MOJINETE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,8,8
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
MOROCHATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,12,12
OKINAWA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
PALCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,55,55
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,15,15
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
PAZÑA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
PELECHUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
POOPO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
POROMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,11,11
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,10,10
PRESTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,15,15
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,19,19
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
SAN BENITO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,54,54
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,30,30
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,3,3
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,6,6
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
SENA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,10,10
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,72,72
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,14,14
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
TARVITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
TIAWANACU,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
TODOS SANTOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,12,12
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,5,5
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,11,11
TURCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
