,group,variable,month,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,6,6
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,23,0,23
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,8,9
SACACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,2,2
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,3,4
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,5,0,5
SAN LORENZO(PND),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,2,0,2
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,2,2
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,4,0,4
SAN PEDRO(PND),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,4,4
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,10,9,19
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,2,2,4
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,10,7,17
TRINIDAD,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,5,1,6
VACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,1,1
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,3,0,3
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,3,1,4
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,5,6
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,12,2,14
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,4,0,4
BELLA FLOR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,13,13
BERMEJO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,2,2,4
CARACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,3,0,3
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,22,21,43
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,13,1,14
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,3,3
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,16,17
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,15,5,20
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,11,41,52
EL PUENTE(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,0,1
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,40,4,44
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,4,0,4
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,24,0,24
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,3,3
MAGDALENA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,1,1
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,5,6,11
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,20,14,34
OMEREQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,3,3
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,32,3,35
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,6,7,13
PORVENIR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,1,2
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,5,0,5
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,3,0,3
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,3,4
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,0,1
SAN LORENZO(PND),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,4,30,34
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,0,1
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,5,0,5
SAN PEDRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,8,6,14
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,32,9,41
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,4,1,5
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,23,7,30
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,2,1,3
TOLEDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,4,4
TRINIDAD,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,1,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,1,2,3
VACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,0,3,3
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,7,0,7
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,10,4,14
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,11,2,13
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,10,7,17
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-08-01,7,1,8
AIQUILE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,8,11
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,6,25,31
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,6,5,11
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,4,5
BAURES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
BELLA FLOR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,2,2
BERMEJO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,8,14,22
BOLPEBRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
CAMARGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
CARACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
CARAPARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,5,7
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,4,5
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,16,22,38
COCAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,5,5
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,20,2,22
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,9,11
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,14,17
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,6,8
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,17,9,26
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,8,2,10
EL VILLAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,1,2
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,4,34,38
FILADELFIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,13,16
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,1,1
HUACARETA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,5,8
INCAHUASI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,0,2
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,19,0,19
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,21,0,21
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,14,0,14
MIZQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,2,3
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,23,7,30
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,28,11,39
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
OMEREQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,10,11
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,38,0,38
PADILLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,8,7,15
POCONA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,4,4,8
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
POROMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,10,12
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,0,3
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,37,5,42
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,3,3
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,1,3
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,10,3,13
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,4,6
RAVELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,6,0,6
ROBORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,0,3
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,7,0,7
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,0,3
SAN BENITO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,9,5,14
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,15,17
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,0,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,5,7
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,10,13,23
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,11,14,25
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,86,24,110
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,1,1
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,0,1
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,12,7,19
TACOBAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,9,9
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,5,5
TARABUCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,27,45,72
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,41,29,70
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,2,7,9
TOMINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,6,9,15
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,2,2
TRINIDAD,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,3,1,4
TUPIZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,5,0,5
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,19,17,36
UYUNI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,14,0,14
VACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,0,1,1
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,10,0,10
VIACHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,7,0,7
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,10,14,24
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,8,12,20
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,32,4,36
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,27,15,42
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,15,15,30
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,13,3,16
YOTALA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-09-01,1,8,9
AIQUILE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,1,1
ANTEQUERA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,1,5
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,5,8
ARANI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,3,3
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,23,0,23
ATOCHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,1,1
BAURES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,24,0,24
BELLA FLOR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,3,3
BOLPEBRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,5,6
"CAIZA ""D""",vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,2,2
CAMARGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,4,4
CAMIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,0,4
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,0,3
CARAPARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,0,3
CHAQUI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,0,1
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,10,13
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,14,19,33
COCAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,9,9
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,56,0,56
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,7,9,16
COPACABANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,6,21,27
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,18,22
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,32,0,32
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,31,8,39
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,23,1,24
EL VILLAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,2,6
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,8,15,23
FILADELFIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,1,4
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,0,3
HUACARETA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,7,11
HUANUNI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,1,1
INCAHUASI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,24,1,25
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,3,3
LORETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,5,5
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,17,5,22
MIZQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,7,8
MOJOCOYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,2,1,3
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,34,16,50
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,26,17,43
MORO MORO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,8,12,20
OMEREQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,2,11,13
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,44,1,45
PADILLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,16,15,31
PAZÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,4,4
POCONA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,3,7
POROMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,10,22,32
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,2,0,2
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,5,5
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,18,0,18
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,2,5
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,10,4,14
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,1,5
RIBERALTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,0,1
ROBORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,5,3,8
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,1,2
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,2,0,2
SAN BENITO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,5,6,11
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,3,2,5
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,5,0,5
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,5,6
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,0,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,1,2
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,7,8
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,23,24,47
SAN PEDRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,0,1
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,15,15
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,290,200,490
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,1,10,11
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,2,0,2
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,1,1
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,32,5,37
TACOBAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,2,2
TACOPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,4,21,25
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,2,21,23
TARABUCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,11,15,26
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,67,81,148
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,15,5,20
TOMINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,19,22,41
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-10-01,0,3,3
