,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES,TOTALES,TOTALES
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,2,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,3,0,3,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,2,1,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,124,20,124,20,144
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,90,75,90,75,165
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,4,17,4,17,21
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,2,0,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,2,2,2,2,4
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,1,1,1,2
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,22,12,22,12,34
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,2,0,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,2,3,2,3,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,3,1,3,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,2,8,2,8,10
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,10,14,10,14,24
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,0,1,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,0,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-08-01,1,0,1,0,1
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,0,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,7,4,7,4,11
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,0,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,6,10,6,10,16
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,0,2,0,2
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,3,6,3,6,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,108,92,108,92,200
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,0,2,0,2
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,2,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,53,43,53,43,96
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,5,1,5,6
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,1,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,2,1,2,3
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
INGAVI (HUMAITA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,64,105,64,105,169
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,3,2,3,2,5
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,0,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,5,6,5,6,11
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,7,3,7,3,10
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,4,6,4,6,10
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,2,0,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,5,1,5,1,6
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,3,3,3,3,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,6,2,6,2,8
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,5,7,5,7,12
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,3,3,3,3,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,6,1,6,7
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,10,7,10,7,17
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,5,4,5,4,9
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,38,37,38,37,75
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,2,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,147,131,147,131,278
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,3,2,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,6,5,6,5,11
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,2,0,2,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,1,1,1,2
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,11,18,11,18,29
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,9,3,9,3,12
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,3,2,3,2,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,5,5,5,5,10
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,24,15,24,15,39
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,1,0,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-09-01,4,1,4,1,5
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,4,0,4,0,4
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,7,4,7,4,11
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,2,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,3,7,3,7,10
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,2,1,2,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,3,2,3,2,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,60,62,60,62,122
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,2,0,2,0,2
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,3,0,3,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,43,34,43,34,77
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,4,5,4,5,9
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,127,126,127,126,253
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,3,0,3,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,3,0,3,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,7,9,7,9,16
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,9,8,9,8,17
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,6,0,6,0,6
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
PELECHUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,7,8,7,8,15
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,3,1,3,1,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,3,1,3,1,4
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,2,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,2,0,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,10,15,10,15,25
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,106,113,106,113,219
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,4,2,4,2,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,21,35,21,35,56
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,4,0,4,0,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,7,8,7,8,15
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,9,5,9,5,14
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,2,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,2,8,2,8,10
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,0,1,0,1,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,3,3,3,3,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,9,2,9,2,11
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,0,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-10-01,1,1,1,1,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-11-01,0,1,0,1,1
