,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,3,4,3,4,7
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,0,2,0,2,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,1,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,5,16,5,16,21
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,3,1,3,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,6,6,6,6,12
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,10,22,10,22,32
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,25,36,25,36,61
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,15,11,15,11,26
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-06-01,1,0,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,2,1,2,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,7,4,7,4,11
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,9,0,9,9
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,3,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,49,38,49,38,87
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,8,9,8,9,17
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,5,2,5,7
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,7,14,7,14,21
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,36,45,36,45,81
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,19,24,19,24,43
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,3,0,3,0,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,7,2,7,2,9
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,25,40,25,40,65
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,319,370,319,370,689
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,6,15,6,15,21
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,13,2,13,15
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,4,1,4,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,6,7,6,7,13
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,3,0,3,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,59,96,59,96,155
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,5,36,5,36,41
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,4,1,4,5
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,0,2,0,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,1,1,1,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,3,5,3,5,8
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,5,28,5,28,33
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,6,9,6,9,15
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,236,351,236,351,587
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,1,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,10,1,10,11
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,6,0,6,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,59,81,59,81,140
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,1,1,1,2
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,166,332,166,332,498
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,8,14,8,14,22
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,46,90,46,90,136
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,20,36,20,36,56
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,4,2,4,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,6,13,6,13,19
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,4,1,4,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,14,28,14,28,42
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,15,12,15,12,27
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,13,28,13,28,41
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,4,0,4,4
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,17,17,17,17,34
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,4,2,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,13,10,13,10,23
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,4,2,4,6
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,3,0,3,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,4,0,4,0,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,4,8,4,8,12
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,21,34,21,34,55
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,8,0,8,8
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,7,10,7,10,17
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,3,2,3,2,5
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,4,1,4,1,5
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,10,0,10,10
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,801,338,801,338,1139
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,5,6,5,6,11
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,2,1,2,3
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,2,2,2,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,346,613,346,613,959
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,4,1,4,5
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,2,2,2,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,33,26,33,26,59
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,4,1,4,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,3,0,3,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,190,419,190,419,609
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,32,24,32,24,56
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,18,17,18,17,35
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,2,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,13,27,13,27,40
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,10,12,10,12,22
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,2,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,5,10,5,10,15
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,2,1,2,1,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,14,25,14,25,39
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,28,40,28,40,68
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,16,9,16,9,25
YOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-07-01,0,1,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,3,2,3,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,5,11,5,11,16
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,3,0,3,3
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,31,41,31,41,72
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,5,4,5,4,9
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,11,7,11,7,18
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,1,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,52,86,52,86,138
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,20,17,20,17,37
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,6,1,6,7
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,6,3,6,9
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,1,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,8,15,8,15,23
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,10,51,10,51,61
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,288,321,288,321,609
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,11,7,11,18
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,8,2,8,10
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,2,1,2,3
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,1,2,1,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,3,1,3,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,4,8,4,8,12
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,7,2,7,9
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,0,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,102,151,102,151,253
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,2,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,10,29,10,29,39
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,5,13,5,13,18
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,2,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,25,7,25,32
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,3,0,3,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,16,7,16,23
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,297,425,297,425,722
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,1,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,2,2,2,4
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,13,7,13,20
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,2,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,2,2,2,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,67,107,67,107,174
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,189,294,189,294,483
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,14,3,14,17
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,7,0,7,7
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,31,61,31,61,92
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,11,8,11,8,19
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,3,1,3,4
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,2,0,2,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,8,13,8,13,21
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,5,6,5,6,11
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,23,38,23,38,61
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,6,12,6,12,18
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,2,1,2,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,8,18,8,18,26
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,10,11,10,11,21
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,0,3,0,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,5,3,5,8
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,9,12,9,12,21
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,4,2,4,6
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,3,3,3,6
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,0,2,0,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,8,2,8,10
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,4,7,4,7,11
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,7,1,7,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,14,7,14,21
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,3,3,3,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,27,51,27,51,78
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,4,2,4,6
