,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ALCALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,3,42,3,42,45
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,7,0,7,7
BAURES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,6,1,6,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,15,0,15,15
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,3,0,3,0,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,4,6,4,6,10
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,9,39,9,39,48
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,6,0,6,6
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,30,16,30,16,46
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,71,78,71,78,149
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,3,1,3,1,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,12,3,12,3,15
CATACORA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,53,141,53,141,194
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,13,22,13,22,35
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,17,0,17,17
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,53,82,53,82,135
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,6,28,6,28,34
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,215,53,215,53,268
COIPASA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,10,5,10,15
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,60,28,60,28,88
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,6,2,6,8
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,19,29,19,29,48
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,190,14,190,14,204
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,12,0,12,12
CORQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,17,22,17,22,39
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,32,264,32,264,296
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,26,3,26,3,29
CULPINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,6,21,6,21,27
CURVA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,16,0,16,16
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,8,3,8,3,11
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,346,481,346,481,827
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,38,6,38,6,44
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,13,5,13,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,14,1,14,1,15
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,28,122,28,122,150
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,37,147,37,147,184
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,14,0,14,0,14
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,6,0,6,6
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,7,5,7,12
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,23,166,23,166,189
HUARINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,4,0,4,4
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,6,2,6,8
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,14,2,14,16
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,15,5,15,20
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,5,0,5,5
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,19,0,19,0,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,80,13,80,13,93
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,11,20,11,20,31
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,6,1,6,7
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,4,241,4,241,245
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,2,0,2,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,43,5,43,48
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,59,0,59,0,59
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,6,1,6,1,7
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,31,2,31,2,33
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,27,1,27,28
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,6,1,6,1,7
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,142,102,142,102,244
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,45,0,45,45
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,26,9,26,9,35
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,74,0,74,0,74
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,53,69,53,69,122
POCOATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,5,0,5,5
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,12,34,12,34,46
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,3,2,3,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,56,56,56,56,112
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,23,0,23,0,23
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,38,12,38,12,50
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,9,19,9,19,28
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,0,2,0,2
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,19,1,19,1,20
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,4,0,4,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,9,0,9,9
SABAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,5,1,5,6
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,42,34,42,34,76
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,12,0,12,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,6,0,6,6
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,43,0,43,0,43
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,8,43,8,43,51
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,47,8,47,8,55
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,148,53,148,53,201
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,12,53,12,53,65
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,31,25,31,25,56
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,6,5,6,5,11
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,7,0,7,7
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,710,288,710,288,998
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,98,0,98,98
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,42,105,42,105,147
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,3,25,3,25,28
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,8,14,8,14,22
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,6,0,6,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,39,42,39,42,81
SORACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,11,26,11,26,37
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,57,38,57,38,95
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,30,1,30,31
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,4,0,4,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,92,123,92,123,215
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,10,1,10,1,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,11,23,11,23,34
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
TODOS SANTOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,0,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,1,1,1,1,2
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,8,0,8,8
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,3,38,3,38,41
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,36,13,36,13,49
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,28,0,28,28
TURCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,4,0,4,4
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,2,0,2,0,2
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,17,21,17,21,38
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,28,10,28,10,38
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,38,28,38,28,66
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,28,15,28,15,43
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,58,26,58,26,84
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,75,60,75,60,135
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,11,0,11,11
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,3,0,3,3
YUNGUYO DE LITORAL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-11-01,0,5,0,5,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,2,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,1,1,1,2
ALCALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,4,4,4,4,8
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,3,0,3,3
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,11,0,11,11
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,9,0,9,0,9
CALACOTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,5,0,5,5
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,28,20,28,20,48
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,31,12,31,12,43
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,1,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,11,0,11,11
CHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,4,1,4,1,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,1,1,1,2
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,7,1,7,8
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,24,6,24,6,30
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,2,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,156,17,156,17,173
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,46,15,46,15,61
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,6,4,6,4,10
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,21,0,21,21
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,13,2,13,15
CORQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,5,69,5,69,74
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,2,0,2,2
CULPINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,6,16,6,16,22
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,330,252,330,252,582
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,19,10,19,10,29
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,3,4,3,4,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,8,10,8,10,18
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,14,0,14,0,14
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,8,0,8,0,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,14,0,14,0,14
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,24,136,24,136,160
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,5,1,5,6
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,1,1,1,2
HUMANATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,6,18,6,18,24
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,7,1,7,8
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,11,0,11,0,11
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,36,8,36,8,44
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,8,77,8,77,85
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,17,2,17,19
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,4,0,4,0,4
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,10,32,10,32,42
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,4,12,4,12,16
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,26,0,26,0,26
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,4,2,4,2,6
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,130,10,130,10,140
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,7,72,7,72,79
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,8,5,8,5,13
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,17,0,17,0,17
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,6,2,6,8
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,11,3,11,3,14
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,11,15,11,15,26
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,4,0,4,0,4
POOPO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,3,0,3,0,3
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,35,15,35,15,50
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,16,7,16,7,23
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,14,6,14,6,20
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,20,0,20,20
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,24,12,24,12,36
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,8,2,8,2,10
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,11,0,11,11
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,2,9,2,9,11
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,32,4,32,4,36
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,136,0,136,0,136
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,12,0,12,12
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,7,12,7,12,19
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,6,1,6,1,7
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,3,0,3,3
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,6,10,6,10,16
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-12-01,0,2,0,2,2
