,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,3,3,3,3,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,26,2,26,28
PUNA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,4,0,4,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,6,1,6,1,7
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,5,16,5,16,21
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,5,2,5,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,4,2,4,2,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,7,1,7,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,25,28,25,28,53
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,3,0,3,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,82,38,82,38,120
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,6,2,6,8
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,25,6,25,6,31
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,1,1,1,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,8,1,8,9
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,3,48,3,48,51
UNCIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,0,2,0,2,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-11-01,1,2,1,2,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,4,0,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,31,3,31,3,34
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,3,0,3,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,9,1,9,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,48,94,48,94,142
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,4,0,4,0,4
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,6,4,6,4,10
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,7,1,7,8
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,2,1,2,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,12,2,12,2,14
LURIBAY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,9,0,9,9
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,2,0,2,0,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,2,0,2,0,2
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,2,0,2,0,2
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,5,0,5,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,1,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,5,1,5,1,6
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,2,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,4,0,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,5,3,5,3,8
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,3,1,3,1,4
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,4,3,4,3,7
QUIME,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,28,0,28,28
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,1,1,1,2
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,3,0,3,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,4,1,4,5
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,16,0,16,16
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,81,21,81,21,102
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,10,6,10,6,16
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,3,0,3,0,3
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,0,5,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,9,0,9,0,9
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-12-01,1,8,1,8,9
