,group,variable,month,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 10 A 14,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 15 A 19,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 20 A 34,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 35 A 49,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 50 Y +,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS < A 10,TOTALES
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,20,13,0,0,36
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,8,53,23,1,0,85
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,10,5,0,0,16
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,8,28,23,0,0,59
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,4,1,0,0,5
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,5,7,0,0,13
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,7,5,0,0,15
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,2,7,55,11,0,0,75
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,7,1,0,0,10
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,7,14,8,1,0,30
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,8,4,0,0,13
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,39,300,81,2,0,422
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,6,2,0,0,8
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,6,31,20,1,0,58
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,5,3,0,0,8
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,5,2,0,0,8
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,11,6,0,0,17
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,4,5,0,0,9
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,13,6,1,0,23
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,6,2,0,0,8
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,10,7,0,0,19
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,33,5,0,0,39
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,5,32,18,0,0,55
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,30,17,0,0,48
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,7,5,1,0,14
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,7,119,55,1,0,182
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,6,14,0,0,20
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,15,8,0,0,23
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,51,16,0,0,69
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,2,20,289,109,3,0,423
TACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,1,0,0,0,1
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,18,11,0,0,30
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,7,8,0,0,16
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,8,6,0,0,16
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,6,3,0,0,9
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,7,33,29,2,0,71
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,19,21,0,0,40
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,11,8,0,0,19
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,16,10,0,0,26
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,12,81,47,3,0,144
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,5,14,15,0,0,34
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,12,4,0,0,16
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,20,21,0,0,41
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,9,10,0,0,22
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,2,6,2,0,0,11
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,7,41,17,0,0,65
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,5,35,27,0,0,67
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,2,0,0,0,2
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,4,20,6,0,0,30
TODOS SANTOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,1,0,0,0,1
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,14,5,0,0,20
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,5,8,0,0,15
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,4,10,0,0,14
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,14,12,0,0,28
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,4,14,11,0,0,30
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,9,60,35,1,0,106
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,11,8,0,0,21
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,6,3,0,0,11
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,6,14,2,0,0,22
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,13,66,32,2,0,113
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,6,1,0,0,10
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,10,9,1,0,21
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,28,13,1,0,42
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,1,29,34,3,0,68
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,8,1,0,0,10
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,4,39,17,0,0,60
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,4,13,6,1,0,24
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,30,17,0,0,50
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,33,21,0,0,55
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,11,8,0,0,21
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,34,24,2,0,63
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,15,70,32,0,0,117
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,3,0,0,0,4
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,16,6,0,0,22
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,19,11,0,0,33
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,29,165,74,0,0,268
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,6,24,16,0,0,47
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,51,26,0,0,80
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,1,9,66,24,1,0,101
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,2,3,0,0,5
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,2,17,128,59,0,0,206
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,20,3,0,0,24
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,2,6,83,28,1,0,120
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,3,7,8,0,0,18
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,7,5,0,0,12
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,4,41,27,1,0,73
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,0,9,3,0,0,12
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,7,8,0,0,16
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,2,16,7,0,0,25
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-09-01,0,1,18,21,2,0,42
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,4,6,0,0,10
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,33,15,1,0,52
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,47,21,1,0,71
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,23,16,0,0,40
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,6,1,0,0,9
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,3,9,0,0,13
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,25,15,0,0,42
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,6,8,0,0,14
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,3,3,1,0,7
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,5,1,0,0,6
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,17,5,1,0,24
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,21,26,0,0,49
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,12,5,0,0,18
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,13,9,2,0,27
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,39,19,0,0,60
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,12,18,17,0,0,47
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,7,20,16,0,0,43
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,5,12,11,0,0,28
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,20,4,0,0,26
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,10,5,0,0,16
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,13,13,1,0,29
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,12,48,30,3,0,93
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,4,19,44,32,1,0,100
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,22,8,0,0,32
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,14,4,0,0,19
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,0,0,1,0,1
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,2,2,0,0,4
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,13,5,0,0,21
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,1,14,44,22,1,0,82
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,51,29,0,0,83
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,6,2,0,0,8
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,5,0,0,0,6
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,17,6,0,0,25
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,8,31,14,0,0,53
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,6,36,17,1,0,60
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,19,5,1,0,27
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,23,8,0,0,34
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,19,11,0,0,32
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,5,4,0,0,9
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,1,2,31,17,0,0,51
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,9,17,1,0,28
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,6,3,0,0,10
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,13,8,0,0,21
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,25,13,1,0,41
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,1,1,11,11,0,0,24
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,5,33,5,0,0,43
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,51,23,0,0,77
CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,27,13,0,0,42
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,7,5,0,0,14
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,6,5,0,0,12
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,0,1,0,0,1
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,3,1,0,0,4
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,5,47,23,0,0,75
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,11,3,0,0,16
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,5,69,28,0,0,102
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,0,2,0,0,2
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,18,23,2,0,44
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,1,13,84,40,0,0,138
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,5,5,4,0,0,14
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,1,0,0,0,1
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,2,3,0,0,5
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,13,10,0,0,23
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,12,17,2,0,31
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,14,10,0,0,26
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,15,14,0,0,32
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,7,31,8,1,0,47
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,10,54,17,0,0,81
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,43,33,1,0,80
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,29,227,90,1,0,347
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,2,1,0,0,3
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,6,35,8,0,0,49
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,26,12,0,0,41
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,7,5,0,0,12
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,7,61,36,2,0,106
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,6,6,0,0,13
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,6,39,14,1,0,60
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,15,10,0,0,26
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,16,6,0,0,23
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,2,1,0,0,3
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,9,47,28,1,0,85
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,1,0,0,0,1
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,6,28,6,0,0,40
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,10,9,0,0,19
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,3,15,7,0,0,25
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,0,5,7,0,0,12
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,16,8,0,0,25
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,4,6,1,0,0,11
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,31,21,0,0,54
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,13,106,26,0,0,145
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,2,37,7,0,0,46
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,0,1,4,3,0,0,8
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-10-01,2,4,11,7,0,0,24
