,group,variable,month,DIU: USUARIAS NUEVAS 10 A 14,DIU: USUARIAS NUEVAS 15 A 19,DIU: USUARIAS NUEVAS 20 A 34,DIU: USUARIAS NUEVAS 35 A 49,DIU: USUARIAS NUEVAS 50 Y +,DIU: USUARIAS NUEVAS < A 10,TOTALES
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,0,0,0,3
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,1,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,3,0,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,4,56,18,0,0,78
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,0,0,0,3
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,1,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,10,0,0,0,10
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,6,8,4,0,0,18
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,4,0,0,0,4
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,5,0,0,0,5
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,1,0,0,2
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,3,11,5,0,0,19
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,1,0,0,3
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,4,1,0,0,5
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,1,0,0,0,2
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,5,0,0,0,5
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,2,18,3,0,0,23
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,5,0,0,0,5
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,1,0,0,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,0,0,0,3
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,0,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,0,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,11,69,25,0,0,105
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,5,1,0,0,6
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,8,36,7,0,0,51
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,1,12,44,27,0,0,84
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,0,0,0,3
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,0,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,2,7,0,0,0,9
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,0,0,0,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,1,9,1,0,0,11
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,3,1,0,0,4
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,4,0,0,0,4
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,2,1,0,0,3
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,5,0,0,0,5
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,3,3,0,0,0,6
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,2,13,3,0,0,18
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,5,2,0,0,8
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,5,3,0,0,9
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,4,0,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,10,54,16,0,0,80
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,0,0,0,3
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,8,35,19,0,0,62
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,1,0,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,4,0,0,0,4
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,5,142,26,1,0,174
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,5,28,3,0,0,36
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,2,0,0,5
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,4,1,0,0,6
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,8,3,0,0,11
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,3,4,4,0,0,11
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,4,1,0,0,5
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,1,0,0,3
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,6,19,13,0,0,38
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,4,1,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,1,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,2,1,0,0,4
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,16,2,0,0,19
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,0,0,0,3
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,7,1,0,0,8
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,2,0,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,7,110,22,0,0,139
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,0,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,0,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,0,0,0,3
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,9,28,3,0,0,40
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,1,5,40,29,0,0,75
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,1,0,0,3
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,1,0,0,2
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,3,0,0,6
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,1,0,0,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,0,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,3,0,0,4
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,0,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,5,0,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,0,3,1,0,0,4
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-10-01,0,1,4,0,0,0,5
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,1,0,0,3
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,4,0,0,0,5
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,1,0,0,3
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,1,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,2,43,9,0,0,54
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,1,0,0,2
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,6,42,9,0,0,57
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,5,0,0,0,6
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,3,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,66,11,0,0,78
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,2,1,1,0,0,4
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,0,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,3,0,0,0,3
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,3,0,0,0,4
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,13,7,2,0,22
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,0,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,8,0,0,0,9
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,8,21,3,0,0,32
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,1,1,0,0,3
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,6,0,0,7
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,0,0,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,2,17,3,0,0,22
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,0,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,1,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,12,102,32,0,0,146
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,5,2,0,0,7
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,6,24,5,0,0,35
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,3,46,29,0,0,78
