,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TOTALES
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,1,3
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,13,2,15
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,0,1,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,5,3,8
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,3,0,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,9,3,12
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,6,6,12
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-08-01,5,2,7
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
ANZALDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,3,1,4
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,11,3,14
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,1,3
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,3,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,5,0,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,24,23,47
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
COLLANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,2,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,1,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,5,2,7
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
CUEVO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,33,17,50
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,6,0,6
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,7,3,10
ESCOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,3,5
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,6,1,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,9,7,16
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,38,17,55
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,2,4
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,3,0,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,19,4,23
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,9,3,12
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,2,4
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,10,4,14
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,4,6,10
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,7,4,11
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,7,2,9
SACABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,2,4
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,5,2,7
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,139,71,210
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,5,2,7
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,12,4,16
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,8,4,12
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,6,5,11
UMALA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,4,2,6
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,3,2,5
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,5,1,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,4,4,8
YACO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,9,2,11
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-09-01,4,2,6
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,1,3
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,0,4
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,10,6,16
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,0,4
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,5,4,9
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,1,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,40,32,72
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,1,3
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,2,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,9,2,11
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,2,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,35,22,57
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,0,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,5,3,8
ESCOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,2,2
GUAQUI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,2,3
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,1,5
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,0,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,3,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,11,6,17
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,38,10,48
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,24,6,30
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,1,3
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,12,8,20
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,0,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,1,3
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,0,4
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,11,9,20
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,6,4,10
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,12,5,17
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,9,2,11
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,3,5
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,0,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,8,0,8
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,162,83,245
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,3,2,5
SICAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,2,3
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,3,0,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,6,4,10
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,4,8
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,0,4
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,11,4,15
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,4,1,5
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,3,2,5
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,2,2,4
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,6,0,6
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,10,10,20
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,12,6,18
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,6,8,14
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
ANDAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,1,3
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,3,6
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CAQUIAVIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,8,2,10
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,3,5
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CHIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,4,7
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,30,16,46
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,2,6
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
COMBAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
