,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-09-01,9,21,9,21,30
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-09-01,72,90,72,90,162
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-09-01,36,48,36,48,84
VILLAZON,atencion odontologica, cirugia bucal menor,2014-09-01,72,155,72,155,227
VINTO,atencion odontologica, cirugia bucal menor,2014-09-01,15,46,15,46,61
VITICHI,atencion odontologica, cirugia bucal menor,2014-09-01,27,52,27,52,79
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-09-01,27,23,27,23,50
WARNES,atencion odontologica, cirugia bucal menor,2014-09-01,64,67,64,67,131
YACO,atencion odontologica, cirugia bucal menor,2014-09-01,11,23,11,23,34
YACUIBA,atencion odontologica, cirugia bucal menor,2014-09-01,148,255,148,255,403
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-09-01,20,24,20,24,44
YANACACHI,atencion odontologica, cirugia bucal menor,2014-09-01,6,7,6,7,13
YAPACANI,atencion odontologica, cirugia bucal menor,2014-09-01,76,142,76,142,218
YOCALLA,atencion odontologica, cirugia bucal menor,2014-09-01,22,20,22,20,42
YOTALA,atencion odontologica, cirugia bucal menor,2014-09-01,23,61,23,61,84
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-09-01,32,44,32,44,76
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-09-01,23,37,23,37,60
ACACIO,atencion odontologica, cirugia bucal menor,2014-10-01,1,1,1,1,2
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-10-01,58,116,58,116,174
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-10-01,16,12,16,12,28
ALALAY,atencion odontologica, cirugia bucal menor,2014-10-01,1,2,1,2,3
ALCALA,atencion odontologica, cirugia bucal menor,2014-10-01,11,34,11,34,45
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-10-01,10,7,10,7,17
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-10-01,5,7,5,7,12
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-10-01,7,6,7,6,13
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-10-01,15,7,15,7,22
ANZALDO,atencion odontologica, cirugia bucal menor,2014-10-01,3,5,3,5,8
APOLO,atencion odontologica, cirugia bucal menor,2014-10-01,6,14,6,14,20
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-10-01,1,4,1,4,5
ARANI,atencion odontologica, cirugia bucal menor,2014-10-01,11,18,11,18,29
ARBIETO,atencion odontologica, cirugia bucal menor,2014-10-01,0,2,0,2,2
ARQUE,atencion odontologica, cirugia bucal menor,2014-10-01,9,10,9,10,19
ASCENCION DE GUARAYOS,atencion odontologica, cirugia bucal menor,2014-10-01,9,31,9,31,40
ATOCHA,atencion odontologica, cirugia bucal menor,2014-10-01,66,120,66,120,186
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-10-01,8,6,8,6,14
AYATA,atencion odontologica, cirugia bucal menor,2014-10-01,5,12,5,12,17
AYO AYO,atencion odontologica, cirugia bucal menor,2014-10-01,15,9,15,9,24
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-10-01,24,35,24,35,59
AZURDUY,atencion odontologica, cirugia bucal menor,2014-10-01,8,26,8,26,34
BATALLAS,atencion odontologica, cirugia bucal menor,2014-10-01,24,22,24,22,46
BAURES,atencion odontologica, cirugia bucal menor,2014-10-01,3,1,3,1,4
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-10-01,0,2,0,2,2
BELEN DE URMIRI,atencion odontologica, cirugia bucal menor,2014-10-01,4,10,4,10,14
BELLA FLOR,atencion odontologica, cirugia bucal menor,2014-10-01,3,2,3,2,5
BERMEJO,atencion odontologica, cirugia bucal menor,2014-10-01,75,114,75,114,189
BETANZOS,atencion odontologica, cirugia bucal menor,2014-10-01,23,23,23,23,46
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-10-01,11,13,11,13,24
BOLPEBRA,atencion odontologica, cirugia bucal menor,2014-10-01,1,0,1,0,1
CABEZAS,atencion odontologica, cirugia bucal menor,2014-10-01,14,4,14,4,18
CAIROMA,atencion odontologica, cirugia bucal menor,2014-10-01,16,18,16,18,34
CAJUATA,atencion odontologica, cirugia bucal menor,2014-10-01,21,37,21,37,58
CALACOTO,atencion odontologica, cirugia bucal menor,2014-10-01,4,6,4,6,10
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-10-01,16,17,16,17,33
CAMARGO,atencion odontologica, cirugia bucal menor,2014-10-01,29,42,29,42,71
CAMIRI,atencion odontologica, cirugia bucal menor,2014-10-01,13,36,13,36,49
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-10-01,28,22,28,22,50
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-10-01,10,14,10,14,24
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-10-01,66,80,66,80,146
CARANAVI,atencion odontologica, cirugia bucal menor,2014-10-01,5,3,5,3,8
CARAPARI,atencion odontologica, cirugia bucal menor,2014-10-01,28,41,28,41,69
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-10-01,3,3,3,3,6
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-10-01,29,38,29,38,67
CATACORA,atencion odontologica, cirugia bucal menor,2014-10-01,2,1,2,1,3
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-10-01,26,34,26,34,60
CHAQUI,atencion odontologica, cirugia bucal menor,2014-10-01,1,2,1,2,3
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-10-01,22,33,22,33,55
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-10-01,5,7,5,7,12
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-10-01,13,21,13,21,34
CHIMORE,atencion odontologica, cirugia bucal menor,2014-10-01,4,2,4,2,6
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-10-01,3,9,3,9,12
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-10-01,11,9,11,9,20
CHUA COCANI,atencion odontologica, cirugia bucal menor,2014-10-01,4,11,4,11,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-10-01,10,8,10,8,18
CHUMA,atencion odontologica, cirugia bucal menor,2014-10-01,70,75,70,75,145
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, cirugia bucal menor,2014-10-01,3,3,3,3,6
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-10-01,0,3,0,3,3
CLIZA,atencion odontologica, cirugia bucal menor,2014-10-01,2,5,2,5,7
COBIJA,atencion odontologica, cirugia bucal menor,2014-10-01,32,60,32,60,92
COCAPATA,atencion odontologica, cirugia bucal menor,2014-10-01,4,0,4,0,4
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-10-01,280,380,280,380,660
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-10-01,8,23,8,23,31
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-10-01,7,10,7,10,17
COLOMI,atencion odontologica, cirugia bucal menor,2014-10-01,13,21,13,21,34
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-10-01,2,2,2,2,4
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-10-01,28,26,28,26,54
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-10-01,6,16,6,16,22
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-10-01,58,83,58,83,141
COMANCHE,atencion odontologica, cirugia bucal menor,2014-10-01,9,11,9,11,20
COMARAPA,atencion odontologica, cirugia bucal menor,2014-10-01,2,15,2,15,17
COMBAYA,atencion odontologica, cirugia bucal menor,2014-10-01,16,18,16,18,34
CORIPATA,atencion odontologica, cirugia bucal menor,2014-10-01,2,4,2,4,6
CORO CORO,atencion odontologica, cirugia bucal menor,2014-10-01,22,31,22,31,53
COROICO,atencion odontologica, cirugia bucal menor,2014-10-01,41,70,41,70,111
CORQUE,atencion odontologica, cirugia bucal menor,2014-10-01,3,22,3,22,25
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-10-01,16,32,16,32,48
COTOCA,atencion odontologica, cirugia bucal menor,2014-10-01,9,18,9,18,27
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-10-01,21,28,21,28,49
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, cirugia bucal menor,2014-10-01,2,0,2,0,2
CUEVO,atencion odontologica, cirugia bucal menor,2014-10-01,6,23,6,23,29
CULPINA,atencion odontologica, cirugia bucal menor,2014-10-01,9,19,9,19,28
CURAHUARA DE CARANGAS,atencion odontologica, cirugia bucal menor,2014-10-01,6,3,6,3,9
CURVA,atencion odontologica, cirugia bucal menor,2014-10-01,7,6,7,6,13
EL ALTO,atencion odontologica, cirugia bucal menor,2014-10-01,903,1040,903,1040,1943
EL CHORO,atencion odontologica, cirugia bucal menor,2014-10-01,3,2,3,2,5
EL PUENTE(STC),atencion odontologica, cirugia bucal menor,2014-10-01,33,78,33,78,111
EL PUENTE(TJA),atencion odontologica, cirugia bucal menor,2014-10-01,27,41,27,41,68
EL TORNO,atencion odontologica, cirugia bucal menor,2014-10-01,88,121,88,121,209
EL VILLAR,atencion odontologica, cirugia bucal menor,2014-10-01,14,13,14,13,27
ENTRE RIOS TRJ,atencion odontologica, cirugia bucal menor,2014-10-01,31,92,31,92,123
ENTRE RIOS CBBA,atencion odontologica, cirugia bucal menor,2014-10-01,10,17,10,17,27
ESCOMA,atencion odontologica, cirugia bucal menor,2014-10-01,7,7,7,7,14
EUCALIPTUS,atencion odontologica, cirugia bucal menor,2014-10-01,14,21,14,21,35
FERNANDEZ ALONSO,atencion odontologica, cirugia bucal menor,2014-10-01,0,2,0,2,2
GENERAL SAAVEDRA,atencion odontologica, cirugia bucal menor,2014-10-01,7,19,7,19,26
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, cirugia bucal menor,2014-10-01,5,15,5,15,20
GUANAY,atencion odontologica, cirugia bucal menor,2014-10-01,24,27,24,27,51
GUAYARAMERIN,atencion odontologica, cirugia bucal menor,2014-10-01,47,45,47,45,92
GUTIERREZ,atencion odontologica, cirugia bucal menor,2014-10-01,39,69,39,69,108
HUACARETA,atencion odontologica, cirugia bucal menor,2014-10-01,4,0,4,0,4
HUACAYA (VILLA DE HUACAYA),atencion odontologica, cirugia bucal menor,2014-10-01,15,28,15,28,43
HUANUNI,atencion odontologica, cirugia bucal menor,2014-10-01,1,8,1,8,9
HUARACAJE,atencion odontologica, cirugia bucal menor,2014-10-01,3,4,3,4,7
HUATAJATA,atencion odontologica, cirugia bucal menor,2014-10-01,7,20,7,20,27
HUAYLLAMARCA,atencion odontologica, cirugia bucal menor,2014-10-01,7,9,7,9,16
HUMANATA,atencion odontologica, cirugia bucal menor,2014-10-01,9,6,9,6,15
ICHOCA,atencion odontologica, cirugia bucal menor,2014-10-01,14,27,14,27,41
ICLA,atencion odontologica, cirugia bucal menor,2014-10-01,23,47,23,47,70
INCAHUASI,atencion odontologica, cirugia bucal menor,2014-10-01,10,55,10,55,65
INGAVI (HUMAITA),atencion odontologica, cirugia bucal menor,2014-10-01,1,0,1,0,1
INQUISIVI,atencion odontologica, cirugia bucal menor,2014-10-01,21,29,21,29,50
IRUPANA (VILLA DE LANZA),atencion odontologica, cirugia bucal menor,2014-10-01,8,7,8,7,15
JESUS DE MACHACA,atencion odontologica, cirugia bucal menor,2014-10-01,14,29,14,29,43
LA ASUNTA,atencion odontologica, cirugia bucal menor,2014-10-01,11,12,11,12,23
LA GUARDIA,atencion odontologica, cirugia bucal menor,2014-10-01,14,30,14,30,44
LA PAZ,atencion odontologica, cirugia bucal menor,2014-10-01,591,794,591,794,1385
LAGUNILLAS,atencion odontologica, cirugia bucal menor,2014-10-01,17,27,17,27,44
LAJA,atencion odontologica, cirugia bucal menor,2014-10-01,6,4,6,4,10
LAS CARRERAS,atencion odontologica, cirugia bucal menor,2014-10-01,11,13,11,13,24
LICOMA PAMPA,atencion odontologica, cirugia bucal menor,2014-10-01,3,9,3,9,12
LLALLAGUA,atencion odontologica, cirugia bucal menor,2014-10-01,38,61,38,61,99
LLICA,atencion odontologica, cirugia bucal menor,2014-10-01,19,40,19,40,59
LORETO,atencion odontologica, cirugia bucal menor,2014-10-01,2,1,2,1,3
LURIBAY,atencion odontologica, cirugia bucal menor,2014-10-01,25,25,25,25,50
MACHACAMARCA,atencion odontologica, cirugia bucal menor,2014-10-01,1,3,1,3,4
MACHARETI,atencion odontologica, cirugia bucal menor,2014-10-01,11,47,11,47,58
MAGDALENA,atencion odontologica, cirugia bucal menor,2014-10-01,6,10,6,10,16
MAIRANA,atencion odontologica, cirugia bucal menor,2014-10-01,10,6,10,6,16
MALLA,atencion odontologica, cirugia bucal menor,2014-10-01,0,4,0,4,4
MAPIRI,atencion odontologica, cirugia bucal menor,2014-10-01,3,0,3,0,3
MECAPACA,atencion odontologica, cirugia bucal menor,2014-10-01,5,8,5,8,13
MIZQUE,atencion odontologica, cirugia bucal menor,2014-10-01,5,12,5,12,17
MOCOMOCO,atencion odontologica, cirugia bucal menor,2014-10-01,39,44,39,44,83
MOJOCOYA,atencion odontologica, cirugia bucal menor,2014-10-01,16,21,16,21,37
MONTEAGUDO,atencion odontologica, cirugia bucal menor,2014-10-01,8,12,8,12,20
MONTERO,atencion odontologica, cirugia bucal menor,2014-10-01,19,75,19,75,94
MORO MORO,atencion odontologica, cirugia bucal menor,2014-10-01,5,2,5,2,7
MOROCHATA,atencion odontologica, cirugia bucal menor,2014-10-01,9,23,9,23,32
OCURI,atencion odontologica, cirugia bucal menor,2014-10-01,10,6,10,6,16
OKINAWA,atencion odontologica, cirugia bucal menor,2014-10-01,10,9,10,9,19
OMEREQUE,atencion odontologica, cirugia bucal menor,2014-10-01,6,8,6,8,14
ORURO,atencion odontologica, cirugia bucal menor,2014-10-01,233,323,233,323,556
PADCAYA,atencion odontologica, cirugia bucal menor,2014-10-01,39,71,39,71,110
PADILLA,atencion odontologica, cirugia bucal menor,2014-10-01,16,18,16,18,34
PAILON,atencion odontologica, cirugia bucal menor,2014-10-01,33,29,33,29,62
PALCA,atencion odontologica, cirugia bucal menor,2014-10-01,4,13,4,13,17
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-10-01,13,27,13,27,40
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-10-01,2,2,2,2,4
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-10-01,2,5,2,5,7
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-10-01,0,2,0,2,2
PASORAPA,atencion odontologica, cirugia bucal menor,2014-10-01,6,3,6,3,9
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-10-01,24,12,24,12,36
PAZÑA,atencion odontologica, cirugia bucal menor,2014-10-01,9,7,9,7,16
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-10-01,14,28,14,28,42
POCOATA,atencion odontologica, cirugia bucal menor,2014-10-01,8,12,8,12,20
POCONA,atencion odontologica, cirugia bucal menor,2014-10-01,14,27,14,27,41
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-10-01,12,29,12,29,41
POOPO,atencion odontologica, cirugia bucal menor,2014-10-01,21,20,21,20,41
PORCO,atencion odontologica, cirugia bucal menor,2014-10-01,16,38,16,38,54
POROMA,atencion odontologica, cirugia bucal menor,2014-10-01,41,73,41,73,114
PORONGO,atencion odontologica, cirugia bucal menor,2014-10-01,2,11,2,11,13
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-10-01,29,48,29,48,77
PORVENIR,atencion odontologica, cirugia bucal menor,2014-10-01,8,14,8,14,22
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-10-01,3,7,3,7,10
POTOSI,atencion odontologica, cirugia bucal menor,2014-10-01,85,136,85,136,221
PRESTO,atencion odontologica, cirugia bucal menor,2014-10-01,30,63,30,63,93
PUCARANI,atencion odontologica, cirugia bucal menor,2014-10-01,70,95,70,95,165
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-10-01,39,53,39,53,92
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-10-01,1,0,1,0,1
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-10-01,6,8,6,8,14
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-10-01,6,6,6,6,12
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-10-01,33,12,33,12,45
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-10-01,46,43,46,43,89
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-10-01,14,26,14,26,40
PUNA,atencion odontologica, cirugia bucal menor,2014-10-01,17,16,17,16,33
PUNATA,atencion odontologica, cirugia bucal menor,2014-10-01,24,22,24,22,46
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-10-01,31,26,31,26,57
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-10-01,138,160,138,160,298
QUIME,atencion odontologica, cirugia bucal menor,2014-10-01,28,35,28,35,63
QUIRUSILLAS,atencion odontologica, cirugia bucal menor,2014-10-01,2,4,2,4,6
RAVELO,atencion odontologica, cirugia bucal menor,2014-10-01,1,9,1,9,10
REYES,atencion odontologica, cirugia bucal menor,2014-10-01,13,5,13,5,18
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-10-01,84,213,84,213,297
ROBORE,atencion odontologica, cirugia bucal menor,2014-10-01,5,5,5,5,10
SABAYA,atencion odontologica, cirugia bucal menor,2014-10-01,4,7,4,7,11
SACABA,atencion odontologica, cirugia bucal menor,2014-10-01,125,135,125,135,260
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-10-01,0,7,0,7,7
SACACA,atencion odontologica, cirugia bucal menor,2014-10-01,14,28,14,28,42
SAIPINA,atencion odontologica, cirugia bucal menor,2014-10-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-10-01,6,18,6,18,24
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-10-01,19,8,19,8,27
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-10-01,5,5,5,5,10
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-10-01,32,28,32,28,60
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-10-01,2,9,2,9,11
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-10-01,3,6,3,6,9
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-10-01,3,1,3,1,4
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-10-01,31,42,31,42,73
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-10-01,26,19,26,19,45
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-10-01,103,116,103,116,219
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-10-01,58,59,58,59,117
SAN JOAQUIN,atencion odontologica, cirugia bucal menor,2014-10-01,19,15,19,15,34
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-10-01,34,51,34,51,85
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-10-01,10,27,10,27,37
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-10-01,1,1,1,1,2
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-10-01,81,146,81,146,227
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-10-01,22,60,22,60,82
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-10-01,2,5,2,5,7
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-10-01,19,35,19,35,54
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-10-01,3,11,3,11,14
SAN PEDRO DE CURAHUARA,atencion odontologica, cirugia bucal menor,2014-10-01,21,14,21,14,35
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-10-01,19,14,19,14,33
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-10-01,8,30,8,30,38
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-10-01,14,10,14,10,24
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-10-01,7,12,7,12,19
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-10-01,34,23,34,23,57
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-10-01,410,540,410,540,950
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-10-01,13,6,13,6,19
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-10-01,25,55,25,55,80
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-10-01,17,22,17,22,39
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-10-01,7,9,7,9,16
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-10-01,29,22,29,22,51
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-10-01,1,0,1,0,1
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-10-01,1,3,1,3,4
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-10-01,2,10,2,10,12
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-10-01,10,12,10,12,22
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-10-01,0,2,0,2,2
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-10-01,14,26,14,26,40
SICAYA,atencion odontologica, cirugia bucal menor,2014-10-01,2,0,2,0,2
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-10-01,19,22,19,22,41
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-10-01,29,57,29,57,86
SORACACHI,atencion odontologica, cirugia bucal menor,2014-10-01,12,20,12,20,32
SORATA,atencion odontologica, cirugia bucal menor,2014-10-01,16,30,16,30,46
SUCRE,atencion odontologica, cirugia bucal menor,2014-10-01,295,528,295,528,823
TACACOMA,atencion odontologica, cirugia bucal menor,2014-10-01,10,10,10,10,20
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-10-01,8,18,8,18,26
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-10-01,7,14,7,14,21
TAPACARI,atencion odontologica, cirugia bucal menor,2014-10-01,9,13,9,13,22
TARABUCO,atencion odontologica, cirugia bucal menor,2014-10-01,14,15,14,15,29
TARACO,atencion odontologica, cirugia bucal menor,2014-10-01,22,11,22,11,33
TARATA,atencion odontologica, cirugia bucal menor,2014-10-01,0,1,0,1,1
TARIJA,atencion odontologica, cirugia bucal menor,2014-10-01,376,600,376,600,976
TARVITA,atencion odontologica, cirugia bucal menor,2014-10-01,26,62,26,62,88
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-10-01,27,38,27,38,65
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-10-01,9,17,9,17,26
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-10-01,32,30,32,30,62
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-10-01,2,16,2,16,18
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-10-01,3,5,3,5,8
TOCO,atencion odontologica, cirugia bucal menor,2014-10-01,1,5,1,5,6
TOLATA,atencion odontologica, cirugia bucal menor,2014-10-01,18,17,18,17,35
TOLEDO,atencion odontologica, cirugia bucal menor,2014-10-01,4,4,4,4,8
TOMAVE,atencion odontologica, cirugia bucal menor,2014-10-01,30,68,30,68,98
TOMINA,atencion odontologica, cirugia bucal menor,2014-10-01,37,60,37,60,97
TORO TORO,atencion odontologica, cirugia bucal menor,2014-10-01,5,19,5,19,24
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-10-01,10,27,10,27,37
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-10-01,18,28,18,28,46
TRIGAL,atencion odontologica, cirugia bucal menor,2014-10-01,5,2,5,2,7
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-10-01,60,85,60,85,145
TUPIZA,atencion odontologica, cirugia bucal menor,2014-10-01,46,91,46,91,137
TURCO,atencion odontologica, cirugia bucal menor,2014-10-01,6,10,6,10,16
UMALA,atencion odontologica, cirugia bucal menor,2014-10-01,22,17,22,17,39
UNCIA,atencion odontologica, cirugia bucal menor,2014-10-01,33,55,33,55,88
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-10-01,60,87,60,87,147
URUBICHA,atencion odontologica, cirugia bucal menor,2014-10-01,7,15,7,15,22
UYUNI,atencion odontologica, cirugia bucal menor,2014-10-01,16,14,16,14,30
VACAS,atencion odontologica, cirugia bucal menor,2014-10-01,7,21,7,21,28
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-10-01,17,50,17,50,67
VIACHA,atencion odontologica, cirugia bucal menor,2014-10-01,52,50,52,50,102
VILA VILA,atencion odontologica, cirugia bucal menor,2014-10-01,4,6,4,6,10
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-10-01,18,56,18,56,74
VILLA MONTES,atencion odontologica, cirugia bucal menor,2014-10-01,153,237,153,237,390
VILLA NUEVA (LOMA ALTA),atencion odontologica, cirugia bucal menor,2014-10-01,4,6,4,6,10
VILLA RIVERO,atencion odontologica, cirugia bucal menor,2014-10-01,6,7,6,7,13
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-10-01,10,25,10,25,35
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-10-01,43,55,43,55,98
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-10-01,34,80,34,80,114
VILLAZON,atencion odontologica, cirugia bucal menor,2014-10-01,32,86,32,86,118
VINTO,atencion odontologica, cirugia bucal menor,2014-10-01,25,32,25,32,57
VITICHI,atencion odontologica, cirugia bucal menor,2014-10-01,10,15,10,15,25
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-10-01,1,7,1,7,8
WARNES,atencion odontologica, cirugia bucal menor,2014-10-01,56,64,56,64,120
YACO,atencion odontologica, cirugia bucal menor,2014-10-01,1,1,1,1,2
YACUIBA,atencion odontologica, cirugia bucal menor,2014-10-01,88,200,88,200,288
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-10-01,12,16,12,16,28
YANACACHI,atencion odontologica, cirugia bucal menor,2014-10-01,7,5,7,5,12
YAPACANI,atencion odontologica, cirugia bucal menor,2014-10-01,79,113,79,113,192
YOCALLA,atencion odontologica, cirugia bucal menor,2014-10-01,20,15,20,15,35
YOTALA,atencion odontologica, cirugia bucal menor,2014-10-01,5,8,5,8,13
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-10-01,34,42,34,42,76
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-10-01,13,5,13,5,18
ACACIO,atencion odontologica, cirugia bucal menor,2014-11-01,1,5,1,5,6
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-11-01,71,106,71,106,177
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-11-01,2,1,2,1,3
ALALAY,atencion odontologica, cirugia bucal menor,2014-11-01,3,1,3,1,4
ALCALA,atencion odontologica, cirugia bucal menor,2014-11-01,16,41,16,41,57
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-11-01,10,8,10,8,18
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-11-01,0,2,0,2,2
