,group,variable,month,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN BORJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,8,10,8,10,18
SAN BUENA VENTURA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,9,4,9,13
SAN CARLOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,8,11,8,11,19
SAN IGNACIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,16,10,16,26
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,49,53,49,53,102
SAN JAVIER(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,1,1,1,2
SAN JOAQUIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,13,3,13,3,16
SAN JULIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,56,51,56,51,107
SAN LORENZO(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,37,39,37,39,76
SAN LUCAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,5,10,5,15
SAN MATIAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,0,6,0,6,6
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,1,10,1,11
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,24,10,24,34
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,6,4,6,10
SAN PEDRO DE CURAHUARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,45,46,45,46,91
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,8,4,8,12
SAN RAFAEL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,4,3,4,7
SAN RAMON BENI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,2,0,2,0,2
SAN RAMON SCZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,6,8,6,8,14
SANTA ANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,11,5,11,5,16
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1050,904,1050,904,1954
SANTA ROSA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,1,1,1,2
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,5,2,5,2,7
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,16,7,16,7,23
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,21,25,21,25,46
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,22,27,22,27,49
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,13,6,13,6,19
SANTIVAÑES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,1,3,1,4
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,19,3,19,22
SAPAHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,29,11,29,11,40
SENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,6,1,6,1,7
SHINAOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,1,1,1,2
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,17,10,17,27
SIPE SIPE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,40,67,40,67,107
SOPACHUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,6,8,6,8,14
SORACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,2,10,2,12
SORATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,14,3,14,3,17
SUCRE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,368,318,368,318,686
TACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,2,2,2,2,4
TACACOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,5,0,5,0,5
TACOBAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,1,1,1,2
TACOPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,11,3,11,14
TAHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,0,4,0,4,4
TAPACARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,37,23,37,23,60
TARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,21,16,21,16,37
TARACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,29,23,29,23,52
TARATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,22,19,22,19,41
TARIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,196,165,196,165,361
TARVITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,8,12,8,12,20
TEOPONTE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,17,4,17,4,21
TIAWANACU,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,14,23,14,23,37
TINGUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,15,18,15,18,33
TIPUANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,11,0,11,0,11
TIQUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,20,40,20,40,60
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,33,14,33,14,47
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,2,1,2,3
TOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,17,17,17,17,34
TODOS SANTOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,0,1,0,1
TOLATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,17,17,17,17,34
TOLEDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,5,3,5,8
TOMAVE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,19,24,19,24,43
TOMINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,10,6,10,6,16
TORO TORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,15,19,15,19,34
TOTORA(CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,13,5,13,5,18
TOTORA(ORR),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,7,24,7,24,31
TRIGAL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,13,18,13,18,31
TRINIDAD,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,77,67,77,67,144
TUPIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,24,48,24,48,72
TURCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,19,8,19,8,27
UMALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,8,3,8,3,11
UNCIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,15,15,15,15,30
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,20,15,20,15,35
URUBICHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,0,4,0,4
UYUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,16,24,16,24,40
VACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,31,4,31,35
VALLEGRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,27,25,27,25,52
VIACHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,38,57,38,57,95
VILA VILA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,0,4,0,4
VILLA CHARCAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,8,0,8,0,8
VILLA MONTES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,29,15,29,15,44
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,3,4,3,7
VILLA RIVERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,12,3,12,15
VILLA SERRANO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,3,1,3,4
VILLA TUNARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,19,30,19,30,49
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,18,12,18,12,30
VILLAZON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,23,34,23,34,57
VINTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,7,3,7,10
VITICHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,22,38,22,38,60
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,1,1,1,1,2
WARNES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,53,36,53,36,89
YACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,5,2,5,2,7
YACUIBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,60,28,60,28,88
YAMPARAEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,4,6,4,6,10
YANACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,2,3,2,3,5
YAPACANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,25,26,25,26,51
YOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,21,8,21,8,29
YOTALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,2,8,2,8,10
YUNCHARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,9,5,9,5,14
ZUDAÑEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-09-01,3,12,3,12,15
ACHACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,84,65,84,65,149
AIQUILE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,11,9,11,20
ALALAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,3,2,3,5
ALCALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,2,2,2,4
ALTO BENI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,2,2,2,4
ANCORAIMES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,3,3,3,6
ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,6,2,6,8
ANTEQUERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,6,0,6,0,6
ANZALDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,12,5,12,5,17
APOLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,6,4,6,10
ARAMPAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,7,3,7,10
ARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,18,7,18,25
ARBIETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,12,13,12,13,25
ARQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,6,4,6,4,10
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,7,2,7,9
ATOCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,10,15,10,15,25
AUCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,0,4,0,4
AYATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,8,4,8,12
AYO AYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,14,6,14,6,20
AZURDUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,0,2,0,2
BATALLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,17,6,17,6,23
BAURES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,6,8,6,8,14
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,1,2,1,3
BERMEJO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,29,12,29,12,41
BETANZOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,8,8,8,8,16
BOLIVAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,2,1,2,3
BOLPEBRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,1,0,1,1
BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,8,4,8,4,12
CABEZAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,20,3,20,3,23
CAIROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,10,20,10,20,30
CAJUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,5,3,5,8
CALACOTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,2,5,2,7
CALAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,11,21,11,21,32
CAMARGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,11,2,11,13
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,1,1,1,2
CAMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,23,17,23,17,40
CAPINOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,34,15,34,15,49
CAQUIAVIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,3,9,3,12
CARACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,28,31,28,31,59
CARANAVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,6,6,6,6,12
CARAPARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,16,5,16,21
CARIPUYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,2,1,2,3
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,4,3,4,7
CATACORA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,0,4,0,4
CHALLAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,42,45,42,45,87
CHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,2,3,2,5
CHARAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,4,2,4,6
CHARAÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,1,4,1,5
CHAYANTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,16,5,16,5,21
CHIMORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,1,9,1,10
CHIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,3,3,3,6
CHOQUE COTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,4,7,4,11
CHUA COCANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,7,2,7,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,1,2,1,3
CHUMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,38,17,38,17,55
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,2,0,2,2
CKOCHAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,2,0,2,2
CLIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,39,50,39,50,89
COBIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,9,9,9,18
COCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,10,11,10,11,21
COCHABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,362,344,362,344,706
COIPASA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,8,9,8,9,17
COLCAPIRHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,21,18,21,18,39
"COLCHA ""K""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,12,4,12,16
COLOMI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,6,7,6,13
COLQUECHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,31,32,31,32,63
COLQUENCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,8,2,8,10
COLQUIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,9,5,9,14
COMANCHE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,0,2,0,2
COMARAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,2,4,2,6
COMBAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,13,15,13,15,28
COPACABANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,14,7,14,7,21
CORIPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,1,2,1,3
CORO CORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,1,2,1,3
COROICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,8,9,8,17
CORQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,11,0,11,11
COTAGAITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,16,33,16,33,49
COTOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,2,0,2,2
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,13,16,13,16,29
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,1,0,1,1
CUEVO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,11,4,11,15
CULPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,10,7,10,17
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,10,5,10,15
CURVA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,0,1,0,1
DESAGUADERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,30,40,30,40,70
EL ALTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,132,113,132,113,245
EL CHORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,7,5,7,12
EL PUENTE(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,13,7,13,7,20
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,6,9,6,9,15
EL TORNO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,69,53,69,53,122
EL VILLAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,3,0,3,3
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,14,4,14,4,18
ESCOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,2,5,2,7
EUCALIPTUS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,7,5,7,12
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,10,2,10,12
FILADELFIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,0,5,0,5
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,13,9,13,22
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,14,2,14,16
GUANAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,1,4,1,5
GUAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,28,34,28,34,62
GUAYARAMERIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,23,11,23,11,34
GUTIERREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,6,9,6,15
HUACARETA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,18,1,18,1,19
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,0,3,0,3
HUACHACALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,0,4,0,4
HUANUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,15,23,15,23,38
HUATAJATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,17,9,17,26
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,9,4,9,13
HUMANATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,5,4,5,9
ICHOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,16,15,16,15,31
ICLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,7,9,7,16
INCAHUASI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,0,2,0,2
INQUISIVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,6,5,6,11
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,13,9,13,9,22
IXIAMAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,8,2,8,2,10
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,11,11,11,11,22
LA ASUNTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,2,7,2,9
LA GUARDIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,10,7,10,17
LA PAZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,678,934,678,934,1612
LAGUNILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,0,1,0,1
LAJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,8,15,8,15,23
LAS CARRERAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,8,4,8,4,12
LICOMA PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,11,2,11,13
LLALLAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,14,9,14,23
LORETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,0,1,0,1
LURIBAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,4,7,4,11
MACHACAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,19,15,19,15,34
MACHARETI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,14,10,14,10,24
MAGDALENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,11,7,11,7,18
MAIRANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,27,8,27,8,35
MAPIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,0,1,0,1
MECAPACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,2,5,2,7
MINEROS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,5,5,5,10
MIZQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,10,5,10,5,15
MOCOMOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,32,22,32,22,54
MOJOCOYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,11,10,11,10,21
MONTEAGUDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,25,9,25,9,34
MONTERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,13,34,13,34,47
MORO MORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,0,4,0,4
MOROCHATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,24,43,24,43,67
OCURI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,0,1,0,1
OKINAWA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,6,5,6,11
OMEREQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,3,0,3,3
ORURO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,92,101,92,101,193
PADCAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,1,2,1,3
PADILLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,10,9,10,19
PALCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,1,1,1,1,2
PALOS BLANCOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,7,27,7,27,34
PAMPA GRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,21,4,21,4,25
PAPEL PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,18,26,18,26,44
PASORAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,2,3,2,3,5
PATACAMAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,12,7,12,7,19
PAZÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,9,8,9,8,17
PELECHUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,3,4,3,7
POCOATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,17,9,17,9,26
POCONA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,0,7,0,7,7
POJO (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,6,11,6,11,17
POOPO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,2,3,2,5
POROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,10,7,10,7,17
PORONGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,12,10,12,10,22
PORTACHUELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,11,0,11,0,11
PORVENIR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,5,0,5,0,5
POSTRER VALLE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,0,3,0,3
POTOSI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,137,109,137,109,246
PRESTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,4,7,4,7,11
PUCARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,27,17,27,17,44
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,3,1,3,1,4
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-10-01,18,0,18,0,18
