,group,variable,month,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
DESAGUADERO,atencion odontologica, periodoncias,2014-10-01,4,13,4,13,17
EL ALTO,atencion odontologica, periodoncias,2014-10-01,282,429,282,429,711
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-10-01,3,14,3,14,17
EL TORNO,atencion odontologica, periodoncias,2014-10-01,33,121,33,121,154
EL VILLAR,atencion odontologica, periodoncias,2014-10-01,0,2,0,2,2
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-10-01,3,11,3,11,14
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-10-01,0,22,0,22,22
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-10-01,2,13,2,13,15
FILADELFIA,atencion odontologica, periodoncias,2014-10-01,1,2,1,2,3
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-10-01,2,11,2,11,13
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
GUAQUI,atencion odontologica, periodoncias,2014-10-01,1,0,1,0,1
GUAYARAMERIN,atencion odontologica, periodoncias,2014-10-01,32,30,32,30,62
GUTIERREZ,atencion odontologica, periodoncias,2014-10-01,4,29,4,29,33
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-10-01,0,5,0,5,5
HUANUNI,atencion odontologica, periodoncias,2014-10-01,26,24,26,24,50
HUATAJATA,atencion odontologica, periodoncias,2014-10-01,1,10,1,10,11
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
HUMANATA,atencion odontologica, periodoncias,2014-10-01,11,15,11,15,26
ICLA,atencion odontologica, periodoncias,2014-10-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
JESUS DE MACHACA,atencion odontologica, periodoncias,2014-10-01,0,4,0,4,4
LA ASUNTA,atencion odontologica, periodoncias,2014-10-01,3,1,3,1,4
LA GUARDIA,atencion odontologica, periodoncias,2014-10-01,1,16,1,16,17
LA PAZ,atencion odontologica, periodoncias,2014-10-01,232,441,232,441,673
LAS CARRERAS,atencion odontologica, periodoncias,2014-10-01,0,16,0,16,16
LICOMA PAMPA,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
LLALLAGUA,atencion odontologica, periodoncias,2014-10-01,7,18,7,18,25
LURIBAY,atencion odontologica, periodoncias,2014-10-01,0,12,0,12,12
MACHACAMARCA,atencion odontologica, periodoncias,2014-10-01,2,5,2,5,7
MAGDALENA,atencion odontologica, periodoncias,2014-10-01,3,2,3,2,5
MAIRANA,atencion odontologica, periodoncias,2014-10-01,3,4,3,4,7
MECAPACA,atencion odontologica, periodoncias,2014-10-01,1,0,1,0,1
MINEROS,atencion odontologica, periodoncias,2014-10-01,0,8,0,8,8
MIZQUE,atencion odontologica, periodoncias,2014-10-01,1,5,1,5,6
MOCOMOCO,atencion odontologica, periodoncias,2014-10-01,2,4,2,4,6
MOJOCOYA,atencion odontologica, periodoncias,2014-10-01,5,11,5,11,16
MONTEAGUDO,atencion odontologica, periodoncias,2014-10-01,1,12,1,12,13
MONTERO,atencion odontologica, periodoncias,2014-10-01,8,63,8,63,71
MOROCHATA,atencion odontologica, periodoncias,2014-10-01,4,14,4,14,18
OKINAWA,atencion odontologica, periodoncias,2014-10-01,4,5,4,5,9
OMEREQUE,atencion odontologica, periodoncias,2014-10-01,0,2,0,2,2
ORURO,atencion odontologica, periodoncias,2014-10-01,36,81,36,81,117
PADCAYA,atencion odontologica, periodoncias,2014-10-01,33,49,33,49,82
PADILLA,atencion odontologica, periodoncias,2014-10-01,2,3,2,3,5
PALCA,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
PALOS BLANCOS,atencion odontologica, periodoncias,2014-10-01,0,34,0,34,34
PAMPA GRANDE,atencion odontologica, periodoncias,2014-10-01,0,4,0,4,4
PAPEL PAMPA,atencion odontologica, periodoncias,2014-10-01,5,10,5,10,15
PATACAMAYA,atencion odontologica, periodoncias,2014-10-01,11,2,11,2,13
PAZÑA,atencion odontologica, periodoncias,2014-10-01,0,4,0,4,4
PELECHUCO,atencion odontologica, periodoncias,2014-10-01,0,8,0,8,8
POCOATA,atencion odontologica, periodoncias,2014-10-01,0,14,0,14,14
POCONA,atencion odontologica, periodoncias,2014-10-01,5,15,5,15,20
POJO (CBBA),atencion odontologica, periodoncias,2014-10-01,4,16,4,16,20
POOPO,atencion odontologica, periodoncias,2014-10-01,5,25,5,25,30
PORCO,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
POROMA,atencion odontologica, periodoncias,2014-10-01,1,22,1,22,23
PORONGO,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
PORTACHUELO,atencion odontologica, periodoncias,2014-10-01,2,2,2,2,4
PORVENIR,atencion odontologica, periodoncias,2014-10-01,1,1,1,1,2
POTOSI,atencion odontologica, periodoncias,2014-10-01,12,37,12,37,49
PRESTO,atencion odontologica, periodoncias,2014-10-01,2,6,2,6,8
PUCARANI,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
PUERTO ACOSTA,atencion odontologica, periodoncias,2014-10-01,0,2,0,2,2
PUERTO CARABUCO,atencion odontologica, periodoncias,2014-10-01,2,1,2,1,3
PUERTO QUIJARRO,atencion odontologica, periodoncias,2014-10-01,1,3,1,3,4
PUERTO RICO,atencion odontologica, periodoncias,2014-10-01,2,6,2,6,8
PUERTO VILLARROEL,atencion odontologica, periodoncias,2014-10-01,6,19,6,19,25
PUNA,atencion odontologica, periodoncias,2014-10-01,0,2,0,2,2
PUNATA,atencion odontologica, periodoncias,2014-10-01,14,36,14,36,50
QUIABAYA,atencion odontologica, periodoncias,2014-10-01,0,12,0,12,12
QUILLACOLLO,atencion odontologica, periodoncias,2014-10-01,9,53,9,53,62
QUIME,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
RAVELO,atencion odontologica, periodoncias,2014-10-01,1,12,1,12,13
REYES,atencion odontologica, periodoncias,2014-10-01,7,10,7,10,17
RIBERALTA,atencion odontologica, periodoncias,2014-10-01,9,82,9,82,91
SABAYA,atencion odontologica, periodoncias,2014-10-01,2,4,2,4,6
SACABA,atencion odontologica, periodoncias,2014-10-01,48,165,48,165,213
SACABAMBA,atencion odontologica, periodoncias,2014-10-01,1,3,1,3,4
SACACA,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
SALINAS DE GARCI MENDOZA,atencion odontologica, periodoncias,2014-10-01,6,6,6,6,12
SAMAIPATA,atencion odontologica, periodoncias,2014-10-01,3,0,3,0,3
SAN ANDRES,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica, periodoncias,2014-10-01,1,9,1,9,10
SAN BENITO,atencion odontologica, periodoncias,2014-10-01,19,12,19,12,31
SAN BORJA,atencion odontologica, periodoncias,2014-10-01,1,3,1,3,4
SAN CARLOS,atencion odontologica, periodoncias,2014-10-01,21,8,21,8,29
SAN IGNACIO,atencion odontologica, periodoncias,2014-10-01,20,33,20,33,53
SAN IGNACIO DE VELASCO,atencion odontologica, periodoncias,2014-10-01,8,9,8,9,17
SAN JULIAN,atencion odontologica, periodoncias,2014-10-01,14,29,14,29,43
SAN LORENZO(TJA),atencion odontologica, periodoncias,2014-10-01,8,108,8,108,116
SAN LUCAS,atencion odontologica, periodoncias,2014-10-01,4,7,4,7,11
SAN PABLO DE LIPEZ,atencion odontologica, periodoncias,2014-10-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, periodoncias,2014-10-01,0,30,0,30,30
SAN PEDRO DE BUENA VISTA,atencion odontologica, periodoncias,2014-10-01,0,2,0,2,2
SAN RAFAEL,atencion odontologica, periodoncias,2014-10-01,0,5,0,5,5
SAN RAMON SCZ,atencion odontologica, periodoncias,2014-10-01,2,3,2,3,5
SANTA ANA,atencion odontologica, periodoncias,2014-10-01,0,76,0,76,76
SANTA CRUZ DE LA SIERRA,atencion odontologica, periodoncias,2014-10-01,390,751,390,751,1141
SANTA ROSA DEL SARA,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
SANTIAGO DE CALLAPA,atencion odontologica, periodoncias,2014-10-01,0,6,0,6,6
SANTIAGO DE HUARI,atencion odontologica, periodoncias,2014-10-01,1,0,1,0,1
SANTIAGO DE HUATA,atencion odontologica, periodoncias,2014-10-01,2,16,2,16,18
SANTIAGO DE MACHACA,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica, periodoncias,2014-10-01,1,4,1,4,5
SANTUARIO DE QUILLACAS,atencion odontologica, periodoncias,2014-10-01,1,0,1,0,1
SAPAHAQUI,atencion odontologica, periodoncias,2014-10-01,1,1,1,1,2
SENA,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
SHINAOTA,atencion odontologica, periodoncias,2014-10-01,0,7,0,7,7
SIPE SIPE,atencion odontologica, periodoncias,2014-10-01,2,52,2,52,54
SOPACHUY,atencion odontologica, periodoncias,2014-10-01,2,1,2,1,3
SORACACHI,atencion odontologica, periodoncias,2014-10-01,0,7,0,7,7
SORATA,atencion odontologica, periodoncias,2014-10-01,1,14,1,14,15
SUCRE,atencion odontologica, periodoncias,2014-10-01,252,321,252,321,573
TACACOMA,atencion odontologica, periodoncias,2014-10-01,0,4,0,4,4
TAHUA,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
TAPACARI,atencion odontologica, periodoncias,2014-10-01,1,9,1,9,10
TARABUCO,atencion odontologica, periodoncias,2014-10-01,0,18,0,18,18
TARACO,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
TARATA,atencion odontologica, periodoncias,2014-10-01,0,5,0,5,5
TARIJA,atencion odontologica, periodoncias,2014-10-01,176,254,176,254,430
TARVITA,atencion odontologica, periodoncias,2014-10-01,1,9,1,9,10
TINGUIPAYA,atencion odontologica, periodoncias,2014-10-01,1,4,1,4,5
TIQUIPAYA,atencion odontologica, periodoncias,2014-10-01,11,47,11,47,58
TIRAQUE (CBBA),atencion odontologica, periodoncias,2014-10-01,1,2,1,2,3
TOCO,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
TOLATA,atencion odontologica, periodoncias,2014-10-01,1,4,1,4,5
TOLEDO,atencion odontologica, periodoncias,2014-10-01,0,1,0,1,1
TOMAVE,atencion odontologica, periodoncias,2014-10-01,3,8,3,8,11
TOMINA,atencion odontologica, periodoncias,2014-10-01,21,27,21,27,48
TORO TORO,atencion odontologica, periodoncias,2014-10-01,8,9,8,9,17
TOTORA(CBBA),atencion odontologica, periodoncias,2014-10-01,3,10,3,10,13
TOTORA(ORR),atencion odontologica, periodoncias,2014-10-01,1,3,1,3,4
TRIGAL,atencion odontologica, periodoncias,2014-10-01,5,2,5,2,7
TRINIDAD,atencion odontologica, periodoncias,2014-10-01,188,260,188,260,448
TUPIZA,atencion odontologica, periodoncias,2014-10-01,5,7,5,7,12
TURCO,atencion odontologica, periodoncias,2014-10-01,0,9,0,9,9
UMALA,atencion odontologica, periodoncias,2014-10-01,2,5,2,5,7
UNCIA,atencion odontologica, periodoncias,2014-10-01,2,6,2,6,8
URIONDO (A. CONCEPCION),atencion odontologica, periodoncias,2014-10-01,2,100,2,100,102
UYUNI,atencion odontologica, periodoncias,2014-10-01,1,1,1,1,2
VACAS,atencion odontologica, periodoncias,2014-10-01,1,22,1,22,23
VALLEGRANDE,atencion odontologica, periodoncias,2014-10-01,7,14,7,14,21
VIACHA,atencion odontologica, periodoncias,2014-10-01,23,29,23,29,52
VILA VILA,atencion odontologica, periodoncias,2014-10-01,0,19,0,19,19
VILLA CHARCAS,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
VILLA MONTES,atencion odontologica, periodoncias,2014-10-01,11,71,11,71,82
VILLA RIVERO,atencion odontologica, periodoncias,2014-10-01,12,17,12,17,29
VILLA SERRANO,atencion odontologica, periodoncias,2014-10-01,3,8,3,8,11
VILLA TUNARI,atencion odontologica, periodoncias,2014-10-01,31,52,31,52,83
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, periodoncias,2014-10-01,3,3,3,3,6
VILLAZON,atencion odontologica, periodoncias,2014-10-01,9,9,9,9,18
VINTO,atencion odontologica, periodoncias,2014-10-01,0,43,0,43,43
VITICHI,atencion odontologica, periodoncias,2014-10-01,0,3,0,3,3
WARNES,atencion odontologica, periodoncias,2014-10-01,12,38,12,38,50
YACUIBA,atencion odontologica, periodoncias,2014-10-01,36,111,36,111,147
YAMPARAEZ,atencion odontologica, periodoncias,2014-10-01,1,15,1,15,16
YANACACHI,atencion odontologica, periodoncias,2014-10-01,9,3,9,3,12
YAPACANI,atencion odontologica, periodoncias,2014-10-01,12,16,12,16,28
YOCALLA,atencion odontologica, periodoncias,2014-10-01,2,2,2,2,4
YOTALA,atencion odontologica, periodoncias,2014-10-01,0,6,0,6,6
YUNCHARA,atencion odontologica, periodoncias,2014-10-01,3,11,3,11,14
ACHACACHI,atencion odontologica, periodoncias,2014-11-01,7,48,7,48,55
AIQUILE,atencion odontologica, periodoncias,2014-11-01,20,26,20,26,46
ALCALA,atencion odontologica, periodoncias,2014-11-01,1,6,1,6,7
ALTO BENI,atencion odontologica, periodoncias,2014-11-01,0,3,0,3,3
ANDAMARCA,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
ANZALDO,atencion odontologica, periodoncias,2014-11-01,4,0,4,0,4
APOLO,atencion odontologica, periodoncias,2014-11-01,0,23,0,23,23
ARAMPAMPA,atencion odontologica, periodoncias,2014-11-01,0,2,0,2,2
ARANI,atencion odontologica, periodoncias,2014-11-01,1,8,1,8,9
ARBIETO,atencion odontologica, periodoncias,2014-11-01,0,23,0,23,23
ARQUE,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
ATOCHA,atencion odontologica, periodoncias,2014-11-01,12,15,12,15,27
AUCAPATA,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
AYATA,atencion odontologica, periodoncias,2014-11-01,0,6,0,6,6
AYO AYO,atencion odontologica, periodoncias,2014-11-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, periodoncias,2014-11-01,10,22,10,22,32
AZURDUY,atencion odontologica, periodoncias,2014-11-01,2,3,2,3,5
BELLA FLOR,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
BERMEJO,atencion odontologica, periodoncias,2014-11-01,2,24,2,24,26
BETANZOS,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
BOLIVAR,atencion odontologica, periodoncias,2014-11-01,7,10,7,10,17
CABEZAS,atencion odontologica, periodoncias,2014-11-01,2,7,2,7,9
CAIROMA,atencion odontologica, periodoncias,2014-11-01,0,7,0,7,7
"CAIZA ""D""",atencion odontologica, periodoncias,2014-11-01,2,5,2,5,7
CAJUATA,atencion odontologica, periodoncias,2014-11-01,0,7,0,7,7
CALACOTO,atencion odontologica, periodoncias,2014-11-01,20,3,20,3,23
CALAMARCA,atencion odontologica, periodoncias,2014-11-01,0,2,0,2,2
CAPINOTA,atencion odontologica, periodoncias,2014-11-01,16,34,16,34,50
CAQUIAVIRI,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
CARACOLLO,atencion odontologica, periodoncias,2014-11-01,11,64,11,64,75
CARANAVI,atencion odontologica, periodoncias,2014-11-01,30,31,30,31,61
CARAPARI,atencion odontologica, periodoncias,2014-11-01,8,7,8,7,15
CARIPUYO,atencion odontologica, periodoncias,2014-11-01,2,7,2,7,9
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-11-01,66,88,66,88,154
CHALLAPATA,atencion odontologica, periodoncias,2014-11-01,19,29,19,29,48
CHARAGUA,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
CHAYANTA,atencion odontologica, periodoncias,2014-11-01,0,5,0,5,5
CHIMORE,atencion odontologica, periodoncias,2014-11-01,4,12,4,12,16
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-11-01,1,3,1,3,4
CHUMA,atencion odontologica, periodoncias,2014-11-01,3,23,3,23,26
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, periodoncias,2014-11-01,0,2,0,2,2
CKOCHAS,atencion odontologica, periodoncias,2014-11-01,11,13,11,13,24
CLIZA,atencion odontologica, periodoncias,2014-11-01,13,29,13,29,42
COBIJA,atencion odontologica, periodoncias,2014-11-01,10,19,10,19,29
COCAPATA,atencion odontologica, periodoncias,2014-11-01,5,13,5,13,18
COCHABAMBA,atencion odontologica, periodoncias,2014-11-01,618,1065,618,1065,1683
COLCAPIRHUA,atencion odontologica, periodoncias,2014-11-01,10,20,10,20,30
"COLCHA ""K""",atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
COLOMI,atencion odontologica, periodoncias,2014-11-01,1,22,1,22,23
COLPA BELGICA,atencion odontologica, periodoncias,2014-11-01,2,1,2,1,3
COLQUECHACA,atencion odontologica, periodoncias,2014-11-01,3,14,3,14,17
COLQUIRI,atencion odontologica, periodoncias,2014-11-01,0,19,0,19,19
COMARAPA,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
COMBAYA,atencion odontologica, periodoncias,2014-11-01,1,8,1,8,9
CONCEPCION,atencion odontologica, periodoncias,2014-11-01,3,1,3,1,4
COPACABANA,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
CORIPATA,atencion odontologica, periodoncias,2014-11-01,1,3,1,3,4
CORO CORO,atencion odontologica, periodoncias,2014-11-01,2,3,2,3,5
COROICO,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
CORQUE,atencion odontologica, periodoncias,2014-11-01,1,5,1,5,6
COTAGAITA,atencion odontologica, periodoncias,2014-11-01,2,9,2,9,11
COTOCA,atencion odontologica, periodoncias,2014-11-01,1,6,1,6,7
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-11-01,0,8,0,8,8
CULPINA,atencion odontologica, periodoncias,2014-11-01,0,43,0,43,43
CURAHUARA DE CARANGAS,atencion odontologica, periodoncias,2014-11-01,1,1,1,1,2
CURVA,atencion odontologica, periodoncias,2014-11-01,0,6,0,6,6
EL ALTO,atencion odontologica, periodoncias,2014-11-01,146,271,146,271,417
EL CHORO,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-11-01,1,6,1,6,7
EL TORNO,atencion odontologica, periodoncias,2014-11-01,25,270,25,270,295
EL VILLAR,atencion odontologica, periodoncias,2014-11-01,1,1,1,1,2
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-11-01,6,8,6,8,14
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-11-01,0,6,0,6,6
ESCOMA,atencion odontologica, periodoncias,2014-11-01,1,2,1,2,3
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-11-01,3,10,3,10,13
FILADELFIA,atencion odontologica, periodoncias,2014-11-01,1,5,1,5,6
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-11-01,3,4,3,4,7
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-11-01,0,24,0,24,24
GUANAY,atencion odontologica, periodoncias,2014-11-01,0,2,0,2,2
GUAYARAMERIN,atencion odontologica, periodoncias,2014-11-01,30,38,30,38,68
GUTIERREZ,atencion odontologica, periodoncias,2014-11-01,2,5,2,5,7
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-11-01,4,7,4,7,11
HUANUNI,atencion odontologica, periodoncias,2014-11-01,6,12,6,12,18
HUATAJATA,atencion odontologica, periodoncias,2014-11-01,7,21,7,21,28
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
HUMANATA,atencion odontologica, periodoncias,2014-11-01,20,8,20,8,28
ICLA,atencion odontologica, periodoncias,2014-11-01,2,24,2,24,26
INQUISIVI,atencion odontologica, periodoncias,2014-11-01,0,17,0,17,17
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-11-01,1,4,1,4,5
IXIAMAS,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
JESUS DE MACHACA,atencion odontologica, periodoncias,2014-11-01,2,15,2,15,17
LA ASUNTA,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
LA GUARDIA,atencion odontologica, periodoncias,2014-11-01,13,17,13,17,30
LA PAZ,atencion odontologica, periodoncias,2014-11-01,199,389,199,389,588
LAJA,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
LICOMA PAMPA,atencion odontologica, periodoncias,2014-11-01,0,12,0,12,12
LLALLAGUA,atencion odontologica, periodoncias,2014-11-01,2,6,2,6,8
LORETO,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
LURIBAY,atencion odontologica, periodoncias,2014-11-01,0,7,0,7,7
MACHACAMARCA,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
MACHARETI,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
MAGDALENA,atencion odontologica, periodoncias,2014-11-01,2,1,2,1,3
MAIRANA,atencion odontologica, periodoncias,2014-11-01,0,3,0,3,3
MECAPACA,atencion odontologica, periodoncias,2014-11-01,2,1,2,1,3
MINEROS,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
MIZQUE,atencion odontologica, periodoncias,2014-11-01,1,2,1,2,3
MOCOMOCO,atencion odontologica, periodoncias,2014-11-01,3,2,3,2,5
MOJOCOYA,atencion odontologica, periodoncias,2014-11-01,1,51,1,51,52
MONTEAGUDO,atencion odontologica, periodoncias,2014-11-01,0,7,0,7,7
MONTERO,atencion odontologica, periodoncias,2014-11-01,14,36,14,36,50
MORO MORO,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
MOROCHATA,atencion odontologica, periodoncias,2014-11-01,3,18,3,18,21
OCURI,atencion odontologica, periodoncias,2014-11-01,3,2,3,2,5
OKINAWA,atencion odontologica, periodoncias,2014-11-01,1,18,1,18,19
ORURO,atencion odontologica, periodoncias,2014-11-01,32,78,32,78,110
PADCAYA,atencion odontologica, periodoncias,2014-11-01,1,13,1,13,14
PADILLA,atencion odontologica, periodoncias,2014-11-01,1,12,1,12,13
PALCA,atencion odontologica, periodoncias,2014-11-01,0,6,0,6,6
PALOS BLANCOS,atencion odontologica, periodoncias,2014-11-01,1,29,1,29,30
PAMPA AULLAGAS,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
PAMPA GRANDE,atencion odontologica, periodoncias,2014-11-01,0,3,0,3,3
PAPEL PAMPA,atencion odontologica, periodoncias,2014-11-01,5,4,5,4,9
PASORAPA,atencion odontologica, periodoncias,2014-11-01,0,2,0,2,2
PATACAMAYA,atencion odontologica, periodoncias,2014-11-01,1,7,1,7,8
PAZÑA,atencion odontologica, periodoncias,2014-11-01,0,9,0,9,9
PELECHUCO,atencion odontologica, periodoncias,2014-11-01,0,13,0,13,13
POCOATA,atencion odontologica, periodoncias,2014-11-01,1,14,1,14,15
POCONA,atencion odontologica, periodoncias,2014-11-01,3,8,3,8,11
POJO (CBBA),atencion odontologica, periodoncias,2014-11-01,1,13,1,13,14
POOPO,atencion odontologica, periodoncias,2014-11-01,0,9,0,9,9
POROMA,atencion odontologica, periodoncias,2014-11-01,0,17,0,17,17
PORONGO,atencion odontologica, periodoncias,2014-11-01,0,9,0,9,9
PORTACHUELO,atencion odontologica, periodoncias,2014-11-01,0,5,0,5,5
PORVENIR,atencion odontologica, periodoncias,2014-11-01,4,2,4,2,6
POSTRER VALLE,atencion odontologica, periodoncias,2014-11-01,1,12,1,12,13
POTOSI,atencion odontologica, periodoncias,2014-11-01,11,26,11,26,37
PRESTO,atencion odontologica, periodoncias,2014-11-01,2,4,2,4,6
PUCARANI,atencion odontologica, periodoncias,2014-11-01,1,12,1,12,13
PUERTO ACOSTA,atencion odontologica, periodoncias,2014-11-01,2,5,2,5,7
PUERTO GONZALO MORENO,atencion odontologica, periodoncias,2014-11-01,1,1,1,1,2
PUERTO PEREZ,atencion odontologica, periodoncias,2014-11-01,0,6,0,6,6
PUERTO QUIJARRO,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
PUERTO RICO,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
PUERTO SILES,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
PUERTO SUAREZ,atencion odontologica, periodoncias,2014-11-01,2,5,2,5,7
PUERTO VILLARROEL,atencion odontologica, periodoncias,2014-11-01,3,19,3,19,22
PUNATA,atencion odontologica, periodoncias,2014-11-01,11,45,11,45,56
QUIABAYA,atencion odontologica, periodoncias,2014-11-01,1,1,1,1,2
QUILLACOLLO,atencion odontologica, periodoncias,2014-11-01,76,128,76,128,204
QUIME,atencion odontologica, periodoncias,2014-11-01,10,9,10,9,19
QUIRUSILLAS,atencion odontologica, periodoncias,2014-11-01,2,1,2,1,3
RAVELO,atencion odontologica, periodoncias,2014-11-01,0,9,0,9,9
REYES,atencion odontologica, periodoncias,2014-11-01,6,6,6,6,12
RIBERALTA,atencion odontologica, periodoncias,2014-11-01,4,49,4,49,53
SABAYA,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
SACABA,atencion odontologica, periodoncias,2014-11-01,28,117,28,117,145
SAIPINA,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
SAMAIPATA,atencion odontologica, periodoncias,2014-11-01,1,2,1,2,3
SAN AGUSTIN,atencion odontologica, periodoncias,2014-11-01,3,3,3,3,6
SAN ANDRES,atencion odontologica, periodoncias,2014-11-01,2,1,2,1,3
SAN ANDRES DE MACHACA,atencion odontologica, periodoncias,2014-11-01,3,5,3,5,8
SAN ANTONIO DE ESMORUCO,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
SAN BENITO,atencion odontologica, periodoncias,2014-11-01,4,7,4,7,11
SAN BORJA,atencion odontologica, periodoncias,2014-11-01,1,8,1,8,9
SAN BUENA VENTURA,atencion odontologica, periodoncias,2014-11-01,2,2,2,2,4
SAN CARLOS,atencion odontologica, periodoncias,2014-11-01,17,14,17,14,31
SAN IGNACIO,atencion odontologica, periodoncias,2014-11-01,3,38,3,38,41
SAN IGNACIO DE VELASCO,atencion odontologica, periodoncias,2014-11-01,9,6,9,6,15
SAN JOSE DE CHIQUITOS,atencion odontologica, periodoncias,2014-11-01,1,1,1,1,2
SAN JULIAN,atencion odontologica, periodoncias,2014-11-01,10,40,10,40,50
SAN LORENZO(PND),atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica, periodoncias,2014-11-01,21,145,21,145,166
SAN LUCAS,atencion odontologica, periodoncias,2014-11-01,3,3,3,3,6
SAN MATIAS,atencion odontologica, periodoncias,2014-11-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,atencion odontologica, periodoncias,2014-11-01,0,36,0,36,36
SAN PABLO DE LIPEZ,atencion odontologica, periodoncias,2014-11-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, periodoncias,2014-11-01,0,61,0,61,61
SAN PEDRO DE BUENA VISTA,atencion odontologica, periodoncias,2014-11-01,0,4,0,4,4
SAN RAFAEL,atencion odontologica, periodoncias,2014-11-01,0,1,0,1,1
SANTA ANA,atencion odontologica, periodoncias,2014-11-01,0,89,0,89,89
SANTA CRUZ DE LA SIERRA,atencion odontologica, periodoncias,2014-11-01,370,662,370,662,1032
