,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,85,120,85,120,205
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,5,2,5,7
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,38,70,38,70,108
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,4,7,4,7,11
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,3,9,3,9,12
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,15,27,15,27,42
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1157,1349,1157,1349,2506
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,48,48,48,48,96
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,19,12,19,12,31
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,38,17,38,17,55
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,14,11,14,11,25
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,21,48,21,48,69
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,3,8,3,8,11
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,19,40,19,40,59
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,15,29,15,29,44
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,39,47,39,47,86
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,175,120,175,120,295
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,7,9,7,9,16
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,19,17,19,17,36
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,58,53,58,53,111
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,274,271,274,271,545
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,30,49,30,49,79
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,6,5,6,11
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,76,63,76,63,139
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,13,19,13,19,32
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,18,24,18,24,42
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,18,17,18,17,35
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,301,485,301,485,786
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,95,104,95,104,199
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,3,6,3,6,9
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,8,26,8,26,34
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,17,19,17,19,36
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,11,17,11,17,28
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,16,28,16,28,44
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,8,4,8,4,12
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,80,90,80,90,170
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,7,13,7,13,20
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,5,5,5,10
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,116,100,116,100,216
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,0,2,0,2,2
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,81,102,81,102,183
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,12,21,12,21,33
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,863,857,863,857,1720
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,104,57,104,57,161
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,0,2,0,2
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,22,44,22,44,66
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,143,216,143,216,359
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,3,2,3,2,5
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,28,44,28,44,72
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,68,60,68,60,128
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,908,1310,908,1310,2218
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,22,110,22,110,132
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,11,41,11,41,52
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,3,5,3,8
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,94,130,94,130,224
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,47,41,47,41,88
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,4,19,4,19,23
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,25,23,25,23,48
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,13,5,13,5,18
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,6,4,6,4,10
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,87,71,87,71,158
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,24,44,24,44,68
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1,7,1,7,8
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,15,18,15,18,33
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,70,101,70,101,171
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,130,181,130,181,311
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,15,37,15,37,52
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,0,4,0,4,4
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,70,276,70,276,346
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,0,3,0,3,3
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,85,165,85,165,250
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,10,31,10,31,41
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,10,16,10,16,26
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,21,2,21,23
SAN PABLO DE LIPEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1,4,1,4,5
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,3,6,3,6,9
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,40,21,40,21,61
SAN PEDRO DE QUEMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,9,5,9,14
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,14,33,14,33,47
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,3,5,3,8
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,5,2,5,7
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,63,114,63,114,177
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2660,3618,2660,3618,6278
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1,5,1,5,6
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,10,16,10,16,26
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,14,12,14,12,26
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,136,176,136,176,312
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,10,7,10,7,17
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,8,35,8,35,43
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,19,42,19,42,61
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,33,50,33,50,83
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,13,49,13,49,62
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,27,51,27,51,78
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,3,15,3,15,18
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,45,177,45,177,222
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,21,27,21,27,48
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,20,20,20,20,40
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,24,58,24,58,82
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1373,1211,1373,1211,2584
TACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,0,6,0,6,6
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,4,12,4,12,16
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,34,61,34,61,95
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,48,75,48,75,123
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,29,33,29,33,62
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,14,24,14,24,38
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,668,975,668,975,1643
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,26,56,26,56,82
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,32,47,32,47,79
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,13,5,13,18
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,19,25,19,25,44
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,338,567,338,567,905
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,10,9,10,9,19
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1,0,1,0,1
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,51,26,51,26,77
TODOS SANTOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1,0,1,0,1
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,11,15,11,15,26
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,100,128,100,128,228
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,19,5,19,5,24
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,23,13,23,13,36
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,4,14,4,14,18
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,17,33,17,33,50
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,10,18,10,18,28
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,314,488,314,488,802
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,95,204,95,204,299
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,8,17,8,17,25
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,8,4,8,4,12
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,73,112,73,112,185
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,44,108,44,108,152
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,7,2,7,9
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,2,2,2,2,4
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,40,54,40,54,94
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,113,100,113,100,213
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,67,90,67,90,157
VILA VILA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,7,23,7,23,30
VILLA CHARCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,1,8,1,8,9
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,209,243,209,243,452
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,5,3,5,3,8
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,17,82,17,82,99
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,21,17,21,17,38
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,211,301,211,301,512
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,105,142,105,142,247
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,61,167,61,167,228
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,22,22,22,22,44
WALDO BALLIVIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,0,1,0,1,1
WARNES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,70,95,70,95,165
YACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,20,4,20,4,24
YACUIBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,196,246,196,246,442
YAMPARAEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,52,32,52,32,84
YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,27,64,27,64,91
YOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,21,13,21,13,34
YOTALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,100,56,100,56,156
YUNCHARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,142,86,142,86,228
ZUDAÑEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-09-01,11,9,11,9,20
ACACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,12,3,12,15
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,72,67,72,67,139
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,60,31,60,31,91
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,99,137,99,137,236
ALALAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,0,4,0,4,4
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,48,38,48,38,86
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,5,5,5,10
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,15,8,15,8,23
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,14,8,14,8,22
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,5,4,5,9
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,12,20,12,32
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,16,8,16,24
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,10,6,10,6,16
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,106,146,106,146,252
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,36,59,36,59,95
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,22,4,22,26
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,207,204,207,204,411
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,9,3,9,12
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,24,12,24,12,36
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,2,7,2,9
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,98,125,98,125,223
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,15,2,15,17
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,6,8,6,14
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,300,261,300,261,561
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,7,7,7,14
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,6,1,6,7
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,36,35,36,35,71
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,106,115,106,115,221
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,12,30,12,30,42
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,6,3,6,9
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,0,1,0,1
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,6,7,6,13
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,42,8,42,50
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,0,2,0,2,2
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,102,134,102,134,236
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,13,13,13,13,26
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,2,6,2,8
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,40,51,40,51,91
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,806,824,806,824,1630
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,203,198,203,198,401
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,19,11,19,11,30
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,85,82,85,82,167
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,17,13,17,13,30
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,13,16,13,16,29
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,14,9,14,23
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,64,86,64,86,150
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,0,3,0,3
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,303,308,303,308,611
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,229,202,229,202,431
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,1,2,1,3
CHARAÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,17,15,17,15,32
CHAYANTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,16,2,16,18
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,25,35,25,35,60
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,19,7,19,26
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,38,36,38,36,74
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,26,25,26,25,51
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,0,2,0,2
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,21,40,21,40,61
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,155,203,155,203,358
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,21,27,21,27,48
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2781,3069,2781,3069,5850
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,3,5,3,8
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,76,67,76,67,143
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,1,4,1,5
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,4,9,4,13
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,39,63,39,63,102
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,26,25,26,25,51
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,50,54,50,54,104
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,32,6,32,38
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,3,2,3,5
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,22,10,22,10,32
COMBAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,5,9,5,14
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,0,1,0,1,1
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,24,21,24,21,45
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,18,9,18,27
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,0,1,0,1
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,19,16,19,16,35
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,81,74,81,74,155
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,63,157,63,157,220
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,94,127,94,127,221
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,18,1,18,19
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,0,2,0,2,2
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,18,39,18,39,57
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,8,2,8,10
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,10,4,10,14
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,10,1,10,11
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3924,3668,3924,3668,7592
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,27,10,27,10,37
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,12,12,12,12,24
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,218,283,218,283,501
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,13,15,13,15,28
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,74,136,74,136,210
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,37,27,37,27,64
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,298,318,298,318,616
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,12,9,12,9,21
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,27,23,27,23,50
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,14,7,14,21
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,49,76,49,76,125
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,63,58,63,58,121
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,40,68,40,68,108
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,29,53,29,53,82
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,19,14,19,14,33
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,14,34,14,34,48
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,27,8,27,35
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,29,23,29,23,52
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,0,2,0,2,2
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,15,20,15,35
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,66,86,66,86,152
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,27,23,27,23,50
ICHOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,12,7,12,7,19
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,135,146,135,146,281
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,42,45,42,45,87
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,12,13,12,13,25
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,135,133,135,133,268
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,12,20,12,32
