,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA ANA,atencion odontologica, primera consulta,2014-10-01,88,84,88,84,172
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-10-01,2944,5277,2944,5277,8221
SANTA ROSA,atencion odontologica, primera consulta,2014-10-01,6,5,6,5,11
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-10-01,192,211,192,211,403
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-10-01,7,5,7,5,12
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-10-01,94,97,94,97,191
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-10-01,12,15,12,15,27
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-10-01,27,75,27,75,102
SANTIVAÑES,atencion odontologica, primera consulta,2014-10-01,20,35,20,35,55
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-10-01,208,227,208,227,435
SAPAHAQUI,atencion odontologica, primera consulta,2014-10-01,23,55,23,55,78
SENA,atencion odontologica, primera consulta,2014-10-01,96,85,96,85,181
SHINAOTA,atencion odontologica, primera consulta,2014-10-01,5,38,5,38,43
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-10-01,48,79,48,79,127
SICAYA,atencion odontologica, primera consulta,2014-10-01,2,6,2,6,8
SIPE SIPE,atencion odontologica, primera consulta,2014-10-01,105,384,105,384,489
SOPACHUY,atencion odontologica, primera consulta,2014-10-01,12,27,12,27,39
SORACACHI,atencion odontologica, primera consulta,2014-10-01,58,81,58,81,139
SORATA,atencion odontologica, primera consulta,2014-10-01,28,52,28,52,80
SUCRE,atencion odontologica, primera consulta,2014-10-01,1464,2686,1464,2686,4150
TACACHI,atencion odontologica, primera consulta,2014-10-01,4,6,4,6,10
TACACOMA,atencion odontologica, primera consulta,2014-10-01,5,4,5,4,9
TACOBAMBA,atencion odontologica, primera consulta,2014-10-01,19,44,19,44,63
TACOPAYA,atencion odontologica, primera consulta,2014-10-01,31,80,31,80,111
TAHUA,atencion odontologica, primera consulta,2014-10-01,2,5,2,5,7
TAPACARI,atencion odontologica, primera consulta,2014-10-01,15,35,15,35,50
TARABUCO,atencion odontologica, primera consulta,2014-10-01,82,110,82,110,192
TARACO,atencion odontologica, primera consulta,2014-10-01,13,24,13,24,37
TARATA,atencion odontologica, primera consulta,2014-10-01,37,49,37,49,86
TARIJA,atencion odontologica, primera consulta,2014-10-01,1663,2291,1663,2291,3954
TARVITA,atencion odontologica, primera consulta,2014-10-01,102,125,102,125,227
TEOPONTE,atencion odontologica, primera consulta,2014-10-01,34,31,34,31,65
TINGUIPAYA,atencion odontologica, primera consulta,2014-10-01,21,33,21,33,54
TIPUANI,atencion odontologica, primera consulta,2014-10-01,19,35,19,35,54
TIQUIPAYA,atencion odontologica, primera consulta,2014-10-01,185,266,185,266,451
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-10-01,25,39,25,39,64
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-10-01,6,7,6,7,13
TOCO,atencion odontologica, primera consulta,2014-10-01,8,31,8,31,39
TODOS SANTOS,atencion odontologica, primera consulta,2014-10-01,2,1,2,1,3
TOLATA,atencion odontologica, primera consulta,2014-10-01,9,17,9,17,26
TOLEDO,atencion odontologica, primera consulta,2014-10-01,4,27,4,27,31
TOMAVE,atencion odontologica, primera consulta,2014-10-01,21,43,21,43,64
TOMINA,atencion odontologica, primera consulta,2014-10-01,89,113,89,113,202
TORO TORO,atencion odontologica, primera consulta,2014-10-01,68,72,68,72,140
TOTORA(CBBA),atencion odontologica, primera consulta,2014-10-01,71,139,71,139,210
TOTORA(ORR),atencion odontologica, primera consulta,2014-10-01,9,22,9,22,31
TRIGAL,atencion odontologica, primera consulta,2014-10-01,3,3,3,3,6
TRINIDAD,atencion odontologica, primera consulta,2014-10-01,378,559,378,559,937
TUPIZA,atencion odontologica, primera consulta,2014-10-01,82,182,82,182,264
TURCO,atencion odontologica, primera consulta,2014-10-01,106,105,106,105,211
UMALA,atencion odontologica, primera consulta,2014-10-01,23,22,23,22,45
UNCIA,atencion odontologica, primera consulta,2014-10-01,94,167,94,167,261
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-10-01,121,134,121,134,255
URUBICHA,atencion odontologica, primera consulta,2014-10-01,18,35,18,35,53
UYUNI,atencion odontologica, primera consulta,2014-10-01,132,162,132,162,294
VACAS,atencion odontologica, primera consulta,2014-10-01,13,25,13,25,38
VALLEGRANDE,atencion odontologica, primera consulta,2014-10-01,65,103,65,103,168
VIACHA,atencion odontologica, primera consulta,2014-10-01,83,118,83,118,201
VILA VILA,atencion odontologica, primera consulta,2014-10-01,12,31,12,31,43
VILLA CHARCAS,atencion odontologica, primera consulta,2014-10-01,43,168,43,168,211
VILLA MONTES,atencion odontologica, primera consulta,2014-10-01,269,423,269,423,692
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-10-01,11,16,11,16,27
VILLA RIVERO,atencion odontologica, primera consulta,2014-10-01,51,95,51,95,146
VILLA SERRANO,atencion odontologica, primera consulta,2014-10-01,41,86,41,86,127
VILLA TUNARI,atencion odontologica, primera consulta,2014-10-01,92,189,92,189,281
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-10-01,155,228,155,228,383
VILLAZON,atencion odontologica, primera consulta,2014-10-01,100,182,100,182,282
VINTO,atencion odontologica, primera consulta,2014-10-01,66,104,66,104,170
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-10-01,10,9,10,9,19
WARNES,atencion odontologica, primera consulta,2014-10-01,423,195,423,195,618
YACO,atencion odontologica, primera consulta,2014-10-01,24,52,24,52,76
YACUIBA,atencion odontologica, primera consulta,2014-10-01,598,704,598,704,1302
YAMPARAEZ,atencion odontologica, primera consulta,2014-10-01,23,54,23,54,77
YANACACHI,atencion odontologica, primera consulta,2014-10-01,17,24,17,24,41
YAPACANI,atencion odontologica, primera consulta,2014-10-01,43,62,43,62,105
YOCALLA,atencion odontologica, primera consulta,2014-10-01,41,73,41,73,114
YOTALA,atencion odontologica, primera consulta,2014-10-01,45,106,45,106,151
YUNCHARA,atencion odontologica, primera consulta,2014-10-01,58,73,58,73,131
ZUDAÑEZ,atencion odontologica, primera consulta,2014-10-01,24,41,24,41,65
ACACIO,atencion odontologica, primera consulta,2014-11-01,25,29,25,29,54
ACHACACHI,atencion odontologica, primera consulta,2014-11-01,137,197,137,197,334
ACHOCALLA,atencion odontologica, primera consulta,2014-11-01,36,60,36,60,96
AIQUILE,atencion odontologica, primera consulta,2014-11-01,36,64,36,64,100
ALALAY,atencion odontologica, primera consulta,2014-11-01,4,4,4,4,8
ALCALA,atencion odontologica, primera consulta,2014-11-01,21,38,21,38,59
ALTO BENI,atencion odontologica, primera consulta,2014-11-01,31,33,31,33,64
ANCORAIMES,atencion odontologica, primera consulta,2014-11-01,12,19,12,19,31
ANDAMARCA,atencion odontologica, primera consulta,2014-11-01,11,18,11,18,29
ANTEQUERA,atencion odontologica, primera consulta,2014-11-01,1,3,1,3,4
ANZALDO,atencion odontologica, primera consulta,2014-11-01,10,14,10,14,24
APOLO,atencion odontologica, primera consulta,2014-11-01,26,38,26,38,64
ARAMPAMPA,atencion odontologica, primera consulta,2014-11-01,22,30,22,30,52
ARANI,atencion odontologica, primera consulta,2014-11-01,16,34,16,34,50
ARBIETO,atencion odontologica, primera consulta,2014-11-01,20,75,20,75,95
ARQUE,atencion odontologica, primera consulta,2014-11-01,24,28,24,28,52
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-11-01,98,113,98,113,211
ATOCHA,atencion odontologica, primera consulta,2014-11-01,92,117,92,117,209
AUCAPATA,atencion odontologica, primera consulta,2014-11-01,6,5,6,5,11
AYATA,atencion odontologica, primera consulta,2014-11-01,12,25,12,25,37
AYO AYO,atencion odontologica, primera consulta,2014-11-01,38,57,38,57,95
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-11-01,48,64,48,64,112
AZURDUY,atencion odontologica, primera consulta,2014-11-01,14,79,14,79,93
BATALLAS,atencion odontologica, primera consulta,2014-11-01,22,58,22,58,80
BAURES,atencion odontologica, primera consulta,2014-11-01,99,79,99,79,178
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-11-01,3,4,3,4,7
BELLA FLOR,atencion odontologica, primera consulta,2014-11-01,14,13,14,13,27
BERMEJO,atencion odontologica, primera consulta,2014-11-01,381,599,381,599,980
BETANZOS,atencion odontologica, primera consulta,2014-11-01,109,171,109,171,280
BOLIVAR,atencion odontologica, primera consulta,2014-11-01,19,23,19,23,42
BUENA VISTA,atencion odontologica, primera consulta,2014-11-01,16,28,16,28,44
CABEZAS,atencion odontologica, primera consulta,2014-11-01,70,94,70,94,164
CAIROMA,atencion odontologica, primera consulta,2014-11-01,12,19,12,19,31
"CAIZA ""D""",atencion odontologica, primera consulta,2014-11-01,64,70,64,70,134
CAJUATA,atencion odontologica, primera consulta,2014-11-01,59,81,59,81,140
CALACOTO,atencion odontologica, primera consulta,2014-11-01,30,27,30,27,57
CALAMARCA,atencion odontologica, primera consulta,2014-11-01,68,89,68,89,157
CAMARGO,atencion odontologica, primera consulta,2014-11-01,23,93,23,93,116
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-11-01,14,28,14,28,42
CAMIRI,atencion odontologica, primera consulta,2014-11-01,1507,1436,1507,1436,2943
CAPINOTA,atencion odontologica, primera consulta,2014-11-01,21,48,21,48,69
CAQUIAVIRI,atencion odontologica, primera consulta,2014-11-01,66,99,66,99,165
CARACOLLO,atencion odontologica, primera consulta,2014-11-01,51,67,51,67,118
CARANAVI,atencion odontologica, primera consulta,2014-11-01,57,67,57,67,124
CARAPARI,atencion odontologica, primera consulta,2014-11-01,48,48,48,48,96
CARIPUYO,atencion odontologica, primera consulta,2014-11-01,50,56,50,56,106
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-11-01,87,124,87,124,211
CATACORA,atencion odontologica, primera consulta,2014-11-01,7,1,7,1,8
CHALLAPATA,atencion odontologica, primera consulta,2014-11-01,202,265,202,265,467
CHAQUI,atencion odontologica, primera consulta,2014-11-01,188,198,188,198,386
CHARAGUA,atencion odontologica, primera consulta,2014-11-01,94,150,94,150,244
CHARAÑA,atencion odontologica, primera consulta,2014-11-01,5,9,5,9,14
CHAYANTA,atencion odontologica, primera consulta,2014-11-01,60,116,60,116,176
CHIMORE,atencion odontologica, primera consulta,2014-11-01,27,42,27,42,69
CHIPAYA,atencion odontologica, primera consulta,2014-11-01,1,9,1,9,10
CHOQUE COTA,atencion odontologica, primera consulta,2014-11-01,2,7,2,7,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-11-01,31,81,31,81,112
CHUMA,atencion odontologica, primera consulta,2014-11-01,70,85,70,85,155
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, primera consulta,2014-11-01,29,26,29,26,55
CKOCHAS,atencion odontologica, primera consulta,2014-11-01,26,31,26,31,57
CLIZA,atencion odontologica, primera consulta,2014-11-01,27,57,27,57,84
COBIJA,atencion odontologica, primera consulta,2014-11-01,299,349,299,349,648
COCAPATA,atencion odontologica, primera consulta,2014-11-01,117,208,117,208,325
COCHABAMBA,atencion odontologica, primera consulta,2014-11-01,792,1544,792,1544,2336
COIPASA,atencion odontologica, primera consulta,2014-11-01,4,7,4,7,11
COLCAPIRHUA,atencion odontologica, primera consulta,2014-11-01,72,124,72,124,196
"COLCHA ""K""",atencion odontologica, primera consulta,2014-11-01,19,22,19,22,41
COLLANA,atencion odontologica, primera consulta,2014-11-01,6,8,6,8,14
COLOMI,atencion odontologica, primera consulta,2014-11-01,41,87,41,87,128
COLPA BELGICA,atencion odontologica, primera consulta,2014-11-01,11,26,11,26,37
COLQUECHACA,atencion odontologica, primera consulta,2014-11-01,107,211,107,211,318
COLQUENCHA,atencion odontologica, primera consulta,2014-11-01,23,41,23,41,64
COLQUIRI,atencion odontologica, primera consulta,2014-11-01,19,17,19,17,36
COMANCHE,atencion odontologica, primera consulta,2014-11-01,9,8,9,8,17
COMARAPA,atencion odontologica, primera consulta,2014-11-01,99,116,99,116,215
COMBAYA,atencion odontologica, primera consulta,2014-11-01,7,18,7,18,25
CONCEPCION,atencion odontologica, primera consulta,2014-11-01,64,88,64,88,152
COPACABANA,atencion odontologica, primera consulta,2014-11-01,12,9,12,9,21
CORIPATA,atencion odontologica, primera consulta,2014-11-01,21,47,21,47,68
CORO CORO,atencion odontologica, primera consulta,2014-11-01,15,36,15,36,51
COROICO,atencion odontologica, primera consulta,2014-11-01,127,185,127,185,312
CORQUE,atencion odontologica, primera consulta,2014-11-01,29,25,29,25,54
COTAGAITA,atencion odontologica, primera consulta,2014-11-01,183,147,183,147,330
COTOCA,atencion odontologica, primera consulta,2014-11-01,174,467,174,467,641
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-11-01,47,103,47,103,150
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, primera consulta,2014-11-01,4,8,4,8,12
CUEVO,atencion odontologica, primera consulta,2014-11-01,3,11,3,11,14
CULPINA,atencion odontologica, primera consulta,2014-11-01,72,106,72,106,178
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-11-01,1,4,1,4,5
CURVA,atencion odontologica, primera consulta,2014-11-01,6,11,6,11,17
DESAGUADERO,atencion odontologica, primera consulta,2014-11-01,168,213,168,213,381
EL ALTO,atencion odontologica, primera consulta,2014-11-01,1977,3071,1977,3071,5048
EL CHORO,atencion odontologica, primera consulta,2014-11-01,9,17,9,17,26
EL PUENTE(STC),atencion odontologica, primera consulta,2014-11-01,56,146,56,146,202
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-11-01,127,152,127,152,279
EL TORNO,atencion odontologica, primera consulta,2014-11-01,431,550,431,550,981
EL VILLAR,atencion odontologica, primera consulta,2014-11-01,21,40,21,40,61
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-11-01,75,132,75,132,207
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-11-01,38,70,38,70,108
ESCOMA,atencion odontologica, primera consulta,2014-11-01,79,71,79,71,150
EUCALIPTUS,atencion odontologica, primera consulta,2014-11-01,4,16,4,16,20
FERNANDEZ ALONSO,atencion odontologica, primera consulta,2014-11-01,39,80,39,80,119
FILADELFIA,atencion odontologica, primera consulta,2014-11-01,73,85,73,85,158
GENERAL SAAVEDRA,atencion odontologica, primera consulta,2014-11-01,21,56,21,56,77
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, primera consulta,2014-11-01,48,80,48,80,128
GUANAY,atencion odontologica, primera consulta,2014-11-01,112,130,112,130,242
GUAQUI,atencion odontologica, primera consulta,2014-11-01,37,64,37,64,101
GUAYARAMERIN,atencion odontologica, primera consulta,2014-11-01,104,170,104,170,274
GUTIERREZ,atencion odontologica, primera consulta,2014-11-01,13,17,13,17,30
HUACARETA,atencion odontologica, primera consulta,2014-11-01,33,82,33,82,115
HUACAYA (VILLA DE HUACAYA),atencion odontologica, primera consulta,2014-11-01,15,36,15,36,51
HUACHACALLA,atencion odontologica, primera consulta,2014-11-01,11,8,11,8,19
HUANUNI,atencion odontologica, primera consulta,2014-11-01,180,263,180,263,443
HUARACAJE,atencion odontologica, primera consulta,2014-11-01,13,12,13,12,25
HUATAJATA,atencion odontologica, primera consulta,2014-11-01,18,32,18,32,50
HUAYLLAMARCA,atencion odontologica, primera consulta,2014-11-01,13,17,13,17,30
HUMANATA,atencion odontologica, primera consulta,2014-11-01,60,71,60,71,131
ICHOCA,atencion odontologica, primera consulta,2014-11-01,44,46,44,46,90
ICLA,atencion odontologica, primera consulta,2014-11-01,40,54,40,54,94
INCAHUASI,atencion odontologica, primera consulta,2014-11-01,25,61,25,61,86
INGAVI (HUMAITA),atencion odontologica, primera consulta,2014-11-01,4,5,4,5,9
INQUISIVI,atencion odontologica, primera consulta,2014-11-01,35,61,35,61,96
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-11-01,54,60,54,60,114
IXIAMAS,atencion odontologica, primera consulta,2014-11-01,41,63,41,63,104
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-11-01,44,111,44,111,155
LA ASUNTA,atencion odontologica, primera consulta,2014-11-01,70,134,70,134,204
LA GUARDIA,atencion odontologica, primera consulta,2014-11-01,133,237,133,237,370
LA PAZ,atencion odontologica, primera consulta,2014-11-01,2968,3651,2968,3651,6619
LAJA,atencion odontologica, primera consulta,2014-11-01,11,15,11,15,26
LAS CARRERAS,atencion odontologica, primera consulta,2014-11-01,12,41,12,41,53
LICOMA PAMPA,atencion odontologica, primera consulta,2014-11-01,13,23,13,23,36
LLALLAGUA,atencion odontologica, primera consulta,2014-11-01,47,81,47,81,128
LLICA,atencion odontologica, primera consulta,2014-11-01,13,32,13,32,45
LORETO,atencion odontologica, primera consulta,2014-11-01,20,10,20,10,30
LURIBAY,atencion odontologica, primera consulta,2014-11-01,20,26,20,26,46
MACHACAMARCA,atencion odontologica, primera consulta,2014-11-01,28,34,28,34,62
MACHARETI,atencion odontologica, primera consulta,2014-11-01,46,83,46,83,129
MAGDALENA,atencion odontologica, primera consulta,2014-11-01,29,38,29,38,67
MAIRANA,atencion odontologica, primera consulta,2014-11-01,23,42,23,42,65
MAPIRI,atencion odontologica, primera consulta,2014-11-01,46,72,46,72,118
MECAPACA,atencion odontologica, primera consulta,2014-11-01,24,39,24,39,63
MINEROS,atencion odontologica, primera consulta,2014-11-01,19,35,19,35,54
MIZQUE,atencion odontologica, primera consulta,2014-11-01,18,26,18,26,44
MOCOMOCO,atencion odontologica, primera consulta,2014-11-01,73,92,73,92,165
MOJOCOYA,atencion odontologica, primera consulta,2014-11-01,43,65,43,65,108
MONTEAGUDO,atencion odontologica, primera consulta,2014-11-01,91,224,91,224,315
MONTERO,atencion odontologica, primera consulta,2014-11-01,164,349,164,349,513
MORO MORO,atencion odontologica, primera consulta,2014-11-01,14,23,14,23,37
MOROCHATA,atencion odontologica, primera consulta,2014-11-01,85,67,85,67,152
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica, primera consulta,2014-11-01,7,26,7,26,33
OCURI,atencion odontologica, primera consulta,2014-11-01,57,100,57,100,157
OKINAWA,atencion odontologica, primera consulta,2014-11-01,23,38,23,38,61
ORURO,atencion odontologica, primera consulta,2014-11-01,646,945,646,945,1591
PADCAYA,atencion odontologica, primera consulta,2014-11-01,503,545,503,545,1048
PADILLA,atencion odontologica, primera consulta,2014-11-01,38,66,38,66,104
PAILON,atencion odontologica, primera consulta,2014-11-01,20,14,20,14,34
PALCA,atencion odontologica, primera consulta,2014-11-01,21,203,21,203,224
PALOS BLANCOS,atencion odontologica, primera consulta,2014-11-01,51,93,51,93,144
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-11-01,12,10,12,10,22
PAMPA GRANDE,atencion odontologica, primera consulta,2014-11-01,34,69,34,69,103
PAPEL PAMPA,atencion odontologica, primera consulta,2014-11-01,19,50,19,50,69
PASORAPA,atencion odontologica, primera consulta,2014-11-01,39,43,39,43,82
PATACAMAYA,atencion odontologica, primera consulta,2014-11-01,35,80,35,80,115
PAZÑA,atencion odontologica, primera consulta,2014-11-01,40,60,40,60,100
PELECHUCO,atencion odontologica, primera consulta,2014-11-01,23,25,23,25,48
POCOATA,atencion odontologica, primera consulta,2014-11-01,101,193,101,193,294
POCONA,atencion odontologica, primera consulta,2014-11-01,109,128,109,128,237
POJO (CBBA),atencion odontologica, primera consulta,2014-11-01,23,40,23,40,63
POOPO,atencion odontologica, primera consulta,2014-11-01,19,38,19,38,57
PORCO,atencion odontologica, primera consulta,2014-11-01,31,43,31,43,74
POROMA,atencion odontologica, primera consulta,2014-11-01,26,103,26,103,129
PORONGO,atencion odontologica, primera consulta,2014-11-01,51,67,51,67,118
PORTACHUELO,atencion odontologica, primera consulta,2014-11-01,23,49,23,49,72
PORVENIR,atencion odontologica, primera consulta,2014-11-01,31,40,31,40,71
POSTRER VALLE,atencion odontologica, primera consulta,2014-11-01,21,31,21,31,52
POTOSI,atencion odontologica, primera consulta,2014-11-01,619,895,619,895,1514
PRESTO,atencion odontologica, primera consulta,2014-11-01,124,158,124,158,282
PUCARA,atencion odontologica, primera consulta,2014-11-01,8,12,8,12,20
PUCARANI,atencion odontologica, primera consulta,2014-11-01,68,99,68,99,167
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-11-01,35,56,35,56,91
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-11-01,73,124,73,124,197
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-11-01,142,139,142,139,281
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-11-01,54,30,54,30,84
PUERTO RICO,atencion odontologica, primera consulta,2014-11-01,55,56,55,56,111
PUERTO SILES,atencion odontologica, primera consulta,2014-11-01,1,0,1,0,1
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-11-01,80,61,80,61,141
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-11-01,106,193,106,193,299
PUNA,atencion odontologica, primera consulta,2014-11-01,100,118,100,118,218
PUNATA,atencion odontologica, primera consulta,2014-11-01,95,135,95,135,230
QUIABAYA,atencion odontologica, primera consulta,2014-11-01,30,25,30,25,55
QUILLACOLLO,atencion odontologica, primera consulta,2014-11-01,245,377,245,377,622
QUIME,atencion odontologica, primera consulta,2014-11-01,75,87,75,87,162
QUIRUSILLAS,atencion odontologica, primera consulta,2014-11-01,4,6,4,6,10
RAVELO,atencion odontologica, primera consulta,2014-11-01,55,141,55,141,196
REYES,atencion odontologica, primera consulta,2014-11-01,10,19,10,19,29
RIBERALTA,atencion odontologica, primera consulta,2014-11-01,178,472,178,472,650
ROBORE,atencion odontologica, primera consulta,2014-11-01,255,364,255,364,619
SABAYA,atencion odontologica, primera consulta,2014-11-01,14,20,14,20,34
SACABA,atencion odontologica, primera consulta,2014-11-01,168,392,168,392,560
SACABAMBA,atencion odontologica, primera consulta,2014-11-01,9,22,9,22,31
SACACA,atencion odontologica, primera consulta,2014-11-01,43,81,43,81,124
SAIPINA,atencion odontologica, primera consulta,2014-11-01,15,22,15,22,37
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-11-01,57,55,57,55,112
SAMAIPATA,atencion odontologica, primera consulta,2014-11-01,16,22,16,22,38
SAN AGUSTIN,atencion odontologica, primera consulta,2014-11-01,13,16,13,16,29
SAN ANDRES,atencion odontologica, primera consulta,2014-11-01,15,18,15,18,33
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-11-01,30,35,30,35,65
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-11-01,18,12,18,12,30
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-11-01,4,12,4,12,16
SAN BENITO,atencion odontologica, primera consulta,2014-11-01,37,50,37,50,87
SAN BORJA,atencion odontologica, primera consulta,2014-11-01,81,147,81,147,228
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-11-01,46,53,46,53,99
SAN CARLOS,atencion odontologica, primera consulta,2014-11-01,68,75,68,75,143
SAN IGNACIO,atencion odontologica, primera consulta,2014-11-01,93,110,93,110,203
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-11-01,19,32,19,32,51
SAN JAVIER(BNI),atencion odontologica, primera consulta,2014-11-01,52,62,52,62,114
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-11-01,65,124,65,124,189
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-11-01,10,28,10,28,38
SAN JULIAN,atencion odontologica, primera consulta,2014-11-01,99,295,99,295,394
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-11-01,16,15,16,15,31
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-11-01,216,269,216,269,485
SAN LUCAS,atencion odontologica, primera consulta,2014-11-01,76,196,76,196,272
SAN MATIAS,atencion odontologica, primera consulta,2014-11-01,52,70,52,70,122
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-11-01,16,32,16,32,48
SAN PABLO DE LIPEZ,atencion odontologica, primera consulta,2014-11-01,56,65,56,65,121
SAN PEDRO,atencion odontologica, primera consulta,2014-11-01,44,83,44,83,127
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-11-01,32,60,32,60,92
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-11-01,4,3,4,3,7
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-11-01,19,28,19,28,47
SAN RAFAEL,atencion odontologica, primera consulta,2014-11-01,14,24,14,24,38
SAN RAMON BENI,atencion odontologica, primera consulta,2014-11-01,0,2,0,2,2
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-11-01,22,45,22,45,67
SANTA ANA,atencion odontologica, primera consulta,2014-11-01,50,65,50,65,115
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-11-01,2506,4258,2506,4258,6764
SANTA ROSA,atencion odontologica, primera consulta,2014-11-01,9,7,9,7,16
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-11-01,138,165,138,165,303
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-11-01,9,12,9,12,21
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-11-01,105,134,105,134,239
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-11-01,36,62,36,62,98
SANTIVAÑES,atencion odontologica, primera consulta,2014-11-01,7,29,7,29,36
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-11-01,46,75,46,75,121
SAPAHAQUI,atencion odontologica, primera consulta,2014-11-01,17,37,17,37,54
SENA,atencion odontologica, primera consulta,2014-11-01,258,290,258,290,548
SHINAOTA,atencion odontologica, primera consulta,2014-11-01,18,44,18,44,62
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-11-01,32,33,32,33,65
SICAYA,atencion odontologica, primera consulta,2014-11-01,6,9,6,9,15
SIPE SIPE,atencion odontologica, primera consulta,2014-11-01,83,271,83,271,354
SOPACHUY,atencion odontologica, primera consulta,2014-11-01,18,38,18,38,56
SORACACHI,atencion odontologica, primera consulta,2014-11-01,70,75,70,75,145
SORATA,atencion odontologica, primera consulta,2014-11-01,11,28,11,28,39
SUCRE,atencion odontologica, primera consulta,2014-11-01,1455,2654,1455,2654,4109
TACACHI,atencion odontologica, primera consulta,2014-11-01,2,2,2,2,4
TACACOMA,atencion odontologica, primera consulta,2014-11-01,35,50,35,50,85
TACOBAMBA,atencion odontologica, primera consulta,2014-11-01,11,27,11,27,38
TACOPAYA,atencion odontologica, primera consulta,2014-11-01,41,72,41,72,113
TAHUA,atencion odontologica, primera consulta,2014-11-01,4,5,4,5,9
TAPACARI,atencion odontologica, primera consulta,2014-11-01,51,89,51,89,140
TARABUCO,atencion odontologica, primera consulta,2014-11-01,152,297,152,297,449
TARACO,atencion odontologica, primera consulta,2014-11-01,14,22,14,22,36
TARATA,atencion odontologica, primera consulta,2014-11-01,45,44,45,44,89
TARIJA,atencion odontologica, primera consulta,2014-11-01,1557,2154,1557,2154,3711
TARVITA,atencion odontologica, primera consulta,2014-11-01,92,146,92,146,238
TEOPONTE,atencion odontologica, primera consulta,2014-11-01,31,43,31,43,74
TIAWANACU,atencion odontologica, primera consulta,2014-11-01,66,101,66,101,167
TINGUIPAYA,atencion odontologica, primera consulta,2014-11-01,23,70,23,70,93
TIPUANI,atencion odontologica, primera consulta,2014-11-01,12,25,12,25,37
