,group,variable,month,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
TACOBAMBA,atencion odontologica,otras acciones,2014-07-01,7.0,8.0,7.0,8.0,15.0
TACOPAYA,atencion odontologica,otras acciones,2014-07-01,1.0,0.0,1.0,0.0,1.0
TAHUA,atencion odontologica,otras acciones,2014-07-01,7.0,13.0,7.0,13.0,20.0
TAPACARI,atencion odontologica,otras acciones,2014-07-01,35.0,45.0,35.0,45.0,80.0
TARABUCO,atencion odontologica,otras acciones,2014-07-01,37.0,60.0,37.0,60.0,97.0
TARACO,atencion odontologica,otras acciones,2014-07-01,18.0,32.0,18.0,32.0,50.0
TARATA,atencion odontologica,otras acciones,2014-07-01,14.0,21.0,14.0,21.0,35.0
TARIJA,atencion odontologica,otras acciones,2014-07-01,1279.0,2586.0,1279.0,2586.0,3865.0
TARVITA,atencion odontologica,otras acciones,2014-07-01,55.0,116.0,55.0,116.0,171.0
TEOPONTE,atencion odontologica,otras acciones,2014-07-01,1.0,3.0,1.0,3.0,4.0
TIAWANACU,atencion odontologica,otras acciones,2014-07-01,47.0,73.0,47.0,73.0,120.0
TIPUANI,atencion odontologica,otras acciones,2014-07-01,5.0,16.0,5.0,16.0,21.0
TIQUIPAYA,atencion odontologica,otras acciones,2014-07-01,88.0,129.0,88.0,129.0,217.0
TIRAQUE (CBBA),atencion odontologica,otras acciones,2014-07-01,10.0,82.0,10.0,82.0,92.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2014-07-01,2.0,4.0,2.0,4.0,6.0
TOCO,atencion odontologica,otras acciones,2014-07-01,16.0,17.0,16.0,17.0,33.0
TOLATA,atencion odontologica,otras acciones,2014-07-01,22.0,35.0,22.0,35.0,57.0
TOMAVE,atencion odontologica,otras acciones,2014-07-01,49.0,98.0,49.0,98.0,147.0
TOMINA,atencion odontologica,otras acciones,2014-07-01,133.0,209.0,133.0,209.0,342.0
TOTORA(ORR),atencion odontologica,otras acciones,2014-07-01,26.0,45.0,26.0,45.0,71.0
TRINIDAD,atencion odontologica,otras acciones,2014-07-01,98.0,158.0,98.0,158.0,256.0
TUPIZA,atencion odontologica,otras acciones,2014-07-01,53.0,40.0,53.0,40.0,93.0
TURCO,atencion odontologica,otras acciones,2014-07-01,15.0,22.0,15.0,22.0,37.0
UMALA,atencion odontologica,otras acciones,2014-07-01,11.0,14.0,11.0,14.0,25.0
UNCIA,atencion odontologica,otras acciones,2014-07-01,34.0,45.0,34.0,45.0,79.0
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2014-07-01,92.0,217.0,92.0,217.0,309.0
URUBICHA,atencion odontologica,otras acciones,2014-07-01,10.0,13.0,10.0,13.0,23.0
UYUNI,atencion odontologica,otras acciones,2014-07-01,0.0,2.0,0.0,2.0,2.0
VACAS,atencion odontologica,otras acciones,2014-07-01,13.0,29.0,13.0,29.0,42.0
VALLEGRANDE,atencion odontologica,otras acciones,2014-07-01,1.0,8.0,1.0,8.0,9.0
VIACHA,atencion odontologica,otras acciones,2014-07-01,181.0,227.0,181.0,227.0,408.0
VILA VILA,atencion odontologica,otras acciones,2014-07-01,0.0,10.0,0.0,10.0,10.0
VILLA CHARCAS,atencion odontologica,otras acciones,2014-07-01,4.0,13.0,4.0,13.0,17.0
VILLA MONTES,atencion odontologica,otras acciones,2014-07-01,198.0,385.0,198.0,385.0,583.0
VILLA NUEVA (LOMA ALTA),atencion odontologica,otras acciones,2014-07-01,5.0,1.0,5.0,1.0,6.0
VILLA RIVERO,atencion odontologica,otras acciones,2014-07-01,2.0,6.0,2.0,6.0,8.0
VILLA SERRANO,atencion odontologica,otras acciones,2014-07-01,52.0,41.0,52.0,41.0,93.0
VILLA TUNARI,atencion odontologica,otras acciones,2014-07-01,56.0,100.0,56.0,100.0,156.0
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,otras acciones,2014-07-01,7.0,4.0,7.0,4.0,11.0
VINTO,atencion odontologica,otras acciones,2014-07-01,28.0,46.0,28.0,46.0,74.0
VITICHI,atencion odontologica,otras acciones,2014-07-01,43.0,70.0,43.0,70.0,113.0
WALDO BALLIVIAN,atencion odontologica,otras acciones,2014-07-01,2.0,4.0,2.0,4.0,6.0
WARNES,atencion odontologica,otras acciones,2014-07-01,36.0,68.0,36.0,68.0,104.0
YACO,atencion odontologica,otras acciones,2014-07-01,3.0,3.0,3.0,3.0,6.0
YACUIBA,atencion odontologica,otras acciones,2014-07-01,74.0,140.0,74.0,140.0,214.0
YAMPARAEZ,atencion odontologica,otras acciones,2014-07-01,31.0,104.0,31.0,104.0,135.0
YAPACANI,atencion odontologica,otras acciones,2014-07-01,27.0,31.0,27.0,31.0,58.0
YOCALLA,atencion odontologica,otras acciones,2014-07-01,39.0,43.0,39.0,43.0,82.0
YOTALA,atencion odontologica,otras acciones,2014-07-01,23.0,83.0,23.0,83.0,106.0
YUNCHARA,atencion odontologica,otras acciones,2014-07-01,6.0,48.0,6.0,48.0,54.0
ZUDAÑEZ,atencion odontologica,otras acciones,2014-07-01,29.0,50.0,29.0,50.0,79.0
ACHACACHI,atencion odontologica,otras acciones,2014-08-01,185.0,254.0,185.0,254.0,439.0
ACHOCALLA,atencion odontologica,otras acciones,2014-08-01,7.0,36.0,7.0,36.0,43.0
AIQUILE,atencion odontologica,otras acciones,2014-08-01,33.0,57.0,33.0,57.0,90.0
ALALAY,atencion odontologica,otras acciones,2014-08-01,1.0,3.0,1.0,3.0,4.0
ALCALA,atencion odontologica,otras acciones,2014-08-01,22.0,33.0,22.0,33.0,55.0
ALTO BENI,atencion odontologica,otras acciones,2014-08-01,2.0,4.0,2.0,4.0,6.0
ANCORAIMES,atencion odontologica,otras acciones,2014-08-01,3.0,2.0,3.0,2.0,5.0
ANDAMARCA,atencion odontologica,otras acciones,2014-08-01,26.0,40.0,26.0,40.0,66.0
ANTEQUERA,atencion odontologica,otras acciones,2014-08-01,16.0,19.0,16.0,19.0,35.0
ANZALDO,atencion odontologica,otras acciones,2014-08-01,5.0,5.0,5.0,5.0,10.0
APOLO,atencion odontologica,otras acciones,2014-08-01,4.0,11.0,4.0,11.0,15.0
ARAMPAMPA,atencion odontologica,otras acciones,2014-08-01,6.0,11.0,6.0,11.0,17.0
ARANI,atencion odontologica,otras acciones,2014-08-01,8.0,5.0,8.0,5.0,13.0
ARBIETO,atencion odontologica,otras acciones,2014-08-01,9.0,14.0,9.0,14.0,23.0
ARQUE,atencion odontologica,otras acciones,2014-08-01,7.0,9.0,7.0,9.0,16.0
ATOCHA,atencion odontologica,otras acciones,2014-08-01,203.0,258.0,203.0,258.0,461.0
AUCAPATA,atencion odontologica,otras acciones,2014-08-01,21.0,28.0,21.0,28.0,49.0
AYATA,atencion odontologica,otras acciones,2014-08-01,4.0,10.0,4.0,10.0,14.0
AYO AYO,atencion odontologica,otras acciones,2014-08-01,35.0,81.0,35.0,81.0,116.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2014-08-01,43.0,55.0,43.0,55.0,98.0
AZURDUY,atencion odontologica,otras acciones,2014-08-01,12.0,12.0,12.0,12.0,24.0
BATALLAS,atencion odontologica,otras acciones,2014-08-01,13.0,23.0,13.0,23.0,36.0
BAURES,atencion odontologica,otras acciones,2014-08-01,12.0,16.0,12.0,16.0,28.0
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2014-08-01,14.0,27.0,14.0,27.0,41.0
BELEN DE URMIRI,atencion odontologica,otras acciones,2014-08-01,8.0,4.0,8.0,4.0,12.0
BERMEJO,atencion odontologica,otras acciones,2014-08-01,98.0,223.0,98.0,223.0,321.0
BOLIVAR,atencion odontologica,otras acciones,2014-08-01,5.0,4.0,5.0,4.0,9.0
BOYUIBE,atencion odontologica,otras acciones,2014-08-01,1.0,1.0,1.0,1.0,2.0
BUENA VISTA,atencion odontologica,otras acciones,2014-08-01,12.0,13.0,12.0,13.0,25.0
CABEZAS,atencion odontologica,otras acciones,2014-08-01,58.0,64.0,58.0,64.0,122.0
CAIROMA,atencion odontologica,otras acciones,2014-08-01,5.0,5.0,5.0,5.0,10.0
"CAIZA ""D""",atencion odontologica,otras acciones,2014-08-01,33.0,39.0,33.0,39.0,72.0
CAJUATA,atencion odontologica,otras acciones,2014-08-01,1.0,11.0,1.0,11.0,12.0
CALACOTO,atencion odontologica,otras acciones,2014-08-01,6.0,5.0,6.0,5.0,11.0
CALAMARCA,atencion odontologica,otras acciones,2014-08-01,167.0,176.0,167.0,176.0,343.0
CAMARGO,atencion odontologica,otras acciones,2014-08-01,158.0,217.0,158.0,217.0,375.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2014-08-01,15.0,22.0,15.0,22.0,37.0
CAMIRI,atencion odontologica,otras acciones,2014-08-01,66.0,135.0,66.0,135.0,201.0
CAPINOTA,atencion odontologica,otras acciones,2014-08-01,13.0,35.0,13.0,35.0,48.0
CAQUIAVIRI,atencion odontologica,otras acciones,2014-08-01,11.0,22.0,11.0,22.0,33.0
CARACOLLO,atencion odontologica,otras acciones,2014-08-01,95.0,169.0,95.0,169.0,264.0
CARANAVI,atencion odontologica,otras acciones,2014-08-01,314.0,306.0,314.0,306.0,620.0
CARAPARI,atencion odontologica,otras acciones,2014-08-01,52.0,103.0,52.0,103.0,155.0
CARIPUYO,atencion odontologica,otras acciones,2014-08-01,40.0,84.0,40.0,84.0,124.0
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2014-08-01,15.0,20.0,15.0,20.0,35.0
CHALLAPATA,atencion odontologica,otras acciones,2014-08-01,118.0,139.0,118.0,139.0,257.0
CHAQUI,atencion odontologica,otras acciones,2014-08-01,11.0,20.0,11.0,20.0,31.0
CHARAGUA,atencion odontologica,otras acciones,2014-08-01,4.0,7.0,4.0,7.0,11.0
CHARAÑA,atencion odontologica,otras acciones,2014-08-01,0.0,2.0,0.0,2.0,2.0
CHAYANTA,atencion odontologica,otras acciones,2014-08-01,46.0,63.0,46.0,63.0,109.0
CHIMORE,atencion odontologica,otras acciones,2014-08-01,5.0,6.0,5.0,6.0,11.0
CHIPAYA,atencion odontologica,otras acciones,2014-08-01,3.0,17.0,3.0,17.0,20.0
CHOQUE COTA,atencion odontologica,otras acciones,2014-08-01,9.0,18.0,9.0,18.0,27.0
CHUA COCANI,atencion odontologica,otras acciones,2014-08-01,11.0,24.0,11.0,24.0,35.0
CHUMA,atencion odontologica,otras acciones,2014-08-01,8.0,13.0,8.0,13.0,21.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2014-08-01,21.0,56.0,21.0,56.0,77.0
CKOCHAS,atencion odontologica,otras acciones,2014-08-01,35.0,34.0,35.0,34.0,69.0
CLIZA,atencion odontologica,otras acciones,2014-08-01,159.0,91.0,159.0,91.0,250.0
COBIJA,atencion odontologica,otras acciones,2014-08-01,187.0,354.0,187.0,354.0,541.0
COCAPATA,atencion odontologica,otras acciones,2014-08-01,12.0,28.0,12.0,28.0,40.0
COCHABAMBA,atencion odontologica,otras acciones,2014-08-01,1658.0,2593.0,1658.0,2593.0,4251.0
COIPASA,atencion odontologica,otras acciones,2014-08-01,3.0,4.0,3.0,4.0,7.0
COLCAPIRHUA,atencion odontologica,otras acciones,2014-08-01,29.0,57.0,29.0,57.0,86.0
"COLCHA ""K""",atencion odontologica,otras acciones,2014-08-01,12.0,19.0,12.0,19.0,31.0
COLLANA,atencion odontologica,otras acciones,2014-08-01,14.0,21.0,14.0,21.0,35.0
COLOMI,atencion odontologica,otras acciones,2014-08-01,17.0,19.0,17.0,19.0,36.0
COLQUENCHA,atencion odontologica,otras acciones,2014-08-01,27.0,34.0,27.0,34.0,61.0
COLQUIRI,atencion odontologica,otras acciones,2014-08-01,66.0,99.0,66.0,99.0,165.0
COMANCHE,atencion odontologica,otras acciones,2014-08-01,4.0,11.0,4.0,11.0,15.0
COMARAPA,atencion odontologica,otras acciones,2014-08-01,2.0,2.0,2.0,2.0,4.0
CONCEPCION,atencion odontologica,otras acciones,2014-08-01,0.0,1.0,0.0,1.0,1.0
COPACABANA,atencion odontologica,otras acciones,2014-08-01,92.0,93.0,92.0,93.0,185.0
CORO CORO,atencion odontologica,otras acciones,2014-08-01,6.0,12.0,6.0,12.0,18.0
CORQUE,atencion odontologica,otras acciones,2014-08-01,8.0,14.0,8.0,14.0,22.0
COTAGAITA,atencion odontologica,otras acciones,2014-08-01,77.0,110.0,77.0,110.0,187.0
COTOCA,atencion odontologica,otras acciones,2014-08-01,0.0,4.0,0.0,4.0,4.0
CUATRO CAÑADAS,atencion odontologica,otras acciones,2014-08-01,75.0,101.0,75.0,101.0,176.0
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,otras acciones,2014-08-01,1.0,0.0,1.0,0.0,1.0
CUEVO,atencion odontologica,otras acciones,2014-08-01,15.0,75.0,15.0,75.0,90.0
CULPINA,atencion odontologica,otras acciones,2014-08-01,15.0,34.0,15.0,34.0,49.0
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2014-08-01,43.0,51.0,43.0,51.0,94.0
CURVA,atencion odontologica,otras acciones,2014-08-01,14.0,23.0,14.0,23.0,37.0
DESAGUADERO,atencion odontologica,otras acciones,2014-08-01,50.0,97.0,50.0,97.0,147.0
EL ALTO,atencion odontologica,otras acciones,2014-08-01,1695.0,2114.0,1695.0,2114.0,3809.0
EL CHORO,atencion odontologica,otras acciones,2014-08-01,9.0,24.0,9.0,24.0,33.0
EL PUENTE(STC),atencion odontologica,otras acciones,2014-08-01,33.0,22.0,33.0,22.0,55.0
EL PUENTE(TJA),atencion odontologica,otras acciones,2014-08-01,20.0,83.0,20.0,83.0,103.0
EL TORNO,atencion odontologica,otras acciones,2014-08-01,122.0,101.0,122.0,101.0,223.0
EL VILLAR,atencion odontologica,otras acciones,2014-08-01,17.0,19.0,17.0,19.0,36.0
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2014-08-01,72.0,131.0,72.0,131.0,203.0
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2014-08-01,67.0,131.0,67.0,131.0,198.0
EUCALIPTUS,atencion odontologica,otras acciones,2014-08-01,82.0,104.0,82.0,104.0,186.0
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2014-08-01,20.0,155.0,20.0,155.0,175.0
FILADELFIA,atencion odontologica,otras acciones,2014-08-01,5.0,2.0,5.0,2.0,7.0
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2014-08-01,2.0,2.0,2.0,2.0,4.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2014-08-01,20.0,16.0,20.0,16.0,36.0
GUAQUI,atencion odontologica,otras acciones,2014-08-01,36.0,56.0,36.0,56.0,92.0
GUAYARAMERIN,atencion odontologica,otras acciones,2014-08-01,31.0,73.0,31.0,73.0,104.0
GUTIERREZ,atencion odontologica,otras acciones,2014-08-01,17.0,16.0,17.0,16.0,33.0
HUACARETA,atencion odontologica,otras acciones,2014-08-01,26.0,84.0,26.0,84.0,110.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2014-08-01,13.0,16.0,13.0,16.0,29.0
HUACHACALLA,atencion odontologica,otras acciones,2014-08-01,12.0,16.0,12.0,16.0,28.0
HUANUNI,atencion odontologica,otras acciones,2014-08-01,104.0,149.0,104.0,149.0,253.0
HUATAJATA,atencion odontologica,otras acciones,2014-08-01,15.0,25.0,15.0,25.0,40.0
HUAYLLAMARCA,atencion odontologica,otras acciones,2014-08-01,58.0,91.0,58.0,91.0,149.0
HUMANATA,atencion odontologica,otras acciones,2014-08-01,12.0,15.0,12.0,15.0,27.0
ICHOCA,atencion odontologica,otras acciones,2014-08-01,6.0,8.0,6.0,8.0,14.0
ICLA,atencion odontologica,otras acciones,2014-08-01,15.0,49.0,15.0,49.0,64.0
INCAHUASI,atencion odontologica,otras acciones,2014-08-01,49.0,145.0,49.0,145.0,194.0
INGAVI (HUMAITA),atencion odontologica,otras acciones,2014-08-01,2.0,8.0,2.0,8.0,10.0
INQUISIVI,atencion odontologica,otras acciones,2014-08-01,4.0,6.0,4.0,6.0,10.0
IXIAMAS,atencion odontologica,otras acciones,2014-08-01,23.0,25.0,23.0,25.0,48.0
JESUS DE MACHACA,atencion odontologica,otras acciones,2014-08-01,17.0,23.0,17.0,23.0,40.0
LA GUARDIA,atencion odontologica,otras acciones,2014-08-01,17.0,31.0,17.0,31.0,48.0
LA PAZ,atencion odontologica,otras acciones,2014-08-01,1600.0,2375.0,1600.0,2375.0,3975.0
LAJA,atencion odontologica,otras acciones,2014-08-01,22.0,17.0,22.0,17.0,39.0
LAS CARRERAS,atencion odontologica,otras acciones,2014-08-01,3.0,0.0,3.0,0.0,3.0
LICOMA PAMPA,atencion odontologica,otras acciones,2014-08-01,10.0,14.0,10.0,14.0,24.0
LLALLAGUA,atencion odontologica,otras acciones,2014-08-01,33.0,52.0,33.0,52.0,85.0
LLICA,atencion odontologica,otras acciones,2014-08-01,25.0,43.0,25.0,43.0,68.0
LURIBAY,atencion odontologica,otras acciones,2014-08-01,0.0,1.0,0.0,1.0,1.0
MACHACAMARCA,atencion odontologica,otras acciones,2014-08-01,13.0,28.0,13.0,28.0,41.0
MACHARETI,atencion odontologica,otras acciones,2014-08-01,27.0,57.0,27.0,57.0,84.0
MAGDALENA,atencion odontologica,otras acciones,2014-08-01,9.0,16.0,9.0,16.0,25.0
MAIRANA,atencion odontologica,otras acciones,2014-08-01,4.0,9.0,4.0,9.0,13.0
MAPIRI,atencion odontologica,otras acciones,2014-08-01,7.0,6.0,7.0,6.0,13.0
MECAPACA,atencion odontologica,otras acciones,2014-08-01,22.0,23.0,22.0,23.0,45.0
MINEROS,atencion odontologica,otras acciones,2014-08-01,31.0,59.0,31.0,59.0,90.0
MIZQUE,atencion odontologica,otras acciones,2014-08-01,33.0,63.0,33.0,63.0,96.0
MOCOMOCO,atencion odontologica,otras acciones,2014-08-01,11.0,13.0,11.0,13.0,24.0
MOJOCOYA,atencion odontologica,otras acciones,2014-08-01,10.0,10.0,10.0,10.0,20.0
MONTEAGUDO,atencion odontologica,otras acciones,2014-08-01,117.0,164.0,117.0,164.0,281.0
MONTERO,atencion odontologica,otras acciones,2014-08-01,14.0,14.0,14.0,14.0,28.0
MORO MORO,atencion odontologica,otras acciones,2014-08-01,0.0,3.0,0.0,3.0,3.0
MOROCHATA,atencion odontologica,otras acciones,2014-08-01,33.0,70.0,33.0,70.0,103.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2014-08-01,12.0,7.0,12.0,7.0,19.0
OCURI,atencion odontologica,otras acciones,2014-08-01,15.0,28.0,15.0,28.0,43.0
OMEREQUE,atencion odontologica,otras acciones,2014-08-01,11.0,22.0,11.0,22.0,33.0
ORURO,atencion odontologica,otras acciones,2014-08-01,961.0,1548.0,961.0,1548.0,2509.0
PADCAYA,atencion odontologica,otras acciones,2014-08-01,79.0,200.0,79.0,200.0,279.0
PADILLA,atencion odontologica,otras acciones,2014-08-01,15.0,23.0,15.0,23.0,38.0
PAILON,atencion odontologica,otras acciones,2014-08-01,23.0,22.0,23.0,22.0,45.0
PALCA,atencion odontologica,otras acciones,2014-08-01,8.0,20.0,8.0,20.0,28.0
PALOS BLANCOS,atencion odontologica,otras acciones,2014-08-01,13.0,16.0,13.0,16.0,29.0
PAMPA AULLAGAS,atencion odontologica,otras acciones,2014-08-01,39.0,38.0,39.0,38.0,77.0
PAMPA GRANDE,atencion odontologica,otras acciones,2014-08-01,6.0,12.0,6.0,12.0,18.0
PAPEL PAMPA,atencion odontologica,otras acciones,2014-08-01,25.0,26.0,25.0,26.0,51.0
PASORAPA,atencion odontologica,otras acciones,2014-08-01,4.0,3.0,4.0,3.0,7.0
PATACAMAYA,atencion odontologica,otras acciones,2014-08-01,89.0,125.0,89.0,125.0,214.0
PAZÑA,atencion odontologica,otras acciones,2014-08-01,46.0,70.0,46.0,70.0,116.0
PELECHUCO,atencion odontologica,otras acciones,2014-08-01,6.0,7.0,6.0,7.0,13.0
POCONA,atencion odontologica,otras acciones,2014-08-01,31.0,52.0,31.0,52.0,83.0
POJO (CBBA),atencion odontologica,otras acciones,2014-08-01,34.0,30.0,34.0,30.0,64.0
POOPO,atencion odontologica,otras acciones,2014-08-01,39.0,47.0,39.0,47.0,86.0
PORCO,atencion odontologica,otras acciones,2014-08-01,45.0,49.0,45.0,49.0,94.0
POROMA,atencion odontologica,otras acciones,2014-08-01,36.0,52.0,36.0,52.0,88.0
PORTACHUELO,atencion odontologica,otras acciones,2014-08-01,19.0,34.0,19.0,34.0,53.0
PORVENIR,atencion odontologica,otras acciones,2014-08-01,76.0,0.0,76.0,0.0,76.0
POSTRER VALLE,atencion odontologica,otras acciones,2014-08-01,10.0,5.0,10.0,5.0,15.0
POTOSI,atencion odontologica,otras acciones,2014-08-01,662.0,1090.0,662.0,1090.0,1752.0
PRESTO,atencion odontologica,otras acciones,2014-08-01,15.0,35.0,15.0,35.0,50.0
PUCARA,atencion odontologica,otras acciones,2014-08-01,5.0,4.0,5.0,4.0,9.0
PUCARANI,atencion odontologica,otras acciones,2014-08-01,37.0,65.0,37.0,65.0,102.0
PUERTO ACOSTA,atencion odontologica,otras acciones,2014-08-01,3.0,7.0,3.0,7.0,10.0
PUERTO CARABUCO,atencion odontologica,otras acciones,2014-08-01,23.0,30.0,23.0,30.0,53.0
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2014-08-01,4.0,0.0,4.0,0.0,4.0
PUERTO QUIJARRO,atencion odontologica,otras acciones,2014-08-01,16.0,33.0,16.0,33.0,49.0
PUERTO RICO,atencion odontologica,otras acciones,2014-08-01,9.0,12.0,9.0,12.0,21.0
PUERTO SUAREZ,atencion odontologica,otras acciones,2014-08-01,13.0,41.0,13.0,41.0,54.0
PUERTO VILLARROEL,atencion odontologica,otras acciones,2014-08-01,49.0,115.0,49.0,115.0,164.0
PUNA,atencion odontologica,otras acciones,2014-08-01,88.0,192.0,88.0,192.0,280.0
PUNATA,atencion odontologica,otras acciones,2014-08-01,68.0,120.0,68.0,120.0,188.0
QUIABAYA,atencion odontologica,otras acciones,2014-08-01,3.0,4.0,3.0,4.0,7.0
QUILLACOLLO,atencion odontologica,otras acciones,2014-08-01,291.0,355.0,291.0,355.0,646.0
QUIME,atencion odontologica,otras acciones,2014-08-01,57.0,26.0,57.0,26.0,83.0
QUIRUSILLAS,atencion odontologica,otras acciones,2014-08-01,44.0,50.0,44.0,50.0,94.0
REYES,atencion odontologica,otras acciones,2014-08-01,35.0,48.0,35.0,48.0,83.0
RIBERALTA,atencion odontologica,otras acciones,2014-08-01,11.0,44.0,11.0,44.0,55.0
RURRENABAQUE,atencion odontologica,otras acciones,2014-08-01,14.0,26.0,14.0,26.0,40.0
SABAYA,atencion odontologica,otras acciones,2014-08-01,32.0,24.0,32.0,24.0,56.0
SACABA,atencion odontologica,otras acciones,2014-08-01,296.0,447.0,296.0,447.0,743.0
SACABAMBA,atencion odontologica,otras acciones,2014-08-01,6.0,5.0,6.0,5.0,11.0
SACACA,atencion odontologica,otras acciones,2014-08-01,4.0,7.0,4.0,7.0,11.0
SAIPINA,atencion odontologica,otras acciones,2014-08-01,21.0,21.0,21.0,21.0,42.0
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2014-08-01,94.0,127.0,94.0,127.0,221.0
SAMAIPATA,atencion odontologica,otras acciones,2014-08-01,15.0,28.0,15.0,28.0,43.0
SAN AGUSTIN,atencion odontologica,otras acciones,2014-08-01,6.0,19.0,6.0,19.0,25.0
SAN ANDRES,atencion odontologica,otras acciones,2014-08-01,6.0,11.0,6.0,11.0,17.0
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2014-08-01,12.0,22.0,12.0,22.0,34.0
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2014-08-01,4.0,22.0,4.0,22.0,26.0
SAN BENITO,atencion odontologica,otras acciones,2014-08-01,41.0,41.0,41.0,41.0,82.0
SAN BORJA,atencion odontologica,otras acciones,2014-08-01,20.0,25.0,20.0,25.0,45.0
SAN CARLOS,atencion odontologica,otras acciones,2014-08-01,9.0,12.0,9.0,12.0,21.0
SAN IGNACIO,atencion odontologica,otras acciones,2014-08-01,11.0,10.0,11.0,10.0,21.0
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2014-08-01,33.0,48.0,33.0,48.0,81.0
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2014-08-01,7.0,21.0,7.0,21.0,28.0
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2014-08-01,1.0,2.0,1.0,2.0,3.0
SAN LORENZO(PND),atencion odontologica,otras acciones,2014-08-01,1.0,2.0,1.0,2.0,3.0
SAN LORENZO(TJA),atencion odontologica,otras acciones,2014-08-01,164.0,356.0,164.0,356.0,520.0
SAN LUCAS,atencion odontologica,otras acciones,2014-08-01,40.0,53.0,40.0,53.0,93.0
SAN MATIAS,atencion odontologica,otras acciones,2014-08-01,8.0,5.0,8.0,5.0,13.0
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2014-08-01,35.0,77.0,35.0,77.0,112.0
SAN PABLO DE LIPEZ,atencion odontologica,otras acciones,2014-08-01,10.0,8.0,10.0,8.0,18.0
SAN PEDRO,atencion odontologica,otras acciones,2014-08-01,25.0,42.0,25.0,42.0,67.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2014-08-01,38.0,84.0,38.0,84.0,122.0
SAN PEDRO DE QUEMES,atencion odontologica,otras acciones,2014-08-01,2.0,7.0,2.0,7.0,9.0
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2014-08-01,26.0,34.0,26.0,34.0,60.0
SAN RAFAEL,atencion odontologica,otras acciones,2014-08-01,4.0,7.0,4.0,7.0,11.0
SANTA ANA,atencion odontologica,otras acciones,2014-08-01,19.0,25.0,19.0,25.0,44.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2014-08-01,846.0,1330.0,846.0,1330.0,2176.0
SANTA ROSA,atencion odontologica,otras acciones,2014-08-01,1.0,1.0,1.0,1.0,2.0
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2014-08-01,1.0,4.0,1.0,4.0,5.0
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2014-08-01,3.0,4.0,3.0,4.0,7.0
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2014-08-01,86.0,41.0,86.0,41.0,127.0
SANTIAGO DE HUATA,atencion odontologica,otras acciones,2014-08-01,11.0,20.0,11.0,20.0,31.0
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2014-08-01,1.0,2.0,1.0,2.0,3.0
SANTIVAÑES,atencion odontologica,otras acciones,2014-08-01,6.0,11.0,6.0,11.0,17.0
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2014-08-01,21.0,68.0,21.0,68.0,89.0
SAPAHAQUI,atencion odontologica,otras acciones,2014-08-01,40.0,42.0,40.0,42.0,82.0
SENA,atencion odontologica,otras acciones,2014-08-01,2.0,5.0,2.0,5.0,7.0
SHINAOTA,atencion odontologica,otras acciones,2014-08-01,24.0,15.0,24.0,15.0,39.0
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2014-08-01,3.0,3.0,3.0,3.0,6.0
SICAYA,atencion odontologica,otras acciones,2014-08-01,3.0,24.0,3.0,24.0,27.0
SIPE SIPE,atencion odontologica,otras acciones,2014-08-01,5.0,8.0,5.0,8.0,13.0
SOPACHUY,atencion odontologica,otras acciones,2014-08-01,544.0,548.0,544.0,548.0,1092.0
