,group,variable,month,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
TOCO,atencion odontologica, endodoncias,2014-09-01,4,2,4,2,6
TOLATA,atencion odontologica, endodoncias,2014-09-01,5,3,5,3,8
TOMAVE,atencion odontologica, endodoncias,2014-09-01,1,4,1,4,5
TOMINA,atencion odontologica, endodoncias,2014-09-01,4,11,4,11,15
TORO TORO,atencion odontologica, endodoncias,2014-09-01,2,10,2,10,12
TOTORA(CBBA),atencion odontologica, endodoncias,2014-09-01,4,5,4,5,9
TOTORA(ORR),atencion odontologica, endodoncias,2014-09-01,0,4,0,4,4
TRINIDAD,atencion odontologica, endodoncias,2014-09-01,76,58,76,58,134
TUPIZA,atencion odontologica, endodoncias,2014-09-01,111,184,111,184,295
TURCO,atencion odontologica, endodoncias,2014-09-01,0,1,0,1,1
UMALA,atencion odontologica, endodoncias,2014-09-01,0,2,0,2,2
UNCIA,atencion odontologica, endodoncias,2014-09-01,21,17,21,17,38
URIONDO (A. CONCEPCION),atencion odontologica, endodoncias,2014-09-01,33,39,33,39,72
URUBICHA,atencion odontologica, endodoncias,2014-09-01,3,5,3,5,8
UYUNI,atencion odontologica, endodoncias,2014-09-01,4,10,4,10,14
VACAS,atencion odontologica, endodoncias,2014-09-01,7,10,7,10,17
VALLEGRANDE,atencion odontologica, endodoncias,2014-09-01,45,49,45,49,94
VIACHA,atencion odontologica, endodoncias,2014-09-01,47,56,47,56,103
VILLA CHARCAS,atencion odontologica, endodoncias,2014-09-01,1,5,1,5,6
VILLA MONTES,atencion odontologica, endodoncias,2014-09-01,43,80,43,80,123
VILLA RIVERO,atencion odontologica, endodoncias,2014-09-01,6,7,6,7,13
VILLA SERRANO,atencion odontologica, endodoncias,2014-09-01,9,2,9,2,11
VILLA TUNARI,atencion odontologica, endodoncias,2014-09-01,16,52,16,52,68
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, endodoncias,2014-09-01,5,1,5,1,6
VILLAZON,atencion odontologica, endodoncias,2014-09-01,85,108,85,108,193
VINTO,atencion odontologica, endodoncias,2014-09-01,24,26,24,26,50
VITICHI,atencion odontologica, endodoncias,2014-09-01,9,11,9,11,20
WARNES,atencion odontologica, endodoncias,2014-09-01,1,2,1,2,3
YACUIBA,atencion odontologica, endodoncias,2014-09-01,91,111,91,111,202
YAMPARAEZ,atencion odontologica, endodoncias,2014-09-01,5,4,5,4,9
YANACACHI,atencion odontologica, endodoncias,2014-09-01,0,2,0,2,2
YAPACANI,atencion odontologica, endodoncias,2014-09-01,13,47,13,47,60
YOCALLA,atencion odontologica, endodoncias,2014-09-01,0,3,0,3,3
YOTALA,atencion odontologica, endodoncias,2014-09-01,1,5,1,5,6
YUNCHARA,atencion odontologica, endodoncias,2014-09-01,6,15,6,15,21
ZUDAÑEZ,atencion odontologica, endodoncias,2014-09-01,0,3,0,3,3
ACACIO,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
ACHACACHI,atencion odontologica, endodoncias,2014-10-01,33,35,33,35,68
ACHOCALLA,atencion odontologica, endodoncias,2014-10-01,23,4,23,4,27
AIQUILE,atencion odontologica, endodoncias,2014-10-01,8,5,8,5,13
ALCALA,atencion odontologica, endodoncias,2014-10-01,2,6,2,6,8
ALTO BENI,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, endodoncias,2014-10-01,0,4,0,4,4
ANTEQUERA,atencion odontologica, endodoncias,2014-10-01,7,1,7,1,8
ANZALDO,atencion odontologica, endodoncias,2014-10-01,1,11,1,11,12
APOLO,atencion odontologica, endodoncias,2014-10-01,0,4,0,4,4
ARAMPAMPA,atencion odontologica, endodoncias,2014-10-01,0,5,0,5,5
ARANI,atencion odontologica, endodoncias,2014-10-01,19,13,19,13,32
ARBIETO,atencion odontologica, endodoncias,2014-10-01,4,3,4,3,7
ARQUE,atencion odontologica, endodoncias,2014-10-01,2,9,2,9,11
ASCENCION DE GUARAYOS,atencion odontologica, endodoncias,2014-10-01,8,5,8,5,13
ATOCHA,atencion odontologica, endodoncias,2014-10-01,45,39,45,39,84
AUCAPATA,atencion odontologica, endodoncias,2014-10-01,2,6,2,6,8
AYATA,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
AYO AYO,atencion odontologica, endodoncias,2014-10-01,2,6,2,6,8
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-10-01,17,38,17,38,55
AZURDUY,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
BATALLAS,atencion odontologica, endodoncias,2014-10-01,5,5,5,5,10
BAURES,atencion odontologica, endodoncias,2014-10-01,6,1,6,1,7
BELEN DE ANDAMARCA,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
BELEN DE URMIRI,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
BERMEJO,atencion odontologica, endodoncias,2014-10-01,22,26,22,26,48
BETANZOS,atencion odontologica, endodoncias,2014-10-01,17,26,17,26,43
BOLIVAR,atencion odontologica, endodoncias,2014-10-01,3,0,3,0,3
BUENA VISTA,atencion odontologica, endodoncias,2014-10-01,2,2,2,2,4
CAIROMA,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
CAJUATA,atencion odontologica, endodoncias,2014-10-01,2,1,2,1,3
CALAMARCA,atencion odontologica, endodoncias,2014-10-01,6,12,6,12,18
CAMARGO,atencion odontologica, endodoncias,2014-10-01,13,10,13,10,23
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-10-01,1,4,1,4,5
CAMIRI,atencion odontologica, endodoncias,2014-10-01,12,16,12,16,28
CAPINOTA,atencion odontologica, endodoncias,2014-10-01,20,5,20,5,25
CARACOLLO,atencion odontologica, endodoncias,2014-10-01,17,25,17,25,42
CARANAVI,atencion odontologica, endodoncias,2014-10-01,12,9,12,9,21
CARAPARI,atencion odontologica, endodoncias,2014-10-01,16,32,16,32,48
CARIPUYO,atencion odontologica, endodoncias,2014-10-01,1,4,1,4,5
CARMEN RIVERO TORREZ,atencion odontologica, endodoncias,2014-10-01,2,2,2,2,4
CHALLAPATA,atencion odontologica, endodoncias,2014-10-01,16,25,16,25,41
CHAQUI,atencion odontologica, endodoncias,2014-10-01,0,5,0,5,5
CHARAGUA,atencion odontologica, endodoncias,2014-10-01,4,12,4,12,16
CHAYANTA,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
CHIMORE,atencion odontologica, endodoncias,2014-10-01,4,7,4,7,11
CHIPAYA,atencion odontologica, endodoncias,2014-10-01,1,3,1,3,4
CHOQUE COTA,atencion odontologica, endodoncias,2014-10-01,3,0,3,0,3
CHUA COCANI,atencion odontologica, endodoncias,2014-10-01,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, endodoncias,2014-10-01,9,16,9,16,25
CHUMA,atencion odontologica, endodoncias,2014-10-01,25,13,25,13,38
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
CKOCHAS,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
CLIZA,atencion odontologica, endodoncias,2014-10-01,11,14,11,14,25
COBIJA,atencion odontologica, endodoncias,2014-10-01,9,19,9,19,28
COCAPATA,atencion odontologica, endodoncias,2014-10-01,1,1,1,1,2
COCHABAMBA,atencion odontologica, endodoncias,2014-10-01,662,837,662,837,1499
COIPASA,atencion odontologica, endodoncias,2014-10-01,1,1,1,1,2
COLCAPIRHUA,atencion odontologica, endodoncias,2014-10-01,15,7,15,7,22
"COLCHA ""K""",atencion odontologica, endodoncias,2014-10-01,3,5,3,5,8
COLLANA,atencion odontologica, endodoncias,2014-10-01,8,5,8,5,13
COLOMI,atencion odontologica, endodoncias,2014-10-01,7,9,7,9,16
COLPA BELGICA,atencion odontologica, endodoncias,2014-10-01,2,0,2,0,2
COLQUECHACA,atencion odontologica, endodoncias,2014-10-01,13,23,13,23,36
COLQUENCHA,atencion odontologica, endodoncias,2014-10-01,0,3,0,3,3
COLQUIRI,atencion odontologica, endodoncias,2014-10-01,5,9,5,9,14
COMARAPA,atencion odontologica, endodoncias,2014-10-01,1,4,1,4,5
CORIPATA,atencion odontologica, endodoncias,2014-10-01,2,3,2,3,5
COROICO,atencion odontologica, endodoncias,2014-10-01,20,37,20,37,57
CORQUE,atencion odontologica, endodoncias,2014-10-01,2,5,2,5,7
COTAGAITA,atencion odontologica, endodoncias,2014-10-01,7,5,7,5,12
COTOCA,atencion odontologica, endodoncias,2014-10-01,1,1,1,1,2
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-10-01,14,13,14,13,27
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, endodoncias,2014-10-01,0,2,0,2,2
CUEVO,atencion odontologica, endodoncias,2014-10-01,1,7,1,7,8
CULPINA,atencion odontologica, endodoncias,2014-10-01,9,20,9,20,29
CURAHUARA DE CARANGAS,atencion odontologica, endodoncias,2014-10-01,2,0,2,0,2
DESAGUADERO,atencion odontologica, endodoncias,2014-10-01,6,14,6,14,20
EL ALTO,atencion odontologica, endodoncias,2014-10-01,472,611,472,611,1083
EL CHORO,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
EL PUENTE(STC),atencion odontologica, endodoncias,2014-10-01,1,4,1,4,5
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-10-01,8,18,8,18,26
EL TORNO,atencion odontologica, endodoncias,2014-10-01,29,50,29,50,79
EL VILLAR,atencion odontologica, endodoncias,2014-10-01,3,6,3,6,9
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-10-01,7,19,7,19,26
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-10-01,4,1,4,1,5
ESCOMA,atencion odontologica, endodoncias,2014-10-01,6,5,6,5,11
EUCALIPTUS,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-10-01,1,3,1,3,4
FILADELFIA,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-10-01,0,8,0,8,8
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-10-01,4,2,4,2,6
GUANAY,atencion odontologica, endodoncias,2014-10-01,4,7,4,7,11
GUAQUI,atencion odontologica, endodoncias,2014-10-01,6,19,6,19,25
GUAYARAMERIN,atencion odontologica, endodoncias,2014-10-01,16,28,16,28,44
HUACARETA,atencion odontologica, endodoncias,2014-10-01,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-10-01,0,3,0,3,3
HUANUNI,atencion odontologica, endodoncias,2014-10-01,40,8,40,8,48
HUATAJATA,atencion odontologica, endodoncias,2014-10-01,1,10,1,10,11
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-10-01,5,4,5,4,9
HUMANATA,atencion odontologica, endodoncias,2014-10-01,28,20,28,20,48
ICHOCA,atencion odontologica, endodoncias,2014-10-01,1,0,1,0,1
ICLA,atencion odontologica, endodoncias,2014-10-01,5,9,5,9,14
INCAHUASI,atencion odontologica, endodoncias,2014-10-01,9,18,9,18,27
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-10-01,7,1,7,1,8
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
LA ASUNTA,atencion odontologica, endodoncias,2014-10-01,14,20,14,20,34
LA GUARDIA,atencion odontologica, endodoncias,2014-10-01,17,14,17,14,31
LA PAZ,atencion odontologica, endodoncias,2014-10-01,722,1540,722,1540,2262
LAGUNILLAS,atencion odontologica, endodoncias,2014-10-01,5,6,5,6,11
LAS CARRERAS,atencion odontologica, endodoncias,2014-10-01,2,5,2,5,7
LICOMA PAMPA,atencion odontologica, endodoncias,2014-10-01,1,4,1,4,5
LLALLAGUA,atencion odontologica, endodoncias,2014-10-01,25,39,25,39,64
LURIBAY,atencion odontologica, endodoncias,2014-10-01,4,5,4,5,9
MACHACAMARCA,atencion odontologica, endodoncias,2014-10-01,1,0,1,0,1
MACHARETI,atencion odontologica, endodoncias,2014-10-01,1,7,1,7,8
MAGDALENA,atencion odontologica, endodoncias,2014-10-01,4,11,4,11,15
MAIRANA,atencion odontologica, endodoncias,2014-10-01,2,2,2,2,4
MAPIRI,atencion odontologica, endodoncias,2014-10-01,5,11,5,11,16
MECAPACA,atencion odontologica, endodoncias,2014-10-01,8,11,8,11,19
MINEROS,atencion odontologica, endodoncias,2014-10-01,2,2,2,2,4
MIZQUE,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
MOCOMOCO,atencion odontologica, endodoncias,2014-10-01,3,6,3,6,9
MOJOCOYA,atencion odontologica, endodoncias,2014-10-01,10,16,10,16,26
MONTEAGUDO,atencion odontologica, endodoncias,2014-10-01,20,31,20,31,51
MONTERO,atencion odontologica, endodoncias,2014-10-01,1,8,1,8,9
MOROCHATA,atencion odontologica, endodoncias,2014-10-01,4,18,4,18,22
OCURI,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
OKINAWA,atencion odontologica, endodoncias,2014-10-01,3,3,3,3,6
OMEREQUE,atencion odontologica, endodoncias,2014-10-01,0,2,0,2,2
ORURO,atencion odontologica, endodoncias,2014-10-01,213,331,213,331,544
PADCAYA,atencion odontologica, endodoncias,2014-10-01,12,19,12,19,31
PADILLA,atencion odontologica, endodoncias,2014-10-01,9,7,9,7,16
PAILON,atencion odontologica, endodoncias,2014-10-01,4,6,4,6,10
PALCA,atencion odontologica, endodoncias,2014-10-01,2,4,2,4,6
PALOS BLANCOS,atencion odontologica, endodoncias,2014-10-01,14,16,14,16,30
PAMPA GRANDE,atencion odontologica, endodoncias,2014-10-01,3,6,3,6,9
PAPEL PAMPA,atencion odontologica, endodoncias,2014-10-01,5,8,5,8,13
PASORAPA,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
PATACAMAYA,atencion odontologica, endodoncias,2014-10-01,22,6,22,6,28
PAZÑA,atencion odontologica, endodoncias,2014-10-01,2,1,2,1,3
PELECHUCO,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
POCOATA,atencion odontologica, endodoncias,2014-10-01,0,2,0,2,2
POCONA,atencion odontologica, endodoncias,2014-10-01,0,3,0,3,3
POJO (CBBA),atencion odontologica, endodoncias,2014-10-01,4,12,4,12,16
POOPO,atencion odontologica, endodoncias,2014-10-01,3,4,3,4,7
PORCO,atencion odontologica, endodoncias,2014-10-01,6,8,6,8,14
POROMA,atencion odontologica, endodoncias,2014-10-01,0,5,0,5,5
PORTACHUELO,atencion odontologica, endodoncias,2014-10-01,1,1,1,1,2
PORVENIR,atencion odontologica, endodoncias,2014-10-01,7,3,7,3,10
POTOSI,atencion odontologica, endodoncias,2014-10-01,137,198,137,198,335
PRESTO,atencion odontologica, endodoncias,2014-10-01,10,21,10,21,31
PUCARANI,atencion odontologica, endodoncias,2014-10-01,4,8,4,8,12
PUERTO ACOSTA,atencion odontologica, endodoncias,2014-10-01,6,7,6,7,13
PUERTO CARABUCO,atencion odontologica, endodoncias,2014-10-01,13,17,13,17,30
PUERTO GONZALO MORENO,atencion odontologica, endodoncias,2014-10-01,0,2,0,2,2
PUERTO PEREZ,atencion odontologica, endodoncias,2014-10-01,5,16,5,16,21
PUERTO QUIJARRO,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
PUERTO RICO,atencion odontologica, endodoncias,2014-10-01,2,4,2,4,6
PUERTO VILLARROEL,atencion odontologica, endodoncias,2014-10-01,28,71,28,71,99
PUNA,atencion odontologica, endodoncias,2014-10-01,2,7,2,7,9
PUNATA,atencion odontologica, endodoncias,2014-10-01,28,60,28,60,88
QUIABAYA,atencion odontologica, endodoncias,2014-10-01,2,3,2,3,5
QUILLACOLLO,atencion odontologica, endodoncias,2014-10-01,152,142,152,142,294
QUIME,atencion odontologica, endodoncias,2014-10-01,4,5,4,5,9
QUIRUSILLAS,atencion odontologica, endodoncias,2014-10-01,1,1,1,1,2
RAVELO,atencion odontologica, endodoncias,2014-10-01,7,15,7,15,22
REYES,atencion odontologica, endodoncias,2014-10-01,5,17,5,17,22
RIBERALTA,atencion odontologica, endodoncias,2014-10-01,27,44,27,44,71
SABAYA,atencion odontologica, endodoncias,2014-10-01,6,4,6,4,10
SACABA,atencion odontologica, endodoncias,2014-10-01,111,155,111,155,266
SACABAMBA,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
SACACA,atencion odontologica, endodoncias,2014-10-01,3,2,3,2,5
SAIPINA,atencion odontologica, endodoncias,2014-10-01,6,2,6,2,8
SALINAS DE GARCI MENDOZA,atencion odontologica, endodoncias,2014-10-01,20,15,20,15,35
SAMAIPATA,atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
SAN ANDRES,atencion odontologica, endodoncias,2014-10-01,1,3,1,3,4
SAN ANDRES DE MACHACA,atencion odontologica, endodoncias,2014-10-01,5,10,5,10,15
SAN ANTONIO DE LOMERIO,atencion odontologica, endodoncias,2014-10-01,4,15,4,15,19
SAN BENITO,atencion odontologica, endodoncias,2014-10-01,5,3,5,3,8
SAN BORJA,atencion odontologica, endodoncias,2014-10-01,6,8,6,8,14
SAN BUENA VENTURA,atencion odontologica, endodoncias,2014-10-01,5,2,5,2,7
SAN CARLOS,atencion odontologica, endodoncias,2014-10-01,8,48,8,48,56
SAN IGNACIO,atencion odontologica, endodoncias,2014-10-01,12,12,12,12,24
SAN IGNACIO DE VELASCO,atencion odontologica, endodoncias,2014-10-01,12,12,12,12,24
SAN JAVIER(BNI),atencion odontologica, endodoncias,2014-10-01,2,10,2,10,12
SAN JULIAN,atencion odontologica, endodoncias,2014-10-01,11,17,11,17,28
SAN LORENZO(PND),atencion odontologica, endodoncias,2014-10-01,1,2,1,2,3
SAN LORENZO(TJA),atencion odontologica, endodoncias,2014-10-01,30,62,30,62,92
SAN LUCAS,atencion odontologica, endodoncias,2014-10-01,9,33,9,33,42
SAN MIGUEL DE VELASCO,atencion odontologica, endodoncias,2014-10-01,1,7,1,7,8
SAN PABLO DE LIPEZ,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
SAN PEDRO,atencion odontologica, endodoncias,2014-10-01,1,6,1,6,7
SAN PEDRO DE BUENA VISTA,atencion odontologica, endodoncias,2014-10-01,5,4,5,4,9
SAN PEDRO DE CURAHUARA,atencion odontologica, endodoncias,2014-10-01,6,4,6,4,10
SAN PEDRO DE QUEMES,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica, endodoncias,2014-10-01,4,0,4,0,4
SAN RAFAEL,atencion odontologica, endodoncias,2014-10-01,3,4,3,4,7
SAN RAMON BENI,atencion odontologica, endodoncias,2014-10-01,0,6,0,6,6
SAN RAMON SCZ,atencion odontologica, endodoncias,2014-10-01,6,4,6,4,10
SANTA ANA,atencion odontologica, endodoncias,2014-10-01,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,atencion odontologica, endodoncias,2014-10-01,388,629,388,629,1017
SANTA ROSA DEL SARA,atencion odontologica, endodoncias,2014-10-01,10,47,10,47,57
SANTIAGO DE HUARI,atencion odontologica, endodoncias,2014-10-01,2,10,2,10,12
SANTIAGO DE HUATA,atencion odontologica, endodoncias,2014-10-01,11,10,11,10,21
SANTIAGO DE MACHACA,atencion odontologica, endodoncias,2014-10-01,1,0,1,0,1
SANTIVAÑES,atencion odontologica, endodoncias,2014-10-01,1,1,1,1,2
SANTUARIO DE QUILLACAS,atencion odontologica, endodoncias,2014-10-01,3,12,3,12,15
SAPAHAQUI,atencion odontologica, endodoncias,2014-10-01,1,7,1,7,8
SENA,atencion odontologica, endodoncias,2014-10-01,2,5,2,5,7
SHINAOTA,atencion odontologica, endodoncias,2014-10-01,2,13,2,13,15
SIPE SIPE,atencion odontologica, endodoncias,2014-10-01,23,49,23,49,72
SOPACHUY,atencion odontologica, endodoncias,2014-10-01,14,28,14,28,42
SORACACHI,atencion odontologica, endodoncias,2014-10-01,3,3,3,3,6
SORATA,atencion odontologica, endodoncias,2014-10-01,0,4,0,4,4
SUCRE,atencion odontologica, endodoncias,2014-10-01,475,543,475,543,1018
TACACOMA,atencion odontologica, endodoncias,2014-10-01,3,2,3,2,5
TACOBAMBA,atencion odontologica, endodoncias,2014-10-01,1,0,1,0,1
TAPACARI,atencion odontologica, endodoncias,2014-10-01,5,13,5,13,18
TARABUCO,atencion odontologica, endodoncias,2014-10-01,3,8,3,8,11
TARATA,atencion odontologica, endodoncias,2014-10-01,19,20,19,20,39
TARIJA,atencion odontologica, endodoncias,2014-10-01,521,629,521,629,1150
TARVITA,atencion odontologica, endodoncias,2014-10-01,3,5,3,5,8
TEOPONTE,atencion odontologica, endodoncias,2014-10-01,2,3,2,3,5
TINGUIPAYA,atencion odontologica, endodoncias,2014-10-01,1,4,1,4,5
TIPUANI,atencion odontologica, endodoncias,2014-10-01,2,5,2,5,7
TIQUIPAYA,atencion odontologica, endodoncias,2014-10-01,57,40,57,40,97
TIRAQUE (CBBA),atencion odontologica, endodoncias,2014-10-01,11,5,11,5,16
TOCO,atencion odontologica, endodoncias,2014-10-01,1,6,1,6,7
TOLATA,atencion odontologica, endodoncias,2014-10-01,1,3,1,3,4
TOMAVE,atencion odontologica, endodoncias,2014-10-01,3,2,3,2,5
TOMINA,atencion odontologica, endodoncias,2014-10-01,10,3,10,3,13
TORO TORO,atencion odontologica, endodoncias,2014-10-01,3,2,3,2,5
TOTORA(CBBA),atencion odontologica, endodoncias,2014-10-01,5,4,5,4,9
TOTORA(ORR),atencion odontologica, endodoncias,2014-10-01,2,4,2,4,6
TRINIDAD,atencion odontologica, endodoncias,2014-10-01,67,86,67,86,153
TUPIZA,atencion odontologica, endodoncias,2014-10-01,23,46,23,46,69
TURCO,atencion odontologica, endodoncias,2014-10-01,0,2,0,2,2
UMALA,atencion odontologica, endodoncias,2014-10-01,1,0,1,0,1
UNCIA,atencion odontologica, endodoncias,2014-10-01,17,11,17,11,28
URIONDO (A. CONCEPCION),atencion odontologica, endodoncias,2014-10-01,21,41,21,41,62
URUBICHA,atencion odontologica, endodoncias,2014-10-01,1,3,1,3,4
UYUNI,atencion odontologica, endodoncias,2014-10-01,6,9,6,9,15
VACAS,atencion odontologica, endodoncias,2014-10-01,3,1,3,1,4
VALLEGRANDE,atencion odontologica, endodoncias,2014-10-01,57,74,57,74,131
VIACHA,atencion odontologica, endodoncias,2014-10-01,35,29,35,29,64
VILA VILA,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
VILLA CHARCAS,atencion odontologica, endodoncias,2014-10-01,0,6,0,6,6
VILLA MONTES,atencion odontologica, endodoncias,2014-10-01,62,66,62,66,128
VILLA RIVERO,atencion odontologica, endodoncias,2014-10-01,8,12,8,12,20
VILLA SERRANO,atencion odontologica, endodoncias,2014-10-01,0,2,0,2,2
VILLA TUNARI,atencion odontologica, endodoncias,2014-10-01,35,58,35,58,93
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, endodoncias,2014-10-01,2,1,2,1,3
VILLAZON,atencion odontologica, endodoncias,2014-10-01,53,99,53,99,152
VINTO,atencion odontologica, endodoncias,2014-10-01,18,29,18,29,47
VITICHI,atencion odontologica, endodoncias,2014-10-01,0,1,0,1,1
WALDO BALLIVIAN,atencion odontologica, endodoncias,2014-10-01,2,0,2,0,2
WARNES,atencion odontologica, endodoncias,2014-10-01,6,6,6,6,12
YACUIBA,atencion odontologica, endodoncias,2014-10-01,60,58,60,58,118
YAMPARAEZ,atencion odontologica, endodoncias,2014-10-01,2,8,2,8,10
YANACACHI,atencion odontologica, endodoncias,2014-10-01,5,2,5,2,7
YAPACANI,atencion odontologica, endodoncias,2014-10-01,12,27,12,27,39
YOCALLA,atencion odontologica, endodoncias,2014-10-01,3,4,3,4,7
YOTALA,atencion odontologica, endodoncias,2014-10-01,2,4,2,4,6
YUNCHARA,atencion odontologica, endodoncias,2014-10-01,7,8,7,8,15
ZUDAÑEZ,atencion odontologica, endodoncias,2014-10-01,2,6,2,6,8
ACACIO,atencion odontologica, endodoncias,2014-11-01,0,1,0,1,1
ACHACACHI,atencion odontologica, endodoncias,2014-11-01,19,31,19,31,50
ACHOCALLA,atencion odontologica, endodoncias,2014-11-01,3,2,3,2,5
AIQUILE,atencion odontologica, endodoncias,2014-11-01,13,13,13,13,26
ALCALA,atencion odontologica, endodoncias,2014-11-01,3,9,3,9,12
ALTO BENI,atencion odontologica, endodoncias,2014-11-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, endodoncias,2014-11-01,3,5,3,5,8
ANTEQUERA,atencion odontologica, endodoncias,2014-11-01,1,2,1,2,3
ANZALDO,atencion odontologica, endodoncias,2014-11-01,5,5,5,5,10
APOLO,atencion odontologica, endodoncias,2014-11-01,0,8,0,8,8
ARAMPAMPA,atencion odontologica, endodoncias,2014-11-01,2,3,2,3,5
ARANI,atencion odontologica, endodoncias,2014-11-01,10,13,10,13,23
ARBIETO,atencion odontologica, endodoncias,2014-11-01,2,3,2,3,5
ARQUE,atencion odontologica, endodoncias,2014-11-01,2,4,2,4,6
ASCENCION DE GUARAYOS,atencion odontologica, endodoncias,2014-11-01,64,52,64,52,116
ATOCHA,atencion odontologica, endodoncias,2014-11-01,25,24,25,24,49
AUCAPATA,atencion odontologica, endodoncias,2014-11-01,1,0,1,0,1
AYATA,atencion odontologica, endodoncias,2014-11-01,0,3,0,3,3
AYO AYO,atencion odontologica, endodoncias,2014-11-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-11-01,33,29,33,29,62
AZURDUY,atencion odontologica, endodoncias,2014-11-01,3,5,3,5,8
BATALLAS,atencion odontologica, endodoncias,2014-11-01,0,1,0,1,1
BAURES,atencion odontologica, endodoncias,2014-11-01,4,2,4,2,6
BERMEJO,atencion odontologica, endodoncias,2014-11-01,12,100,12,100,112
BETANZOS,atencion odontologica, endodoncias,2014-11-01,11,28,11,28,39
BOLIVAR,atencion odontologica, endodoncias,2014-11-01,0,2,0,2,2
BUENA VISTA,atencion odontologica, endodoncias,2014-11-01,0,6,0,6,6
CABEZAS,atencion odontologica, endodoncias,2014-11-01,10,16,10,16,26
CAIROMA,atencion odontologica, endodoncias,2014-11-01,2,0,2,0,2
"CAIZA ""D""",atencion odontologica, endodoncias,2014-11-01,15,5,15,5,20
CAJUATA,atencion odontologica, endodoncias,2014-11-01,0,6,0,6,6
CALACOTO,atencion odontologica, endodoncias,2014-11-01,0,2,0,2,2
CALAMARCA,atencion odontologica, endodoncias,2014-11-01,5,12,5,12,17
CAMARGO,atencion odontologica, endodoncias,2014-11-01,10,12,10,12,22
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-11-01,0,2,0,2,2
CAMIRI,atencion odontologica, endodoncias,2014-11-01,16,13,16,13,29
CAPINOTA,atencion odontologica, endodoncias,2014-11-01,6,10,6,10,16
CARACOLLO,atencion odontologica, endodoncias,2014-11-01,16,14,16,14,30
CARANAVI,atencion odontologica, endodoncias,2014-11-01,20,26,20,26,46
CARAPARI,atencion odontologica, endodoncias,2014-11-01,9,29,9,29,38
CARIPUYO,atencion odontologica, endodoncias,2014-11-01,4,7,4,7,11
CARMEN RIVERO TORREZ,atencion odontologica, endodoncias,2014-11-01,2,7,2,7,9
CHALLAPATA,atencion odontologica, endodoncias,2014-11-01,14,24,14,24,38
CHAQUI,atencion odontologica, endodoncias,2014-11-01,0,1,0,1,1
CHARAGUA,atencion odontologica, endodoncias,2014-11-01,1,1,1,1,2
CHAYANTA,atencion odontologica, endodoncias,2014-11-01,1,10,1,10,11
