,group,variable,month,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,8,10,8,10,18
SAN BENITO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,32,41,32,41,73
SAN BORJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,54,47,54,47,101
SAN BUENA VENTURA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,4,15,4,15,19
SAN CARLOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,33,34,33,34,67
SAN IGNACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,67,81,67,81,148
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,95,99,95,99,194
SAN JAVIER(BNI),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,71,63,71,63,134
SAN JAVIER(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,1,1,1,1,2
SAN JOAQUIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,39,35,39,35,74
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,7,7,7,7,14
SAN JULIAN,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,388,408,388,408,796
SAN LORENZO(PND),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,11,18,11,18,29
SAN LORENZO(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,51,44,51,44,95
SAN LUCAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,122,204,122,204,326
SAN MATIAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,11,10,11,10,21
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,9,14,9,14,23
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,7,3,7,3,10
SAN PEDRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,19,29,19,29,48
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,46,51,46,51,97
SAN PEDRO DE CURAHUARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,31,9,31,9,40
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,5,2,5,2,7
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,12,17,12,17,29
SAN RAFAEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,19,20,19,20,39
SAN RAMON SCZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,59,65,59,65,124
SANTA ANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,52,54,52,54,106
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,4219,4161,4219,4161,8380
SANTA ROSA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,1,7,1,7,8
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,29,20,29,20,49
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,60,34,60,34,94
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,93,71,93,71,164
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,35,29,35,29,64
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,6,5,6,5,11
SANTIVAÑES,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,9,13,9,13,22
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,21,39,21,39,60
SAPAHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,50,80,50,80,130
SENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,23,26,23,26,49
SHINAOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,40,16,40,16,56
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,43,16,43,16,59
SICAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,8,9,8,9,17
SIPE SIPE,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,156,256,156,256,412
SOPACHUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,32,42,32,42,74
SORACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,29,16,29,16,45
SORATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,50,86,50,86,136
SUCRE,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,2233,1921,2233,1921,4154
TACACOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,8,7,8,7,15
TACOBAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,2,5,2,5,7
TACOPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,1,1,1,1,2
TAHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,1,0,1,0,1
TAPACARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,64,41,64,41,105
TARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,150,151,150,151,301
TARACO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,56,41,56,41,97
TARATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,32,14,32,14,46
TARIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,389,340,389,340,729
TARVITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,61,76,61,76,137
TEOPONTE,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,39,38,39,38,77
TIAWANACU,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,19,25,19,25,44
TINGUIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,7,16,7,16,23
TIPUANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,46,35,46,35,81
TIQUIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,714,705,714,705,1419
TIRAQUE (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,23,2,23,2,25
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,1,1,1,1,2
TOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,41,40,41,40,81
TODOS SANTOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,2,0,2,0,2
TOLATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,33,28,33,28,61
TOLEDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,0,4,0,4,4
TOMAVE,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,70,28,70,28,98
TOMINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,32,24,32,24,56
TORO TORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,8,9,8,9,17
TOTORA(CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,59,45,59,45,104
TOTORA(ORR),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,41,24,41,24,65
TRIGAL,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,13,22,13,22,35
TRINIDAD,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,96,118,96,118,214
TUPIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,63,113,63,113,176
TURCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,19,34,19,34,53
UMALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,20,9,20,9,29
UNCIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,13,16,13,16,29
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,81,77,81,77,158
URUBICHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,9,3,9,3,12
UYUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,12,18,12,18,30
VACAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,90,72,90,72,162
VALLEGRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,138,130,138,130,268
VIACHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,228,187,228,187,415
VILA VILA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,22,30,22,30,52
VILLA CHARCAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,30,57,30,57,87
VILLA MONTES,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,69,55,69,55,124
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,32,31,32,31,63
VILLA RIVERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,18,27,18,27,45
VILLA SERRANO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,175,129,175,129,304
VILLA TUNARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,198,169,198,169,367
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,50,64,50,64,114
VILLAZON,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,152,201,152,201,353
VINTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,238,229,238,229,467
VITICHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,44,49,44,49,93
WALDO BALLIVIAN,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,7,0,7,0,7
WARNES,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,121,83,121,83,204
YACO,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,15,6,15,6,21
YACUIBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,94,80,94,80,174
YAMPARAEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,100,95,100,95,195
YANACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,18,13,18,13,31
YAPACANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,159,188,159,188,347
YOCALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,31,27,31,27,58
YOTALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,114,76,114,76,190
YUNCHARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,9,23,9,23,32
ZUDAÑEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-09-01,24,23,24,23,47
ACACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,4,10,4,14
ACHACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,189,166,189,166,355
ACHOCALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,94,61,94,61,155
AIQUILE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,84,93,84,93,177
ALALAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,2,8,2,8,10
ALCALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,55,53,55,53,108
ALTO BENI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,14,9,14,9,23
ANCORAIMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,11,5,11,5,16
ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,2,20,2,20,22
ANTEQUERA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,21,13,21,13,34
ANZALDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,4,8,4,8,12
APOLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,28,20,28,20,48
ARAMPAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,1,10,1,11
ARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,71,61,71,61,132
ARBIETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,153,92,153,92,245
ARQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,4,10,4,10,14
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,63,72,63,72,135
ATOCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,12,33,12,33,45
AUCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,7,9,7,9,16
AYATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,26,23,26,23,49
AYO AYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,31,21,31,21,52
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,72,79,72,79,151
AZURDUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,11,10,11,21
BATALLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,60,59,60,59,119
BAURES,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,27,27,27,27,54
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,13,11,13,11,24
BELEN DE URMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,0,11,0,11,11
BELLA FLOR,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,1,0,1,0,1
BERMEJO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,41,31,41,31,72
BETANZOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,54,32,54,32,86
BOLIVAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,4,2,4,2,6
BOLPEBRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,12,9,12,9,21
BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,15,16,15,16,31
CABEZAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,15,27,15,27,42
CAIROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,0,3,0,3,3
CAJUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,18,36,18,36,54
CALACOTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,22,11,22,11,33
CALAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,32,29,32,29,61
CAMARGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,111,118,111,118,229
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,5,5,5,5,10
CAMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,201,184,201,184,385
CAPINOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,79,72,79,72,151
CAQUIAVIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,32,19,32,19,51
CARACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,117,53,117,53,170
CARANAVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,35,25,35,25,60
CARAPARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,12,14,12,14,26
CARIPUYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,13,10,13,23
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,31,39,31,39,70
CATACORA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,2,5,2,5,7
CHALLAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,132,191,132,191,323
CHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,9,10,9,10,19
CHARAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,3,2,3,2,5
CHARAÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,18,15,18,15,33
CHAYANTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,21,34,21,34,55
CHIMORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,28,48,28,48,76
CHIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,9,12,9,12,21
CHOQUE COTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,3,4,3,4,7
CHUA COCANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,88,45,88,45,133
CHUMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,62,26,62,26,88
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,18,4,18,4,22
CKOCHAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,19,14,19,14,33
CLIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,53,72,53,72,125
COBIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,243,165,243,165,408
COCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,91,88,91,88,179
COCHABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,1666,1968,1666,1968,3634
COIPASA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,11,7,11,7,18
COLCAPIRHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,247,236,247,236,483
"COLCHA ""K""",atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,13,15,13,15,28
COLLANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,2,2,2,2,4
COLOMI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,81,95,81,95,176
COLPA BELGICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,8,9,8,9,17
COLQUECHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,72,49,72,49,121
COLQUENCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,12,11,12,11,23
COLQUIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,15,24,15,24,39
COMANCHE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,3,11,3,11,14
COMARAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,52,29,52,29,81
COMBAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,11,3,11,3,14
COPACABANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,81,65,81,65,146
CORIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,20,23,20,23,43
CORO CORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,6,4,6,4,10
COROICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,34,28,34,28,62
CORQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,6,10,6,10,16
COTAGAITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,31,29,31,29,60
COTOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,107,119,107,119,226
CUATRO CAÑADAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,191,255,191,255,446
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,3,6,3,6,9
CUEVO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,20,15,20,15,35
CULPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,61,70,61,70,131
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,14,14,14,14,28
CURVA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,9,8,9,8,17
DESAGUADERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,25,23,25,23,48
EL ALTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,2544,2309,2544,2309,4853
EL CHORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,57,32,57,32,89
EL PUENTE(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,15,22,15,22,37
EL PUENTE(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,9,4,9,4,13
EL TORNO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,268,317,268,317,585
EL VILLAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,16,15,16,15,31
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,56,75,56,75,131
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,70,61,70,61,131
ESCOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,4,2,4,2,6
EUCALIPTUS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,41,17,41,17,58
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,20,14,20,14,34
FILADELFIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,50,46,50,46,96
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,33,45,33,45,78
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,95,118,95,118,213
GUANAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,50,43,50,43,93
GUAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,23,15,23,15,38
GUAYARAMERIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,46,55,46,55,101
GUTIERREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,15,10,15,10,25
HUACARETA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,20,16,20,16,36
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,21,18,21,18,39
HUACHACALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,0,2,0,2,2
HUANUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,52,48,52,48,100
HUARACAJE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,1,0,1,0,1
HUATAJATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,33,48,33,48,81
HUAYLLAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,13,24,13,24,37
HUMANATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,18,6,18,6,24
ICHOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,39,22,39,22,61
ICLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,149,158,149,158,307
INCAHUASI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,102,60,102,60,162
INQUISIVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,19,20,19,20,39
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,73,79,73,79,152
IXIAMAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,14,2,14,2,16
JESUS DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,22,10,22,32
LA ASUNTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,28,31,28,31,59
LA GUARDIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,269,334,269,334,603
LA PAZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,2808,2774,2808,2774,5582
LAJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,71,55,71,55,126
LAS CARRERAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,18,23,18,23,41
LICOMA PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,8,19,8,19,27
LLALLAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,178,150,178,150,328
LLICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,11,13,11,13,24
LORETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,0,1,0,1,1
LURIBAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,14,8,14,8,22
MACHACAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,19,21,19,21,40
MACHARETI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,47,22,47,22,69
MAGDALENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,12,6,12,6,18
MAIRANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,49,69,49,69,118
MAPIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,23,17,23,17,40
MECAPACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,36,58,36,58,94
MINEROS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,31,32,31,32,63
MIZQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,21,22,21,22,43
MOCOMOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,25,17,25,17,42
MOJOCOYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,51,40,51,40,91
MONTEAGUDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,128,171,128,171,299
MONTERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,86,111,86,111,197
MORO MORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,7,6,7,6,13
MOROCHATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,99,90,99,90,189
OCURI,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,17,16,17,16,33
OKINAWA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,13,17,13,17,30
OMEREQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,9,10,9,19
ORURO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,1232,1198,1232,1198,2430
PADCAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,31,47,31,47,78
PADILLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,36,43,36,43,79
PALCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,59,30,59,30,89
PALOS BLANCOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,53,35,53,35,88
PAMPA AULLAGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,14,37,14,37,51
PAMPA GRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,27,40,27,40,67
PAPEL PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,43,12,43,12,55
PASORAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,10,3,10,3,13
PATACAMAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,166,138,166,138,304
PAZÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,21,22,21,22,43
PELECHUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,22,29,22,29,51
POCOATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,109,121,109,121,230
POCONA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,38,42,38,42,80
POJO (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,25,32,25,32,57
POOPO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,37,15,37,15,52
PORCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,29,44,29,44,73
POROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-10-01,65,91,65,91,156
