,group,variable,month,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
LA ASUNTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,97,165,97,165,262
LA GUARDIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,86,183,86,183,269
LA PAZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,2337,4494,2337,4494,6831
LAGUNILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,21,21,21,21,42
LAJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,35,73,35,73,108
LAS CARRERAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,27,63,27,63,90
LICOMA PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,7,12,7,12,19
LLALLAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,81,204,81,204,285
LURIBAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,28,34,28,34,62
MACHACAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,15,34,15,34,49
MACHARETI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,18,105,18,105,123
MAGDALENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,58,86,58,86,144
MAIRANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,38,140,38,140,178
MAPIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,34,65,34,65,99
MECAPACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,17,54,17,54,71
MINEROS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,29,215,29,215,244
MIZQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,15,34,15,34,49
MOCOMOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,75,113,75,113,188
MOJOCOYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,80,181,80,181,261
MONTEAGUDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,192,381,192,381,573
MONTERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,64,202,64,202,266
MORO MORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,23,24,23,24,47
MOROCHATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,24,101,24,101,125
OCURI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,15,22,15,22,37
OKINAWA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,60,82,60,82,142
OMEREQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,15,4,15,4,19
ORURO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,982,1920,982,1920,2902
PADCAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,258,324,258,324,582
PADILLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,49,124,49,124,173
PALCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,20,48,20,48,68
PALOS BLANCOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,64,160,64,160,224
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,10,24,10,24,34
PAMPA GRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,2,36,2,36,38
PAPEL PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,23,45,23,45,68
PASORAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,198,126,198,126,324
PATACAMAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,62,125,62,125,187
PAZÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,57,53,57,53,110
PELECHUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,10,47,10,47,57
POCOATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,37,41,37,41,78
POCONA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,148,187,148,187,335
POJO (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,66,83,66,83,149
POOPO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,42,75,42,75,117
PORCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,31,92,31,92,123
POROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,228,347,228,347,575
PORONGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,76,90,76,90,166
PORTACHUELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,50,145,50,145,195
PORVENIR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,7,27,7,27,34
POSTRER VALLE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,4,7,4,7,11
POTOSI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,774,1258,774,1258,2032
PRESTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,162,310,162,310,472
PUCARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,33,31,33,31,64
PUCARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,95,136,95,136,231
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,21,27,21,27,48
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,68,100,68,100,168
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,152,166,152,166,318
PUERTO PEREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,26,23,26,23,49
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,76,17,76,17,93
PUERTO RICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,93,92,93,92,185
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,64,148,64,148,212
PUNA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,106,230,106,230,336
PUNATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,134,308,134,308,442
QUIABAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,45,56,45,56,101
QUILLACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,542,610,542,610,1152
QUIME,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,50,87,50,87,137
QUIRUSILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,10,14,10,14,24
RAVELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,83,154,83,154,237
REYES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,25,43,25,43,68
RIBERALTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,317,807,317,807,1124
ROBORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,14,26,14,26,40
RURRENABAQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,19,30,19,30,49
SABAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,27,49,27,49,76
SACABA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,1472,2106,1472,2106,3578
SACABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,25,27,25,27,52
SACACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,36,82,36,82,118
SAIPINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,19,28,19,28,47
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,238,256,238,256,494
SAMAIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,17,52,17,52,69
SAN ANDRES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,41,69,41,69,110
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,100,121,100,121,221
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,55,77,55,77,132
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,11,18,11,18,29
SAN BENITO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,28,69,28,69,97
SAN BORJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,96,214,96,214,310
SAN BUENA VENTURA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,85,109,85,109,194
SAN CARLOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,51,99,51,99,150
SAN IGNACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,315,275,315,275,590
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,67,86,67,86,153
SAN JAVIER(BNI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,81,67,81,67,148
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,39,100,39,100,139
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,10,12,10,12,22
SAN JULIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,50,240,50,240,290
SAN LORENZO(PND),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,5,10,5,10,15
SAN LORENZO(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,465,807,465,807,1272
SAN LUCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,64,277,64,277,341
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,29,72,29,72,101
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,2,4,2,4,6
SAN PEDRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,46,143,46,143,189
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,90,126,90,126,216
SAN PEDRO DE CURAHUARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,8,27,8,27,35
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,5,6,5,6,11
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,22,33,22,33,55
SAN RAFAEL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,24,73,24,73,97
SAN RAMON BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,23,51,23,51,74
SANTA ANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,162,216,162,216,378
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,1861,4406,1861,4406,6267
SANTA ROSA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,12,11,12,11,23
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,183,229,183,229,412
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,9,23,9,23,32
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,157,222,157,222,379
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,20,25,20,25,45
SANTIVAÑES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,16,43,16,43,59
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,253,229,253,229,482
SAPAHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,27,78,27,78,105
SENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,66,41,66,41,107
SHINAOTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,0,50,0,50,50
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,27,52,27,52,79
SICAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,6,2,6,2,8
SIPE SIPE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,28,233,28,233,261
SOPACHUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,75,126,75,126,201
SORACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,125,158,125,158,283
SORATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,28,84,28,84,112
SUCRE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,2379,4854,2379,4854,7233
TACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,6,14,6,14,20
TACOBAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,10,41,10,41,51
TACOPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,15,48,15,48,63
TAHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,1,14,1,14,15
TAPACARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,19,23,19,23,42
TARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,185,252,185,252,437
TARACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,10,46,10,46,56
TARATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,74,120,74,120,194
TARIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,3239,5384,3239,5384,8623
TARVITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,113,203,113,203,316
TEOPONTE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,41,69,41,69,110
TINGUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,28,55,28,55,83
TIPUANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,51,54,51,54,105
TIQUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,402,771,402,771,1173
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,31,64,31,64,95
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,9,11,9,11,20
TOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,18,54,18,54,72
TODOS SANTOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,0,1,0,1,1
TOLATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,18,37,18,37,55
TOLEDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,38,76,38,76,114
TOMAVE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,15,59,15,59,74
TOMINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,140,188,140,188,328
TORO TORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,131,128,131,128,259
TOTORA(CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,150,236,150,236,386
TOTORA(ORR),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,11,57,11,57,68
TRIGAL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,12,10,12,10,22
TRINIDAD,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,517,785,517,785,1302
TUPIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,99,224,99,224,323
TURCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,159,176,159,176,335
UMALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,21,22,21,22,43
UNCIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,38,82,38,82,120
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,325,504,325,504,829
URUBICHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,25,13,25,13,38
UYUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,97,149,97,149,246
VACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,33,88,33,88,121
VALLEGRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,218,254,218,254,472
VIACHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,157,278,157,278,435
VILA VILA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,14,39,14,39,53
VILLA CHARCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,27,125,27,125,152
VILLA MONTES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,533,937,533,937,1470
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,1,0,1,0,1
VILLA RIVERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,49,152,49,152,201
VILLA SERRANO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,38,59,38,59,97
VILLA TUNARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,137,569,137,569,706
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,207,283,207,283,490
VILLAZON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,114,257,114,257,371
VINTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,109,254,109,254,363
VITICHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,16,18,16,18,34
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,3,30,3,30,33
WARNES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,163,318,163,318,481
YACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,14,33,14,33,47
YACUIBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,952,1383,952,1383,2335
YAMPARAEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,17,64,17,64,81
YANACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,32,56,32,56,88
YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,92,129,92,129,221
YOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,42,80,42,80,122
YOTALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,23,57,23,57,80
YUNCHARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,108,147,108,147,255
ZUDAÑEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-10-01,39,72,39,72,111
ACACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,9,26,9,26,35
ACHACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,117,243,117,243,360
ACHOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,24,57,24,57,81
AIQUILE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,64,62,64,62,126
ALALAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,10,16,10,16,26
ALCALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,58,73,58,73,131
ALTO BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,18,21,18,21,39
ANCORAIMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,16,31,16,31,47
ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,47,85,47,85,132
ANTEQUERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,34,35,34,35,69
ANZALDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,56,95,56,95,151
APOLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,15,59,15,59,74
ARAMPAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,18,20,18,20,38
ARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,40,81,40,81,121
ARBIETO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,14,85,14,85,99
ARQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,54,61,54,61,115
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,24,20,24,20,44
ATOCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,207,200,207,200,407
AUCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,14,22,14,22,36
AYATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,18,44,18,44,62
AYO AYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,23,50,23,50,73
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,133,177,133,177,310
AZURDUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,23,81,23,81,104
BATALLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,44,106,44,106,150
BAURES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,115,95,115,95,210
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,35,19,35,19,54
BELLA FLOR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,38,59,38,59,97
BERMEJO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,296,721,296,721,1017
BETANZOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,82,177,82,177,259
BOLIVAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,64,90,64,90,154
BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,3,9,3,9,12
CABEZAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,83,169,83,169,252
CAIROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,15,35,15,35,50
"CAIZA ""D""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,57,84,57,84,141
CAJUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,128,154,128,154,282
CALAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,114,175,114,175,289
CAMARGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,32,138,32,138,170
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,15,36,15,36,51
CAMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,1453,1358,1453,1358,2811
CAPINOTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,82,163,82,163,245
CAQUIAVIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,150,198,150,198,348
CARACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,172,296,172,296,468
CARANAVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,30,54,30,54,84
CARAPARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,141,274,141,274,415
CARIPUYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,21,41,21,41,62
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,76,112,76,112,188
CATACORA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,19,24,19,24,43
CHALLAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,518,733,518,733,1251
CHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,142,136,142,136,278
CHARAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,62,132,62,132,194
CHARAÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,5,7,5,7,12
CHAYANTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,56,159,56,159,215
CHIMORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,11,81,11,81,92
CHIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,3,18,3,18,21
CHOQUE COTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,14,20,14,20,34
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,16,37,16,37,53
CHUMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,177,226,177,226,403
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,38,30,38,30,68
CKOCHAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,28,48,28,48,76
CLIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,82,164,82,164,246
COBIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,1353,346,1353,346,1699
COCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,131,306,131,306,437
COCHABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,2029,2939,2029,2939,4968
COIPASA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,19,17,19,17,36
COLCAPIRHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,28,164,28,164,192
"COLCHA ""K""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,14,30,14,30,44
COLLANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,13,13,13,13,26
COLOMI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,14,55,14,55,69
COLPA BELGICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,116,125,116,125,241
COLQUECHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,113,214,113,214,327
COLQUENCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,53,136,53,136,189
COLQUIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,92,126,92,126,218
COMANCHE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,12,14,12,14,26
COMARAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,47,149,47,149,196
COMBAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,3,7,3,7,10
COPACABANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,28,54,28,54,82
CORIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,14,26,14,26,40
CORO CORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,19,53,19,53,72
COROICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,57,87,57,87,144
CORQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,23,47,23,47,70
COTAGAITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,182,209,182,209,391
COTOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,8,59,8,59,67
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,45,166,45,166,211
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-11-01,2,6,2,6,8
