,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
EL TORNO,atencion odontologica, restauraciones,2014-10-01,140,314,140,314,454
EL VILLAR,atencion odontologica, restauraciones,2014-10-01,25,59,25,59,84
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-10-01,72,146,72,146,218
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-10-01,21,25,21,25,46
ESCOMA,atencion odontologica, restauraciones,2014-10-01,24,25,24,25,49
EUCALIPTUS,atencion odontologica, restauraciones,2014-10-01,88,80,88,80,168
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-10-01,26,29,26,29,55
FILADELFIA,atencion odontologica, restauraciones,2014-10-01,17,14,17,14,31
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-10-01,7,35,7,35,42
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-10-01,44,44,44,44,88
GUANAY,atencion odontologica, restauraciones,2014-10-01,13,19,13,19,32
GUAQUI,atencion odontologica, restauraciones,2014-10-01,18,23,18,23,41
GUAYARAMERIN,atencion odontologica, restauraciones,2014-10-01,331,499,331,499,830
GUTIERREZ,atencion odontologica, restauraciones,2014-10-01,9,15,9,15,24
HUACARETA,atencion odontologica, restauraciones,2014-10-01,12,51,12,51,63
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-10-01,7,41,7,41,48
HUACHACALLA,atencion odontologica, restauraciones,2014-10-01,4,2,4,2,6
HUANUNI,atencion odontologica, restauraciones,2014-10-01,41,28,41,28,69
HUARACAJE,atencion odontologica, restauraciones,2014-10-01,0,1,0,1,1
HUATAJATA,atencion odontologica, restauraciones,2014-10-01,9,27,9,27,36
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-10-01,53,68,53,68,121
HUMANATA,atencion odontologica, restauraciones,2014-10-01,30,18,30,18,48
ICHOCA,atencion odontologica, restauraciones,2014-10-01,15,22,15,22,37
ICLA,atencion odontologica, restauraciones,2014-10-01,50,86,50,86,136
INCAHUASI,atencion odontologica, restauraciones,2014-10-01,15,63,15,63,78
INQUISIVI,atencion odontologica, restauraciones,2014-10-01,6,9,6,9,15
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-10-01,46,54,46,54,100
IXIAMAS,atencion odontologica, restauraciones,2014-10-01,9,11,9,11,20
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-10-01,17,33,17,33,50
LA ASUNTA,atencion odontologica, restauraciones,2014-10-01,56,80,56,80,136
LA GUARDIA,atencion odontologica, restauraciones,2014-10-01,140,240,140,240,380
LA PAZ,atencion odontologica, restauraciones,2014-10-01,3530,5225,3530,5225,8755
LAGUNILLAS,atencion odontologica, restauraciones,2014-10-01,15,31,15,31,46
LAJA,atencion odontologica, restauraciones,2014-10-01,37,20,37,20,57
LAS CARRERAS,atencion odontologica, restauraciones,2014-10-01,8,30,8,30,38
LICOMA PAMPA,atencion odontologica, restauraciones,2014-10-01,4,7,4,7,11
LLALLAGUA,atencion odontologica, restauraciones,2014-10-01,78,131,78,131,209
LLICA,atencion odontologica, restauraciones,2014-10-01,14,11,14,11,25
LURIBAY,atencion odontologica, restauraciones,2014-10-01,19,18,19,18,37
MACHACAMARCA,atencion odontologica, restauraciones,2014-10-01,20,39,20,39,59
MACHARETI,atencion odontologica, restauraciones,2014-10-01,33,62,33,62,95
MAGDALENA,atencion odontologica, restauraciones,2014-10-01,45,38,45,38,83
MAIRANA,atencion odontologica, restauraciones,2014-10-01,24,76,24,76,100
MALLA,atencion odontologica, restauraciones,2014-10-01,1,0,1,0,1
MAPIRI,atencion odontologica, restauraciones,2014-10-01,14,21,14,21,35
MECAPACA,atencion odontologica, restauraciones,2014-10-01,27,48,27,48,75
MINEROS,atencion odontologica, restauraciones,2014-10-01,18,170,18,170,188
MIZQUE,atencion odontologica, restauraciones,2014-10-01,15,34,15,34,49
MOCOMOCO,atencion odontologica, restauraciones,2014-10-01,19,21,19,21,40
MOJOCOYA,atencion odontologica, restauraciones,2014-10-01,46,96,46,96,142
MONTEAGUDO,atencion odontologica, restauraciones,2014-10-01,119,214,119,214,333
MONTERO,atencion odontologica, restauraciones,2014-10-01,51,130,51,130,181
MORO MORO,atencion odontologica, restauraciones,2014-10-01,10,16,10,16,26
MOROCHATA,atencion odontologica, restauraciones,2014-10-01,45,94,45,94,139
OCURI,atencion odontologica, restauraciones,2014-10-01,0,2,0,2,2
OKINAWA,atencion odontologica, restauraciones,2014-10-01,54,61,54,61,115
OMEREQUE,atencion odontologica, restauraciones,2014-10-01,1,35,1,35,36
ORURO,atencion odontologica, restauraciones,2014-10-01,854,1293,854,1293,2147
PADCAYA,atencion odontologica, restauraciones,2014-10-01,81,115,81,115,196
PADILLA,atencion odontologica, restauraciones,2014-10-01,33,90,33,90,123
PAILON,atencion odontologica, restauraciones,2014-10-01,78,190,78,190,268
PALCA,atencion odontologica, restauraciones,2014-10-01,46,22,46,22,68
PALOS BLANCOS,atencion odontologica, restauraciones,2014-10-01,54,109,54,109,163
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-10-01,5,16,5,16,21
PAMPA GRANDE,atencion odontologica, restauraciones,2014-10-01,25,40,25,40,65
PAPEL PAMPA,atencion odontologica, restauraciones,2014-10-01,23,24,23,24,47
PATACAMAYA,atencion odontologica, restauraciones,2014-10-01,74,56,74,56,130
PAZÑA,atencion odontologica, restauraciones,2014-10-01,21,27,21,27,48
PELECHUCO,atencion odontologica, restauraciones,2014-10-01,19,45,19,45,64
POCOATA,atencion odontologica, restauraciones,2014-10-01,46,76,46,76,122
POCONA,atencion odontologica, restauraciones,2014-10-01,68,70,68,70,138
POJO (CBBA),atencion odontologica, restauraciones,2014-10-01,41,34,41,34,75
POOPO,atencion odontologica, restauraciones,2014-10-01,103,136,103,136,239
PORCO,atencion odontologica, restauraciones,2014-10-01,49,14,49,14,63
POROMA,atencion odontologica, restauraciones,2014-10-01,17,46,17,46,63
PORONGO,atencion odontologica, restauraciones,2014-10-01,11,16,11,16,27
PORTACHUELO,atencion odontologica, restauraciones,2014-10-01,17,61,17,61,78
PORVENIR,atencion odontologica, restauraciones,2014-10-01,12,22,12,22,34
POSTRER VALLE,atencion odontologica, restauraciones,2014-10-01,7,20,7,20,27
POTOSI,atencion odontologica, restauraciones,2014-10-01,360,556,360,556,916
PRESTO,atencion odontologica, restauraciones,2014-10-01,50,109,50,109,159
PUCARANI,atencion odontologica, restauraciones,2014-10-01,47,58,47,58,105
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-10-01,22,30,22,30,52
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-10-01,37,55,37,55,92
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-10-01,135,143,135,143,278
PUERTO PEREZ,atencion odontologica, restauraciones,2014-10-01,7,16,7,16,23
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-10-01,29,57,29,57,86
PUERTO RICO,atencion odontologica, restauraciones,2014-10-01,22,13,22,13,35
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-10-01,67,229,67,229,296
PUNA,atencion odontologica, restauraciones,2014-10-01,31,51,31,51,82
PUNATA,atencion odontologica, restauraciones,2014-10-01,117,269,117,269,386
QUIABAYA,atencion odontologica, restauraciones,2014-10-01,8,13,8,13,21
QUILLACOLLO,atencion odontologica, restauraciones,2014-10-01,457,657,457,657,1114
QUIME,atencion odontologica, restauraciones,2014-10-01,77,56,77,56,133
QUIRUSILLAS,atencion odontologica, restauraciones,2014-10-01,8,5,8,5,13
RAVELO,atencion odontologica, restauraciones,2014-10-01,26,74,26,74,100
REYES,atencion odontologica, restauraciones,2014-10-01,37,64,37,64,101
RIBERALTA,atencion odontologica, restauraciones,2014-10-01,214,464,214,464,678
ROBORE,atencion odontologica, restauraciones,2014-10-01,11,16,11,16,27
RURRENABAQUE,atencion odontologica, restauraciones,2014-10-01,5,9,5,9,14
SABAYA,atencion odontologica, restauraciones,2014-10-01,47,44,47,44,91
SACABA,atencion odontologica, restauraciones,2014-10-01,911,1449,911,1449,2360
SACABAMBA,atencion odontologica, restauraciones,2014-10-01,13,28,13,28,41
SACACA,atencion odontologica, restauraciones,2014-10-01,13,28,13,28,41
SAIPINA,atencion odontologica, restauraciones,2014-10-01,11,23,11,23,34
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-10-01,149,169,149,169,318
SAMAIPATA,atencion odontologica, restauraciones,2014-10-01,4,35,4,35,39
SAN ANDRES,atencion odontologica, restauraciones,2014-10-01,9,39,9,39,48
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-10-01,25,46,25,46,71
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-10-01,8,20,8,20,28
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-10-01,9,13,9,13,22
SAN BENITO,atencion odontologica, restauraciones,2014-10-01,42,52,42,52,94
SAN BORJA,atencion odontologica, restauraciones,2014-10-01,32,76,32,76,108
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-10-01,11,20,11,20,31
SAN CARLOS,atencion odontologica, restauraciones,2014-10-01,39,87,39,87,126
SAN IGNACIO,atencion odontologica, restauraciones,2014-10-01,124,243,124,243,367
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-10-01,129,118,129,118,247
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-10-01,4,5,4,5,9
SAN JOAQUIN,atencion odontologica, restauraciones,2014-10-01,11,7,11,7,18
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-10-01,47,89,47,89,136
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-10-01,3,0,3,0,3
SAN JULIAN,atencion odontologica, restauraciones,2014-10-01,79,226,79,226,305
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-10-01,1,0,1,0,1
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-10-01,171,302,171,302,473
SAN LUCAS,atencion odontologica, restauraciones,2014-10-01,80,178,80,178,258
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-10-01,15,23,15,23,38
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-10-01,3,9,3,9,12
SAN PEDRO,atencion odontologica, restauraciones,2014-10-01,39,89,39,89,128
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-10-01,9,43,9,43,52
SAN PEDRO DE CURAHUARA,atencion odontologica, restauraciones,2014-10-01,23,20,23,20,43
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-10-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-10-01,3,14,3,14,17
SAN RAFAEL,atencion odontologica, restauraciones,2014-10-01,14,25,14,25,39
SAN RAMON BENI,atencion odontologica, restauraciones,2014-10-01,5,30,5,30,35
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-10-01,21,25,21,25,46
SANTA ANA,atencion odontologica, restauraciones,2014-10-01,35,34,35,34,69
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-10-01,1667,3096,1667,3096,4763
SANTA ROSA,atencion odontologica, restauraciones,2014-10-01,4,10,4,10,14
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-10-01,36,77,36,77,113
SANTIAGO DE CALLAPA,atencion odontologica, restauraciones,2014-10-01,61,21,61,21,82
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-10-01,71,121,71,121,192
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-10-01,25,32,25,32,57
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-10-01,11,36,11,36,47
SANTIVAÑES,atencion odontologica, restauraciones,2014-10-01,10,40,10,40,50
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-10-01,4,25,4,25,29
SAPAHAQUI,atencion odontologica, restauraciones,2014-10-01,10,46,10,46,56
SENA,atencion odontologica, restauraciones,2014-10-01,7,6,7,6,13
SHINAOTA,atencion odontologica, restauraciones,2014-10-01,7,42,7,42,49
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-10-01,4,27,4,27,31
SICAYA,atencion odontologica, restauraciones,2014-10-01,2,2,2,2,4
SIPE SIPE,atencion odontologica, restauraciones,2014-10-01,120,333,120,333,453
SOPACHUY,atencion odontologica, restauraciones,2014-10-01,38,72,38,72,110
SORACACHI,atencion odontologica, restauraciones,2014-10-01,15,30,15,30,45
SORATA,atencion odontologica, restauraciones,2014-10-01,25,50,25,50,75
SUCRE,atencion odontologica, restauraciones,2014-10-01,2631,4392,2631,4392,7023
TACACHI,atencion odontologica, restauraciones,2014-10-01,1,9,1,9,10
TACACOMA,atencion odontologica, restauraciones,2014-10-01,18,14,18,14,32
TACOBAMBA,atencion odontologica, restauraciones,2014-10-01,4,8,4,8,12
TACOPAYA,atencion odontologica, restauraciones,2014-10-01,18,24,18,24,42
TAHUA,atencion odontologica, restauraciones,2014-10-01,0,6,0,6,6
TAPACARI,atencion odontologica, restauraciones,2014-10-01,21,39,21,39,60
TARABUCO,atencion odontologica, restauraciones,2014-10-01,34,60,34,60,94
TARACO,atencion odontologica, restauraciones,2014-10-01,25,34,25,34,59
TARATA,atencion odontologica, restauraciones,2014-10-01,88,112,88,112,200
TARIJA,atencion odontologica, restauraciones,2014-10-01,2261,3622,2261,3622,5883
TARVITA,atencion odontologica, restauraciones,2014-10-01,39,50,39,50,89
TEOPONTE,atencion odontologica, restauraciones,2014-10-01,36,52,36,52,88
TINGUIPAYA,atencion odontologica, restauraciones,2014-10-01,10,16,10,16,26
TIPUANI,atencion odontologica, restauraciones,2014-10-01,25,37,25,37,62
TIQUIPAYA,atencion odontologica, restauraciones,2014-10-01,607,688,607,688,1295
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-10-01,31,49,31,49,80
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-10-01,6,3,6,3,9
TOCO,atencion odontologica, restauraciones,2014-10-01,16,48,16,48,64
TODOS SANTOS,atencion odontologica, restauraciones,2014-10-01,4,2,4,2,6
TOLATA,atencion odontologica, restauraciones,2014-10-01,21,21,21,21,42
TOLEDO,atencion odontologica, restauraciones,2014-10-01,0,9,0,9,9
TOMAVE,atencion odontologica, restauraciones,2014-10-01,13,20,13,20,33
TOMINA,atencion odontologica, restauraciones,2014-10-01,53,83,53,83,136
TORO TORO,atencion odontologica, restauraciones,2014-10-01,32,39,32,39,71
TOTORA(CBBA),atencion odontologica, restauraciones,2014-10-01,49,67,49,67,116
TOTORA(ORR),atencion odontologica, restauraciones,2014-10-01,18,29,18,29,47
TRIGAL,atencion odontologica, restauraciones,2014-10-01,9,4,9,4,13
TRINIDAD,atencion odontologica, restauraciones,2014-10-01,325,475,325,475,800
TUPIZA,atencion odontologica, restauraciones,2014-10-01,75,126,75,126,201
TURCO,atencion odontologica, restauraciones,2014-10-01,8,15,8,15,23
UMALA,atencion odontologica, restauraciones,2014-10-01,6,7,6,7,13
UNCIA,atencion odontologica, restauraciones,2014-10-01,83,77,83,77,160
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-10-01,181,272,181,272,453
URUBICHA,atencion odontologica, restauraciones,2014-10-01,2,23,2,23,25
UYUNI,atencion odontologica, restauraciones,2014-10-01,62,75,62,75,137
VACAS,atencion odontologica, restauraciones,2014-10-01,41,45,41,45,86
VALLEGRANDE,atencion odontologica, restauraciones,2014-10-01,129,207,129,207,336
VIACHA,atencion odontologica, restauraciones,2014-10-01,110,150,110,150,260
VILA VILA,atencion odontologica, restauraciones,2014-10-01,9,17,9,17,26
VILLA CHARCAS,atencion odontologica, restauraciones,2014-10-01,15,44,15,44,59
VILLA MONTES,atencion odontologica, restauraciones,2014-10-01,251,447,251,447,698
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-10-01,3,3,3,3,6
VILLA RIVERO,atencion odontologica, restauraciones,2014-10-01,44,74,44,74,118
VILLA SERRANO,atencion odontologica, restauraciones,2014-10-01,84,89,84,89,173
VILLA TUNARI,atencion odontologica, restauraciones,2014-10-01,292,545,292,545,837
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-10-01,45,88,45,88,133
VILLAZON,atencion odontologica, restauraciones,2014-10-01,107,122,107,122,229
VINTO,atencion odontologica, restauraciones,2014-10-01,90,312,90,312,402
VITICHI,atencion odontologica, restauraciones,2014-10-01,10,13,10,13,23
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-10-01,5,5,5,5,10
WARNES,atencion odontologica, restauraciones,2014-10-01,84,175,84,175,259
YACO,atencion odontologica, restauraciones,2014-10-01,5,22,5,22,27
YACUIBA,atencion odontologica, restauraciones,2014-10-01,426,647,426,647,1073
YAMPARAEZ,atencion odontologica, restauraciones,2014-10-01,19,14,19,14,33
YANACACHI,atencion odontologica, restauraciones,2014-10-01,26,21,26,21,47
YAPACANI,atencion odontologica, restauraciones,2014-10-01,128,93,128,93,221
YOCALLA,atencion odontologica, restauraciones,2014-10-01,2,31,2,31,33
YOTALA,atencion odontologica, restauraciones,2014-10-01,16,61,16,61,77
YUNCHARA,atencion odontologica, restauraciones,2014-10-01,28,51,28,51,79
ZUDAÑEZ,atencion odontologica, restauraciones,2014-10-01,23,42,23,42,65
ACACIO,atencion odontologica, restauraciones,2014-11-01,2,20,2,20,22
ACHACACHI,atencion odontologica, restauraciones,2014-11-01,261,217,261,217,478
ACHOCALLA,atencion odontologica, restauraciones,2014-11-01,32,44,32,44,76
AIQUILE,atencion odontologica, restauraciones,2014-11-01,57,124,57,124,181
ALALAY,atencion odontologica, restauraciones,2014-11-01,7,29,7,29,36
ALCALA,atencion odontologica, restauraciones,2014-11-01,31,36,31,36,67
ALTO BENI,atencion odontologica, restauraciones,2014-11-01,8,21,8,21,29
ANDAMARCA,atencion odontologica, restauraciones,2014-11-01,16,45,16,45,61
ANTEQUERA,atencion odontologica, restauraciones,2014-11-01,10,8,10,8,18
ANZALDO,atencion odontologica, restauraciones,2014-11-01,33,40,33,40,73
APOLO,atencion odontologica, restauraciones,2014-11-01,14,35,14,35,49
ARAMPAMPA,atencion odontologica, restauraciones,2014-11-01,25,22,25,22,47
ARANI,atencion odontologica, restauraciones,2014-11-01,37,58,37,58,95
ARBIETO,atencion odontologica, restauraciones,2014-11-01,22,58,22,58,80
ARQUE,atencion odontologica, restauraciones,2014-11-01,22,41,22,41,63
ATOCHA,atencion odontologica, restauraciones,2014-11-01,165,169,165,169,334
AUCAPATA,atencion odontologica, restauraciones,2014-11-01,6,4,6,4,10
AYATA,atencion odontologica, restauraciones,2014-11-01,9,10,9,10,19
AYO AYO,atencion odontologica, restauraciones,2014-11-01,25,11,25,11,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-11-01,130,126,130,126,256
AZURDUY,atencion odontologica, restauraciones,2014-11-01,15,15,15,15,30
BATALLAS,atencion odontologica, restauraciones,2014-11-01,13,72,13,72,85
BAURES,atencion odontologica, restauraciones,2014-11-01,10,26,10,26,36
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-11-01,3,5,3,5,8
BELLA FLOR,atencion odontologica, restauraciones,2014-11-01,1,1,1,1,2
BERMEJO,atencion odontologica, restauraciones,2014-11-01,232,221,232,221,453
BETANZOS,atencion odontologica, restauraciones,2014-11-01,73,83,73,83,156
BOLIVAR,atencion odontologica, restauraciones,2014-11-01,32,31,32,31,63
BUENA VISTA,atencion odontologica, restauraciones,2014-11-01,6,25,6,25,31
CABEZAS,atencion odontologica, restauraciones,2014-11-01,10,46,10,46,56
CAIROMA,atencion odontologica, restauraciones,2014-11-01,8,14,8,14,22
"CAIZA ""D""",atencion odontologica, restauraciones,2014-11-01,38,34,38,34,72
CAJUATA,atencion odontologica, restauraciones,2014-11-01,14,22,14,22,36
CALACOTO,atencion odontologica, restauraciones,2014-11-01,5,5,5,5,10
CALAMARCA,atencion odontologica, restauraciones,2014-11-01,35,61,35,61,96
CAMARGO,atencion odontologica, restauraciones,2014-11-01,24,40,24,40,64
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-11-01,8,27,8,27,35
CAMIRI,atencion odontologica, restauraciones,2014-11-01,37,89,37,89,126
CAPINOTA,atencion odontologica, restauraciones,2014-11-01,114,184,114,184,298
CAQUIAVIRI,atencion odontologica, restauraciones,2014-11-01,59,79,59,79,138
CARACOLLO,atencion odontologica, restauraciones,2014-11-01,56,96,56,96,152
CARANAVI,atencion odontologica, restauraciones,2014-11-01,59,50,59,50,109
CARAPARI,atencion odontologica, restauraciones,2014-11-01,103,179,103,179,282
CARIPUYO,atencion odontologica, restauraciones,2014-11-01,46,41,46,41,87
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-11-01,5,9,5,9,14
CATACORA,atencion odontologica, restauraciones,2014-11-01,25,13,25,13,38
CHALLAPATA,atencion odontologica, restauraciones,2014-11-01,217,323,217,323,540
CHAQUI,atencion odontologica, restauraciones,2014-11-01,4,2,4,2,6
CHARAGUA,atencion odontologica, restauraciones,2014-11-01,31,54,31,54,85
CHARAÑA,atencion odontologica, restauraciones,2014-11-01,2,2,2,2,4
CHAYANTA,atencion odontologica, restauraciones,2014-11-01,28,58,28,58,86
CHIMORE,atencion odontologica, restauraciones,2014-11-01,31,78,31,78,109
CHIPAYA,atencion odontologica, restauraciones,2014-11-01,0,11,0,11,11
CHOQUE COTA,atencion odontologica, restauraciones,2014-11-01,8,6,8,6,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-11-01,30,65,30,65,95
CHUMA,atencion odontologica, restauraciones,2014-11-01,76,102,76,102,178
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, restauraciones,2014-11-01,27,37,27,37,64
CKOCHAS,atencion odontologica, restauraciones,2014-11-01,6,18,6,18,24
CLIZA,atencion odontologica, restauraciones,2014-11-01,100,170,100,170,270
COBIJA,atencion odontologica, restauraciones,2014-11-01,258,327,258,327,585
COCAPATA,atencion odontologica, restauraciones,2014-11-01,54,96,54,96,150
COCHABAMBA,atencion odontologica, restauraciones,2014-11-01,2855,4012,2855,4012,6867
COIPASA,atencion odontologica, restauraciones,2014-11-01,15,16,15,16,31
COLCAPIRHUA,atencion odontologica, restauraciones,2014-11-01,133,204,133,204,337
"COLCHA ""K""",atencion odontologica, restauraciones,2014-11-01,2,11,2,11,13
COLLANA,atencion odontologica, restauraciones,2014-11-01,28,20,28,20,48
COLOMI,atencion odontologica, restauraciones,2014-11-01,68,118,68,118,186
COLPA BELGICA,atencion odontologica, restauraciones,2014-11-01,8,16,8,16,24
COLQUECHACA,atencion odontologica, restauraciones,2014-11-01,50,115,50,115,165
COLQUENCHA,atencion odontologica, restauraciones,2014-11-01,21,43,21,43,64
COLQUIRI,atencion odontologica, restauraciones,2014-11-01,47,48,47,48,95
COMANCHE,atencion odontologica, restauraciones,2014-11-01,7,7,7,7,14
COMARAPA,atencion odontologica, restauraciones,2014-11-01,34,132,34,132,166
COMBAYA,atencion odontologica, restauraciones,2014-11-01,5,9,5,9,14
CONCEPCION,atencion odontologica, restauraciones,2014-11-01,5,10,5,10,15
COPACABANA,atencion odontologica, restauraciones,2014-11-01,13,26,13,26,39
CORIPATA,atencion odontologica, restauraciones,2014-11-01,6,13,6,13,19
CORO CORO,atencion odontologica, restauraciones,2014-11-01,7,31,7,31,38
COROICO,atencion odontologica, restauraciones,2014-11-01,50,69,50,69,119
CORQUE,atencion odontologica, restauraciones,2014-11-01,12,25,12,25,37
COTAGAITA,atencion odontologica, restauraciones,2014-11-01,51,78,51,78,129
COTOCA,atencion odontologica, restauraciones,2014-11-01,42,85,42,85,127
CUATRO CAÑADAS,atencion odontologica, restauraciones,2014-11-01,47,158,47,158,205
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, restauraciones,2014-11-01,1,6,1,6,7
CUEVO,atencion odontologica, restauraciones,2014-11-01,0,1,0,1,1
CULPINA,atencion odontologica, restauraciones,2014-11-01,14,44,14,44,58
CURAHUARA DE CARANGAS,atencion odontologica, restauraciones,2014-11-01,7,5,7,5,12
CURVA,atencion odontologica, restauraciones,2014-11-01,13,12,13,12,25
DESAGUADERO,atencion odontologica, restauraciones,2014-11-01,62,79,62,79,141
EL ALTO,atencion odontologica, restauraciones,2014-11-01,2763,4110,2763,4110,6873
EL CHORO,atencion odontologica, restauraciones,2014-11-01,11,12,11,12,23
EL PUENTE(STC),atencion odontologica, restauraciones,2014-11-01,12,66,12,66,78
EL PUENTE(TJA),atencion odontologica, restauraciones,2014-11-01,33,70,33,70,103
EL TORNO,atencion odontologica, restauraciones,2014-11-01,104,307,104,307,411
EL VILLAR,atencion odontologica, restauraciones,2014-11-01,30,89,30,89,119
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-11-01,41,83,41,83,124
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-11-01,28,43,28,43,71
ESCOMA,atencion odontologica, restauraciones,2014-11-01,33,22,33,22,55
EUCALIPTUS,atencion odontologica, restauraciones,2014-11-01,25,38,25,38,63
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-11-01,54,82,54,82,136
FILADELFIA,atencion odontologica, restauraciones,2014-11-01,11,5,11,5,16
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-11-01,6,12,6,12,18
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-11-01,35,58,35,58,93
GUANAY,atencion odontologica, restauraciones,2014-11-01,52,93,52,93,145
GUAQUI,atencion odontologica, restauraciones,2014-11-01,17,21,17,21,38
GUAYARAMERIN,atencion odontologica, restauraciones,2014-11-01,123,247,123,247,370
GUTIERREZ,atencion odontologica, restauraciones,2014-11-01,15,23,15,23,38
HUACARETA,atencion odontologica, restauraciones,2014-11-01,52,66,52,66,118
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-11-01,9,25,9,25,34
HUACHACALLA,atencion odontologica, restauraciones,2014-11-01,1,1,1,1,2
HUANUNI,atencion odontologica, restauraciones,2014-11-01,78,145,78,145,223
HUARACAJE,atencion odontologica, restauraciones,2014-11-01,3,2,3,2,5
HUATAJATA,atencion odontologica, restauraciones,2014-11-01,14,16,14,16,30
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-11-01,53,70,53,70,123
HUMANATA,atencion odontologica, restauraciones,2014-11-01,27,19,27,19,46
ICHOCA,atencion odontologica, restauraciones,2014-11-01,18,24,18,24,42
ICLA,atencion odontologica, restauraciones,2014-11-01,26,45,26,45,71
INCAHUASI,atencion odontologica, restauraciones,2014-11-01,24,39,24,39,63
INGAVI (HUMAITA),atencion odontologica, restauraciones,2014-11-01,0,1,0,1,1
INQUISIVI,atencion odontologica, restauraciones,2014-11-01,11,29,11,29,40
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-11-01,40,93,40,93,133
IXIAMAS,atencion odontologica, restauraciones,2014-11-01,21,22,21,22,43
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-11-01,35,52,35,52,87
LA ASUNTA,atencion odontologica, restauraciones,2014-11-01,61,106,61,106,167
LA GUARDIA,atencion odontologica, restauraciones,2014-11-01,94,265,94,265,359
LA PAZ,atencion odontologica, restauraciones,2014-11-01,3059,4756,3059,4756,7815
LAJA,atencion odontologica, restauraciones,2014-11-01,24,43,24,43,67
LAS CARRERAS,atencion odontologica, restauraciones,2014-11-01,5,25,5,25,30
LICOMA PAMPA,atencion odontologica, restauraciones,2014-11-01,18,34,18,34,52
LLALLAGUA,atencion odontologica, restauraciones,2014-11-01,83,135,83,135,218
