,group,variable,month,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,39.0,52.0,39.0,52.0,91.0
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,122.0,182.0,122.0,182.0,304.0
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,31.0,47.0,31.0,47.0,78.0
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,118.0,123.0,118.0,123.0,241.0
ESCOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,21.0,21.0,21.0,21.0,42.0
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,7.0,0.0,7.0,7.0
GUAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,49.0,42.0,49.0,42.0,91.0
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,45.0,38.0,45.0,38.0,83.0
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,24.0,29.0,24.0,29.0,53.0
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,7.0,10.0,7.0,10.0,17.0
HUARINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,1.0,1.0,1.0,2.0
HUAYLLAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,2.0,6.0,2.0,6.0,8.0
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,4.0,3.0,4.0,7.0
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,60.0,69.0,60.0,69.0,129.0
INGAVI (HUMAITA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,4.0,0.0,4.0,4.0
INQUISIVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,0.0,4.0,0.0,4.0
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,5.0,10.0,5.0,10.0,15.0
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,1.0,0.0,1.0,1.0
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,125.0,130.0,125.0,130.0,255.0
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,516.0,448.0,516.0,448.0,964.0
LAGUNILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,45.0,47.0,45.0,47.0,92.0
LAJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,17.0,8.0,17.0,25.0
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,5.0,8.0,5.0,8.0,13.0
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,24.0,19.0,24.0,19.0,43.0
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,29.0,26.0,29.0,26.0,55.0
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,85.0,94.0,85.0,94.0,179.0
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,59.0,71.0,59.0,71.0,130.0
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,40.0,34.0,40.0,34.0,74.0
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,2.0,8.0,2.0,8.0,10.0
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,6.0,0.0,6.0,0.0,6.0
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,141.0,147.0,141.0,147.0,288.0
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,15.0,14.0,15.0,14.0,29.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,57.0,38.0,57.0,38.0,95.0
OKINAWA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,9.0,0.0,9.0,9.0
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,32.0,45.0,32.0,45.0,77.0
PADILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,1.0,0.0,1.0,1.0
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,28.0,37.0,28.0,37.0,65.0
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,53.0,102.0,53.0,102.0,155.0
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,1.0,1.0,1.0,2.0
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,5.0,8.0,5.0,13.0
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,30.0,28.0,30.0,28.0,58.0
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,69.0,65.0,69.0,65.0,134.0
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,216.0,254.0,216.0,254.0,470.0
POOPO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,53.0,4.0,53.0,4.0,57.0
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,97.0,92.0,97.0,92.0,189.0
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,81.0,96.0,81.0,96.0,177.0
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,78.0,84.0,78.0,84.0,162.0
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,4.0,4.0,4.0,8.0
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,47.0,37.0,47.0,37.0,84.0
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,3.0,4.0,3.0,7.0
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,50.0,85.0,50.0,85.0,135.0
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,5.0,6.0,5.0,6.0,11.0
PUNA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,17.0,31.0,17.0,31.0,48.0
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,17.0,23.0,17.0,23.0,40.0
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,7.0,4.0,7.0,4.0,11.0
QUIME,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,3.0,3.0,3.0,6.0
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,7.0,6.0,7.0,6.0,13.0
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,341.0,469.0,341.0,469.0,810.0
ROBORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,440.0,406.0,440.0,406.0,846.0
SABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,1.0,0.0,1.0,1.0
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,2.0,2.0,2.0,2.0,4.0
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,30.0,39.0,30.0,39.0,69.0
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,32.0,15.0,32.0,15.0,47.0
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,42.0,42.0,42.0,42.0,84.0
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,15.0,13.0,15.0,13.0,28.0
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,9.0,9.0,9.0,9.0,18.0
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,26.0,33.0,26.0,33.0,59.0
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,23.0,13.0,23.0,13.0,36.0
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,7.0,3.0,7.0,10.0
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,47.0,33.0,47.0,33.0,80.0
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,499.0,532.0,499.0,532.0,1031.0
SAN JAVIER(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,25.0,28.0,25.0,28.0,53.0
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,44.0,33.0,44.0,33.0,77.0
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,10.0,8.0,10.0,18.0
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,380.0,556.0,380.0,556.0,936.0
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,7.0,2.0,7.0,2.0,9.0
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,6.0,12.0,6.0,12.0,18.0
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,3.0,8.0,3.0,11.0
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,6.0,4.0,6.0,10.0
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,6.0,9.0,6.0,9.0,15.0
SAN RAMON BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,52.0,56.0,52.0,56.0,108.0
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,960.0,999.0,960.0,999.0,1959.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,637.0,786.0,637.0,786.0,1423.0
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,31.0,42.0,31.0,42.0,73.0
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,14.0,15.0,14.0,15.0,29.0
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,50.0,49.0,50.0,49.0,99.0
SANTIVAÑES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,22.0,8.0,22.0,8.0,30.0
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,15.0,11.0,15.0,11.0,26.0
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,100.0,119.0,100.0,119.0,219.0
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,41.0,46.0,41.0,46.0,87.0
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,66.0,126.0,66.0,126.0,192.0
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,0.0,3.0,0.0,3.0
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,7.0,8.0,7.0,8.0,15.0
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,45.0,53.0,45.0,53.0,98.0
TACACOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,9.0,4.0,9.0,4.0,13.0
TACOBAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,0.0,1.0,0.0,1.0
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,11.0,7.0,11.0,7.0,18.0
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,6.0,20.0,6.0,20.0,26.0
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,6.0,8.0,6.0,14.0
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,439.0,361.0,439.0,361.0,800.0
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,4.0,4.0,4.0,4.0,8.0
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,99.0,39.0,99.0,39.0,138.0
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,358.0,426.0,358.0,426.0,784.0
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,2.0,0.0,2.0,2.0
TOLEDO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,23.0,11.0,23.0,11.0,34.0
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,5.0,11.0,5.0,11.0,16.0
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,22.0,24.0,22.0,24.0,46.0
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,6.0,3.0,6.0,9.0
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,52.0,67.0,52.0,67.0,119.0
TUPIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,60.0,57.0,60.0,57.0,117.0
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,32.0,48.0,32.0,48.0,80.0
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,22.0,22.0,22.0,22.0,44.0
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,8.0,6.0,8.0,6.0,14.0
VALLEGRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,106.0,93.0,106.0,93.0,199.0
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,56.0,48.0,56.0,48.0,104.0
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,0.0,1.0,0.0,1.0,1.0
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,11.0,18.0,11.0,18.0,29.0
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,1.0,0.0,1.0,0.0,1.0
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,44.0,43.0,44.0,43.0,87.0
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,262.0,215.0,262.0,215.0,477.0
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,50.0,45.0,50.0,45.0,95.0
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,50.0,47.0,50.0,47.0,97.0
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,12.0,25.0,12.0,25.0,37.0
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,51.0,67.0,51.0,67.0,118.0
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,92.0,79.0,92.0,79.0,171.0
YOTALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,24.0,14.0,24.0,14.0,38.0
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-05-01,3.0,9.0,3.0,9.0,12.0
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,79.0,65.0,79.0,65.0,144.0
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,3.0,4.0,3.0,4.0,7.0
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,49.0,51.0,49.0,51.0,100.0
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,55.0,46.0,55.0,46.0,101.0
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,8.0,3.0,8.0,3.0,11.0
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,18.0,4.0,18.0,4.0,22.0
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,3.0,6.0,3.0,6.0,9.0
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,170.0,187.0,170.0,187.0,357.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,157.0,152.0,157.0,152.0,309.0
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,4.0,0.0,4.0,0.0,4.0
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,10.0,11.0,10.0,11.0,21.0
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,6.0,17.0,6.0,17.0,23.0
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,13.0,18.0,13.0,18.0,31.0
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,4.0,0.0,4.0,0.0,4.0
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,9.0,4.0,9.0,4.0,13.0
BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,79.0,84.0,79.0,84.0,163.0
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,13.0,15.0,13.0,15.0,28.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,0.0,1.0,0.0,1.0,1.0
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,575.0,524.0,575.0,524.0,1099.0
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,2.0,9.0,2.0,9.0,11.0
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,150.0,173.0,150.0,173.0,323.0
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,13.0,10.0,13.0,10.0,23.0
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,4.0,2.0,4.0,2.0,6.0
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,150.0,181.0,150.0,181.0,331.0
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,81.0,54.0,81.0,54.0,135.0
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,28.0,26.0,28.0,26.0,54.0
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,4.0,9.0,4.0,9.0,13.0
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,50.0,46.0,50.0,46.0,96.0
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,0.0,2.0,0.0,2.0,2.0
CHUA COCANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,15.0,11.0,15.0,11.0,26.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,6.0,7.0,6.0,7.0,13.0
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,0.0,1.0,0.0,1.0,1.0
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,119.0,99.0,119.0,99.0,218.0
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,254.0,352.0,254.0,352.0,606.0
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,7.0,9.0,7.0,9.0,16.0
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,3.0,3.0,3.0,3.0,6.0
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,3.0,7.0,3.0,7.0,10.0
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,12.0,20.0,12.0,20.0,32.0
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,11.0,7.0,11.0,7.0,18.0
COLQUIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,25.0,26.0,25.0,26.0,51.0
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,69.0,83.0,69.0,83.0,152.0
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,51.0,51.0,51.0,51.0,102.0
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,69.0,71.0,69.0,71.0,140.0
COTOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,152.0,161.0,152.0,161.0,313.0
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,167.0,152.0,167.0,152.0,319.0
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,1.0,0.0,1.0,0.0,1.0
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,6.0,7.0,6.0,7.0,13.0
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,12.0,10.0,12.0,10.0,22.0
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,3342.0,3412.0,3342.0,3412.0,6754.0
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,4.0,1.0,4.0,1.0,5.0
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,8.0,7.0,8.0,7.0,15.0
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,378.0,354.0,378.0,354.0,732.0
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,45.0,35.0,45.0,35.0,80.0
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,105.0,106.0,105.0,106.0,211.0
ESCOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,5.0,5.0,5.0,5.0,10.0
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,1.0,1.0,1.0,1.0,2.0
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,64.0,66.0,64.0,66.0,130.0
GUAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,18.0,28.0,18.0,28.0,46.0
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,25.0,32.0,25.0,32.0,57.0
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,5.0,7.0,5.0,7.0,12.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,4.0,2.0,4.0,2.0,6.0
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,12.0,15.0,12.0,15.0,27.0
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,31.0,37.0,31.0,37.0,68.0
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,10.0,13.0,10.0,13.0,23.0
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,89.0,96.0,89.0,96.0,185.0
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,333.0,325.0,333.0,325.0,658.0
LAGUNILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,62.0,72.0,62.0,72.0,134.0
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,6.0,11.0,6.0,11.0,17.0
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,28.0,11.0,28.0,11.0,39.0
LORETO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,53.0,63.0,53.0,63.0,116.0
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,9.0,52.0,9.0,52.0,61.0
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,83.0,92.0,83.0,92.0,175.0
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,31.0,35.0,31.0,35.0,66.0
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,12.0,4.0,12.0,4.0,16.0
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,7.0,12.0,7.0,12.0,19.0
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,18.0,3.0,18.0,3.0,21.0
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,58.0,594.0,58.0,594.0,652.0
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,14.0,8.0,14.0,8.0,22.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,19.0,36.0,19.0,36.0,55.0
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,443.0,573.0,443.0,573.0,1016.0
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,6.0,5.0,6.0,5.0,11.0
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,100.0,150.0,100.0,150.0,250.0
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,31.0,54.0,31.0,54.0,85.0
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,0.0,9.0,0.0,9.0,9.0
PAZÑA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,80.0,70.0,80.0,70.0,150.0
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,104.0,68.0,104.0,68.0,172.0
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,135.0,100.0,135.0,100.0,235.0
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,429.0,393.0,429.0,393.0,822.0
POOPO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,40.0,19.0,40.0,19.0,59.0
PORCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,3.0,2.0,3.0,2.0,5.0
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,131.0,164.0,131.0,164.0,295.0
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,18.0,21.0,18.0,21.0,39.0
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,58.0,76.0,58.0,76.0,134.0
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,74.0,66.0,74.0,66.0,140.0
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,2.0,2.0,2.0,2.0,4.0
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,15.0,7.0,15.0,7.0,22.0
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-06-01,1.0,0.0,1.0,0.0,1.0
