,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES,TOTALES,TOTALES
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,5,2,5,2,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,0,3,0,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,63,27,63,27,90
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,1,2,1,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,5,3,5,3,8
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,7,7,7,7,14
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,1,1,1,2
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,1,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,7,0,7,0,7
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,3,2,3,5
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,1,2,1,3
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,5,3,5,3,8
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,0,4,0,4
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,2,4,2,6
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,0,3,0,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,2,1,2,3
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,1,3,1,4
SAN LORENZO(PND),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,3,2,3,5
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,71,45,71,45,116
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,1,2,1,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,1,2,1,3
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,12,5,12,5,17
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,7,5,7,5,12
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,0,4,0,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,1,3,1,4
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,8,1,8,1,9
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,1,2,1,3
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,1,2,1,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,0,1,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,2,4,2,6
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,6,2,6,2,8
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,0,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,2,2,2,2,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,4,2,4,2,6
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,9,0,9,0,9
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-08-01,3,5,3,5,8
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,2,1,2,3
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,1,1,1,2
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,1,2,1,3
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,8,4,8,4,12
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,1,2,1,3
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,3,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,4,2,4,2,6
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,15,15,15,15,30
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,5,0,5,0,5
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,2,2,2,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,5,4,5,4,9
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,5,2,5,7
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,46,35,46,35,81
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,4,2,4,2,6
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,1,3,1,4
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,0,3,0,3
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,3,1,3,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,3,2,3,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,49,22,49,22,71
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,0,3,0,3
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,0,3,0,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,0,3,0,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,9,3,9,3,12
MOROCHATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,11,5,11,5,16
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,2,0,2,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,2,0,2,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,3,1,3,4
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,2,1,2,3
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,10,1,10,1,11
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,1,1,1,2
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,4,2,4,2,6
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,5,1,5,6
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,8,3,8,11
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,7,2,7,2,9
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,5,0,5,0,5
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,5,1,5,1,6
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,2,2,2,4
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,70,44,70,44,114
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,3,1,3,4
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,1,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,20,5,20,5,25
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,7,3,7,3,10
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,4,3,4,7
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,0,3,0,3
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,2,2,2,4
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,1,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,2,2,2,4
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,7,1,7,1,8
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,2,1,2,3
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,1,2,1,2,3
WALDO BALLIVIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,0,1,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,6,7,6,7,13
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,7,7,7,7,14
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,2,0,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-09-01,3,1,3,1,4
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,1,2,1,3
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,1,2,1,3
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,2,3,2,5
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,6,2,6,2,8
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,2,0,2,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,0,3,0,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,0,3,0,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,24,12,24,12,36
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,1,2,1,3
"COLCHA ""K""",tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,1,3,1,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,3,1,3,4
CORQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,21,25,21,25,46
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,4,1,4,1,5
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,2,1,2,3
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,5,4,5,4,9
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,60,38,60,38,98
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,2,2,2,4
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,6,5,6,5,11
MOROCHATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,7,5,7,5,12
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,1,2,1,3
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,6,1,6,1,7
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,9,2,9,2,11
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,4,4,4,4,8
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,6,2,6,2,8
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,7,0,7,0,7
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,2,3,2,5
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,87,56,87,56,143
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SANTIAGO DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,1,1,1,2
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,3,0,3,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,13,6,13,6,19
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,1,1,1,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,5,6,5,6,11
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,2,0,2,0,2
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,4,2,4,2,6
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,4,0,4,0,4
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
