,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,3,2,3,5
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,4,1,4,5
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,2,1,2,3
RAVELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,0,3,0,3
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,2,3,2,5
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,0,3,0,3
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,2,1,2,3
SAN JAVIER(BNI),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,0,3,0,3
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,3,2,3,5
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,53,28,53,28,81
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,8,6,8,6,14
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,4,4,4,4,8
TARVITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,0,1,0,1,1
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,4,0,4,0,4
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,1,3,1,4
TIRAQUE (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
TOTORA(CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,8,5,8,5,13
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,1,1,1,1,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,3,1,3,1,4
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,4,1,4,1,5
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,0,2,0,2
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,1,2,1,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,7,3,7,3,10
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,6,1,6,1,7
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-08-01,2,5,2,5,7
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,2,0,2,2
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,0,2,0,2
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,2,3,2,5
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,6,4,6,4,10
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,2,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,4,2,4,2,6
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,10,12,10,12,22
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
COLQUIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,2,2,2,4
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,2,2,2,4
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,4,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,33,17,33,17,50
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,3,3,3,6
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,1,3,1,4
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
FILADELFIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,0,3,0,3
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,0,2,0,2
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,3,1,3,4
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,2,2,2,4
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,26,11,26,11,37
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,0,2,0,2
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,0,3,0,3
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,0,3,0,3
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,7,5,7,5,12
MOROCHATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,5,3,5,3,8
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,2,0,2,2
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,2,0,2,2
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,3,0,3,3
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,5,1,5,1,6
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,4,2,4,2,6
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,2,0,2,2
QUIABAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,4,6,4,6,10
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,6,2,6,2,8
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,5,0,5,0,5
SACACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,0,2,0,2
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,1,3,1,4
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,2,1,2,3
SAN MATIAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,56,32,56,32,88
SANTIAGO DE MACHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,4,1,4,5
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,3,1,3,1,4
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,17,4,17,4,21
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,9,2,9,2,11
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,4,2,4,6
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
TOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,2,0,2,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,6,1,6,1,7
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,1,1,1,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,2,2,2,4
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,5,2,5,2,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,2,0,2,0,2
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,2,0,2,2
WALDO BALLIVIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,7,4,7,4,11
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,4,5,4,5,9
YAMPARAEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-09-01,4,1,4,1,5
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,2,0,2,2
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,3,1,3,1,4
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,1,2,1,3
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,3,2,3,2,5
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,5,3,5,3,8
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CHUMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,4,0,4,0,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,17,8,17,8,25
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
COLLANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
COLQUIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,1,2,1,3
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,2,1,2,3
CORQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,16,11,16,11,27
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,4,3,4,3,7
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,2,1,2,3
EUCALIPTUS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,5,2,5,2,7
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,28,19,28,19,47
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,2,2,2,4
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,1,2,1,3
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,7,4,7,4,11
MOROCHATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,5,4,5,4,9
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,6,1,6,1,7
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,8,2,8,2,10
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,4,3,4,3,7
RAVELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,5,2,5,2,7
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,5,0,5,0,5
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,2,1,2,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,56,38,56,38,94
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SANTIVAÑES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,2,0,2,2
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
SOPACHUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,13,9,13,9,22
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,1,1,1,2
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,3,3,3,3,6
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
TINGUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,1,2,1,3
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,3,0,3,0,3
TOMAVE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,3,2,3,5
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,0,1,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,1,1,1,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,3,0,3,0,3
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,7,5,7,5,12
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,2,0,2,0,2
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,4,4,4,4,8
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,5,2,5,2,7
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,4,1,4,5
YOTALA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-10-01,1,1,1,1,2
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,0,2,0,2,2
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,0,1,0,1
ANZALDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,2,0,2,0,2
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,8,3,8,3,11
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,0,1,0,1,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,0,2,0,2,2
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,1,1,1,2
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,2,1,2,3
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,7,6,7,6,13
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,1,1,1,2
CHAYANTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-11-01,1,0,1,0,1
