municipality,group,variable,month,Pentavalentes 1ra dosis -DENTRO,TOTAL DENTRO,Pentavalentes 1ra dosis -FUERA,TOTAL FUERA
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,19,19
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,9,9
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,20,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,27,27,43,43
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,13,13,27,27
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,10,10,20,20
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,7,7
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,1,1
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,39,39,18,18
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,23,23,50,50
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,18,18
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,12,12
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,10,10,1,1
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,28,28,9,9
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,24,24,228,228
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,14,14
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,8,8
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,25,25,0,0
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,5,5
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,8,8
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,29,29,14,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,6,6
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,23,23,24,24
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,20,20,13,13
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,4,4
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,18,18,31,31
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,44,44,138,138
CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,3,3
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,6,6,4,4
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,26,26
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,5,5
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,26,26,36,36
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,13,13
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,16,16,51,51
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,2,2
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,20,20,28,28
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,31,31,7,7
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,9,9,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,14,14,13,13
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,9,9
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,32,32,7,7
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,51,51,8,8
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1169,1169,179,179
COIPASA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,0,0
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,112,112,17,17
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,14,14,10,10
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,2,2
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,24,24,11,11
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,11,11,3,3
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,142,142
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,12,12
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,18,18,31,31
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,10,10
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,32,32,13,13
COMBAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,2,2
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,21,21
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,25,25,13,13
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,9,9
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,18,18
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,7,7
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,13,13,43,43
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,99,99,22,22
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,44,44,5,5
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,1,1
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,7,7
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,17,17,34,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,7,7
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,8,8
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1311,1311,405,405
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,6,6
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,12,12,11,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,11,11,5,5
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,86,86,12,12
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,10,10
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,21,21,26,26
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,43,43,43,43
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,10,10,2,2
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,4,4,21,21
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,26,26,13,13
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,0,0
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,37,37,11,11
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,12,12
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,15,15,29,29
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,10,10
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,76,76,17,17
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,12,12,23,23
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,11,11,9,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,11,11
HUACHACALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,2,2
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,39,39,13,13
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,9,9,6,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,4,4
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,10,10
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,4,4,23,23
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,27,27,45,45
INGAVI (HUMAITA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,14,14
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,24,24
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,13,13,14,14
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,6,6,12,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,13,13,10,10
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,36,36,27,27
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,84,84,40,40
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1229,1229,274,274
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,7,7
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,30,30
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,4,4,1,1
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,6,6
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,25,25,73,73
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,5,5
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,12,12,6,6
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,11,11
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,1,1
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,6,6
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,16,16,8,8
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,22,22,0,0
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,2,2
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,16,16,5,5
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,15,15
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,46,46,2,2
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,22,22,55,55
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,20,20
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,3,3
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,3,3,12,12
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,35,35,17,17
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,180,180,24,24
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,6,6
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,17,17,81,81
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,3,3
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,53,53
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,14,14,13,13
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,13,13
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,421,421,58,58
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,17,17,4,4
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,16,16,12,12
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,23,23,36,36
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,11,11,20,20
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,39,39,34,34
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,6,6
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,24,24,6,6
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,8,8
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,11,11
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,17,17,17,17
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,4,4,1,1
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,2,2,13,13
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,11,11,56,56
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,16,16,23,23
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,12,12,36,36
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,20,20,2,2
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,11,11,5,5
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,22,22,31,31
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,7,7
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,33,33,4,4
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,12,12,6,6
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,3,3
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,276,276,39,39
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,6,6,14,14
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,5,5
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,26,26,35,35
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,10,10,29,29
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,24,24
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,10,10
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,10,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,14,14,10,10
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,6,6,6,6
PUERTO SILES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,3,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,25,25,13,13
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,103,103,69,69
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,15,15,61,61
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,45,45,4,4
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,11,11
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,186,186,32,32
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,10,10,18,18
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,1,1,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,27,27,53,53
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,21,21,19,19
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,181,181,103,103
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,20,20,2,2
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,29,29,26,26
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,5,5,4,4
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,134,134,99,99
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,12,12
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,9,9,38,38
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,4,4,18,18
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,11,11
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,9,9,5,5
SAN AGUSTIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,0,0
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,19,19,19,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,14,14
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,0,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,17,17,6,6
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,8,8,8,8
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,60,60,87,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,7,7,8,8
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,33,33,6,6
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,34,34,79,79
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-10-01,95,95,18,18
