municipality,group,variable,month,Polio 2da dosis -DENTRO,TOTAL DENTRO,Polio 2da dosis -FUERA,TOTAL FUERA
ESCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,4,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,3,3
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,21,21
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,36,36,35,35
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,36,36,21,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,24,24
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,15,15,21,21
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,7,7
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,91,91,51,51
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,6,6
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,14,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,6,6
HUACHACALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,31,31,18,18
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,11,11,6,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,12,12
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,11,11
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,9,9
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,24,24,36,36
INGAVI (HUMAITA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,3,3
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,34,34
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,16,16
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,16,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,15,15
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,30,30,17,17
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,93,93,47,47
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1146,1146,432,432
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,5,5
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,28,28
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,2,2
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,4,4
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,21,21,71,71
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,7,7
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,17,17,8,8
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,11,11
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,5,5
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,6,6
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,23,23,10,10
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,27,27,1,1
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,25,25,12,12
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,15,15
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,64,64,7,7
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,22,22,51,51
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,25,25
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,10,10
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,34,34,23,23
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,168,168,21,21
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,5,5
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,103,103
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,2,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,12,12,60,60
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,24,24,10,10
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,13,13
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,397,397,61,61
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,21,21,22,22
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,10,10
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,34,34,34,34
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,18,18
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,34,34,38,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,3,3
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,15,15,4,4
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,8,8
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,6,6
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,29,29,17,17
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,0,0
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,10,10
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,62,62
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,19,19,24,24
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,35,35
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,19,19,9,9
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,5,5
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,26,26
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,8,8
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,28,28,2,2
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,6,6
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,2,2
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,286,286,45,45
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,10,10
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,4,4
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,20,20,49,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,31,31
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,32,32
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,11,11
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,9,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,20,20,6,6
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,9,9
PUERTO SILES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,2,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,24,24,15,15
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,111,111,73,73
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,69,69
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,30,30,3,3
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,11,11
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,173,173,46,46
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,8,8
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,27,27,47,47
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,19,19,14,14
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,171,171,89,89
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,18,18,4,4
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,16,16,48,48
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,2,2
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,145,145,109,109
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,15,15
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,47,47
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,10,10
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,9,9
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,18,18,23,23
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,7,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,6,6
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,9,9
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,81,81,73,73
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,13,13
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,27,27,3,3
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,27,27,62,62
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,101,101,17,17
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,10,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,20,20,4,4
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,13,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,28,28,16,16
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,13,13,15,15
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,48,48,34,34
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,39,39
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,14,14,21,21
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,28,28,65,65
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,24,24,9,9
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,25,25,3,3
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,0,0
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,44,44,3,3
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,76,76
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,10,10
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,11,11
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,7,7
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,12,12
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,8,8
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,16,16,3,3
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,23,23,18,18
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2398,2398,514,514
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,12,12,22,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,24,24,23,23
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,5,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,10,10,11,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,0,0
SANTIVAÑES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,3,3
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,5,5
SAPAHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,19,19
SENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,3,3,1,1
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,26,26
SICAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,3,3
SIPE SIPE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,37,37,39,39
SOPACHUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,9,9
SORACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,30,30
SORATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,41,41
SUCRE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,409,409,89,89
TACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
TACACOMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,7,7
TACOBAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,17,17
TACOPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,21,21,14,14
TAHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,2,2
TAPACARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,33,33,37,37
TARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,25,25,29,29
TARACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,9,9
TARATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,11,11,7,7
TARIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,247,247,18,18
TARVITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,17,17,22,22
TEOPONTE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,7,7,15,15
TIAWANACU,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,16,16
TINGUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,63,63
TIPUANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,18,18,10,10
TIQUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,88,88,17,17
TIRAQUE (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,70,70,11,11
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,4,4
TOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,6,6
TOLATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,4,4
TOLEDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,17,17
TOMAVE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,24,24
TOMINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,9,9,18,18
TORO TORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,22,22
TOTORA(CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,11,11,14,14
TOTORA(ORR),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,2,2,4,4
TRIGAL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,205,205,12,12
TUPIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,43,43,22,22
TURCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,3,3
UMALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,15,15
UNCIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,70,70
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,8,8
URUBICHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,34,34,0,0
UYUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,20,20,37,37
VACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,11,11,18,18
VALLEGRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,17,17,5,5
VIACHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,37,37,49,49
VILA VILA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,15,15,12,12
VILLA MONTES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,56,56,22,22
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,13,13
VILLA RIVERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,6,6,10,10
VILLA SERRANO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,13,13,6,6
VILLA TUNARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,112,112,91,91
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,5,5,16,16
VILLAZON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,50,50,12,12
VINTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,42,42,21,21
VITICHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,8,8,18,18
WALDO BALLIVIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,3,3
WARNES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,87,87,40,40
YACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,0,0,3,3
YACUIBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,116,116,60,60
YAMPARAEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,4,4,11,11
YANACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,9,9
YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,71,71,25,25
YOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-10-01,1,1,11,11
