municipality,group,variable,month,Total Días camas disponibles maternidad,TOTAL
TIQUIPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,649,649
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,558,558
TOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,155,155
TOLATA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,589,589
TORO TORO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,93,93
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,341,341
TOTORA(ORR),internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,62,62
TRINIDAD,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,372,372
TUPIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,527,527
TURCO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,29,29
UMALA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,31,31
UNCIA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,155,155
URUBICHA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,62,62
UYUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,514,514
VACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,155,155
VALLEGRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,250,250
VIACHA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,372,372
VILA VILA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,124,124
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,540,540
VILLA MONTES,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,372,372
VILLA RIVERO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,217,217
VILLA SERRANO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,495,495
VILLA TUNARI,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,1110,1110
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,182,182
VILLAZON,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,434,434
VINTO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,341,341
VITICHI,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,124,124
WARNES,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,248,248
YACO,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,149,149
YACUIBA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,673,673
YAMPARAEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,363,363
YANACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,93,93
YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,335,335
YOTALA,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,93,93
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-10-01,279,279
ACACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
ACHACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,300,300
ACHOCALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
AIQUILE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,450,450
ALALAY,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
ALCALA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
ALTO BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
ANTEQUERA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
ANZALDO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
APOLO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
ARAMPAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
ARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
ARBIETO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
ARQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,209,209
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,420,420
ATOCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,388,388
AYATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,870,870
AZURDUY,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,430,430
BATALLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
BAURES,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,28,28
BERMEJO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,520,520
BETANZOS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,170,170
BOLIVAR,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
BOYUIBE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,152,152
CABEZAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
CAJUATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,210,210
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,540,540
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
CAQUIAVIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
CARACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
CARANAVI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
CARIPUYO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,169,169
CHALLAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,276,276
CHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
CHARAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
CHAYANTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
CHIMORE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
CHUA COCANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,210,210
CHUMA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
CKOCHAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
CLIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,300,300
COBIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1143,1143
COCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,286,286
COCHABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,10375,10375
COIPASA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
COLOMI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
COLPA BELGICA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
COLQUECHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
COMARAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
CONCEPCION,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
CORIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
CORO CORO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
COROICO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
CORQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
COTAGAITA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
COTOCA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,660,660
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,328,328
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
CUEVO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
CULPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
DESAGUADERO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
EL ALTO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,7205,7205
EL CHORO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,58,58
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,207,207
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,300,300
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
EXALTACION,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,810,810
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,427,427
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,57,57
HUACHACALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
HUARACAJE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
HUMANATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,59,59
ICLA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,387,387
INCAHUASI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
INQUISIVI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
IXIAMAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,70,70
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1,1
LA ASUNTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,512,512
LA GUARDIA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,690,690
LA PAZ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,14690,14690
LAGUNILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,81,81
LAJA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
LAS CARRERAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,136,136
LICOMA PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
LLALLAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
LLICA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
LORETO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,5,5
MACHACAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,86,86
MACHARETI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,210,210
MAGDALENA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
MAIRANA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
MAPIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
MECAPACA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
MIZQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,720,720
MOCOMOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
MOJOCOYA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,246,246
MONTEAGUDO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,540,540
MONTERO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1754,1754
MOROCHATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,58,58
OCURI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
OKINAWA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
OMEREQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,125,125
ORURO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,4373,4373
PADILLA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,300,300
PAILON,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,251,251
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
PAMPA AULLAGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
PASORAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,7,7
PATACAMAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
PAZÑA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
POCOATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
POCONA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,450,450
POJO (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
POOPO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
POROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,723,723
PORONGO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
PORTACHUELO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
PORVENIR,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,140,140
POSTRER VALLE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
POTOSI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1800,1800
PRESTO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,249,249
PUCARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
PUERTO ACOSTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
PUERTO CARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,26,26
PUERTO RICO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,132,132
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,963,963
PUNA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
PUNATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,600,600
QUILLACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1210,1210
QUIME,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,83,83
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
RAVELO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
REYES,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
RIBERALTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1330,1330
ROBORE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,388,388
RURRENABAQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
SACABA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1410,1410
SACABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
SACACA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
SAIPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,79,79
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,210,210
SAMAIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,210,210
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,84,84
SAN BENITO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
SAN BORJA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,477,477
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,121,121
SAN CARLOS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,242,242
SAN IGNACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,397,397
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1260,1260
SAN JAVIER(BNI),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,310,310
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,900,900
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,102,102
SAN JULIAN,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,596,596
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,2,2
SAN LUCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1170,1170
SAN MATIAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,272,272
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
SAN PEDRO DE CURAHUARA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,58,58
SAN RAFAEL,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
SANTA ANA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,210,210
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,14659,14659
SANTA ROSA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,390,390
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,180,180
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
SANTIVAÑES,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,124,124
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
SAPAHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
SENA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,80,80
SHINAOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,480,480
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
SICAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,86,86
SIPE SIPE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,682,682
SOPACHUY,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,359,359
SORACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
SORATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
SUCRE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,3545,3545
TACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,30,30
TACOPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
TAPACARI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,510,510
TARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,540,540
TARATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,76,76
TARIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1523,1523
TARVITA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,750,750
TEOPONTE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
TIPUANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,183,183
TIQUIPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,689,689
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,600,600
TOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
TOLATA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
TOMINA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,510,510
TORO TORO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,330,330
TOTORA(ORR),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
TRINIDAD,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1672,1672
TUPIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,786,786
UNCIA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
URUBICHA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,60,60
UYUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,540,540
VACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
VALLEGRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,242,242
VIACHA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,330,330
VILA VILA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,120,120
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,542,542
VILLA MONTES,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,360,360
VILLA RIVERO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
VILLA SERRANO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,450,450
VILLA TUNARI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,1096,1096
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,178,178
VILLAZON,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,420,420
VINTO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,330,330
VITICHI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
WARNES,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,240,240
YACO,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,114,114
YACUIBA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,677,677
YAMPARAEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,351,351
YANACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,150,150
YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,548,548
YOTALA,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,90,90
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-11-01,270,270
ACACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,31,31
ACHACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,372,372
ACHOCALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,31,31
AIQUILE,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,527,527
ALALAY,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,62,62
ALCALA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,62,62
ALTO BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,124,124
ANCORAIMES,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,29,29
ANDAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,29,29
ANTEQUERA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,31,31
ANZALDO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,93,93
APOLO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,93,93
ARAMPAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,31,31
ARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,124,124
ARBIETO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,245,245
ARQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,154,154
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,437,437
ATOCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,206,206
AYATA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,62,62
AYO AYO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,1023,1023
AZURDUY,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,367,367
BATALLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,62,62
BAURES,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,30,30
BERMEJO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,480,480
BETANZOS,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,217,217
BOLIVAR,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,124,124
BOYUIBE,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,124,124
BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,211,211
CABEZAS,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,124,124
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,31,31
CAJUATA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,155,155
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,186,186
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,372,372
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,589,589
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-12-01,279,279
