municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,23,23
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,7,7
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,12,12
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,23,23
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,8,8
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,68,68
TOTORA(ORR),internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,3,3
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,1202,1202
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,306,306
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,38,38
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,16,16
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,244,244
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,4,4
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,149,149
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,135,135
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,2,2
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,30,30
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,316,316
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,7,7
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,17,17
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,454,454
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,18,18
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,198,198
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,168,168
VITICHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,7,7
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,186,186
YACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,4,4
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,430,430
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,13,13
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,163,163
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,68,68
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-09-01,9,9
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,90,90
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,133,133
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,15,15
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
ANCORAIMES,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
ANDAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,13,13
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,12,12
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,257,257
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,33,33
AYATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,45,45
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,34,34
BATALLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,27,27
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,106,106
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,53,53
BOLIVAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,36,36
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,12,12
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,17,17
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,10,10
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,175,175
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,360,360
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,30,30
CAQUIAVIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,27,27
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,184,184
CARIPUYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
CATACORA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,120,120
CHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,23,23
CHARAÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,26,26
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
CHUA COCANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,112,112
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,12,12
CKOCHAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,140,140
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,219,219
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,14,14
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6899,6899
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,54,54
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,20,20
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,8,8
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
COLQUENCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
COMANCHE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,126,126
COMBAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
COPACABANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,14,14
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,20,20
CORQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
COTAGAITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,8,8
COTOCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,125,125
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,23,23
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
CUEVO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,91,91
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,11,11
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3397,3397
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,496,496
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,36,36
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,10,10
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,24,24
GUAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,393,393
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,26,26
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,109,109
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,37,37
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,8,8
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,9,9
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,36,36
INQUISIVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,66,66
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,10,10
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,63,63
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,89,89
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5906,5906
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,9,9
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,9,9
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,267,267
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,90,90
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,75,75
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,72,72
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,18,18
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
MINEROS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,16,16
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,79,79
MOCOMOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,11,11
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,400,400
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1008,1008
MORO MORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,12,12
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,60,60
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,20,20
OKINAWA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2363,2363
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,78,78
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,57,57
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,39,39
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,30,30
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
PASORAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,55,55
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,20,20
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,32,32
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,25,25
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,27,27
PORONGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,135,135
PORVENIR,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,782,782
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,16,16
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,17,17
PUERTO ACOSTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
PUERTO CARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,30,30
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,22,22
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,320,320
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,19,19
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,313,313
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,561,561
RAVELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,10,10
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,36,36
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,977,977
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,68,68
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,227,227
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,428,428
SACABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,16,16
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,32,32
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,19,19
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,14,14
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,217,217
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,40,40
SAN CARLOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,28,28
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,138,138
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,348,348
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,54,54
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,27,27
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,130,130
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,13,13
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,32,32
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,97,97
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,61,61
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,23,23
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,23,23
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,11,11
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,28,28
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,34,34
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,192,192
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,9207,9207
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,43,43
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
SANTIVAÑES,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,9,9
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,106,106
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,14,14
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,63,63
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,43,43
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,5,5
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1597,1597
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,10,10
TAPACARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,3,3
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,81,81
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,20,20
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1790,1790
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,39,39
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,12,12
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,19,19
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,406,406
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,21,21
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,24,24
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,12,12
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,59,59
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,110,110
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,351,351
TURCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
UMALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,25,25
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,8,8
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,205,205
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,8,8
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,114,114
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,87,87
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,1,1
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,45,45
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,384,384
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,7,7
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,13,13
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,433,433
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,31,31
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,154,154
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,145,145
VITICHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,176,176
YACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,6,6
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,384,384
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,19,19
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,4,4
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,203,203
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,39,39
YUNCHARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,2,2
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-10-01,22,22
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,8,8
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,86,86
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,4,4
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,121,121
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,9,9
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,10,10
ANCORAIMES,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
ANTEQUERA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
ANZALDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,8,8
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,12,12
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
ARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,12,12
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,15,15
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,3,3
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,209,209
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,16,16
AYATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,44,44
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,38,38
BATALLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,13,13
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,9,9
BELLA FLOR,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,146,146
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,35,35
BOLIVAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,8,8
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,20,20
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,42,42
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,2,2
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,15,15
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,32,32
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,7,7
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,234,234
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,6,6
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,362,362
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-11-01,51,51
