,group,variable,month,L 16.5 DIABETES MELLITUS I - II CANTIDAD,L 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,7,13,20
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,8,23,31
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,16,42,58
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,276,287,563
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,13,13,26
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,5,4,9
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,4,4
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,2,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,2,3
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,7,8
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,0,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,2,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,8,37,45
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,5,6
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,105,182,287
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,3,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,35,43,78
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,3,7,10
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,7,10,17
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,9,24,33
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,5,8,13
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,3,5,8
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,3,3
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,15,33,48
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,390,528,918
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,2,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,4,4
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,3,5,8
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,0,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,7,8
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,5,6
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,1,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,13,15,28
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,85,145,230
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,103,153,256
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,6,4,10
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,4,4
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,7,1,8
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,16,23,39
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,50,52,102
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,26,26,52
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,9,0,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,14,31,45
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,8,9
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,13,24,37
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,4,4,8
REYES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,31,67,98
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,15,18,33
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,26,48,74
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,12,18,30
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,5,6,11
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,2,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,6,4,10
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,2,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,4,22,26
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,9,24,33
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,9,11
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,24,39,63
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,12,20,32
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,2,4
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,10,12
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,2,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,5,6
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,4,4
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,4,6
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,15,28,43
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,672,1073,1745
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,11,15,26
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,6,13,19
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,0,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,5,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,338,740,1078
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,5,8,13
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,3,7,10
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,42,46,88
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,4,3,7
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,5,5
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,4,0,4
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,2,3
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,46,133,179
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,10,12,22
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,27,44,71
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,27,31,58
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,10,15,25
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,2,4,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,8,29,37
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,13,14
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,10,5,15
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,7,6,13
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,5,12,17
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,30,34,64
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,3,12,15
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-10-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,1,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,5,6,11
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,0,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,6,8
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,1,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,40,46,86
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,3,13,16
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,10,12
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,9,9,18
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,12,19,31
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,60,58,118
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,2,3
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,7,6,13
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,2,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,7,21,28
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,25,23,48
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,205,289,494
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,8,10
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,0,2
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,3,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,4,7,11
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,0,2
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,2,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,4,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,10,34,44
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,2,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,83,188,271
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,15,17
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,16,15,31
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,10,26,36
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,6,4,10
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,5,17,22
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,7,8
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,19,59,78
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,7,18,25
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,303,453,756
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,4,4,8
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,5,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,3,5,8
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,6,7,13
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,12,27,39
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,5,5
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,124,180,304
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,4,2,6
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,3,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,16,27,43
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,62,66,128
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,10,10,20
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,9,0,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,12,33,45
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,3,6,9
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,20,32,52
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,16,19,35
REYES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,4,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,30,48,78
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,6,20,26
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,12,14,26
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,6,6,12
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,2,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,35,15,50
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,10,10
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,10,11
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,5,15,20
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,20,36,56
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,7,20,27
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,2,4
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,0,3,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.5        diabetes mellitus i - ii,2012-11-01,2,4,6
